,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.clube_id,atletas.status_id,atletas.nome,atletas.posicao_id,atletas.apelido,atletas.slug,atletas.pontos_num,atletas.clube.id.full.name,atletas.preco_num,atletas.media_num,atletas.rodada_id,atletas.foto,atletas.apelido_abreviado,atletas.variacao_num,DE,DS,FS,GS,SG,A,CA,FC,FD,FF,PC,PI,I,CV,FT,G,PP,PS,GC,DP
54,24,11.16,63013,275,7,Marcos Luis Rocha Aquino,2,Marcos Rocha,marcos-rocha,11.7,Palmeiras,11.55,6.28,35,https://s.glbimg.com/es/sde/f/2022/02/21/b5c3422a508001c1776995c43b20fdff_FORMATO.png,M. Rocha,0.91,,68.0,16.0,,14.0,5.0,2.0,22.0,,2.0,,282.0,,,,,,1.0,,
55,18,2.92,63058,294,6,Willian Roberto Farias,4,Willian Farias,willian-farias,0.0,Coritiba,6.92,2.63,35,https://s.glbimg.com/es/sde/f/2022/02/23/3b24fb4ac7b26a6349acb31a2578de4c_FORMATO.png,W. Farias,0.0,,42.0,22.0,,,,6.0,11.0,,4.0,,79.0,,,,,,,,
56,13,1.25,63172,1371,6,Paulo Marcos de Jesus Ribeiro,3,Paulão,paulao,0.0,Cuiabá,4.11,1.37,35,https://s.glbimg.com/es/sde/f/2022/02/23/962044a3dba4ade297a566c4d7f73d40_FORMATO.png,Paulão,0.0,,5.0,1.0,,4.0,,,6.0,1.0,3.0,1.0,34.0,,1.0,,,,,1.0,
57,0,3.88,63194,263,6,Carlos Emiliano Pereira,2,Carlinhos,carlinhos,0.0,Botafogo,5.0,0.0,35,https://s.glbimg.com/es/sde/f/2022/02/21/800bc92dcc8691cf1bb118132ac62fbc_FORMATO.png,Carlinhos,0.0,,,,,,,,,,,,,,,,,,,,
58,30,1.9,63289,285,2,Edenílson Andrade dos Santos,4,Edenílson,edenilson,0.6,Internacional,10.27,3.53,35,https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png,Edenílson,-1.77,,32.0,22.0,,,3.0,3.0,17.0,6.0,14.0,,154.0,1.0,,2.0,5.0,,1.0,,
59,17,2.16,63354,285,7,Rodrigo Modesto da Silva Moledo,3,Rodrigo Moledo,rodrigo-moledo,1.6,Internacional,6.13,3.98,35,https://s.glbimg.com/es/sde/f/2022/04/02/a672a123ec8d7b626a7c7aad1211dc94_FORMATO.png,R. Moledo,-0.65,,23.0,9.0,,6.0,,2.0,6.0,5.0,6.0,,25.0,1.0,,,,,1.0,,
60,24,-0.23,68685,285,7,Alan Patrick Lourenço,4,Alan Patrick,alan-patrick,-1.4,Internacional,7.41,4.34,35,https://s.glbimg.com/es/sde/f/2022/04/12/d0f45ab083d12ecd860e02a9bf048379_FORMATO.png,A. Patrick,-1.75,,12.0,40.0,,,3.0,2.0,19.0,15.0,15.0,,115.0,1.0,,,6.0,1.0,,,
61,28,2.44,68698,314,7,Bruno César Pereira da Silva,4,Bruno Silva,bruno-silva,0.0,Avaí,7.6,3.51,35,https://s.glbimg.com/es/sde/f/2022/02/23/7c8012647193d72e2db7ad4e887df99f_FORMATO.png,B. Silva,0.0,,95.0,35.0,,,1.0,11.0,71.0,3.0,8.0,,162.0,1.0,1.0,1.0,,,,,
62,14,8.42,68708,263,6,Carlos Eduardo de Oliveira Alves,4,Eduardo,eduardo,0.0,Botafogo,9.85,4.95,35,https://s.glbimg.com/es/sde/f/2022/07/12/defe5a5f9596bc80eb9f86efab5f5bcd_FORMATO.png,Eduardo,0.0,,21.0,28.0,,,1.0,3.0,21.0,1.0,12.0,,64.0,,,2.0,3.0,,,,
63,10,1.95,68727,282,7,José Rodolfo Pires Ribeiro,2,Dodô,dodo,1.3,Atlético-MG,5.31,4.64,35,https://s.glbimg.com/es/sde/f/2022/07/15/609e318b14a5b18020808dc34efd5bfa_FORMATO.png,Dodô,-1.76,,17.0,5.0,,4.0,,1.0,7.0,1.0,4.0,,58.0,,,,1.0,,,,
