,atletas.clube.id.full.name,atletas.status_id,atletas.foto,atletas.posicao_id,atletas.slug,atletas.atleta_id,atletas.jogos_num,atletas.media_num,atletas.preco_num,atletas.apelido_abreviado,atletas.apelido,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.variacao_num,atletas.pontos_num,atletas.nome,atletas.clube_id,DE,DS,FS,GS,SG,A,CA,FC,FD,FF,GC,PI,FT,G,I,CV,PP,PC,PS,DP
46,Ceará,6,https://s.glbimg.com/es/sde/f/2022/02/22/7d9b7c475629a1800313155c896a0e49_FORMATO.png,5,jael,60859,0,0.0,6.0,Jael,Jael,5.45,27,0.0,0.0,Jael Ferreira Vieira,354,,,,,,,,,,,,,,,,,,,,
47,América-MG,6,https://s.glbimg.com/es/sde/f/2022/02/25/7625d982588386e96390538eb699b2a2_FORMATO.png,2,patric,60969,23,2.18,6.67,Patric,Patric,5.26,27,0.83,4.8,Patric Cabral Lalau,327,,32.0,19.0,,5.0,,4.0,24.0,5.0,5.0,,209.0,,,4.0,,,,,
48,Cuiabá,6,https://s.glbimg.com/es/sde/f/2022/02/23/da202da4fb23bc636936f60651108982_FORMATO.png,4,rodriguinho,61033,24,2.63,8.54,Rodriguinho,Rodriguinho,14.55,27,2.67,15.6,Rodrigo Eduardo Costa Marinho,1371,,10.0,23.0,,,1.0,,13.0,9.0,14.0,,71.0,,3.0,6.0,,,,,
49,Coritiba,7,https://s.glbimg.com/es/sde/f/2022/02/23/252fa0c71255ea5a7be0a2efc493fe21_FORMATO.png,4,robinho,62104,15,1.26,3.31,Robinho,Robinho,2.55,27,-0.05,2.3,Róbson Michael Signorini,294,,14.0,11.0,,,2.0,2.0,10.0,,3.0,,108.0,,,1.0,,,,,
50,Internacional,6,https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png,4,taison,62114,12,1.79,3.88,Taison,Taison,0.56,27,0.0,0.0,Taison Barcellos Freda,285,,9.0,14.0,,,1.0,5.0,6.0,4.0,5.0,,31.0,,,2.0,,,,,
51,Fluminense,2,https://s.glbimg.com/es/sde/f/2022/04/20/f9f602ab78e260f4c89819ce72f7a39d_FORMATO.png,4,wellington,62129,11,0.58,2.46,Wellington,Wellington,0.02,27,0.0,0.0,Wellington Aparecido Martins,266,,7.0,5.0,,,1.0,2.0,9.0,,,,47.0,,,,,,,,
52,Juventude,6,https://s.glbimg.com/es/sde/f/2022/03/03/88174fca01439ff40caf28ad081a8fa6_FORMATO.png,2,william-matheus,62130,12,0.87,1.89,W. Matheus,William Matheus,-0.2,27,0.0,0.0,William Matheus da Silva,286,,9.0,6.0,,2.0,,4.0,10.0,2.0,4.0,,80.0,,,,1.0,,2.0,,
53,Fluminense,6,https://s.glbimg.com/es/sde/f/2022/06/23/187dc58be092ec53908581d6f65fb635_FORMATO.png,5,alan,62969,0,0.0,8.0,Alan,Alan,7.34,27,0.0,0.0,Alan Douglas Borges de Carvalho,266,,,,,,,,,,,,,,,,,,,,
54,Fluminense,7,https://s.glbimg.com/es/sde/f/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png,4,ganso,62977,23,3.85,8.57,Ganso,Ganso,9.5,27,0.56,9.5,Paulo Henrique Chagas de Lima,266,,26.0,34.0,,,4.0,4.0,15.0,3.0,5.0,,165.0,2.0,4.0,,,,,,
55,Palmeiras,7,https://s.glbimg.com/es/sde/f/2022/02/21/b5c3422a508001c1776995c43b20fdff_FORMATO.png,2,marcos-rocha,63013,17,6.54,10.74,M. Rocha,Marcos Rocha,8.67,27,0.29,7.9,Marcos Luis Rocha Aquino,275,,54.0,11.0,,9.0,4.0,2.0,15.0,,1.0,,195.0,,,,,,,1.0,
56,Coritiba,6,https://s.glbimg.com/es/sde/f/2022/02/23/3b24fb4ac7b26a6349acb31a2578de4c_FORMATO.png,4,willian-farias,63058,18,2.63,6.92,W. Farias,Willian Farias,3.73,27,0.0,0.0,Willian Roberto Farias,294,,42.0,22.0,,,,6.0,11.0,,4.0,,79.0,,,,,,,,
57,Cuiabá,3,https://s.glbimg.com/es/sde/f/2022/02/23/962044a3dba4ade297a566c4d7f73d40_FORMATO.png,3,paulao,63172,10,1.58,3.49,Paulão,Paulão,-3.43,27,-1.73,-5.0,Paulo Marcos de Jesus Ribeiro,1371,,4.0,,,4.0,,,6.0,1.0,2.0,1.0,30.0,,,,1.0,,1.0,,
58,Botafogo,6,https://s.glbimg.com/es/sde/f/2022/02/21/800bc92dcc8691cf1bb118132ac62fbc_FORMATO.png,2,carlinhos,63194,0,0.0,5.0,Carlinhos,Carlinhos,4.51,27,0.0,0.0,Carlos Emiliano Pereira,263,,,,,,,,,,,,,,,,,,,,
59,Internacional,7,https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png,4,edenilson,63289,22,4.0,10.63,Edenílson,Edenílson,2.76,27,0.06,0.8,Edenílson Andrade dos Santos,285,,25.0,17.0,,,3.0,3.0,14.0,5.0,11.0,,120.0,2.0,4.0,1.0,,,,1.0,
60,Internacional,2,https://s.glbimg.com/es/sde/f/2022/04/02/a672a123ec8d7b626a7c7aad1211dc94_FORMATO.png,3,rodrigo-moledo,63354,10,3.77,5.61,R. Moledo,Rodrigo Moledo,1.1,27,-0.35,0.0,Rodrigo Modesto da Silva Moledo,285,,14.0,7.0,,3.0,,1.0,4.0,3.0,3.0,,14.0,,,,,,,,
61,Internacional,7,https://s.glbimg.com/es/sde/f/2022/04/12/d0f45ab083d12ecd860e02a9bf048379_FORMATO.png,4,alan-patrick,68685,16,4.14,7.92,A. Patrick,Alan Patrick,5.22,27,0.2,4.4,Alan Patrick Lourenço,285,,11.0,33.0,,,2.0,2.0,9.0,7.0,7.0,,67.0,,3.0,,,,,,
62,Cuiabá,6,https://s.glbimg.com/es/sde/f/2022/02/23/ee02dcfd3fef8bb6cb823ff266baa89a_FORMATO.png,5,andre,68690,15,2.37,3.6,André,André,-0.01,27,0.0,0.0,André Felipe Ribeiro de Souza,1371,,7.0,18.0,,,,2.0,15.0,,5.0,,33.0,,3.0,1.0,,,,,
63,Avaí,6,https://s.glbimg.com/es/sde/f/2022/02/23/7c8012647193d72e2db7ad4e887df99f_FORMATO.png,4,bruno-silva,68698,23,3.58,7.57,B. Silva,Bruno Silva,1.86,27,0.18,0.5,Bruno César Pereira da Silva,314,,81.0,30.0,,,1.0,8.0,56.0,1.0,6.0,,132.0,,,1.0,1.0,,,,
64,Botafogo,3,https://s.glbimg.com/es/sde/f/2022/07/12/defe5a5f9596bc80eb9f86efab5f5bcd_FORMATO.png,4,eduardo,68708,9,5.46,9.4,Eduardo,Eduardo,6.66,27,0.78,5.9,Carlos Eduardo de Oliveira Alves,263,,15.0,15.0,,,1.0,3.0,17.0,1.0,9.0,,37.0,2.0,2.0,,,,,,
