"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","CA","DS","FC","FF","FS","PI","SG","I","CV","FD","FT","PC","G","PP","GC","DE","GS","PS","DP"
"49",95794,16,282,"zag","7",0,9.28,0,4.19,8,NA,"nathan-silva","Nathan Silva","N. Silva","Nathanael Ananias da Silva","https://s.glbimg.com/es/sde/f/2021/07/09/f485b236f55b942d9ffa6588b0d47e8f_FORMATO.png","Atlético-MG",NA,5,9,15,2,2,16,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",93646,16,314,"mei","6",0,3.18,0,1.3,4,NA,"vinicius-leite","Vinícius Leite","V. Leite","Vinícius Leite Silva","https://s.glbimg.com/es/sde/f/2022/02/24/66cd59f9bbf0f80e5f8c20bf587e3daf_FORMATO.png","Avaí",NA,NA,4,1,NA,2,15,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",73858,16,314,"mei","6",1.2,2.21,0.14,0.83,11,NA,"jean-cleber","Jean Cléber","J. Cléber","Jean Cléber Santos da Silva","https://s.glbimg.com/es/sde/f/2022/02/23/30faa9be7f17fe35cfe84852c646b4c0_FORMATO.png","Avaí",NA,2,12,11,3,4,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",89696,16,314,"ata","6",0,2.75,0,1.07,7,NA,"romulo","Rômulo ","Rômulo ","Rômulo dos Santos de Souza","https://s.glbimg.com/es/sde/f/2022/02/24/474334d9aac64c11c2e9ba0bfa9b0931_FORMATO.png","Avaí",NA,NA,3,2,2,4,15,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",82943,16,314,"lat","6",0,3.02,0,0.8,1,NA,"matheus-ribeiro","Matheus Ribeiro","M. Ribeiro","Matheus Antunes Ribeiro","https://s.glbimg.com/es/sde/f/2022/02/23/712651cb571755df87e5184b4ecf906d_FORMATO.png","Avaí",NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",69705,16,276,"mei","6",0,7.17,0,3.22,4,NA,"nikao","Nikão","Nikão","Maycon Vinícius Ferreira da Cruz","https://s.glbimg.com/es/sde/f/2022/03/01/6a7ca5b138f4ff481ca19603933a7507_FORMATO.png","São Paulo",NA,NA,1,1,1,6,22,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA
"55",87999,16,275,"mei","7",1.3,11.54,-0.99,7.62,14,NA,"gustavo-scarpa","Gustavo Scarpa","G. Scarpa","Gustavo Henrique Furtado Scarpa","https://s.glbimg.com/es/sde/f/2022/02/21/7f4f870f8251e4f95ab6d372a22919c1_FORMATO.png","Palmeiras",7,NA,8,6,23,30,142,NA,3,NA,15,1,NA,3,NA,NA,NA,NA,NA,NA
"56",101036,16,314,"lat","6",0,1.72,0,-2.3,1,NA,"diego-matos","Diego Matos","D. Matos","Diego Daniel Rodrigues de Matos","https://s.glbimg.com/es/sde/f/2022/02/23/f8cc329ae5ae96be77c98caf774621fd_FORMATO.png","Avaí",NA,NA,2,2,NA,NA,11,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",78893,16,263,"gol","6",0,3,0,0,0,NA,"douglas-borges","Douglas Borges","D. Borges","Douglas Borges","https://s.glbimg.com/es/sde/f/2022/02/21/837aacbeb34486f2c8bdc9348c44ba72_FORMATO.png","Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",85931,16,280,"mei","5",3.1,7.88,0.01,5.19,11,NA,"hyoran","Hyoran","Hyoran","Hyoran Kaue Dalmoro","https://s.glbimg.com/es/sde/f/2022/05/05/d656de14270c212a9409e2e8138e3b20_FORMATO.png","Bragantino",2,1,11,11,12,5,75,NA,NA,NA,8,NA,NA,3,NA,NA,NA,NA,NA,NA
