,atletas.status_id,atletas.minimo_para_valorizar,atletas.nome,atletas.clube.id.full.name,atletas.rodada_id,atletas.jogos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.apelido,atletas.preco_num,atletas.slug,atletas.foto,atletas.atleta_id,atletas.pontos_num,atletas.clube_id,atletas.variacao_num,atletas.media_num,A,CA,CV,DS,FC,FD,FF,FS,FT,G,I,PC,PI,SG,PP,DE,GS,DP,GC,PS
55,7,6.94,Marcos Luis Rocha Aquino,Palmeiras,26,16,M. Rocha,2,Marcos Rocha,10.45,marcos-rocha,https://s.glbimg.com/es/sde/f/2022/02/21/b5c3422a508001c1776995c43b20fdff_FORMATO.png,63013,7.2,275,1.03,6.45,4.0,2.0,,51.0,15.0,,1.0,11.0,,,,,188.0,8.0,,,,,,1.0
56,6,2.32,Willian Roberto Farias,Coritiba,26,18,W. Farias,4,Willian Farias,6.92,willian-farias,https://s.glbimg.com/es/sde/f/2022/02/23/3b24fb4ac7b26a6349acb31a2578de4c_FORMATO.png,63058,0.0,294,0.0,2.63,,6.0,,42.0,11.0,,4.0,22.0,,,,,79.0,,,,,,,
57,6,5.63,Paulo Marcos de Jesus Ribeiro,Cuiabá,26,9,Paulão,3,Paulão,5.22,paulao,https://s.glbimg.com/es/sde/f/2022/02/23/962044a3dba4ade297a566c4d7f73d40_FORMATO.png,63172,0.0,1371,0.0,2.31,,,,4.0,4.0,1.0,2.0,,,,,,26.0,4.0,,,,,1.0,
58,6,4.9,Carlos Emiliano Pereira,Botafogo,26,0,Carlinhos,2,Carlinhos,5.0,carlinhos,https://s.glbimg.com/es/sde/f/2022/02/21/800bc92dcc8691cf1bb118132ac62fbc_FORMATO.png,63194,0.0,263,0.0,0.0,,,,,,,,,,,,,,,,,,,,
59,7,1.53,Edenílson Andrade dos Santos,Internacional,26,21,Edenílson,4,Edenílson,10.57,edenilson,https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png,63289,0.3,285,-0.02,4.15,3.0,3.0,,24.0,13.0,5.0,11.0,16.0,2.0,4.0,1.0,,114.0,,,,,,,1.0
60,6,1.99,Rodrigo Modesto da Silva Moledo,Internacional,26,9,R. Moledo,3,Rodrigo Moledo,5.96,rodrigo-moledo,https://s.glbimg.com/es/sde/f/2022/04/02/a672a123ec8d7b626a7c7aad1211dc94_FORMATO.png,63354,0.0,285,0.0,4.19,,1.0,,14.0,4.0,3.0,3.0,7.0,,,,,14.0,3.0,,,,,,
61,2,3.77,Alan Patrick Lourenço,Internacional,26,15,A. Patrick,4,Alan Patrick,7.72,alan-patrick,https://s.glbimg.com/es/sde/f/2022/04/12/d0f45ab083d12ecd860e02a9bf048379_FORMATO.png,68685,3.7,285,-1.0,4.12,2.0,2.0,,10.0,8.0,7.0,5.0,29.0,,3.0,,,66.0,,,,,,,
62,6,0.4,André Felipe Ribeiro de Souza,Cuiabá,26,15,André,5,André,3.6,andre,https://s.glbimg.com/es/sde/f/2022/02/23/ee02dcfd3fef8bb6cb823ff266baa89a_FORMATO.png,68690,0.0,1371,-1.35,2.37,,2.0,,7.0,15.0,,5.0,18.0,,3.0,1.0,,33.0,,,,,,,
63,7,0.3,Bruno César Pereira da Silva,Avaí,26,22,B. Silva,4,Bruno Silva,7.39,bruno-silva,https://s.glbimg.com/es/sde/f/2022/02/23/7c8012647193d72e2db7ad4e887df99f_FORMATO.png,68698,-0.8,314,-1.02,3.72,1.0,7.0,1.0,80.0,54.0,1.0,6.0,28.0,,,1.0,,131.0,,,,,,,
64,7,2.75,Carlos Eduardo de Oliveira Alves,Botafogo,26,8,Eduardo,4,Eduardo,8.62,eduardo,https://s.glbimg.com/es/sde/f/2022/07/12/defe5a5f9596bc80eb9f86efab5f5bcd_FORMATO.png,68708,2.1,263,-2.49,5.4,,2.0,,13.0,13.0,1.0,9.0,13.0,2.0,2.0,,,34.0,,,,,,,
65,2,5.45,José Rodolfo Pires Ribeiro,Atlético-MG,26,2,Dodô,2,Dodô,5.4,dodo,https://s.glbimg.com/es/sde/f/2022/07/15/609e318b14a5b18020808dc34efd5bfa_FORMATO.png,68727,0.0,282,0.0,3.0,,,,4.0,,1.0,,1.0,,,,,5.0,,,,,,,
66,7,0.42,Guilherme de Aguiar Camacho,Santos,26,15,Camacho,4,Camacho,3.49,camacho,https://s.glbimg.com/es/sde/f/2022/03/03/44a5a0d1669b56e3bc607727595c4751_FORMATO.png,68770,0.0,277,-0.13,1.55,,4.0,,28.0,21.0,1.0,,4.0,,,,,34.0,,,,,,,
67,7,-0.07,Henrique Almeida Caixeta Nascentes,América-MG,26,19,H. Almeida,5,Henrique Almeida,3.61,henrique-almeida,https://s.glbimg.com/es/sde/f/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,68773,-0.6,327,-0.39,2.87,,5.0,,12.0,22.0,12.0,11.0,7.0,1.0,4.0,8.0,,52.0,,1.0,,,,,
68,6,6.33,Severino do Ramo Clementino da Silva,Ceará,26,21,N. Paraíba,2,Nino Paraíba,6.9,nino-paraiba,https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png,68808,6.9,354,0.53,2.73,1.0,8.0,,34.0,21.0,,3.0,18.0,,1.0,1.0,,185.0,5.0,,,,,,
69,6,-0.46,Jonathan Doin,Juventude,26,12,P. Miranda,3,Paulo Miranda,2.04,paulo-miranda,https://s.glbimg.com/es/sde/f/2022/03/03/84da02cce1e593cb658cfcf2deef669d_FORMATO.png,68817,0.0,286,0.0,1.04,,3.0,,12.0,11.0,2.0,2.0,5.0,,,,3.0,42.0,1.0,,,,,,
70,6,0.1,Renato de Araújo Chaves Júnior,Juventude,26,2,R. Chaves,3,Renato Chaves,3.2,renato-chaves,https://s.glbimg.com/es/sde/f/2022/08/04/0bc83ac31c543274a27ef12ac1aae92c_FORMATO.png,68827,-0.2,286,-0.6,1.45,,,,1.0,1.0,2.0,,,,,,,4.0,,,,,,,
71,6,10.81,Marcelo Lomba do Nascimento,Palmeiras,26,2,M. Lomba,1,Marcelo Lomba,6.57,marcelo-lomba,https://s.glbimg.com/es/sde/f/2022/02/21/bd515cd514deb5197bb2faa8a721c8f7_FORMATO.png,68872,0.0,275,0.0,9.25,,1.0,,,,,,1.0,,,,,,2.0,,9.0,,,,
72,6,-0.63,Vinicius Santos Silva,Goiás,26,17,Vinicius,5,Vinicius,4.15,vinicius,https://s.glbimg.com/es/sde/f/2022/03/10/4b5dcfbcabc53f525f565f57f8050ed7_FORMATO.png,68917,-1.4,290,-0.53,2.22,3.0,1.0,,18.0,12.0,4.0,9.0,12.0,,,5.0,,116.0,,,,,,,
73,7,4.44,Eduardo Pereira Rodrigues,Palmeiras,26,25,Dudu,5,Dudu,12.25,dudu,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/02/21/f77c90a60a3c8354d3235d1b61be9208_FORMATO.png,68920,3.5,275,0.23,4.7,5.0,1.0,,18.0,9.0,13.0,16.0,46.0,3.0,4.0,4.0,,173.0,,,,,,,
74,7,1.46,Carlos Gilberto do Nascimento Silva,Corinthians,26,16,Gil,3,Gil,7.45,gil,https://s.glbimg.com/es/sde/f/2022/04/27/14ec5e5e1aa438191eb6e95781e175fb_FORMATO.png,68923,0.7,264,-0.64,4.38,1.0,2.0,,26.0,6.0,5.0,1.0,6.0,,,2.0,1.0,59.0,7.0,,,,,,
