,atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.minimo_para_valorizar,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PI,PP,PS,SG
62,André,André,68690,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2022/02/23/ee02dcfd3fef8bb6cb823ff266baa89a_FORMATO.png,14,2.54,8.34,André Felipe Ribeiro de Souza,0.0,5,4.95,24,andre,6,0.0,,2.0,,,,7.0,15.0,,5.0,18.0,,3.0,,,1.0,,33.0,,,
63,Bruno Silva,B. Silva,68698,Avaí,314,https://s.glbimg.com/es/sde/f/2022/02/23/7c8012647193d72e2db7ad4e887df99f_FORMATO.png,20,3.86,7.45,Bruno César Pereira da Silva,8.6,4,8.72,24,bruno-silva,7,1.13,,6.0,1.0,,,79.0,52.0,1.0,6.0,27.0,,,,,1.0,,125.0,,,
64,Eduardo,Eduardo,68708,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/07/12/defe5a5f9596bc80eb9f86efab5f5bcd_FORMATO.png,6,3.62,0.17,Carlos Eduardo de Oliveira Alves,-0.4,4,7.06,24,eduardo,7,-0.63,,1.0,,,,10.0,9.0,,6.0,10.0,2.0,,,,,,24.0,,,
65,Dodô,Dodô,68727,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2022/07/15/609e318b14a5b18020808dc34efd5bfa_FORMATO.png,2,3.0,5.1,José Rodolfo Pires Ribeiro,0.0,2,5.4,24,dodo,6,0.0,,,,,,4.0,,1.0,,1.0,,,,,,,5.0,,,
66,Camacho,Camacho,68770,Santos,277,https://s.glbimg.com/es/sde/f/2022/03/03/44a5a0d1669b56e3bc607727595c4751_FORMATO.png,14,1.66,0.76,Guilherme de Aguiar Camacho,0.6,4,3.62,24,camacho,6,0.06,,3.0,,,,26.0,17.0,1.0,,4.0,,,,,,,32.0,,,
67,Henrique Almeida,H. Almeida,68773,América-MG,327,https://s.glbimg.com/es/sde/f/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,17,3.15,4.17,Henrique Almeida Caixeta Nascentes,4.7,5,4.39,24,henrique-almeida,2,-0.53,,4.0,,,,12.0,19.0,10.0,9.0,7.0,1.0,4.0,,,7.0,,42.0,1.0,,
68,Nino Paraíba,N. Paraíba,68808,Ceará,354,https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png,19,2.44,5.87,Severino do Ramo Clementino da Silva,6.7,2,6.63,24,nino-paraiba,7,0.9,,6.0,,,,26.0,18.0,,3.0,16.0,,1.0,,,1.0,,167.0,,,5.0
69,Paulo Miranda,P. Miranda,68817,Juventude,286,https://s.glbimg.com/es/sde/f/2022/03/03/84da02cce1e593cb658cfcf2deef669d_FORMATO.png,12,1.04,-1.05,Jonathan Doin,-1.5,3,2.04,24,paulo-miranda,6,-0.24,,3.0,,,,12.0,11.0,2.0,2.0,5.0,,,,,,3.0,42.0,,,1.0
70,Renato Chaves,R. Chaves,68827,Juventude,286,https://s.glbimg.com/es/sde/f/2022/08/04/0bc83ac31c543274a27ef12ac1aae92c_FORMATO.png,0,0.0,4.74,Renato de Araújo Chaves Júnior,0.0,3,4.0,24,renato-chaves,7,0.0,,,,,,,,,,,,,,,,,,,,
71,Marcelo Lomba,M. Lomba,68872,Palmeiras,275,https://s.glbimg.com/es/sde/f/2022/02/21/bd515cd514deb5197bb2faa8a721c8f7_FORMATO.png,2,9.25,10.79,Marcelo Lomba do Nascimento,-1.0,1,6.57,24,marcelo-lomba,6,-2.04,,1.0,,9.0,,,,,,1.0,,,,,,,,,,2.0
72,Vinicius,Vinicius,68917,Goiás,290,https://s.glbimg.com/es/sde/f/2022/03/10/4b5dcfbcabc53f525f565f57f8050ed7_FORMATO.png,15,2.51,3.25,Vinicius Santos Silva,3.5,5,4.91,24,vinicius,7,-0.44,3.0,,,,,16.0,8.0,4.0,9.0,11.0,,,,,5.0,,110.0,,,
73,Dudu,Dudu,68920,Palmeiras,275,https://s.glbimg.com/es/sde/f/2022/02/21/f77c90a60a3c8354d3235d1b61be9208_FORMATO.png,23,4.9,4.34,Eduardo Pereira Rodrigues,4.2,5,12.36,24,dudu,7,-0.83,5.0,1.0,,,,18.0,9.0,12.0,12.0,42.0,3.0,4.0,,,4.0,,158.0,,,
74,Gil,Gil,68923,Corinthians,264,https://s.glbimg.com/es/sde/f/2022/04/27/14ec5e5e1aa438191eb6e95781e175fb_FORMATO.png,14,4.64,8.06,Carlos Gilberto do Nascimento Silva,9.3,3,8.63,24,gil,7,1.21,,1.0,,,,24.0,5.0,5.0,1.0,5.0,,,,,2.0,,55.0,,,7.0
75,Rafael,Rafael,68928,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2022/07/15/5f41e2711750955ef1b92db4d8efe3ae_FORMATO.png,0,0.0,5.99,Rafael Pires Monteiro,0.0,1,5.0,24,rafael,6,0.0,,,,,,,,,,,,,,,,,,,,
