"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","DE","SG","GS","CA","FD","FF","FS","G","I","PI","DS","FC","A","CV","FT","PP","GC","PS","PC"
"47",87863,2,262,"mei","7",19.1,20.8,4.68,13.25,2,NA,"arrascaeta","Arrascaeta","Arrascaeta","Giorgian Daniel de Arrascaeta Benedetti","https://s.glbimg.com/es/sde/f/2022/03/03/a391d0fd6a610a912b4e3c043afa2df9_FORMATO.png","Flamengo",NA,NA,NA,NA,1,3,8,1,1,24,5,2,1,NA,1,NA,NA,NA,NA
"48",87999,2,275,"mei","2",-0.1,7.53,-1.39,2.7,2,NA,"gustavo-scarpa","Gustavo Scarpa","G. Scarpa","Gustavo Henrique Furtado Scarpa","https://s.glbimg.com/es/sde/f/2022/02/21/7f4f870f8251e4f95ab6d372a22919c1_FORMATO.png","Palmeiras",NA,NA,NA,NA,4,1,3,NA,NA,23,1,2,NA,NA,NA,NA,NA,NA,NA
"49",63289,2,285,"mei","6",0,12.88,0,7.5,1,NA,"edenilson","Edenílson","Edenílson","Edenílson Andrade dos Santos","https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png","Internacional",NA,NA,NA,NA,1,1,3,NA,NA,5,2,3,NA,NA,1,NA,NA,NA,NA
"50",85931,2,280,"mei","6",0,7.27,0,3,1,NA,"hyoran","Hyoran","Hyoran","Hyoran Kaue Dalmoro","https://s.glbimg.com/es/sde/f/2022/02/21/43a05fa2efd0e95b4b3f0c4713721fe1_FORMATO.png","Bragantino",NA,NA,NA,NA,1,NA,NA,NA,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA
"51",93790,2,373,"mei","7",0.8,2.61,-1.22,-0.2,2,NA,"marlon-freitas","Marlon Freitas","M. Freitas","Marlon Rodrigues Freitas","https://s.glbimg.com/es/sde/f/2022/03/03/85a5271ee9f81358e6e4009139db31e5_FORMATO.png","Atlético-GO",NA,NA,NA,1,2,NA,NA,NA,NA,12,NA,2,NA,NA,NA,NA,NA,NA,NA
"52",38398,2,264,"mei","7",-0.9,6.44,-3.56,-0.9,1,NA,"renato-augusto","Renato Augusto","R. Augusto","Renato Soares de Oliveira Augusto","https://s.glbimg.com/es/sde/f/2021/08/06/35684e60fd3427c98c6ffec1cb51d7d5_FORMATO.png","Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA
"53",80196,2,356,"mei","7",7.3,9.8,-0.2,7.3,1,NA,"yago-pikachu","Yago Pikachu","Y. Pikachu","Glaybson Yago Souza Lisboa","https://s.glbimg.com/es/sde/f/2022/02/25/7edada6b72e8fcbde3456ae981abd02f_FORMATO.png","Fortaleza",NA,NA,NA,NA,NA,NA,3,1,NA,9,NA,1,NA,NA,1,1,NA,NA,NA
"54",50879,2,293,"mei","6",1.4,5.56,-1.24,1.35,2,NA,"marlos","Marlos","Marlos","Marlos Romero Bonfim","https://s.glbimg.com/es/sde/f/2022/02/21/5a0a36ab5f18930dc3a619724138d367_FORMATO.png","Athlético-PR",NA,NA,NA,NA,1,NA,2,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA
"55",100079,2,282,"mei","7",12.3,16.73,2.79,10.2,2,NA,"zaracho","Zaracho","Zaracho","Federico Matías Javier Zaracho","https://s.glbimg.com/es/sde/f/2021/04/23/ccb1d73771f04699045f78f794f4481d_FORMATO.png","Atlético-MG",NA,NA,NA,NA,1,3,NA,1,NA,7,4,1,1,NA,NA,NA,NA,NA,NA
"56",69705,2,276,"mei","6",0.5,6.29,-1.77,1.35,2,NA,"nikao","Nikão","Nikão","Maycon Vinícius Ferreira da Cruz","https://s.glbimg.com/es/sde/f/2022/03/01/6a7ca5b138f4ff481ca19603933a7507_FORMATO.png","São Paulo",NA,NA,NA,NA,2,NA,2,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
