,atletas.apelido,atletas.apelido_abreviado,atletas.slug,atletas.jogos_num,atletas.posicao_id,atletas.preco_num,atletas.clube_id,atletas.foto,atletas.status_id,atletas.nome,atletas.media_num,atletas.variacao_num,atletas.rodada_id,atletas.atleta_id,atletas.clube.id.full.name,atletas.pontos_num,atletas.minimo_para_valorizar,CA,DS,FC,PI,SG,CV,FF,FS,G,I,A,FD,PC,FT,PS,DE,GS,GC,PP,DP
624,Vitor Marinho,V. Marinho,vitor-marinho,0,2,2.0,263,https://s.glbimg.com/es/sde/f/2022/02/21/12dac2a5eae75e37ed96b625c3f97430_FORMATO.png,6,Vitor Marinho de Oliveira,0.0,0.0,38,109195,Botafogo,0.0,1.57,,,,,,,,,,,,,,,,,,,,
625,DG,DG,dg,1,2,0.74,263,https://s.glbimg.com/es/sde/f/2022/07/15/4de72f5f4587ade71270417865e896e9_FORMATO.png,6,Douglas da Silva Teixeira,-1.4,0.0,38,109199,Botafogo,0.0,0.06,1.0,,,9.0,,,,1.0,,,,,,,,,,,,
626,Gaspar,Gaspar,gaspar,2,5,0.91,314,https://s.glbimg.com/es/sde/f/2022/02/24/0d80a5040529214b0c4a7661c08a2b41_FORMATO.png,6,Luis Eduardo Gaspar Coelho,0.35,0.0,38,109240,Avaí,0.0,-0.41,,,,,,,1.0,,,1.0,,,,,,,,,,
627,Kawê,Kawê,kawe,2,5,0.73,280,https://s.glbimg.com/es/sde/f/2022/07/27/6543bbc4803f308d463fdd8b7470fc89_FORMATO.png,6,Kawê Ferreira Godoy Viana,-0.2,0.0,38,109246,Bragantino,0.0,0.75,,,2.0,2.0,,,,1.0,,1.0,,,,,,,,,,
628,Sammuel,Sammuel,sammuel,0,4,1.0,356,https://s.glbimg.com/es/sde/f/2022/05/12/34eebe02442f63e6c4eee4a972018bc8_FORMATO.png,6,Sammuel Queiroz de Freitas,0.0,0.0,38,109341,Fortaleza,0.0,0.8,,,,,,,,,,,,,,,,,,,,
629,Raul Gustavo,R. Gustavo,raul-gustavo,18,3,8.06,264,https://s.glbimg.com/es/sde/f/2022/04/27/2ec2dcd4fbfa5f682f9e2f993c93e57a_FORMATO.png,6,Raul Gustavo Pereira Bicalho,5.09,0.0,38,109389,Corinthians,0.0,3.33,2.0,28.0,12.0,99.0,8.0,,4.0,18.0,2.0,,1.0,1.0,1.0,,,,,,,
630,Weverson,Weverson,weverson,1,2,3.08,280,https://s.glbimg.com/es/sde/f/2022/05/05/73de6346549a47db6b8bf37e5f4f06fa_FORMATO.png,6,Weverson Moreira da Costa,1.0,0.0,38,109426,Bragantino,0.0,2.38,,1.0,,2.0,,,,,,,,,,,,,,,,
631,Calebe,Calebe,calebe,13,4,2.01,282,https://s.glbimg.com/es/sde/f/2022/07/15/e69dad49448e6f72e73ce364b1459be9_FORMATO.png,6,Calebe Gonçalves Ferreira da Silva,1.29,0.0,38,109461,Atlético-MG,0.0,0.26,1.0,10.0,4.0,17.0,,,1.0,11.0,,,,2.0,,,,,,,,
632,Marcos Leonardo,M. Leonardo,marcos-leonardo,33,5,12.45,277,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/03/03/70c0680cfe4346861b4db5ebeba1fdbd_FORMATO.png,7,Marcos Leonardo Santos Almeida,5.46,0.16,38,109497,Santos,1.9,1.98,8.0,9.0,34.0,87.0,,,36.0,80.0,12.0,23.0,2.0,19.0,,,1.0,,,,,
633,Joaquim,Joaquim,joaquim,25,3,5.72,1371,https://s.glbimg.com/es/sde/f/2021/06/04/9af680e828bdcbc3a28ff0dbfc34f2e5_FORMATO.png,7,Joaquim Henrique Pereira Silva,4.07,0.88,38,109563,Cuiabá,6.6,1.73,4.0,47.0,26.0,116.0,5.0,,13.0,20.0,1.0,1.0,1.0,6.0,,1.0,,,,,,
634,Martinelli,Martinelli,martinelli,27,4,4.46,266,https://s.glbimg.com/es/sde/f/2022/04/20/d62bf91da00804290e9991da9ebe56a2_FORMATO.png,7,Matheus Martinelli Lima,1.82,0.59,38,109573,Fluminense,3.5,0.31,1.0,26.0,24.0,129.0,,,9.0,6.0,1.0,,3.0,5.0,,,,,,,,
635,Davi Araújo,D. Araújo,davi-araujo,0,5,3.0,293,https://s.sde.globo.com/media/person_role/2022/10/16/photo_FORMATO.png,6,Davi Machado dos Santos Araújo,0.0,0.0,38,109626,Athlético-PR,0.0,2.34,,,,,,,,,,,,,,,,,,,,
636,Gabriel Novaes,G. Novaes,gabriel-novaes,13,5,3.07,280,https://s.glbimg.com/es/sde/f/2022/05/05/f9a266e73e23a467f58f96fac79380bc_FORMATO.png,7,Gabriel Novaes Fernandes,1.11,0.14,38,109639,Bragantino,1.3,0.74,2.0,2.0,7.0,16.0,,,2.0,10.0,1.0,3.0,,2.0,,,1.0,,,,,
637,Marcinho,Marcinho,marcinho,1,6,9.33,280,https://s.sde.globo.com/media/person_role/2022/11/11/photo_FORMATO.png,7,Márcio Miranda Freitas Rocha da Silva,2.63,-1.63,38,109667,Bragantino,2.63,5.09,,,,,,,,,,,,,,,,,,,,
638,Hugo,Hugo,hugo,16,2,6.16,263,https://s.glbimg.com/es/sde/f/2022/02/21/55a04cd7d976a348bbe092c252b13d06_FORMATO.png,6,Hugo Gonçalves Ferreira Neto,3.61,0.0,38,109668,Botafogo,0.0,5.67,4.0,36.0,19.0,126.0,4.0,1.0,5.0,11.0,1.0,,,2.0,,,,,,,,
639,Derick,Derick,derick,1,3,0.75,277,https://s.sde.globo.com/media/person_role/2022/03/03/d391d84eadb0b86037667ee4e4a950c6_FORMATO.png,6,Derick Fernando da Silva,0.0,0.0,38,109830,Santos,0.0,0.15,,,,,,,,,,,,,,,,,,,,
640,Juan Díaz,J. Díaz,juan-diaz,4,4,3.42,294,https://s.glbimg.com/es/sde/f/2022/08/10/3f0cb79829f9359fe414edd3876f0bbd_FORMATO.png,7,Juan Carlos Díaz Mena,1.45,0.33,38,109967,Coritiba,3.6,1.56,,4.0,2.0,2.0,,,1.0,2.0,,,,,,,,,,,,
641,Bryan García,B. García,bryan-garcia,6,4,1.67,293,https://s.glbimg.com/es/sde/f/2022/03/03/de27fadbce4a716ee83274374641cf71_FORMATO.png,6,Bryan Jahir García Realpe,0.37,0.1,38,110013,Athlético-PR,0.8,-0.36,1.0,2.0,3.0,17.0,,,3.0,2.0,,,,,,,,,,,,
642,Vitinho,Vitinho,vitinho,0,5,1.0,263,https://s.glbimg.com/es/sde/f/2022/02/21/06f62207594681a2c0cf91f05c7c0ee9_FORMATO.png,6,João Victor Vaz Lopes Pinto,0.0,0.0,38,110235,Botafogo,0.0,0.8,,,,,,,,,,,,,,,,,,,,
643,Gabriel Pereira,G. Pereira,gabriel-pereira,0,1,1.0,293,https://s.glbimg.com/es/sde/f/2022/03/08/7f21f0709f996419a0abebf800f4078d_FORMATO.png,6,Gabriel Roberto Pereira,0.0,0.0,38,110251,Athlético-PR,0.0,0.8,,,,,,,,,,,,,,,,,,,,
644,Zabala,Zabala,zabala,0,3,1.0,277,https://s.glbimg.com/es/sde/f/2022/07/16/98a84acb922f587144fe391c3ad8548d_FORMATO.png,6,Leonardo Yassir Zabala Ceballos,0.0,0.0,38,110264,Santos,0.0,0.8,,,,,,,,,,,,,,,,,,,,
645,Ângelo,Ângelo,angelo,25,5,5.2,277,https://s.glbimg.com/es/sde/f/2022/03/03/e0ca88eb8ab327b605082617a24e69fc_FORMATO.png,7,Ângelo Gabriel Borges Damaceno,2.81,-0.08,38,110415,Santos,0.4,1.48,5.0,19.0,19.0,132.0,,,7.0,32.0,1.0,2.0,6.0,9.0,,,1.0,,,,,
646,Daniel Cabral,D. Cabral,daniel-cabral,1,4,1.5,262,https://s.glbimg.com/es/sde/f/2021/04/26/a2187a2c57635b43ffbb1a653c278c0c_FORMATO.png,5,Daniel Cabral de Oliveira,0.0,0.0,38,110465,Flamengo,0.0,0.23,,,,,,,,,,,,,,,,,,,,
647,Abel Ferreira,A. Ferreira,abel-ferreira,36,6,13.47,275,https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,7,Abel Fernando Moreira Ferreira,6.0,-0.54,38,110506,Palmeiras,2.3,6.55,,,,,,,,,,,,,,,,,,,,
648,Andrés,Andrés,andres,8,4,3.33,276,https://s.glbimg.com/es/sde/f/2022/04/06/8155059fe14b7ffca7314dd757501fb1_FORMATO.png,6,Andrés Felipe Colorado Sánchez,1.66,0.0,38,110517,São Paulo,0.0,2.34,,14.0,10.0,18.0,,,1.0,1.0,,,,,,,,,,,,
649,Caetano,Caetano,caetano,0,4,1.0,280,https://s.sde.globo.com/media/person_role/2022/11/02/photo_FORMATO.png,6,Gabriel Caetano Godoy de Andrade,0.0,0.0,38,110587,Bragantino,0.0,0.8,,,,,,,,,,,,,,,,,,,,
650,Paulo Mazoti,P. Mazoti,paulo-mazoti,0,1,1.0,277,https://s.glbimg.com/es/sde/f/2022/03/03/acc0c5c373b2459a4b3a99ca631b2775_FORMATO.png,6,Paulo Mazoti Azevedo,0.0,0.0,38,110602,Santos,0.0,0.8,,,,,,,,,,,,,,,,,,,,
651,Vinícius Balieiro,V. Balieiro,vinicius-balieiro,5,4,2.68,277,https://s.glbimg.com/es/sde/f/2022/03/03/d8455afbc745b2638a289c64ff3b1231_FORMATO.png,6,Vinícius Balieiro Lourenço de Carvalho,0.42,0.18,38,110605,Santos,1.5,0.28,,2.0,2.0,7.0,,,,2.0,,,,,,,,,,,,
652,Gabriel Pirani,G. Pirani,gabriel-pirani,13,4,2.19,1371,https://s.glbimg.com/es/sde/f/2022/06/14/d526d926c095a507d46bffb0eb46a9a2_FORMATO.png,6,Gabriel Cordeiro Pirani,1.38,0.0,38,110607,Cuiabá,0.0,0.41,1.0,7.0,8.0,31.0,,,4.0,5.0,1.0,1.0,,2.0,,,,,,,,
653,João Vitor ,J. Vitor,joao-vitor,1,5,0.95,294,https://s.glbimg.com/es/sde/f/2022/07/20/7bccf9ad74a80091d1b36d98ea99d7c4_FORMATO.png,6,João Vitor Moreira dos Santos,0.5,0.0,38,110623,Coritiba,0.0,0.91,,,,,,,,1.0,,,,,,,,,,,,
654,Mateus,Mateus,mateus,0,1,1.0,275,https://s.glbimg.com/es/sde/f/2020/11/17/cad91db445a56f21c99b495b2b88f8c9_FORMATO.jpeg,6,Mateus Oliveira Mendes,0.0,0.0,38,110624,Palmeiras,0.0,0.8,,,,,,,,,,,,,,,,,,,,
655,Luiz Filipe,L. Filipe,luiz-filipe,2,5,2.2,290,https://s.glbimg.com/es/sde/f/2022/04/04/4fbf3f540f0b2318baeb2e270960d418_FORMATO.png,5,Luiz Filipe dos Reis Silva,1.2,0.0,38,110632,Goiás,0.0,2.51,1.0,2.0,1.0,2.0,,,,1.0,,,,,,,1.0,,,,,
656,Mycael,Mycael,mycael,0,1,1.0,293,https://s.glbimg.com/es/sde/f/2021/04/14/98c652f250d877eb7675405f476eed48_FORMATO.png,6,Mycael Pontes Moreira,0.0,0.0,38,110698,Athlético-PR,0.0,0.8,,,,,,,,,,,,,,,,,,,,
657,Pedro Rangel,P. Rangel,pedro-rangel,0,1,1.0,266,https://s.glbimg.com/es/sde/f/2022/02/24/42afa9891ec69bb753c76f8d746939a9_FORMATO.png,6,Pedro Felipe De Faria Rangel,0.0,0.0,38,110708,Fluminense,0.0,0.8,,,,,,,,,,,,,,,,,,,,
658,Andrés Hurtado,A. Hurtado,andres-hurtado,14,2,3.64,280,https://s.glbimg.com/es/sde/f/2022/05/05/495e0cd517eacede744f14fefa06d6d5_FORMATO.png,6,José Andrés Hurtado Cheme,1.76,0.0,38,110715,Bragantino,0.0,1.63,1.0,8.0,5.0,53.0,2.0,,1.0,4.0,,1.0,2.0,1.0,1.0,,,,,,,
659,Rubens,Rubens,rubens,27,4,6.0,282,https://s.glbimg.com/es/sde/f/2022/07/15/9989ff0866e098e75612215994b912fc_FORMATO.png,6,Rubens Antônio Dias,3.35,-0.52,38,110727,Atlético-MG,0.7,4.2,3.0,62.0,26.0,98.0,,,13.0,18.0,1.0,,,5.0,,1.0,,,,,,
660,John Kennedy,J. Kennedy,john-kennedy,6,5,2.57,266,https://s.glbimg.com/es/sde/f/2021/08/19/b1b9b8fc3e7ba9cdea447bad10b25ded_FORMATO.png,6,John Kennedy Batista de Souza,0.55,0.0,38,110759,Fluminense,0.0,1.75,3.0,1.0,5.0,7.0,,,4.0,1.0,,,,3.0,,,,,,,,
661,Marcão,Marcão,marcao,0,1,1.0,294,https://s.glbimg.com/es/sde/f/2022/02/23/9af5466c91b9b05942f53c8d397eea94_FORMATO.png,6,Marco Antônio Amorim de Oliveira Montes,0.0,0.0,38,110775,Coritiba,0.0,0.8,,,,,,,,,,,,,,,,,,,,
662,Kayque,Kayque,kayque,6,4,2.33,263,https://s.glbimg.com/es/sde/f/2022/02/21/3fbe1cef2d382595fb0c6dcbfd12c096_FORMATO.png,5,Kayque Luiz Pereira,2.72,0.0,38,110962,Botafogo,0.0,1.42,3.0,5.0,8.0,25.0,,,3.0,11.0,1.0,1.0,,2.0,,,,,,,,
663,Breno,Breno,breno,0,1,1.0,373,https://s.glbimg.com/es/sde/f/2021/04/20/f8adf8de4a79345e0b300d60c1ac6d67_FORMATO.png,6,Breno Boeno,0.0,0.0,38,110988,Atlético-GO,0.0,0.8,,,,,,,,,,,,,,,,,,,,
664,Samuel Granada,S. Granada,samuel-granada,0,5,3.0,266,https://s.glbimg.com/es/sde/f/2022/04/05/020e09ce97d6353b30b115f5779603f3_FORMATO.png,6,Samuel Salustiano de Jesus Silva,0.0,0.0,38,110994,Fluminense,0.0,2.34,,,,,,,,,,,,,,,,,,,,
665,Pedrinho,Pedrinho,pedrinho,20,2,4.89,293,https://s.glbimg.com/es/sde/f/2021/10/04/a4618559793af2d381a5aafe03c3616a_FORMATO.png,6,Pedro Henrique Azevedo Pereira,3.64,0.85,38,110995,Athlético-PR,5.9,0.88,4.0,25.0,20.0,144.0,10.0,,3.0,8.0,,1.0,2.0,1.0,,,,,,,,
666,Robson,Robson,robson,0,1,1.0,327,https://s.glbimg.com/es/sde/f/2021/06/04/4ae813551a7112d688190602a630a0b1_FORMATO.png,6,Robson Luiz dos Santos Nascimento,0.0,0.0,38,111172,América-MG,0.0,0.8,,,,,,,,,,,,,,,,,,,,
667,Marcio Silva,M. Silva,marcio-silva,2,3,2.32,294,https://s.glbimg.com/es/sde/f/2022/02/23/0c18ff9c752df4675973a030dcc63c55_FORMATO.png,6,Marcio Gleyson Leite da Silva,3.75,0.0,38,111204,Coritiba,0.0,1.87,,1.0,,2.0,1.0,,,3.0,,,,,,,,,,,,
668,Kelvi,Kelvi,kelvi,1,4,0.86,286,https://s.glbimg.com/es/sde/f/2022/03/03/d27c52d692c0df1d01ecb1f7a298b40a_FORMATO.png,5,Kelvi Chiesa Gomes,0.7,-0.14,38,111332,Juventude,0.7,0.8,,,1.0,,,,,2.0,,,,,,,,,,,,
669,Sorriso,Sorriso,sorriso,29,5,4.74,280,https://s.glbimg.com/es/sde/f/2022/05/05/7924434ef39a0546d8ad7fa23ca14168_FORMATO.png,3,Marcos Vinicios Moura,2.04,0.0,38,111333,Bragantino,0.0,-0.16,3.0,25.0,22.0,121.0,,,6.0,30.0,2.0,1.0,1.0,8.0,,,,,,,,
670,Vitinho,Vitinho,vitinho,6,4,2.24,314,https://s.sde.globo.com/media/person_role/2022/04/14/a3b3acd682ad4df74865ef90e9e309f1_FORMATO.png,6,Victor Júlio Alves de Paula,2.62,0.0,38,111402,Avaí,0.0,5.41,1.0,3.0,2.0,14.0,,,1.0,14.0,,1.0,1.0,2.0,,,,,,,,
671,Felipe Augusto,F. Augusto,felipe-augusto,3,5,1.47,264,https://s.glbimg.com/es/sde/f/2022/04/27/0397eababa104f1f3a03d140431a5223_FORMATO.png,6,Felipe Augusto da Silva,0.27,0.0,38,111408,Corinthians,0.0,1.31,,,4.0,,,,,4.0,,,,,,,,,,,,
672,Igor,Igor,igor,0,2,2.0,314,https://s.glbimg.com/es/sde/f/2022/02/23/e2415bc46c8e600866f7be1d673bee12_FORMATO.png,6,Igor da Silva Dutra,0.0,0.0,38,111413,Avaí,0.0,1.57,,,,,,,,,,,,,,,,,,,,
673,Biel,Biel,biel,5,4,0.96,294,https://s.glbimg.com/es/sde/f/2022/02/23/5b82464e99f850761874b4e2c46b1b14_FORMATO.png,6,Luiz Gabriel de Oliveira Fonseca,1.26,0.0,38,111491,Coritiba,0.0,-0.17,,4.0,1.0,10.0,,,1.0,4.0,,,,,,,,,,,,
674,David,David,david,1,4,1.49,354,https://s.glbimg.com/es/sde/f/2022/05/05/225815574b0c19408aa5038fe14b8eaa_FORMATO.png,6,Antônio David Souza Araújo,0.0,-0.51,38,111546,Ceará,0.0,1.57,,,,,,,,,,,,,,,,,,,,
675,António Oliveira,A. Oliveira,antonio-oliveira,28,6,7.8,1371,https://s.glbimg.com/es/sde/f/2021/04/27/21a131dcff78d521da3297e98526ce48_FORMATO.png,7,António José Cardoso de Oliveira,3.5,0.52,38,111578,Cuiabá,4.26,1.62,,,,,,,,,,,,,,,,,,,,
676,Adson,Adson,adson,23,4,7.42,264,https://s.glbimg.com/es/sde/f/2022/04/27/cbe4b4882cf981a4fee80eeb935042c8_FORMATO.png,5,Adson Ferreira Soares,3.41,0.0,38,111682,Corinthians,0.0,1.99,1.0,42.0,23.0,92.0,,,7.0,20.0,3.0,3.0,,5.0,,,,,,,,
677,Anthoni,Anthoni,anthoni,0,1,1.0,285,https://s.glbimg.com/es/sde/f/2022/04/02/d7662e4b332b33563f9ad8c3f24b42d2_FORMATO.png,6,Anthoni Spier Souza,0.0,0.0,38,111683,Internacional,0.0,0.8,,,,,,,,,,,,,,,,,,,,
678,Matheus Cadorini,M. Cadorini,matheus-cadorini,9,5,1.89,294,https://s.glbimg.com/es/sde/f/2022/08/12/765dd1479fd2906e4dfd2f4016ca724a_FORMATO.png,7,Matheus Alfredo Cadorini da Silva,1.64,0.06,38,111688,Coritiba,0.0,-0.15,1.0,3.0,5.0,23.0,,1.0,3.0,4.0,1.0,1.0,,3.0,,1.0,,,,,,
679,Bruno,Bruno,bruno,0,1,1.0,262,https://s.glbimg.com/es/sde/f/2021/04/26/74907e67d0b8f638b82487a83ed9b680_FORMATO.png,6,Bruno Guimarães de Souza,0.0,0.0,38,111689,Flamengo,0.0,0.8,,,,,,,,,,,,,,,,,,,,
680,Matheus Cunha,M. Cunha,matheus-cunha,0,1,2.0,262,https://s.glbimg.com/es/sde/f/2022/03/04/fe08cea4d131b5eef265a908bb05548b_FORMATO.png,6,Matheus Cunha Queiroz,0.0,0.0,38,111690,Flamengo,0.0,1.57,,,,,,,,,,,,,,,,,,,,
681,Mateusão,Mateusão,mateusao,8,5,0.74,262,https://s.glbimg.com/es/sde/f/2022/07/15/3cbccbd4f17ed4b3db0ccbfd0f3940ce_FORMATO.png,6,Mateus Dias Lima,0.11,0.0,38,111694,Flamengo,0.0,-0.58,1.0,1.0,2.0,11.0,,,,3.0,,1.0,,,,,1.0,,,,,
682,Mezenga,Mezenga,mezenga,4,3,3.32,263,https://s.glbimg.com/es/sde/f/2022/02/21/e36f8b0c42d297654c276a39b86f6e39_FORMATO.png,6,Lucas de Souza Mombra Rosa,3.8,0.0,38,111713,Botafogo,0.0,4.63,1.0,12.0,4.0,26.0,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,
683,Dudu,Dudu,dudu,2,2,0.74,286,https://s.sde.globo.com/media/person_role/2022/10/16/photo_FORMATO_6aYVUtG.png,7,Eduardo Kempf Schwade,0.55,-0.22,38,111721,Juventude,-0.2,1.23,,2.0,3.0,9.0,,,,1.0,,,,,,,,,,,,
684,Giovani,Giovani,giovani,2,5,1.56,275,https://s.glbimg.com/es/sde/f/2021/05/12/23eb0da8dd7617e2a4b7f8fcec2a625e_FORMATO.jpeg,6,Giovani Henrique Amorim da Silva,0.05,-0.55,38,111759,Palmeiras,-0.1,1.46,,,,4.0,,,,1.0,,,,,,,,,,,,
685,Fabinho,Fabinho,fabinho,4,4,1.4,275,https://s.glbimg.com/es/sde/f/2021/05/08/2ef9b9ce1e0f6cdb6db5c4e19367f01f_FORMATO.png,5,Fábio Silva de Freitas,0.78,0.0,38,111760,Palmeiras,0.0,0.05,1.0,4.0,4.0,3.0,,,1.0,,,,,,,,,,,,,
686,Henrique Halls,H. Halls,henrique-halls,0,3,2.0,280,https://s.glbimg.com/es/sde/f/2022/04/07/1002037b68cbfda80e62c668391f6be7_FORMATO.png,6,Henrique Halls Rocha da Silva,0.0,0.0,38,111791,Bragantino,0.0,1.57,,,,,,,,,,,,,,,,,,,,
687,Marcelinho,Marcelinho,marcelinho,0,5,1.0,266,,6,Marcelo Francine de Castro Feliciano,0.0,0.0,38,111798,Fluminense,0.0,0.8,,,,,,,,,,,,,,,,,,,,
688,Ewerton,Ewerton,ewerton,0,3,1.0,263,https://s.glbimg.com/es/sde/f/2022/03/21/fb5a3b78b8d0b4fc3f242bedfc3973fd_FORMATO.png,6,Ewerton Vinicios Santana Porto,0.0,0.0,38,111806,Botafogo,0.0,0.8,,,,,,,,,,,,,,,,,,,,
689,Ricardinho,Ricardinho,ricardinho,6,5,1.82,373,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/08/24/photo_FORMATO.png,6,Ricardo Viana Filho,0.32,0.0,38,111813,Atlético-GO,0.0,0.43,2.0,,4.0,10.0,,,3.0,3.0,,2.0,,2.0,,,,,,,,
690,Matheus Martins,M. Martins,matheus-martins,29,5,4.05,266,https://s.glbimg.com/es/sde/f/2022/04/20/f6b7d6073f1d67e5e9263e986f470c8b_FORMATO.png,7,Matheus Martins Silva dos Santos,3.46,-1.44,38,111831,Fluminense,1.0,9.69,2.0,22.0,19.0,125.0,,,20.0,41.0,3.0,13.0,5.0,7.0,,,2.0,,,,,
691,Gustavo Ramalho,G. Ramalho,gustavo-ramalho,0,1,1.0,266,https://s.glbimg.com/es/sde/f/2021/03/11/93f569dba64ea879ba52b815372f17f4_FORMATO.png,6,Gustavo Ramalho Bremer Pinto,0.0,0.0,38,111837,Fluminense,0.0,0.8,,,,,,,,,,,,,,,,,,,,
692,Marcos Pedro,M. Pedro,marcos-pedro,0,2,1.0,266,https://s.sde.globo.com/media/person_role/2021/03/15/cb04114b1d5bc74ee6571199d27144a8_220x220.png,6,Marcos Pedro Braga Maciel,0.0,0.0,38,111840,Fluminense,0.0,0.8,,,,,,,,,,,,,,,,,,,,
693,Guilherme Biro,G. Biro,guilherme-biro,1,4,2.73,264,https://s.glbimg.com/es/sde/f/2021/05/24/866cbcde80dc4cd9acca0a859f191aef_FORMATO.png,6,Guilherme Sucigan Mafra Cunha,3.6,0.0,38,111891,Corinthians,0.0,3.64,1.0,3.0,1.0,4.0,,,,1.0,,,,1.0,,,,,,,,
694,Davi,Davi,davi,0,3,1.0,266,https://s.glbimg.com/es/sde/f/2021/03/15/4d2ac6a99cd08c4871dd5a2f44c88e47_FORMATO.png,6,Davi Alves Soares,0.0,0.0,38,111896,Fluminense,0.0,0.8,,,,,,,,,,,,,,,,,,,,
695,João Victor,J. Victor,joao-victor,3,5,0.89,354,https://s.glbimg.com/es/sde/f/2021/05/24/c908392c2c080c709d4f8f7016d8bdbc_FORMATO.png,6,João Victor Vieira Ferreira Sousa,0.63,0.0,38,112060,Ceará,0.0,1.13,,,1.0,3.0,,,1.0,1.0,,,,1.0,,,,,,,,
696,Lucas Beraldo,L. Beraldo,lucas-beraldo,3,3,1.76,276,https://s.glbimg.com/es/sde/f/2022/06/16/9127f9a89d1824b04b612b5dff37ce7a_FORMATO.png,6,Lucas Lopes Beraldo,1.47,0.0,38,112136,São Paulo,0.0,1.69,,2.0,1.0,10.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
697,Gustavo Nescau,G. Nescau,gustavo-nescau,3,5,2.16,1371,https://s.glbimg.com/es/sde/f/2021/09/20/768f5f056c491ffcf62c7383073dfab2_FORMATO.png,6,Gustavo Henrique Alves Silva,-0.13,0.0,38,112327,Cuiabá,0.0,0.39,1.0,,,2.0,,,1.0,,,,,,,,,,,,,
698,Thalisson Gabriel,T. Gabriel,thalisson-gabriel,0,3,2.0,294,https://s.glbimg.com/es/sde/f/2022/02/23/b20b6fb1092b7873bd98294c5c3c0a7a_FORMATO.png,6,Thalisson Gabriel Pereira Moreira,0.0,0.0,38,112367,Coritiba,0.0,1.57,,,,,,,,,,,,,,,,,,,,
699,Bernardo,Bernardo,bernardo,18,4,2.45,294,https://s.glbimg.com/es/sde/f/2022/02/23/b2b2c421852c3e7501d00cc9bfa66b1c_FORMATO.png,6,Bernardo Marcos Pinheiro Lemes,1.53,0.0,38,112368,Coritiba,0.0,2.21,1.0,22.0,19.0,38.0,,,4.0,17.0,,1.0,,,,,,,,,,
700,Mateus Sarará,M. Sarará,mateus-sarara,7,4,3.56,314,https://s.glbimg.com/es/sde/f/2022/08/13/fcbeec943d01634745cbf0c7d6f55ded_FORMATO.png,6,Mateus Ferreira,2.07,0.0,38,112379,Avaí,0.0,7.07,2.0,6.0,6.0,25.0,,,2.0,8.0,1.0,,,,,,,,,,,
701,Daniel Cruz,D. Cruz,daniel-cruz,2,5,0.76,263,https://s.glbimg.com/es/sde/f/2022/06/16/cdbadf012a6d22cee8d65486394e73c6_FORMATO.png,6,Daniel dos Santos da Cruz,0.5,0.0,38,112734,Botafogo,0.0,0.3,,1.0,,2.0,,,,,,,,,,,,,,,,
702,Gustavo Santos,G. Santos,gustavo-santos,1,5,1.65,314,https://s.glbimg.com/es/sde/f/2022/02/24/9a793f8d88106ebaa9639f638c89bc0b_FORMATO.png,6,Gustavo Santos Simões da Silva,0.9,0.0,38,112831,Avaí,0.0,1.27,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,
703,Lucas Barbosa,L. Barbosa,lucas-barbosa,26,4,3.13,277,https://s.glbimg.com/es/sde/f/2022/03/03/9fba085c9e9d64ca30ffb16b75fe7013_FORMATO.png,6,Lucas Henrique Barbosa,2.77,0.06,38,112886,Santos,0.9,0.99,2.0,38.0,26.0,82.0,,1.0,10.0,28.0,2.0,4.0,1.0,4.0,,,,,,,,
704,Werton,Werton,werton,2,5,2.83,262,https://s.glbimg.com/es/sde/f/2021/06/19/ef0c62669467b83c39e54ee5c4e1bb43_FORMATO.png,6,Werton de Almeida Rêgo,3.75,0.0,38,112984,Flamengo,0.0,7.04,,,1.0,2.0,,,,,1.0,,,,,,,,,,,
705,Osorio,Osorio,osorio,18,4,1.61,1371,https://s.glbimg.com/es/sde/f/2022/02/23/e978cacf512124a39a2efe2b6b5d8164_FORMATO.png,6,Kelvin David Osorio Antury,0.79,0.1,38,113010,Cuiabá,0.0,-0.39,2.0,19.0,18.0,103.0,,,7.0,5.0,,2.0,,2.0,1.0,,,,,,,
706,Rafael William,R. William,rafael-william,5,1,0.75,294,https://s.glbimg.com/es/sde/f/2022/02/23/01d937c575c9690929ef3bab4767be65_FORMATO.png,6,Rafael William Dias Pinheiro,2.4,0.0,38,113061,Coritiba,0.0,-2.48,1.0,,,,,,,,,,1.0,,1.0,,,20.0,11.0,,,
707,José López,J. López,jose-lopez,12,5,5.21,275,https://s.glbimg.com/es/sde/f/2022/07/29/349a28cc97984c08a33af444427271d7_FORMATO.png,6,José Manuel Alberto López,2.81,-2.51,38,113103,Palmeiras,-2.0,12.81,3.0,6.0,7.0,30.0,,,7.0,6.0,2.0,7.0,,9.0,,,,,,,,
