,atletas.clube_id,atletas.preco_num,atletas.pontos_num,atletas.media_num,atletas.apelido,atletas.status_id,atletas.rodada_id,atletas.slug,atletas.posicao_id,atletas.jogos_num,atletas.foto,atletas.variacao_num,atletas.nome,atletas.atleta_id,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.apelido_abreviado,A,CA,DS,FC,FD,FF,FS,FT,G,I,PI,PP,DE,DP,GC,GS,PC,SG,CV,PS
57,263,5.0,0.0,0.0,Carlinhos,6,37,carlinhos,2,0,https://s.glbimg.com/es/sde/f/2022/02/21/800bc92dcc8691cf1bb118132ac62fbc_FORMATO.png,0.0,Carlos Emiliano Pereira,63194,Botafogo,,Carlinhos,,,,,,,,,,,,,,,,,,,,
58,285,10.27,0.0,3.53,Edenílson,6,37,edenilson,4,30,https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png,0.0,Edenílson Andrade dos Santos,63289,Internacional,,Edenílson,3.0,3.0,32.0,17.0,6.0,14.0,22.0,2.0,5.0,1.0,154.0,,,,,,,,,1.0
59,285,6.73,0.0,4.03,Rodrigo Moledo,3,37,rodrigo-moledo,3,18,https://s.glbimg.com/es/sde/f/2022/04/02/a672a123ec8d7b626a7c7aad1211dc94_FORMATO.png,0.0,Rodrigo Modesto da Silva Moledo,63354,Internacional,,R. Moledo,,2.0,23.0,6.0,5.0,6.0,9.0,,,1.0,26.0,,,,,,,7.0,,1.0
60,285,8.97,0.0,4.49,Alan Patrick,3,37,alan-patrick,4,25,https://s.glbimg.com/es/sde/f/2022/04/12/d0f45ab083d12ecd860e02a9bf048379_FORMATO.png,0.0,Alan Patrick Lourenço,68685,Internacional,,A. Patrick,4.0,2.0,13.0,19.0,17.0,15.0,41.0,,6.0,1.0,126.0,1.0,,,,,,,,
61,314,7.58,2.1,3.42,Bruno Silva,6,37,bruno-silva,4,30,https://s.glbimg.com/es/sde/f/2022/02/23/7c8012647193d72e2db7ad4e887df99f_FORMATO.png,-0.18,Bruno César Pereira da Silva,68698,Avaí,,B. Silva,1.0,11.0,99.0,71.0,3.0,8.0,36.0,1.0,,1.0,171.0,,,,,,,,1.0,
62,263,9.85,0.0,4.95,Eduardo,6,37,eduardo,4,14,https://s.glbimg.com/es/sde/f/2022/07/12/defe5a5f9596bc80eb9f86efab5f5bcd_FORMATO.png,0.0,Carlos Eduardo de Oliveira Alves,68708,Botafogo,,Eduardo,1.0,3.0,21.0,21.0,1.0,12.0,28.0,2.0,3.0,,64.0,,,,,,,,,
63,282,5.89,5.3,4.38,Dodô,7,37,dodo,2,12,https://s.glbimg.com/es/sde/f/2022/07/15/609e318b14a5b18020808dc34efd5bfa_FORMATO.png,0.61,José Rodolfo Pires Ribeiro,68727,Atlético-MG,,Dodô,,1.0,19.0,9.0,1.0,4.0,5.0,,1.0,1.0,63.0,,,,,,,5.0,,
64,277,3.96,1.3,2.09,Camacho,7,37,camacho,4,24,https://s.glbimg.com/es/sde/f/2022/03/03/44a5a0d1669b56e3bc607727595c4751_FORMATO.png,0.3,Guilherme de Aguiar Camacho,68770,Santos,,Camacho,,7.0,49.0,35.0,3.0,1.0,6.0,,1.0,,69.0,,,,,,,,,
65,327,3.87,0.7,2.74,Henrique Almeida,2,37,henrique-almeida,5,27,https://s.glbimg.com/es/sde/f/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,-1.36,Henrique Almeida Caixeta Nascentes,68773,América-MG,,H. Almeida,,8.0,15.0,33.0,17.0,19.0,12.0,1.0,5.0,13.0,64.0,1.0,,,,,,,,1.0
66,354,5.89,-0.1,2.68,Nino Paraíba,7,37,nino-paraiba,2,30,https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png,0.17,Severino do Ramo Clementino da Silva,68808,Ceará,,N. Paraíba,1.0,11.0,48.0,31.0,1.0,7.0,42.0,,1.0,1.0,283.0,,,,,,,6.0,,1.0
67,286,1.78,0.0,0.47,Paulo Miranda,6,37,paulo-miranda,3,18,https://s.glbimg.com/es/sde/f/2022/03/03/84da02cce1e593cb658cfcf2deef669d_FORMATO.png,0.0,Jonathan Doin,68817,Juventude,,P. Miranda,,5.0,13.0,13.0,3.0,2.0,7.0,,,,62.0,,,,1.0,,3.0,1.0,,
68,286,3.2,0.0,1.45,Renato Chaves,5,37,renato-chaves,3,2,https://s.glbimg.com/es/sde/f/2022/08/04/0bc83ac31c543274a27ef12ac1aae92c_FORMATO.png,0.0,Renato de Araújo Chaves Júnior,68827,Juventude,,R. Chaves,,,1.0,1.0,2.0,,,,,,4.0,,,,,,,,,
69,275,7.77,0.0,8.83,Marcelo Lomba,7,37,marcelo-lomba,1,3,https://s.glbimg.com/es/sde/f/2022/02/21/bd515cd514deb5197bb2faa8a721c8f7_FORMATO.png,0.0,Marcelo Lomba do Nascimento,68872,Palmeiras,,M. Lomba,,1.0,,,,,1.0,,,,,,12.0,,,,,3.0,,
70,290,4.82,0.0,2.94,Vinicius,7,37,vinicius,5,23,https://s.glbimg.com/es/sde/f/2022/03/10/4b5dcfbcabc53f525f565f57f8050ed7_FORMATO.png,0.0,Vinicius Santos Silva,68917,Goiás,,Vinicius,4.0,1.0,24.0,16.0,6.0,13.0,17.0,,2.0,6.0,167.0,,,,,,,,,
71,275,12.55,3.4,5.19,Dudu,7,37,dudu,5,35,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/02/21/f77c90a60a3c8354d3235d1b61be9208_FORMATO.png,-0.39,Eduardo Pereira Rodrigues,68920,Palmeiras,,Dudu,8.0,2.0,28.0,12.0,16.0,25.0,60.0,4.0,7.0,4.0,233.0,,,,,,,,,
72,264,8.01,0.0,3.96,Gil,2,37,gil,3,21,https://s.glbimg.com/es/sde/f/2022/04/27/14ec5e5e1aa438191eb6e95781e175fb_FORMATO.png,0.0,Carlos Gilberto do Nascimento Silva,68923,Corinthians,,Gil,1.0,2.0,29.0,7.0,5.0,3.0,6.0,,,2.0,77.0,,,,,,1.0,9.0,,
73,282,4.95,0.0,7.0,Rafael,6,37,rafael,1,1,https://s.glbimg.com/es/sde/f/2022/07/15/5f41e2711750955ef1b92db4d8efe3ae_FORMATO.png,0.0,Rafael Pires Monteiro,68928,Atlético-MG,,Rafael,,,,,,,,,,,,,2.0,,,,,1.0,,
74,294,5.8,-0.5,2.59,Luciano Castán,7,37,luciano-castan,3,32,https://s.glbimg.com/es/sde/f/2022/02/23/26b6a7aa27f2be0fabc25b57132d892c_FORMATO.png,-1.14,Luciano Castán da Silva,68942,Coritiba,,L. Castán,,7.0,39.0,27.0,,7.0,18.0,,2.0,1.0,160.0,,,,,,,8.0,1.0,
75,262,7.68,0.0,5.08,Marinho,6,37,marinho,5,22,https://s.glbimg.com/es/sde/f/2022/04/25/b4786e494c8f4852f2ae91d6e0c57b2e_FORMATO.png,0.0,Mário Sérgio Santos Costa,68952,Flamengo,,Marinho,5.0,5.0,19.0,20.0,9.0,21.0,63.0,1.0,3.0,5.0,107.0,,,,,,,,1.0,2.0
