,atletas.pontos_num,atletas.preco_num,atletas.nome,atletas.posicao_id,atletas.foto,atletas.rodada_id,atletas.slug,atletas.apelido_abreviado,atletas.apelido,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.clube_id,atletas.status_id,atletas.jogos_num,atletas.variacao_num,atletas.media_num,CA,DS,FC,FD,FF,FS,PI,SG,A,G,I,FT,DE,GS,GC,PP,CV,DP,PC,PS
48,-0.5,2.8,Róbson Michael Signorini,4,https://s.glbimg.com/es/sde/f/2022/02/23/252fa0c71255ea5a7be0a2efc493fe21_FORMATO.png,28,robinho,Robinho,Robinho,Coritiba,-0.24,62104,294,6,16,-0.51,1.15,2.0,14.0,10.0,,3.0,11.0,113.0,,2.0,,1.0,,,,,,,,,
49,0.3,3.78,Taison Barcellos Freda,4,https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png,28,taison,Taison,Taison,Internacional,0.44,62114,285,6,13,-0.1,1.68,5.0,9.0,6.0,4.0,5.0,15.0,33.0,,1.0,,2.0,,,,,,,,,
50,0.0,2.46,Wellington Aparecido Martins,4,https://s.glbimg.com/es/sde/f/2022/04/20/f9f602ab78e260f4c89819ce72f7a39d_FORMATO.png,28,wellington,Wellington,Wellington,Fluminense,-0.38,62129,266,6,11,0.0,0.58,2.0,7.0,9.0,,,5.0,47.0,,1.0,,,,,,,,,,,
51,0.0,1.69,William Matheus da Silva,2,https://s.glbimg.com/es/sde/f/2022/03/03/88174fca01439ff40caf28ad081a8fa6_FORMATO.png,28,william-matheus,W. Matheus,William Matheus,Juventude,0.13,62130,286,6,13,-0.2,0.8,4.0,9.0,10.0,2.0,4.0,6.0,80.0,2.0,,,,,,,,,1.0,,2.0,
52,0.0,8.0,Alan Douglas Borges de Carvalho,5,https://s.glbimg.com/es/sde/f/2022/06/23/187dc58be092ec53908581d6f65fb635_FORMATO.png,28,alan,Alan,Alan,Fluminense,2.68,62969,266,6,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
53,-0.5,6.89,Paulo Henrique Chagas de Lima,4,https://s.sde.globo.com/media/person_role/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png,28,ganso,Ganso,Ganso,Fluminense,-0.19,62977,266,7,24,-1.68,3.67,4.0,26.0,15.0,3.0,5.0,35.0,175.0,,4.0,4.0,,2.0,,,,,,,,
54,7.4,10.57,Marcos Luis Rocha Aquino,2,https://s.glbimg.com/es/sde/f/2022/02/21/b5c3422a508001c1776995c43b20fdff_FORMATO.png,28,marcos-rocha,M. Rocha,Marcos Rocha,Palmeiras,6.66,63013,275,7,18,-0.17,6.59,2.0,57.0,16.0,,1.0,12.0,209.0,10.0,4.0,,,,,,,,,,,1.0
55,0.0,6.92,Willian Roberto Farias,4,https://s.glbimg.com/es/sde/f/2022/02/23/3b24fb4ac7b26a6349acb31a2578de4c_FORMATO.png,28,willian-farias,W. Farias,Willian Farias,Coritiba,2.06,63058,294,5,18,0.0,2.63,6.0,42.0,11.0,,4.0,22.0,79.0,,,,,,,,,,,,,
56,0.0,3.49,Paulo Marcos de Jesus Ribeiro,3,https://s.glbimg.com/es/sde/f/2022/02/23/962044a3dba4ade297a566c4d7f73d40_FORMATO.png,28,paulao,Paulão,Paulão,Cuiabá,-3.3,63172,1371,7,10,0.0,1.58,,4.0,6.0,1.0,2.0,,30.0,4.0,,,,,,,1.0,,1.0,,1.0,
57,0.0,5.0,Carlos Emiliano Pereira,2,https://s.glbimg.com/es/sde/f/2022/02/21/800bc92dcc8691cf1bb118132ac62fbc_FORMATO.png,28,carlinhos,Carlinhos,Carlinhos,Botafogo,1.74,63194,263,6,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
58,1.1,10.4,Edenílson Andrade dos Santos,4,https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png,28,edenilson,Edenílson,Edenílson,Internacional,1.41,63289,285,6,23,-0.23,3.87,3.0,25.0,15.0,6.0,12.0,18.0,131.0,,3.0,4.0,1.0,2.0,,,,,,,,1.0
