,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.posicao_id,atletas.clube_id,atletas.jogos_num,atletas.apelido,atletas.slug,atletas.nome,atletas.atleta_id,atletas.foto,atletas.status_id,atletas.media_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,A,CA,DS,FC,FD,FF,FS,PC,PI,SG,DE,GS,GC,FT,G,I,PP,CV,PS,DP
47,,0.0,4,1371,26,Rodriguinho,rodriguinho,Rodrigo Eduardo Costa Marinho,61033,https://s.glbimg.com/es/sde/f/2022/02/23/da202da4fb23bc636936f60651108982_FORMATO.png,7,2.75,30,Rodriguinho,Cuiabá,0.0,6.72,2.0,,12.0,13.0,10.0,15.0,23.0,,82.0,,,,,,3.0,6.0,,,,
48,,0.0,4,294,16,Robinho,robinho,Róbson Michael Signorini,62104,https://s.glbimg.com/es/sde/f/2022/02/23/252fa0c71255ea5a7be0a2efc493fe21_FORMATO.png,5,1.15,30,Robinho,Coritiba,0.0,2.8,2.0,2.0,14.0,10.0,,3.0,11.0,,113.0,,,,,,,1.0,,,,
49,,0.0,4,285,13,Taison,taison,Taison Barcellos Freda,62114,https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png,6,1.68,30,Taison,Internacional,0.0,3.78,1.0,5.0,9.0,6.0,4.0,5.0,15.0,,33.0,,,,,,,2.0,,,,
50,,0.0,4,266,11,Wellington,wellington,Wellington Aparecido Martins,62129,https://s.glbimg.com/es/sde/f/2022/04/20/f9f602ab78e260f4c89819ce72f7a39d_FORMATO.png,6,0.58,30,Wellington,Fluminense,0.0,2.46,1.0,2.0,7.0,9.0,,,5.0,,47.0,,,,,,,,,,,
51,,0.0,2,286,13,William Matheus,william-matheus,William Matheus da Silva,62130,https://s.glbimg.com/es/sde/f/2022/03/03/88174fca01439ff40caf28ad081a8fa6_FORMATO.png,6,0.8,30,W. Matheus,Juventude,0.0,1.69,,4.0,9.0,10.0,2.0,4.0,6.0,2.0,80.0,2.0,,,,,,,,1.0,,
52,,0.0,5,266,0,Alan,alan,Alan Douglas Borges de Carvalho,62969,https://s.glbimg.com/es/sde/f/2022/06/23/187dc58be092ec53908581d6f65fb635_FORMATO.png,6,0.0,30,Alan,Fluminense,0.0,8.0,,,,,,,,,,,,,,,,,,,,
53,,0.32,4,266,26,Ganso,ganso,Paulo Henrique Chagas de Lima,62977,https://s.sde.globo.com/media/person_role/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png,7,3.46,30,Ganso,Fluminense,1.9,7.3,4.0,4.0,27.0,16.0,3.0,5.0,37.0,,185.0,,,,,2.0,4.0,,,,1.0,
54,,0.26,2,275,20,Marcos Rocha,marcos-rocha,Marcos Luis Rocha Aquino,63013,https://s.glbimg.com/es/sde/f/2022/02/21/b5c3422a508001c1776995c43b20fdff_FORMATO.png,7,6.39,30,M. Rocha,Palmeiras,5.1,10.49,4.0,2.0,63.0,17.0,,1.0,13.0,,241.0,11.0,,,,,,,,,1.0,
55,,0.0,4,294,18,Willian Farias,willian-farias,Willian Roberto Farias,63058,https://s.glbimg.com/es/sde/f/2022/02/23/3b24fb4ac7b26a6349acb31a2578de4c_FORMATO.png,5,2.63,30,W. Farias,Coritiba,0.0,6.92,,6.0,42.0,11.0,,4.0,22.0,,79.0,,,,,,,,,,,
56,,0.0,3,1371,10,Paulão,paulao,Paulo Marcos de Jesus Ribeiro,63172,https://s.glbimg.com/es/sde/f/2022/02/23/962044a3dba4ade297a566c4d7f73d40_FORMATO.png,6,1.58,30,Paulão,Cuiabá,0.0,3.49,,,4.0,6.0,1.0,2.0,,1.0,30.0,4.0,,,1.0,,,,,1.0,,
