,atletas.foto,atletas.status_id,atletas.clube_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.nome,atletas.jogos_num,atletas.apelido,atletas.pontos_num,atletas.apelido_abreviado,atletas.preco_num,atletas.rodada_id,atletas.atleta_id,atletas.slug,atletas.minimo_para_valorizar,atletas.media_num,atletas.posicao_id,A,CA,DS,FC,FD,FF,FS,FT,G,I,PI,CV,PP,PS,DE,GC,GS,PC,SG,DP
47,https://s.glbimg.com/es/sde/f/2022/02/23/da202da4fb23bc636936f60651108982_FORMATO.png,7,1371,Cuiabá,-0.11,Rodrigo Eduardo Costa Marinho,30,Rodriguinho,-0.3,Rodriguinho,6.0,34,61033,rodriguinho,0.53,2.39,4,2.0,,12.0,15.0,11.0,16.0,23.0,,3.0,6.0,93.0,,,,,,,,,
48,https://s.glbimg.com/es/sde/f/2022/02/23/252fa0c71255ea5a7be0a2efc493fe21_FORMATO.png,6,294,Coritiba,0.0,Róbson Michael Signorini,16,Robinho,0.0,Robinho,2.8,34,62104,robinho,0.03,1.15,4,2.0,2.0,14.0,10.0,,3.0,11.0,,,1.0,113.0,,,,,,,,,
49,https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png,6,285,Internacional,-0.11,Taison Barcellos Freda,16,Taison,0.0,Taison,3.62,34,62114,taison,0.54,1.43,4,1.0,6.0,10.0,6.0,4.0,5.0,18.0,,,2.0,38.0,,,,,,,,,
50,https://s.glbimg.com/es/sde/f/2022/04/20/f9f602ab78e260f4c89819ce72f7a39d_FORMATO.png,6,266,Fluminense,0.0,Wellington Aparecido Martins,11,Wellington,0.0,Wellington,2.46,34,62129,wellington,-0.06,0.58,4,1.0,2.0,7.0,9.0,,,5.0,,,,47.0,,,,,,,,,
51,https://s.glbimg.com/es/sde/f/2022/03/03/88174fca01439ff40caf28ad081a8fa6_FORMATO.png,6,286,Juventude,0.0,William Matheus da Silva,13,William Matheus,0.0,W. Matheus,1.69,34,62130,william-matheus,0.22,0.8,2,,4.0,9.0,10.0,2.0,4.0,6.0,,,,80.0,1.0,,,,,,2.0,2.0,
52,https://s.glbimg.com/es/sde/f/2022/06/23/187dc58be092ec53908581d6f65fb635_FORMATO.png,6,266,Fluminense,0.0,Alan Douglas Borges de Carvalho,1,Alan,0.0,Alan,6.03,34,62969,alan,0.48,0.0,5,,,,,,,,,,,,,,,,,,,,
53,https://s.sde.globo.com/media/person_role/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png,6,266,Fluminense,-1.08,Paulo Henrique Chagas de Lima,30,Ganso,0.3,Ganso,6.99,34,62977,ganso,1.31,3.33,4,4.0,5.0,30.0,24.0,3.0,6.0,42.0,2.0,5.0,,203.0,,,1.0,,,,,,
54,https://s.glbimg.com/es/sde/f/2022/02/21/b5c3422a508001c1776995c43b20fdff_FORMATO.png,7,275,Palmeiras,0.0,Marcos Luis Rocha Aquino,23,Marcos Rocha,0.0,M. Rocha,10.64,34,63013,marcos-rocha,6.46,6.04,2,4.0,2.0,66.0,21.0,,2.0,15.0,,,,273.0,,,1.0,,,,,13.0,
55,https://s.glbimg.com/es/sde/f/2022/02/23/3b24fb4ac7b26a6349acb31a2578de4c_FORMATO.png,2,294,Coritiba,0.0,Willian Roberto Farias,18,Willian Farias,0.0,W. Farias,6.92,34,63058,willian-farias,2.84,2.63,4,,6.0,42.0,11.0,,4.0,22.0,,,,79.0,,,,,,,,,
56,https://s.glbimg.com/es/sde/f/2022/02/23/962044a3dba4ade297a566c4d7f73d40_FORMATO.png,7,1371,Cuiabá,0.0,Paulo Marcos de Jesus Ribeiro,13,Paulão,0.0,Paulão,4.11,34,63172,paulao,1.2,1.37,3,,,5.0,6.0,1.0,3.0,1.0,,,,34.0,1.0,,,,1.0,,1.0,4.0,
57,https://s.glbimg.com/es/sde/f/2022/02/21/800bc92dcc8691cf1bb118132ac62fbc_FORMATO.png,6,263,Botafogo,0.0,Carlos Emiliano Pereira,0,Carlinhos,0.0,Carlinhos,5.0,34,63194,carlinhos,3.88,0.0,2,,,,,,,,,,,,,,,,,,,,
58,https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png,2,285,Internacional,1.9,Edenílson Andrade dos Santos,29,Edenílson,12.7,Edenílson,12.04,34,63289,edenilson,12.05,3.63,4,3.0,3.0,32.0,17.0,6.0,13.0,22.0,2.0,5.0,1.0,152.0,,,1.0,,,,,,
59,https://s.glbimg.com/es/sde/f/2022/04/02/a672a123ec8d7b626a7c7aad1211dc94_FORMATO.png,7,285,Internacional,0.96,Rodrigo Modesto da Silva Moledo,16,Rodrigo Moledo,6.2,R. Moledo,6.78,34,63354,rodrigo-moledo,6.01,4.13,3,,2.0,23.0,5.0,4.0,6.0,9.0,,,1.0,22.0,,,,,,,,6.0,
60,https://s.glbimg.com/es/sde/f/2022/04/12/d0f45ab083d12ecd860e02a9bf048379_FORMATO.png,7,285,Internacional,0.38,Alan Patrick Lourenço,23,Alan Patrick,10.3,A. Patrick,9.16,34,68685,alan-patrick,9.6,4.59,4,3.0,2.0,12.0,17.0,13.0,14.0,39.0,,6.0,1.0,110.0,,,,,,,,,
61,https://s.glbimg.com/es/sde/f/2022/02/23/7c8012647193d72e2db7ad4e887df99f_FORMATO.png,3,314,Avaí,-0.07,Bruno César Pereira da Silva,28,Bruno Silva,1.6,B. Silva,7.6,34,68698,bruno-silva,2.37,3.51,4,1.0,11.0,95.0,71.0,3.0,8.0,35.0,1.0,,1.0,162.0,1.0,,,,,,,,
62,https://s.glbimg.com/es/sde/f/2022/07/12/defe5a5f9596bc80eb9f86efab5f5bcd_FORMATO.png,2,263,Botafogo,0.0,Carlos Eduardo de Oliveira Alves,14,Eduardo,0.0,Eduardo,9.85,34,68708,eduardo,8.27,4.95,4,1.0,3.0,21.0,21.0,1.0,12.0,28.0,2.0,3.0,,64.0,,,,,,,,,
63,https://s.glbimg.com/es/sde/f/2022/07/15/609e318b14a5b18020808dc34efd5bfa_FORMATO.png,7,282,Atlético-MG,1.04,José Rodolfo Pires Ribeiro,9,Dodô,13.5,Dodô,7.07,34,68727,dodo,12.22,5.01,2,,1.0,16.0,7.0,1.0,3.0,5.0,,1.0,,51.0,,,,,,,,4.0,
64,https://s.glbimg.com/es/sde/f/2022/03/03/44a5a0d1669b56e3bc607727595c4751_FORMATO.png,7,277,Santos,0.0,Guilherme de Aguiar Camacho,21,Camacho,0.0,Camacho,4.04,34,68770,camacho,1.13,2.25,4,,6.0,43.0,28.0,3.0,1.0,6.0,,1.0,,56.0,,,,,,,,,
65,https://s.glbimg.com/es/sde/f/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,6,327,América-MG,0.0,Henrique Almeida Caixeta Nascentes,24,Henrique Almeida,0.0,H. Almeida,3.56,34,68773,henrique-almeida,0.25,2.45,5,,8.0,14.0,30.0,15.0,15.0,10.0,1.0,4.0,10.0,60.0,,1.0,,,,,,,
66,https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png,6,354,Ceará,0.56,Severino do Ramo Clementino da Silva,28,Nino Paraíba,5.2,N. Paraíba,6.85,34,68808,nino-paraiba,5.13,2.96,2,1.0,10.0,48.0,28.0,1.0,7.0,41.0,,1.0,1.0,273.0,,,1.0,,,,,6.0,
67,https://s.glbimg.com/es/sde/f/2022/03/03/84da02cce1e593cb658cfcf2deef669d_FORMATO.png,6,286,Juventude,-0.1,Jonathan Doin,16,Paulo Miranda,0.7,P. Miranda,2.09,34,68817,paulo-miranda,0.9,0.61,3,,4.0,13.0,12.0,3.0,2.0,5.0,,,,52.0,,,,,1.0,,3.0,1.0,
68,https://s.glbimg.com/es/sde/f/2022/08/04/0bc83ac31c543274a27ef12ac1aae92c_FORMATO.png,5,286,Juventude,0.0,Renato de Araújo Chaves Júnior,2,Renato Chaves,0.0,R. Chaves,3.2,34,68827,renato-chaves,1.3,1.45,3,,,1.0,1.0,2.0,,,,,,4.0,,,,,,,,,
69,https://s.glbimg.com/es/sde/f/2022/02/21/bd515cd514deb5197bb2faa8a721c8f7_FORMATO.png,6,275,Palmeiras,0.0,Marcelo Lomba do Nascimento,3,Marcelo Lomba,0.0,M. Lomba,7.77,34,68872,marcelo-lomba,7.79,8.83,1,,1.0,,,,,1.0,,,,,,,,12.0,,,,3.0,
70,https://s.glbimg.com/es/sde/f/2022/03/10/4b5dcfbcabc53f525f565f57f8050ed7_FORMATO.png,7,290,Goiás,-0.23,Vinicius Santos Silva,21,Vinicius,11.1,Vinicius,6.26,34,68917,vinicius,9.95,3.12,5,4.0,1.0,22.0,15.0,6.0,11.0,16.0,,2.0,6.0,146.0,,,,,,,,,
71,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/02/21/f77c90a60a3c8354d3235d1b61be9208_FORMATO.png,7,275,Palmeiras,0.0,Eduardo Pereira Rodrigues,32,Dudu,0.0,Dudu,13.48,34,68920,dudu,10.64,4.82,5,6.0,2.0,24.0,12.0,15.0,22.0,53.0,4.0,6.0,4.0,208.0,,,,,,,,,
72,https://s.glbimg.com/es/sde/f/2022/04/27/14ec5e5e1aa438191eb6e95781e175fb_FORMATO.png,7,264,Corinthians,-0.83,Carlos Gilberto do Nascimento Silva,19,Gil,0.8,Gil,7.22,34,68923,gil,1.63,4.11,3,1.0,2.0,28.0,7.0,5.0,3.0,6.0,,,2.0,66.0,,,,,,,1.0,8.0,
73,https://s.glbimg.com/es/sde/f/2022/07/15/5f41e2711750955ef1b92db4d8efe3ae_FORMATO.png,6,282,Atlético-MG,0.0,Rafael Pires Monteiro,1,Rafael,0.0,Rafael,4.95,34,68928,rafael,6.25,7.0,1,,,,,,,,,,,,,,,2.0,,,,1.0,
74,https://s.glbimg.com/es/sde/f/2022/02/23/26b6a7aa27f2be0fabc25b57132d892c_FORMATO.png,7,294,Coritiba,0.0,Luciano Castán da Silva,29,Luciano Castán,0.0,L. Castán,6.78,34,68942,luciano-castan,5.99,2.53,3,,6.0,38.0,25.0,,7.0,16.0,,2.0,1.0,151.0,1.0,,,,,,,6.0,
