,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.apelido,atletas.media_num,atletas.foto,atletas.atleta_id,atletas.pontos_num,atletas.variacao_num,atletas.jogos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.preco_num,atletas.status_id,atletas.slug,atletas.nome,atletas.clube.id.full.name,atletas.clube_id,DE,DS,FS,GS,SG,A,CA,FC,FF,GC,I,PI,FD,FT,G,DP,PC,CV,PP,PS
61,32,4.58,Bruno Silva,3.66,https://s.glbimg.com/es/sde/f/2022/02/23/7c8012647193d72e2db7ad4e887df99f_FORMATO.png,68698,4.1,-0.15,26,B. Silva,4,8.06,7,bruno-silva,Bruno César Pereira da Silva,Avaí,314,,93.0,35.0,,,1.0,10.0,67.0,6.0,,1.0,151.0,1.0,1.0,,,,1.0,,
62,32,4.83,Eduardo,4.7,https://s.glbimg.com/es/sde/f/2022/07/12/defe5a5f9596bc80eb9f86efab5f5bcd_FORMATO.png,68708,4.2,0.56,13,Eduardo,4,9.05,7,eduardo,Carlos Eduardo de Oliveira Alves,Botafogo,263,,21.0,27.0,,,1.0,3.0,21.0,12.0,,,61.0,1.0,2.0,2.0,,,,,
63,32,0.76,Dodô,3.41,https://s.glbimg.com/es/sde/f/2022/07/15/609e318b14a5b18020808dc34efd5bfa_FORMATO.png,68727,-0.1,-0.91,7,Dodô,2,4.74,7,dodo,José Rodolfo Pires Ribeiro,Atlético-MG,282,,13.0,4.0,,2.0,,1.0,5.0,2.0,,,40.0,1.0,,,,,,,
64,32,9.85,Camacho,2.3,https://s.glbimg.com/es/sde/f/2022/03/03/44a5a0d1669b56e3bc607727595c4751_FORMATO.png,68770,11.0,1.65,20,Camacho,4,5.47,6,camacho,Guilherme de Aguiar Camacho,Santos,277,,43.0,6.0,,,,6.0,26.0,1.0,,,50.0,1.0,,1.0,,,,,
65,32,0.21,Henrique Almeida,2.57,https://s.glbimg.com/es/sde/f/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,68773,-0.3,-0.57,23,H. Almeida,5,3.59,2,henrique-almeida,Henrique Almeida Caixeta Nascentes,América-MG,327,,14.0,10.0,,,,8.0,29.0,15.0,,10.0,60.0,15.0,1.0,4.0,,,,1.0,
66,32,5.71,Nino Paraíba,2.93,https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png,68808,5.8,0.1,26,N. Paraíba,2,6.93,7,nino-paraiba,Severino do Ramo Clementino da Silva,Ceará,354,,43.0,36.0,,6.0,1.0,10.0,26.0,6.0,,1.0,253.0,1.0,,1.0,,,,,1.0
67,32,1.31,Paulo Miranda,0.6,https://s.glbimg.com/es/sde/f/2022/03/03/84da02cce1e593cb658cfcf2deef669d_FORMATO.png,68817,0.0,0.0,15,P. Miranda,3,2.19,6,paulo-miranda,Jonathan Doin,Juventude,286,,13.0,5.0,,1.0,,4.0,12.0,2.0,1.0,,47.0,2.0,,,,3.0,,,
68,32,1.11,Renato Chaves,1.45,https://s.glbimg.com/es/sde/f/2022/08/04/0bc83ac31c543274a27ef12ac1aae92c_FORMATO.png,68827,0.0,0.0,2,R. Chaves,3,3.2,5,renato-chaves,Renato de Araújo Chaves Júnior,Juventude,286,,1.0,,,,,,1.0,,,,4.0,2.0,,,,,,,
69,32,7.68,Marcelo Lomba,8.83,https://s.glbimg.com/es/sde/f/2022/02/21/bd515cd514deb5197bb2faa8a721c8f7_FORMATO.png,68872,0.0,0.0,3,M. Lomba,1,7.77,6,marcelo-lomba,Marcelo Lomba do Nascimento,Palmeiras,275,12.0,,1.0,,3.0,,1.0,,,,,,,,,,,,,
70,32,0.31,Vinicius,2.14,https://s.glbimg.com/es/sde/f/2022/03/10/4b5dcfbcabc53f525f565f57f8050ed7_FORMATO.png,68917,0.0,0.0,19,Vinicius,5,4.21,7,vinicius,Vinicius Santos Silva,Goiás,290,,19.0,14.0,,,3.0,1.0,14.0,11.0,,5.0,130.0,5.0,,,,,,,
71,32,2.03,Dudu,4.64,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/02/21/f77c90a60a3c8354d3235d1b61be9208_FORMATO.png,68920,0.4,0.04,31,Dudu,5,11.86,7,dudu,Eduardo Pereira Rodrigues,Palmeiras,275,,23.0,53.0,,,6.0,2.0,12.0,20.0,,4.0,204.0,15.0,4.0,5.0,,,,,
72,32,5.44,Gil,4.29,https://s.glbimg.com/es/sde/f/2022/04/27/14ec5e5e1aa438191eb6e95781e175fb_FORMATO.png,68923,0.0,0.0,18,Gil,3,8.05,7,gil,Carlos Gilberto do Nascimento Silva,Corinthians,264,,28.0,6.0,,8.0,1.0,2.0,6.0,1.0,,2.0,61.0,5.0,,,,1.0,,,
73,32,6.22,Rafael,7.0,https://s.glbimg.com/es/sde/f/2022/07/15/5f41e2711750955ef1b92db4d8efe3ae_FORMATO.png,68928,0.0,0.0,1,Rafael,1,4.95,6,rafael,Rafael Pires Monteiro,Atlético-MG,282,2.0,,,,1.0,,,,,,,,,,,,,,,
74,32,0.64,Luciano Castán,2.41,https://s.glbimg.com/es/sde/f/2022/02/23/26b6a7aa27f2be0fabc25b57132d892c_FORMATO.png,68942,-0.2,0.03,28,L. Castán,3,5.78,7,luciano-castan,Luciano Castán da Silva,Coritiba,294,,38.0,16.0,,6.0,,5.0,22.0,7.0,,1.0,150.0,,,1.0,,,1.0,,
