,atletas.status_id,atletas.apelido_abreviado,atletas.posicao_id,atletas.clube_id,atletas.atleta_id,atletas.preco_num,atletas.apelido,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.foto,atletas.nome,atletas.jogos_num,atletas.slug,atletas.media_num,atletas.clube.id.full.name,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,G,I,PI,PS,SG,FT,PP,CV,PC,DE,DP,GS,GC
65,7,H. Almeida,5,327,68773,4.16,Henrique Almeida,31,,0.35,https://s.glbimg.com/es/sde/f/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,Henrique Almeida Caixeta Nascentes,22,henrique-almeida,2.7,América-MG,3.3,,7.0,14.0,27.0,15.0,14.0,9.0,4.0,10.0,60.0,,,1.0,1.0,,,,,,
66,7,N. Paraíba,2,354,68808,6.83,Nino Paraíba,31,,0.6,https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png,Severino do Ramo Clementino da Silva,25,nino-paraiba,2.82,Ceará,5.7,1.0,9.0,40.0,25.0,1.0,3.0,30.0,1.0,1.0,234.0,1.0,6.0,,,,,,,,
67,6,P. Miranda,3,286,68817,2.19,Paulo Miranda,31,,0.18,https://s.glbimg.com/es/sde/f/2022/03/03/84da02cce1e593cb658cfcf2deef669d_FORMATO.png,Jonathan Doin,15,paulo-miranda,0.6,Juventude,1.1,,4.0,13.0,12.0,2.0,2.0,5.0,,,47.0,,1.0,,,,3.0,,,,1.0
68,5,R. Chaves,3,286,68827,3.2,Renato Chaves,31,,0.0,https://s.glbimg.com/es/sde/f/2022/08/04/0bc83ac31c543274a27ef12ac1aae92c_FORMATO.png,Renato de Araújo Chaves Júnior,2,renato-chaves,1.45,Juventude,0.0,,,1.0,1.0,2.0,,,,,4.0,,,,,,,,,,
69,6,M. Lomba,1,275,68872,7.77,Marcelo Lomba,31,,0.0,https://s.glbimg.com/es/sde/f/2022/02/21/bd515cd514deb5197bb2faa8a721c8f7_FORMATO.png,Marcelo Lomba do Nascimento,3,marcelo-lomba,8.83,Palmeiras,0.0,,1.0,,,,,1.0,,,,,3.0,,,,,12.0,,,
70,7,Vinicius,5,290,68917,4.21,Vinicius,31,,-0.56,https://s.glbimg.com/es/sde/f/2022/03/10/4b5dcfbcabc53f525f565f57f8050ed7_FORMATO.png,Vinicius Santos Silva,19,vinicius,2.14,Goiás,-0.2,3.0,1.0,19.0,14.0,5.0,11.0,14.0,,5.0,130.0,,,,,,,,,,
71,7,Dudu,5,275,68920,11.82,Dudu,31,,-1.56,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/02/21/f77c90a60a3c8354d3235d1b61be9208_FORMATO.png,Eduardo Pereira Rodrigues,30,dudu,4.78,Palmeiras,-0.5,6.0,2.0,23.0,12.0,15.0,20.0,51.0,5.0,4.0,198.0,,,4.0,,,,,,,
72,6,Gil,3,264,68923,8.05,Gil,31,,0.0,https://s.glbimg.com/es/sde/f/2022/04/27/14ec5e5e1aa438191eb6e95781e175fb_FORMATO.png,Carlos Gilberto do Nascimento Silva,18,gil,4.29,Corinthians,0.0,1.0,2.0,28.0,6.0,5.0,1.0,6.0,,2.0,61.0,,8.0,,,,1.0,,,,
73,6,Rafael,1,282,68928,4.95,Rafael,31,,-0.05,https://s.glbimg.com/es/sde/f/2022/07/15/5f41e2711750955ef1b92db4d8efe3ae_FORMATO.png,Rafael Pires Monteiro,1,rafael,7.0,Atlético-MG,7.0,,,,,,,,,,,,1.0,,,,,2.0,,,
74,7,L. Castán,3,294,68942,5.75,Luciano Castán,31,,-0.34,https://s.glbimg.com/es/sde/f/2022/02/23/26b6a7aa27f2be0fabc25b57132d892c_FORMATO.png,Luciano Castán da Silva,27,luciano-castan,2.51,Coritiba,-0.7,,5.0,38.0,20.0,,6.0,16.0,1.0,1.0,146.0,,6.0,,,1.0,,,,,
