"atletas.atleta_id","atletas.nome","atletas.apelido","atletas.foto","atletas.rodada_id","atletas.clube_id","atletas.clube.id.full.name","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","athletes.atletas.scout","PE","SG","FC","FS","I","RB","FD","A","G","FF","DD","CA","GS","FT","CV","PP","DP","home_score","away_score","goals_dif","casa"
38230,"Edinaldo Batista Libânio","Grafite  ( ATL )","https://s.glbimg.com/es/sde/f/2017/04/23/4fec179a98d9e087859253a2bbf830e4_FORMATO.png",1,"ATL","Atlético-PR","ata","Dúvida",0,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,4,"Fora"
38246,"Robson de Souza","Robinho  ( ATL )","https://s.glbimg.com/es/sde/f/2017/04/03/d0fe78529c78b3decfed9ab7ea31e79b_FORMATO.png",1,"ATL","Atlético-MG","ata","Nulo",1.1,17.75,-6.25,1.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,"Fora"
38277,"Thiago Neves Augusto","Thiago Neves  ( CRU )","https://s.glbimg.com/es/sde/f/2017/02/19/6bb6e70216d205ad23e44268eba27692_FORMATO.png",1,"CRU","Cruzeiro","mei","Contundido",0,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,"Casa"
38279,"Wellington Pereira do Nascimento","Wellington Paulista  ( CHA )","https://s.glbimg.com/es/sde/f/2017/04/25/063a393c23a936c42fa8d9c6ee455747_FORMATO.png",1,"CHA","Chapecoense","ata","Provável",6.7,9.69,2.69,6.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,"Fora"
38287,"Roger Rodrigues da Silva","Roger  ( BOT )","https://s.glbimg.com/es/sde/f/2017/04/18/6814b99b2a5d61f8e272030ee2784ca0_FORMATO.png",1,"BOT","Botafogo","ata","Provável",1.1,5.73,-1.27,1.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,"Fora"
38311,"Márcio Rodrigues Araújo","Márcio Araújo  ( FLA )","https://s.glbimg.com/es/sde/f/2017/04/24/034006de65f23dc6ad944d4cbe1fd5d4_FORMATO.png",1,"FLA","Flamengo","mei","Provável",6.2,8.63,2.63,6.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,"Casa"
38315,"Jadson Rodrigues da Silva","Jadson  ( COR )","https://s.glbimg.com/es/sde/f/2017/04/23/74a0bb24699753dd991412e8c67a1623_FORMATO.png",1,"COR","Corinthians","mei","Provável",0.6,15.99,-6.01,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,"Casa"
38394,"Thiago Heleno Henrique Ferreira","Thiago Heleno  ( ATL )","https://s.glbimg.com/es/sde/f/2017/04/23/1f11c20ef0f3dc5415e347a5080e0877_FORMATO.png",1,"ATL","Atlético-PR","zag","Provável",0,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,4,"Fora"
38400,"Vinícius Pacheco dos Santos","Vinícius Pacheco  ( AVA )","https://s.glbimg.com/es/sde/f/2017/04/28/c75c0312049c7182d2608025b1772f10_FORMATO.png",1,"AVA","Avaí","mei","Nulo",0.5,3.89,-1.11,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"Casa"
38421,"Rafael da Silva Francisco","Rafinha  ( CRU )","https://s.glbimg.com/es/sde/f/2017/04/22/b38b67b4598e604b5f9219b7e65d47d7_FORMATO.png",1,"CRU","Cruzeiro","mei","Provável",2.6,8.21,-0.79,2.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,"Casa"
38425,"Fábio Ferreira da Silva","Fábio Ferreira  ( PON )","https://s.glbimg.com/es/sde/f/2017/05/02/dfab84ee22e942e61a82ff8910b56353_FORMATO.png",1,"PON","Ponte Preta","zag","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,4,"Casa"
38431,"Diego Cavalieri","Diego Cavalieri  ( FLU )","https://s.glbimg.com/es/sde/f/2016/04/29/218be31082641b6814a593a00e28a095_FORMATO.png",1,"FLU","Fluminense","gol","Provável",2,7.78,-1.22,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,"Casa"
38440,"Lucas Pierre Santos Oliveira","Pierre  ( FLU )","https://s.glbimg.com/es/sde/f/2016/04/29/ec27531ace1e093fa1db50938eb9132b_FORMATO.png",1,"FLU","Fluminense","mei","Dúvida",0,3.54,-1.46,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,"Casa"
38508,"Eder Luis de Oliveira","Eder Luis  ( VAS )","https://s.glbimg.com/es/sde/f/2017/04/27/a624683a1be2238af9bf43179557bd20_FORMATO.png",1,"VAS","Vasco","ata","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,4,"Fora"
38523,"Edílson Mendes Guimarães","Edílson  ( GRE )","https://s.glbimg.com/es/sde/f/2017/04/23/01562d5599dfea4ea49171288751df8a_FORMATO.png",1,"GRE","Grêmio","lat","Suspenso",0,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,"Casa"
38530,"Cleiton Ribeiro Xavier","Cleiton Xavier  ( VIT )","https://s.glbimg.com/es/sde/f/2017/02/18/12b5f4babe911d2c08e5e106d926ef3d_FORMATO.png",1,"VIT","Vitória","mei","Provável",1.2,7.92,-2.08,1.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"Fora"
38545,"Felipe Melo de Carvalho","Felipe Melo  ( PAL )","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",1,"PAL","Palmeiras","mei","Nulo",3.2,11.46,-1.54,3.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,4,"Casa"
