"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FD","FF","FS","PE","RB","DD","DP","GS","SG","CA","FT","G","I","A","CV","PP","GC"
"60","Reinaldo Manoel da Silva","reinaldo","Reinaldo","https://s.glbimg.com/es/sde/f/2019/04/01/6d2d1a24cd6dbf9313e0b6efedc5c055_FORMATO.png",78850,5,276,"lat","Provável",4.1,11.47,-0.54,4.12,"São Paulo",7,NA,1,5,9,7,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA
"61","Vinícius Goes Barbosa de Souza","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2019/03/29/188d8189b08f034c67505831cfe67554_FORMATO.png",71162,5,282,"mei","Nulo",0.2,2.85,0,-0.53,"Atlético-MG",4,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Edenílson Andrade Dos Santos","edenilson","Edenílson","https://s.glbimg.com/es/sde/f/2018/04/08/b8c17a1d807dace07b81afcb28a3438d_FORMATO.png",63289,5,285,"mei","Provável",6.8,8.52,1.2,2.28,"Internacional",6,NA,NA,4,13,2,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA
"63","Guilherme Parede Pinheiro","guilherme-parede","Guilherme Parede","https://s.glbimg.com/es/sde/f/2019/04/29/a4e7ace9cd75f4187d56ba2fd7543a56_FORMATO.png",83438,5,285,"ata","Nulo",0,4.15,0,2,"Internacional",1,NA,2,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Leonardo Fabiano da Silva e Silva","leonardo-silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2018/05/07/76bcd627f9b56262f6ad6cce8983b430_FORMATO.png",68925,5,282,"zag","Dúvida",-1.5,4.19,-2.05,-0.75,"Atlético-MG",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"65","Marcelo Lomba do Nascimento","marcelo-lomba","Marcelo Lomba","https://s.glbimg.com/es/sde/f/2018/04/08/c6db42e2a46652d39dfdaf203267d223_FORMATO.png",68872,5,285,"gol","Provável",14,11.12,2.83,5.1,"Internacional",NA,NA,NA,1,NA,NA,10,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"66","Glaybson Yago Souza Lisboa","yago-pikachu","Yago Pikachu","https://s.glbimg.com/es/sde/f/2018/09/27/ade8af11f63aa15e4664fa86f8a48e0e_FORMATO.png",80196,5,267,"mei","Provável",2.4,8.84,-0.19,2.4,"Vasco",1,2,3,7,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Neilton Meira Mestzk","neilton","Neilton","https://s.glbimg.com/es/sde/f/2019/03/29/640d511884279db90f11e5446270556b_FORMATO.png",83772,5,285,"ata","Dúvida",1.7,6.84,-1,3.5,"Internacional",1,1,1,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Francisco Rithely da Silva Sousa","rithely","Rithely","https://s.glbimg.com/es/sde/f/2018/09/04/b0fdf1d79ae70c573a8741d9b5226056_FORMATO.png",68834,5,285,"mei","Nulo",0,6,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Rodrigo Modesto da Silva Moledo","rodrigo-moledo","Rodrigo Moledo","https://s.glbimg.com/es/sde/f/2018/03/20/e5bb6257009bf74098a367b4c1b9e53d_FORMATO.png",63354,5,285,"zag","Contundido",5,7.09,-0.04,4.68,"Internacional",1,1,1,1,2,6,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"70","Leandro Castan da Silva","leandro-castan","Leandro Castan","https://s.glbimg.com/es/sde/f/2018/09/27/fb8938214d4d9f30a8ecf66092c2f6dc_FORMATO.png",38505,5,267,"zag","Provável",0,11,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Danilo Fernandes Batista","danilo-fernandes","Danilo Fernandes","https://s.glbimg.com/es/sde/f/2019/04/26/ff9a95bc3d5696feb8d8d55b5b47f12b_FORMATO.png",69051,5,285,"gol","Nulo",0,7,0,0,"Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Ricardo de Oliveira","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/05/07/b853b7148bc822996c8074255a69a3c4_FORMATO.png",38910,5,282,"ata","Provável",7.4,16.49,1.12,4.6,"Atlético-MG",2,2,4,3,7,2,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA
"73","Jair Rodrigues Júnior","jair","Jair","https://s.glbimg.com/es/sde/f/2019/03/29/ada175db5435512e91702370cd95d14f_FORMATO.png",81091,5,282,"mei","Nulo",0,7.2,0,3.07,"Atlético-MG",1,NA,NA,2,1,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"74","Emerson Raymundo Santos","emerson-santos","Emerson Santos","https://s.glbimg.com/es/sde/f/2018/07/20/c87125fb04d89c8e72a797a7b0ceeddb_FORMATO.png",86972,5,285,"zag","Provável",6.2,3.57,0.79,2.6,"Internacional",4,1,NA,1,5,3,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA
"75","José Carlos Cracco Neto","zeca","Zeca","https://s.glbimg.com/es/sde/f/2018/04/24/ef12015cf94f9b6c7ab39c4b092ba4a4_FORMATO.png",87192,5,285,"lat","Suspenso",5.1,6.64,0.69,3.47,"Internacional",6,NA,NA,1,7,13,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA
"76","Matheus Mancini","matheus-mancini","Matheus Mancini","https://s.glbimg.com/es/sde/f/2018/05/07/6f7e5971bc24d9767f330971e875d599_FORMATO.png",80124,5,282,"zag","Nulo",0,3,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
