,atletas.clube_id,atletas.rodada_id,atletas.jogos_num,atletas.nome,atletas.posicao_id,atletas.atleta_id,atletas.slug,atletas.media_num,atletas.minimo_para_valorizar,atletas.preco_num,atletas.status_id,atletas.apelido_abreviado,atletas.variacao_num,atletas.pontos_num,atletas.foto,atletas.clube.id.full.name,atletas.apelido,CA,DS,FC,FD,FF,FS,G,I,SG,A,FT,CV,PC,PP,PS,DE,GS,DP,GC,V
72,285,15,3,Charles Mariano Aránguiz Sandoval,4,69325,aranguiz,0.93,,7.09,7,Aránguiz,0.01,0.9,https://s.sde.globo.com/media/person_role/2023/04/02/photo_220x220_AyFyEWO.png,Internacional,Aránguiz,,2.0,4.0,,2.0,,,,,,,,,,,,,,,
73,267,15,0,Gary Alexis Medel Soto,4,69355,medel,0.0,,6.0,6,Medel,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,Vasco,Medel,,,,,,,,,,,,,,,,,,,,
74,293,15,7,Arturo Erasmo Vidal Pardo,4,69375,vidal,2.3,,5.48,6,Vidal,-0.23,2.2,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,Athlético-PR,Vidal,2.0,6.0,5.0,2.0,5.0,6.0,,,,,1.0,,,,,,,,,
75,283,15,5,Maycon Vinícius Ferreira da Cruz,4,69705,nikao,0.3,,3.48,6,Nikão,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,Cruzeiro,Nikão,1.0,2.0,4.0,,,3.0,,2.0,,,,,,,,,,,,
76,263,15,9,Rafael Pereira da Silva,2,70171,rafael,5.16,,6.7,5,Rafael,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,Botafogo,Rafael,2.0,22.0,12.0,1.0,,5.0,,,5.0,,,1.0,,,,,,,,
77,284,15,4,Fábio Pereira da Silva,2,70172,fabio,2.75,,4.63,5,Fábio,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,Grêmio,Fábio,,4.0,2.0,,1.0,2.0,,,,1.0,,,,,,,,,,
78,284,15,10,Bruno Uvini,3,70221,bruno-uvini,1.98,,3.21,6,B. Uvini,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,Grêmio,Bruno Uvini,3.0,4.0,6.0,3.0,4.0,6.0,1.0,,,,1.0,,1.0,,,,,,,
79,280,15,15,Eduardo Colcenti Antunes,5,70360,eduardo-sasha,6.04,,11.72,7,E. Sasha,-0.15,3.9,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,Bragantino,Eduardo Sasha,2.0,8.0,11.0,5.0,8.0,21.0,6.0,6.0,,2.0,2.0,,,,,,,,,
80,294,15,13,Gabriel Vasconcelos Ferreira - Vasconcellos,1,70449,gabriel,2.88,,5.41,7,Gabriel,-0.06,7.5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ovYbvXA.png,Coritiba,Gabriel,3.0,,,,,1.0,,,2.0,1.0,,,,,,50.0,25.0,,,
81,1371,15,14,Marllon Gonçalves Jerônimo Borges,3,70666,marllon,3.54,,7.73,7,Marllon,1.08,6.7,https://s.sde.globo.com/media/person_role/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png,Cuiabá,Marllon,3.0,14.0,10.0,,4.0,7.0,1.0,,4.0,1.0,,,1.0,,,,,,,
82,285,15,2,Enner Remberto Valencia Lastra,5,70788,enner-valencia,0.95,,8.54,7,E. Valencia,-0.06,2.0,https://s.sde.globo.com/media/person_role/2023/06/12/photo_FORMATO_M7ylRRT.png,Internacional,Enner Valencia,,,4.0,1.0,,4.0,,1.0,,,,,,,,,,,,
