,atletas.variacao_num,atletas.preco_num,atletas.foto,atletas.nome,atletas.clube.id.full.name,atletas.atleta_id,atletas.apelido_abreviado,atletas.rodada_id,atletas.posicao_id,atletas.status_id,atletas.clube_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.media_num,atletas.apelido,atletas.slug,A,CA,DS,FC,FD,FF,FS,FT,G,PP,I,SG,PS,CV,DE,GS,V,PC,DP,GC
52,0.0,7.3,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,Vinicius Santos Silva,Goiás,68917,Vinicius,14,5,6,290,0.0,,6,3.58,Vinicius,vinicius,,1.0,9.0,4.0,4.0,6.0,7.0,,,,2.0,,,,,,,,,
53,1.69,16.34,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,Eduardo Pereira Rodrigues,Palmeiras,68920,Dudu,14,5,7,275,12.5,,13,6.36,Dudu,dudu,3.0,,6.0,8.0,7.0,11.0,38.0,1.0,3.0,,3.0,,,,,,,,,
54,0.94,5.49,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,Carlos Gilberto do Nascimento Silva,Corinthians,68923,Gil,14,3,6,264,6.2,,13,2.39,Gil,gil,,4.0,13.0,13.0,3.0,4.0,3.0,,,,,3.0,,,,,,,,
55,0.0,8.49,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,Rafael Pires Monteiro,São Paulo,68928,Rafael,14,1,7,276,0.0,,13,3.61,Rafael,rafael,,,,,,,2.0,,,,,4.0,,,39.0,13.0,,,,
56,-0.05,10.89,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,Rafael Cabral Barbosa,Cruzeiro,68940,R. Cabral,14,1,7,283,6.0,,14,4.63,Rafael Cabral,rafael-cabral,,1.0,1.0,,,,1.0,,,,,6.0,,,45.0,11.0,,,,
57,0.04,6.39,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,Luciano Castán da Silva,Cruzeiro,68942,L. Castán,14,3,7,283,5.0,,13,3.04,Luciano Castán,luciano-castan,,3.0,11.0,10.0,1.0,1.0,11.0,,,,1.0,5.0,,,,,,,,
58,-0.11,2.81,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,Mário Sérgio Santos Costa,Fortaleza,68952,Marinho,14,5,7,356,2.6,,5,1.06,Marinho,marinho,,2.0,2.0,3.0,4.0,1.0,1.0,,,,3.0,,,,,,,,,
59,0.0,6.08,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,Lucas Pacheco Affini,Fortaleza,68991,L. Sasha,14,4,6,356,0.0,,7,3.33,Lucas Sasha,lucas-sasha,,1.0,19.0,10.0,,2.0,6.0,,,,1.0,,,,,,,,,
60,0.0,3.0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,João Carlos Heidemann,Cuiabá,69010,J. Carlos,14,1,6,1371,0.0,,0,0.0,João Carlos,joao-carlos,,,,,,,,,,,,,,,,,,,,
61,0.0,9.47,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,Aderbar Melo dos Santos Neto,Flamengo,69012,Santos,14,1,6,262,0.0,,6,3.25,Santos,santos,,,,,,,1.0,,,,,2.0,,,17.0,8.0,,,,
62,0.0,5.19,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,Manoel Messias Silva Carvalho,Fluminense,69014,Manoel,14,3,3,266,0.0,,6,1.97,Manoel,manoel,,1.0,3.0,1.0,,,1.0,,,,,2.0,,,,,,1.0,,
63,0.19,3.57,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,Marcelo Cirino da Silva,Athlético-PR,69022,M. Cirino,14,5,6,293,1.2,,3,0.4,Marcelo Cirino,marcelo-cirino,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,
64,0.0,4.5,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,José Paulo Bezerra Maciel Júnior,Corinthians,69034,Paulinho,14,4,5,264,0.0,,4,2.1,Paulinho,paulinho,,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,
65,-1.68,2.32,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,Vladimir Orlando Cardoso de Araújo Filho,Santos,69040,Vladimir,14,1,3,277,-3.0,,0,-3.0,Vladimir,vladimir,,,,,,,,,,,,,,1.0,,,,,,
66,0.0,4.64,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,Danilo Fernandes Batista,Bahia,69051,D. Fernandes,14,1,5,265,0.0,,1,7.0,Danilo Fernandes,danilo-fernandes,,1.0,,,,,,,,,,,,,7.0,,,,,
67,-0.14,4.33,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,Eduardo Jesús Vargas Rojas,Atlético-MG,69102,Vargas,14,5,6,282,0.2,,10,1.49,Vargas,vargas,,2.0,3.0,6.0,2.0,2.0,4.0,,1.0,,,,1.0,,,,,,,
