,atletas.jogos_num,atletas.preco_num,atletas.pontos_num,atletas.status_id,atletas.posicao_id,atletas.apelido,atletas.atleta_id,atletas.rodada_id,atletas.apelido_abreviado,atletas.foto,atletas.slug,atletas.clube_id,atletas.nome,atletas.clube.id.full.name,atletas.variacao_num,atletas.minimo_para_valorizar,atletas.media_num,DS,FC,FS,CA,FD,FF,G,I,SG,V,DE,GS,DP,A,FT,PS,GC,PC,CV,PP
53,3,4.7,1.8,7,3,Gil,68923,3,Gil,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,gil,264,Carlos Gilberto do Nascimento Silva,Corinthians,0.02,,1.17,2.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,
54,3,6.76,2.0,7,1,Rafael,68928,3,Rafael,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,rafael,276,Rafael Pires Monteiro,São Paulo,-0.73,,4.33,,,,,,,,,1.0,,11.0,3.0,,,,,,,,
55,3,12.36,11.0,7,1,Rafael Cabral,68940,3,R. Cabral,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,rafael-cabral,283,Rafael Cabral Barbosa,Cruzeiro,1.9,,8.83,,,1.0,,,,,,2.0,,18.0,2.0,,,,,,,,
56,3,6.22,6.2,7,3,Luciano Castán,68942,3,L. Castán,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,luciano-castan,283,Luciano Castán da Silva,Cruzeiro,1.2,,4.5,3.0,3.0,2.0,1.0,,1.0,,,2.0,,,,,,,,,,,
57,3,3.4,2.3,6,5,Marinho,68952,3,Marinho,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_eiyBkCZ.png,marinho,262,Mário Sérgio Santos Costa,Flamengo,0.28,,0.9,2.0,2.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,
58,3,5.58,0.9,6,4,Lucas Sasha,68991,3,L. Sasha,https://s.sde.globo.com/media/person_role/2022/07/16/d91654c9e126e6f3f17fd09b816eedf5_FORMATO.png,lucas-sasha,356,Lucas Pacheco Affini,Fortaleza,-0.34,,1.67,6.0,7.0,,,,,,1.0,,,,,,,,,,,,
59,0,3.0,0.0,6,1,João Carlos,69010,3,J. Carlos,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,joao-carlos,1371,João Carlos Heidemann,Cuiabá,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
60,3,9.48,0.0,7,1,Santos,69012,3,Santos,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,santos,262,Aderbar Melo dos Santos Neto,Flamengo,-1.09,,2.83,,,1.0,,,,,,1.0,,8.0,5.0,,,,,,,,
61,1,5.86,1.2,6,3,Manoel,69014,3,Manoel,https://s.sde.globo.com/media/person_role/2022/04/20/2ee72152c5a2da89ec05cb252df58e2b_FORMATO.png,manoel,266,Manoel Messias Silva Carvalho,Fluminense,-2.14,,1.2,1.0,,,,,,,,,,,,,,,,,,,
62,0,5.0,0.0,5,5,Marcelo Cirino,69022,3,M. Cirino,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,marcelo-cirino,293,Marcelo Cirino da Silva,Athlético-PR,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
63,1,5.49,5.25,7,6,Antônio Carlos Zago,69029,3,A. Zago,https://s.sde.globo.com/media/person_role/2019/03/26/3f5495ab6f726a9618084826d55c52f8_220x220.png,antonio-carlos-zago,294,Antônio Carlos Zago,Coritiba,0.62,,5.25,,,,,,,,,,,,,,,,,,,,
64,2,4.5,1.0,6,4,Paulinho,69034,3,Paulinho,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,paulinho,264,José Paulo Bezerra Maciel Júnior,Corinthians,-0.42,,1.7,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,
65,0,4.0,0.0,6,1,Vladimir,69040,3,Vladimir,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,vladimir,277,Vladimir Orlando Cardoso de Araújo Filho,Santos,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
66,0,5.0,0.0,6,1,Danilo Fernandes,69051,3,D. Fernandes,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,danilo-fernandes,265,Danilo Fernandes Batista,Bahia,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
67,1,5.29,0.0,7,5,Vargas,69102,3,Vargas,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,vargas,282,Eduardo Jesús Vargas Rojas,Atlético-MG,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
68,3,11.27,0.0,6,5,Pablo,69138,3,Pablo,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,pablo,293,Pablo Felipe Teixeira,Athlético-PR,-1.24,,4.9,4.0,6.0,6.0,2.0,,1.0,,1.0,,,,,,2.0,,,,,,
69,0,5.0,0.0,6,3,Pablo,69165,3,Pablo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,pablo,262,Pablo Nascimento Castro,Flamengo,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
70,1,2.52,0.0,6,3,Sidimar,69189,3,Sidimar,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,sidimar,290,Sidimar Fernando Cigolini,Goiás,0.0,,0.9,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
71,3,11.86,5.1,7,5,Luis Suárez,69318,3,L. Suárez,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,luis-suarez,284,Luis Alberto Suárez Díaz,Grêmio,-0.03,,3.07,,1.0,6.0,1.0,6.0,2.0,,3.0,,,,,,,1.0,,,,,1.0
72,0,10.0,0.0,5,4,Aránguiz,69325,3,Aránguiz,https://s.sde.globo.com/media/person_role/2023/04/02/photo_220x220_AyFyEWO.png,aranguiz,285,Charles Mariano Aránguiz Sandoval,Internacional,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
73,2,7.23,3.7,7,4,Vidal,69375,3,Vidal,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_dBcN4Gz.png,vidal,262,Arturo Erasmo Vidal Pardo,Flamengo,0.07,,4.2,3.0,1.0,3.0,1.0,,2.0,,,,,,,,,1.0,,,,,
74,3,4.56,1.2,7,4,Nikão,69705,3,Nikão,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,nikao,283,Maycon Vinícius Ferreira da Cruz,Cruzeiro,-0.37,,0.43,2.0,3.0,2.0,1.0,,,,2.0,,,,,,,,,,,,
75,0,5.0,0.0,6,4,Fellipe Bastos,70116,3,F. Bastos,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_2gvVYzL.png,fellipe-bastos,290,Fellipe Ramos Ignez Bastos,Goiás,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
76,3,4.45,-0.4,3,2,Rafael,70171,3,Rafael,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,rafael,263,Rafael Pereira da Silva,Botafogo,-1.04,,2.53,9.0,4.0,2.0,,,,,,,,,,,,,,,,1.0,
77,1,5.4,6.2,7,2,Fábio,70172,3,Fábio,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,fabio,284,Fábio Pereira da Silva,Grêmio,0.4,,6.2,1.0,,,,,,,,,,,,,1.0,,,,,,
