,atletas.nome,atletas.jogos_num,atletas.foto,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.atleta_id,atletas.pontos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.status_id,atletas.preco_num,atletas.media_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.clube_id,DS,FF,FS,CA,FC,FD,DE,GS,SG,V,A,FT,I,G,GC,PS,CV,PC,PP,DP,PI
56,Mário Sérgio Santos Costa,17,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,,31,Fortaleza,-0.18,68952,4.0,Marinho,5,7,4.33,3.37,True,marinho,Marinho,356,11.0,11.0,48.0,5.0,20.0,9.0,,,,,1.0,,5.0,1.0,,3.0,,,1.0,,
57,Lucas Pacheco Affini,14,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,,31,Fortaleza,0.0,68991,0.0,L. Sasha,4,6,6.17,3.22,False,lucas-sasha,Lucas Sasha,356,37.0,3.0,13.0,3.0,21.0,1.0,,,,,,,2.0,,,,,,,,
58,João Carlos Heidemann,1,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,,31,Cuiabá,-1.1,69010,-2.0,J. Carlos,1,6,1.9,-2.0,True,joao-carlos,João Carlos,1371,,,,,,,,2.0,,,,,,,,,,,,,
59,Aderbar Melo dos Santos Neto,6,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,,31,Flamengo,0.0,69012,0.0,Santos,1,6,9.47,3.25,False,santos,Santos,262,,,1.0,,,,17.0,8.0,2.0,,,,,,,,,,,,
60,Manoel Messias Silva Carvalho,6,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,,31,Fluminense,0.0,69014,0.0,Manoel,3,3,5.19,1.97,False,manoel,Manoel,266,3.0,,1.0,1.0,1.0,,,,2.0,,,,,,,,,1.0,,,
61,Marcelo Cirino da Silva,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,,31,Athlético-PR,0.0,69022,0.0,M. Cirino,5,6,3.44,0.6,False,marcelo-cirino,Marcelo Cirino,293,2.0,1.0,2.0,1.0,2.0,,,,,,,,2.0,,,,,,,,
62,José Paulo Bezerra Maciel Júnior,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,,31,Corinthians,0.0,69034,0.0,Paulinho,4,5,4.5,2.1,False,paulinho,Paulinho,264,6.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,
63,Vladimir Orlando Cardoso de Araújo Filho,3,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,,31,Santos,0.0,69040,0.0,Vladimir,1,6,1.51,-1.0,False,vladimir,Vladimir,277,,,,,,,10.0,13.0,,,,,,,,,1.0,,,,
64,Danilo Fernandes Batista,1,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,,31,Bahia,0.0,69051,0.0,D. Fernandes,1,6,3.42,6.0,False,danilo-fernandes,Danilo Fernandes,265,,,,2.0,,,7.0,,,,,,,,,,,,,,
65,James David Rodríguez Rubio,10,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,,31,São Paulo,0.24,69063,2.1,J. Rodríguez,4,6,9.89,2.93,True,james-rodriguez,James Rodríguez,276,5.0,4.0,7.0,,9.0,2.0,,,,,2.0,1.0,1.0,1.0,,,,,1.0,,
66,Eduardo Jesús Vargas Rojas,12,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_bAmWcZL.png,,31,Atlético-MG,0.0,69102,0.0,Vargas,5,5,4.1,1.24,False,vargas,Vargas,282,4.0,2.0,4.0,3.0,7.0,2.0,,,,,,,,1.0,,1.0,,,,,
67,Pablo Felipe Teixeira,23,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,,31,Athlético-PR,-1.1,69138,1.4,Pablo,5,7,10.79,4.86,True,pablo,Pablo,293,17.0,19.0,19.0,3.0,22.0,7.0,,,,,2.0,1.0,12.0,7.0,,,,,,,
68,Pablo Nascimento Castro,6,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,,31,Flamengo,0.0,69165,0.0,Pablo,3,6,4.1,3.28,False,pablo,Pablo,262,4.0,,1.0,,6.0,1.0,,,3.0,,,,,,,,,,,,
69,Sidimar Fernando Cigolini,16,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,,31,Goiás,0.36,69189,2.7,Sidimar,3,6,2.8,1.88,True,sidimar,Sidimar,290,8.0,4.0,7.0,2.0,8.0,1.0,,,4.0,,,,2.0,,1.0,,,,,,
70,Luis Alberto Suárez Díaz,25,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,,31,Grêmio,-2.69,69318,5.8,L. Suárez,5,7,16.58,8.84,True,luis-suarez,Luis Suárez,284,10.0,31.0,57.0,6.0,24.0,28.0,,,,,10.0,6.0,22.0,9.0,,1.0,,,1.0,,
71,Charles Mariano Aránguiz Sandoval,16,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,,31,Internacional,1.13,69325,7.6,Aránguiz,4,7,7.82,1.84,True,aranguiz,Aránguiz,285,13.0,10.0,12.0,2.0,15.0,1.0,,,,,1.0,,,,,,,,,,
72,Gary Alexis Medel Soto,13,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,,31,Vasco,-0.46,69355,0.0,Medel,4,7,3.74,0.83,True,medel,Medel,267,15.0,,3.0,3.0,9.0,,,,,,,,,,,,1.0,,,,
73,Arturo Erasmo Vidal Pardo,12,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,,31,Athlético-PR,0.0,69375,0.0,Vidal,4,5,5.23,2.21,False,vidal,Vidal,293,16.0,6.0,12.0,5.0,13.0,2.0,,,,,,1.0,,,,,,,,,
74,João Pedro Geraldino dos Santos Galvão,9,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_Vrax1Kc.png,,31,Grêmio,0.0,69686,0.0,J. Galvão,5,6,3.86,0.42,False,joao-pedro-galvao,João Pedro Galvão,284,3.0,4.0,5.0,1.0,14.0,,,,,,,,3.0,,,,,,,,
75,Maycon Vinícius Ferreira da Cruz,15,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,,31,Cruzeiro,0.0,69705,0.0,Nikão,4,6,4.13,2.57,False,nikao,Nikão,283,11.0,5.0,9.0,1.0,4.0,1.0,,,,,2.0,,3.0,1.0,,,,,,,
76,Lucas Rodrigues Moura da Silva,10,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_qMfh0Wo.png,,31,São Paulo,0.0,70164,0.0,L. Moura,5,5,11.07,3.71,False,lucas-moura,Lucas Moura,276,8.0,6.0,23.0,,8.0,3.0,,,,,,1.0,,1.0,,,,1.0,,,
77,Rafael Pereira da Silva,9,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,,31,Botafogo,0.0,70171,0.0,Rafael,2,5,6.7,5.16,False,rafael,Rafael,263,22.0,,5.0,2.0,12.0,1.0,,,5.0,,,,,,,,1.0,,,,
78,Fábio Pereira da Silva,10,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,,31,Grêmio,0.22,70172,2.8,Fábio,2,7,4.13,2.14,True,fabio,Fábio,284,12.0,2.0,3.0,4.0,7.0,,,,,,2.0,,,,,,,,,,
