,atletas.clube_id,atletas.rodada_id,atletas.nome,atletas.media_num,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.apelido,atletas.preco_num,atletas.apelido_abreviado,atletas.slug,atletas.clube.id.full.name,atletas.status_id,atletas.variacao_num,atletas.foto,atletas.pontos_num,atletas.posicao_id,atletas.atleta_id,CA,DS,FC,FF,FS,FD,G,I,SG,A,FT,CV,DE,DP,GC,GS,PS,PC,PP,V
54,276,12,Rafael Pires Monteiro,3.33,12,-0.37,Rafael,7.34,Rafael,rafael,São Paulo,7,-0.5,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,-0.5,1,68928,,,,,2.0,,,,3.0,,,,37.0,,,13.0,,,,
55,283,12,Rafael Cabral Barbosa,4.23,12,7.73,Rafael Cabral,11.35,R. Cabral,rafael-cabral,Cruzeiro,7,1.98,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,12.0,1,68940,1.0,1.0,,,1.0,,,,4.0,,,,41.0,,,11.0,,,,
56,283,12,Luciano Castán da Silva,2.58,11,-0.1,Luciano Castán,5.38,L. Castán,luciano-castan,Cruzeiro,7,0.0,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,0.0,3,68942,3.0,10.0,10.0,1.0,11.0,1.0,,1.0,3.0,,,,,,,,,,,
57,356,12,Mário Sérgio Santos Costa,0.67,4,0.17,Marinho,2.92,Marinho,marinho,Fortaleza,6,0.0,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,0.0,5,68952,1.0,2.0,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,
58,356,12,Lucas Pacheco Affini,3.33,7,-0.04,Lucas Sasha,6.08,L. Sasha,lucas-sasha,Fortaleza,7,-1.14,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,0.0,4,68991,1.0,19.0,10.0,2.0,6.0,,,1.0,,,,,,,,,,,,
59,1371,12,João Carlos Heidemann,0.0,0,3.96,João Carlos,3.0,J. Carlos,joao-carlos,Cuiabá,6,0.0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,0.0,1,69010,,,,,,,,,,,,,,,,,,,,
60,262,12,Aderbar Melo dos Santos Neto,3.25,6,7.75,Santos,9.47,Santos,santos,Flamengo,6,0.0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,0.0,1,69012,,,,,1.0,,,,2.0,,,,17.0,,,8.0,,,,
61,266,12,Manoel Messias Silva Carvalho,1.97,6,2.85,Manoel,5.19,Manoel,manoel,Fluminense,3,0.0,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,0.0,3,69014,1.0,3.0,1.0,,1.0,,,,2.0,,,,,,,,,1.0,,
62,293,12,Marcelo Cirino da Silva,0.0,1,4.75,Marcelo Cirino,3.56,M. Cirino,marcelo-cirino,Athlético-PR,6,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,0.0,5,69022,,,,,,,,,,,,,,,,,,,,
63,264,12,José Paulo Bezerra Maciel Júnior,2.1,4,4.66,Paulinho,4.5,Paulinho,paulinho,Corinthians,5,0.0,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,0.0,4,69034,,6.0,2.0,1.0,2.0,,,,,,,,,,,,,,,
64,277,12,Vladimir Orlando Cardoso de Araújo Filho,0.0,0,5.38,Vladimir,4.0,Vladimir,vladimir,Santos,6,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,0.0,1,69040,,,,,,,,,,,,,,,,,,,,
65,265,12,Danilo Fernandes Batista,7.0,1,4.54,Danilo Fernandes,4.64,D. Fernandes,danilo-fernandes,Bahia,5,1.32,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,7.0,1,69051,1.0,,,,,,,,,,,,7.0,,,,,,,
66,282,12,Eduardo Jesús Vargas Rojas,1.71,8,-0.03,Vargas,4.42,Vargas,vargas,Atlético-MG,6,-0.09,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,0.0,5,69102,2.0,3.0,4.0,1.0,2.0,2.0,1.0,,,,,,,,,,1.0,,,
67,293,12,Pablo Felipe Teixeira,5.0,8,3.11,Pablo,11.51,Pablo,pablo,Athlético-PR,6,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,0.0,5,69138,2.0,10.0,8.0,8.0,9.0,3.0,1.0,1.0,,2.0,,,,,,,,,,
68,262,12,Pablo Nascimento Castro,0.0,0,6.8,Pablo,5.0,Pablo,pablo,Flamengo,6,0.0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,0.0,3,69165,,,,,,,,,,,,,,,,,,,,
69,290,12,Sidimar Fernando Cigolini,1.45,6,2.63,Sidimar,2.61,Sidimar,sidimar,Goiás,6,0.0,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,0.0,3,69189,1.0,3.0,4.0,2.0,5.0,1.0,,,1.0,,,,,,1.0,,,,,
70,284,12,Luis Alberto Suárez Díaz,9.5,10,11.57,Luis Suárez,16.97,L. Suárez,luis-suarez,Grêmio,7,0.5,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,16.3,5,69318,2.0,8.0,12.0,15.0,21.0,12.0,4.0,9.0,,3.0,4.0,,,,,,,,1.0,
71,285,12,Charles Mariano Aránguiz Sandoval,0.0,0,13.9,Aránguiz,10.0,Aránguiz,aranguiz,Internacional,6,0.0,https://s.sde.globo.com/media/person_role/2023/04/02/photo_220x220_AyFyEWO.png,0.0,4,69325,,,,,,,,,,,,,,,,,,,,
72,262,12,Arturo Erasmo Vidal Pardo,2.32,6,-0.59,Vidal,5.71,Vidal,vidal,Flamengo,6,0.0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_dBcN4Gz.png,0.0,4,69375,2.0,5.0,4.0,4.0,5.0,2.0,,,,,1.0,,,,,,,,,
73,283,12,Maycon Vinícius Ferreira da Cruz,0.3,5,2.49,Nikão,3.48,Nikão,nikao,Cruzeiro,6,0.0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,0.0,4,69705,1.0,2.0,4.0,,3.0,,,2.0,,,,,,,,,,,,
74,290,12,Fellipe Ramos Ignez Bastos,-1.0,1,4.54,Fellipe Bastos,3.3,F. Bastos,fellipe-bastos,Goiás,6,0.0,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_2gvVYzL.png,0.0,4,70116,1.0,,,,,,,,,,,,,,,,,,,
75,263,12,Rafael Pereira da Silva,4.86,8,5.47,Rafael,6.58,Rafael,rafael,Botafogo,6,0.67,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,8.5,2,70171,2.0,20.0,11.0,,4.0,1.0,,,4.0,,,1.0,,,,,,,,
76,284,12,Fábio Pereira da Silva,2.75,4,2.37,Fábio,4.63,Fábio,fabio,Grêmio,5,0.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,0.0,2,70172,,4.0,2.0,1.0,2.0,,,,,1.0,,,,,,,,,,
77,284,12,Bruno Uvini,2.09,8,2.51,Bruno Uvini,3.52,B. Uvini,bruno-uvini,Grêmio,7,0.21,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,3.9,3,70221,3.0,4.0,5.0,1.0,4.0,3.0,1.0,,,,1.0,,,,,,,1.0,,
78,280,12,Eduardo Colcenti Antunes,6.0,12,9.87,Eduardo Sasha,12.83,E. Sasha,eduardo-sasha,Bragantino,7,2.12,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,13.8,5,70360,2.0,5.0,9.0,3.0,16.0,4.0,5.0,5.0,,2.0,2.0,,,,,,,,,
79,294,12,Gabriel Vasconcelos Ferreira - Vasconcellos,1.82,11,-0.69,Gabriel,3.58,Gabriel,gabriel,Coritiba,7,-0.53,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ovYbvXA.png,-1.0,1,70449,2.0,,,,,,,,1.0,,,,41.0,,,24.0,,,,
80,1371,12,Marllon Gonçalves Jerônimo Borges,3.29,11,0.72,Marllon,6.76,Marllon,marllon,Cuiabá,7,0.05,https://s.sde.globo.com/media/person_role/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png,1.2,3,70666,3.0,12.0,8.0,2.0,7.0,,1.0,,2.0,1.0,,,,,,,,1.0,,
81,285,12,Enner Remberto Valencia Lastra,0.0,0,16.74,Enner Valencia,12.0,E. Valencia,enner-valencia,Internacional,6,0.0,https://s.sde.globo.com/media/person_role/2023/06/12/photo_FORMATO_M7ylRRT.png,0.0,5,70788,,,,,,,,,,,,,,,,,,,,
