,atletas.entrou_em_campo,atletas.minimo_para_valorizar,atletas.preco_num,atletas.pontos_num,atletas.jogos_num,atletas.clube.id.full.name,atletas.foto,atletas.atleta_id,atletas.posicao_id,atletas.media_num,atletas.status_id,atletas.variacao_num,atletas.apelido_abreviado,atletas.nome,atletas.clube_id,atletas.slug,atletas.apelido,atletas.rodada_id,CA,DS,FC,FF,FS,G,SG,A,FD,PS,I,CV,PC,FT,PP,DE,GS,GC,V,DP,PI
59,False,,5.19,0.0,6,Fluminense,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,69014,3,1.97,3,0.0,Manoel,Manoel Messias Silva Carvalho,266,manoel,Manoel,25,1.0,3.0,1.0,,1.0,,2.0,,,,,,1.0,,,,,,,,
60,False,,3.44,0.0,4,Athlético-PR,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,69022,5,0.6,6,0.0,M. Cirino,Marcelo Cirino da Silva,293,marcelo-cirino,Marcelo Cirino,25,1.0,2.0,2.0,1.0,2.0,,,,,,2.0,,,,,,,,,,
61,False,,4.5,0.0,4,Corinthians,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,69034,4,2.1,5,0.0,Paulinho,José Paulo Bezerra Maciel Júnior,264,paulinho,Paulinho,25,,6.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
62,False,,3.05,0.0,2,Santos,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,69040,1,1.5,6,0.0,Vladimir,Vladimir Orlando Cardoso de Araújo Filho,277,vladimir,Vladimir,25,,,,,,,,,,,,1.0,,,,9.0,6.0,,,,
63,False,,4.64,0.0,1,Bahia,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,69051,1,7.0,6,0.0,D. Fernandes,Danilo Fernandes Batista,265,danilo-fernandes,Danilo Fernandes,25,1.0,,,,,,,,,,,,,,,7.0,,,,,
64,True,,9.83,-0.3,5,São Paulo,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,69063,4,2.72,6,-1.61,J. Rodríguez,James David Rodríguez Rubio,276,james-rodriguez,James Rodríguez,25,,4.0,4.0,1.0,2.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,
65,False,,4.1,0.0,12,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_bAmWcZL.png,69102,5,1.24,6,0.0,Vargas,Eduardo Jesús Vargas Rojas,282,vargas,Vargas,25,3.0,4.0,7.0,2.0,4.0,1.0,,,2.0,1.0,,,,,,,,,,,
66,False,,10.16,0.0,17,Athlético-PR,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,69138,5,4.08,3,0.0,Pablo,Pablo Felipe Teixeira,293,pablo,Pablo,25,3.0,13.0,14.0,12.0,17.0,3.0,,2.0,5.0,,2.0,,,1.0,,,,,,,
67,False,,4.9,0.0,4,Flamengo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,69165,3,3.15,6,0.0,Pablo,Pablo Nascimento Castro,262,pablo,Pablo,25,,3.0,5.0,,1.0,,2.0,,,,,,,,,,,,,,
68,True,,2.29,0.0,11,Goiás,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,69189,3,1.87,6,-0.21,Sidimar,Sidimar Fernando Cigolini,290,sidimar,Sidimar,25,1.0,5.0,7.0,2.0,6.0,,3.0,,1.0,,1.0,,,,,,,1.0,,,
69,True,,17.19,13.5,20,Grêmio,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,69318,5,8.63,7,1.11,L. Suárez,Luis Alberto Suárez Díaz,284,luis-suarez,Luis Suárez,25,4.0,10.0,20.0,27.0,48.0,7.0,,6.0,22.0,,19.0,,,6.0,1.0,,,,,,
70,True,,6.56,0.0,11,Internacional,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,69325,4,1.01,6,-0.26,Aránguiz,Charles Mariano Aránguiz Sandoval,285,aranguiz,Aránguiz,25,1.0,5.0,8.0,5.0,9.0,,,,,,,,,,,,,,,,
71,True,,3.64,-3.0,9,Vasco,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,69355,4,0.95,7,-1.11,Medel,Gary Alexis Medel Soto,267,medel,Medel,25,3.0,13.0,7.0,,2.0,,,,,,,1.0,,,,,,,,,
72,False,,5.23,0.0,12,Athlético-PR,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,69375,4,2.21,5,0.0,Vidal,Arturo Erasmo Vidal Pardo,293,vidal,Vidal,25,5.0,16.0,13.0,6.0,12.0,,,,2.0,,,,,1.0,,,,,,,
73,True,,4.26,0.5,7,Grêmio,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_Vrax1Kc.png,69686,5,0.33,7,0.19,J. Galvão,João Pedro Geraldino dos Santos Galvão,284,joao-pedro-galvao,João Pedro Galvão,25,1.0,3.0,14.0,2.0,5.0,,,,,,2.0,,,,,,,,,,
74,True,,4.48,6.8,12,Cruzeiro,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,69705,4,2.35,7,0.87,Nikão,Maycon Vinícius Ferreira da Cruz,283,nikao,Nikão,25,1.0,7.0,4.0,1.0,7.0,1.0,,2.0,,,3.0,,,,,,,,,,
75,True,,12.25,4.7,6,São Paulo,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_qMfh0Wo.png,70164,5,5.32,7,0.01,L. Moura,Lucas Rodrigues Moura da Silva,276,lucas-moura,Lucas Moura,25,,7.0,3.0,5.0,16.0,1.0,,,2.0,,,,1.0,1.0,,,,,,,
76,False,,6.7,0.0,9,Botafogo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,70171,2,5.16,5,0.0,Rafael,Rafael Pereira da Silva,263,rafael,Rafael,25,2.0,22.0,12.0,,5.0,,5.0,,1.0,,,1.0,,,,,,,,,
77,True,,3.79,0.0,8,Grêmio,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,70172,2,2.18,6,0.0,Fábio,Fábio Pereira da Silva,284,fabio,Fábio,25,3.0,8.0,5.0,1.0,3.0,,,2.0,,,,,,,,,,,,,
78,False,,4.33,0.0,14,Grêmio,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,70221,3,2.32,6,0.0,B. Uvini,Bruno Uvini,284,bruno-uvini,Bruno Uvini,25,4.0,8.0,10.0,4.0,6.0,1.0,2.0,,3.0,,,,1.0,1.0,,,,,,,
