,atletas.apelido,atletas.variacao_num,atletas.clube_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.preco_num,atletas.posicao_id,atletas.media_num,atletas.atleta_id,atletas.clube.id.full.name,atletas.slug,atletas.apelido_abreviado,atletas.foto,atletas.rodada_id,atletas.nome,atletas.status_id
70,Sidimar,0,290,0,1.76,0,3,3,0,69189,Goiás,sidimar,Sidimar,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,1,Sidimar Fernando Cigolini,6
71,Luis Suárez,0,284,0,13.49,0,23,5,0,69318,Grêmio,luis-suarez,L. Suárez,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,1,Luis Alberto Suárez Díaz,7
72,Aránguiz,0,285,0,5.86,0,10,4,0,69325,Internacional,aranguiz,Aránguiz,https://s.sde.globo.com/media/person_role/2023/04/02/photo_220x220_AyFyEWO.png,1,Charles Mariano Aránguiz Sandoval,5
73,Vidal,0,262,0,4.69,0,8,4,0,69375,Flamengo,vidal,Vidal,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_dBcN4Gz.png,1,Arturo Erasmo Vidal Pardo,6
74,Nikão,0,283,0,7.04,0,12,4,0,69705,Cruzeiro,nikao,Nikão,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,1,Maycon Vinícius Ferreira da Cruz,6
75,Fellipe Bastos,0,290,0,2.93,0,5,4,0,70116,Goiás,fellipe-bastos,F. Bastos,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_2gvVYzL.png,1,Fellipe Ramos Ignez Bastos,2
76,Rafael,0,263,0,2.93,0,5,2,0,70171,Botafogo,rafael,Rafael,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,1,Rafael Pereira da Silva,2
77,Fábio,0,284,0,2.93,0,5,2,0,70172,Grêmio,fabio,Fábio,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,1,Fábio Pereira da Silva,6
78,Bruno Uvini,0,284,0,2.35,0,4,3,0,70221,Grêmio,bruno-uvini,B. Uvini,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,1,Bruno Uvini,6
79,Eduardo Sasha,0,280,0,2.93,0,5,5,0,70360,Bragantino,eduardo-sasha,E. Sasha,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,1,Eduardo Colcenti Antunes,6
80,Gabriel,0,294,0,2.93,0,5,1,0,70449,Coritiba,gabriel,Gabriel,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ovYbvXA.png,1,Gabriel Vasconcelos Ferreira - Vasconcellos,7
81,Marllon,0,1371,0,2.93,0,5,3,0,70666,Cuiabá,marllon,Marllon,https://s.sde.globo.com/media/person_role/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png,1,Marllon Gonçalves Jerônimo Borges,7
82,Diogo Barbosa,0,284,0,2.93,0,5,2,0,70916,Grêmio,diogo-barbosa,D. Barbosa,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_hD7TNLn.png,1,Diogo Barbosa Mendanha,7
83,Léo Cittadini,0,293,0,2.93,0,5,4,0,70986,Athlético-PR,leo-cittadini,L. Cittadini,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_iZBbl8l.png,1,Leonardo Cittadini,6
84,Vina,0,284,0,5.28,0,9,4,0,71162,Grêmio,vina,Vina,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_q8oUM9e.png,1,Vinícius Goes Barbosa de Souza,7
85,Maicon,0,277,0,4.11,0,7,3,0,71227,Santos,maicon,Maicon,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_NcXdUCj.png,1,Maicon Pereira Roque,6
86,Fernando Miguel,0,356,0,5.86,0,10,1,0,71571,Fortaleza,fernando-miguel,F. Miguel,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_LYpf6Gz.png,1,Fernando Miguel Kaufmann,7
87,Weverton,0,275,0,11.14,0,19,1,0,71631,Palmeiras,weverton,Weverton,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_PN9nfV7.png,1,Weverton Pereira da Silva,7
88,Gustavo Gómez,0,275,0,10.56,0,18,3,0,71684,Palmeiras,gustavo-gomez,G. Gómez,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_WsvPa3o.png,1,Gustavo Raúl Gómez Portillo,7
89,Júnior Urso,0,294,0,2.93,0,5,4,0,71829,Coritiba,junior-urso,J. Urso,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7ft8zu4.png,1,Ocimar de Almeida Júnior,6
90,Thiago Galhardo,0,356,0,6.45,0,11,5,0,71844,Fortaleza,thiago-galhardo,T. Galhardo,https://s.sde.globo.com/media/person_role/2022/07/16/27deb38ffaefdd66a10d7f246dcc678f_FORMATO.png,1,Thiago Galhardo do Nascimento Rocha,7
91,Gabriel Pires,0,263,0,3.52,0,6,4,0,71898,Botafogo,gabriel-pires,G. Pires,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_wzlbP45.png,1,Gabriel Appelt Pires,2
92,Danilo Avelar,0,327,0,2.35,0,4,3,0,72142,América-MG,danilo-avelar,D. Avelar,https://s.sde.globo.com/media/person_role/2022/04/12/2a7b85e6015605e0770fe393faf72a9a_FORMATO.png,1,Danilo Fernando Avelar,6
93,Everson,0,282,0,2.93,0,5,1,0,72294,Atlético-MG,everson,Everson,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_XhJDp6n.png,1,Everson Felipe Marques Pires,7
94,Felipe Alves,0,276,0,3.52,0,6,1,0,72372,São Paulo,felipe-alves,F. Alves,https://s.sde.globo.com/media/person_role/2022/08/16/19b70a0ace7230f7a5033ad9270abf7e_FORMATO.png,1,Felipe Alves Raymundo,6
95,Fernando Diniz,0,266,0,6.45,0,11,6,0,72391,Fluminense,fernando-diniz,F. Diniz,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_dcBENR5.png,1,Fernando Diniz Silva,7
96,Gustavo Campanharo,0,285,0,3.52,0,6,4,0,72497,Internacional,gustavo-campanharo,G. Campanharo,https://s.sde.globo.com/media/person_role/2023/04/02/photo_FORMATO_Fbab3V0.png,1,Gustavo Campanharo,6
97,Nicolas,0,290,0,4.11,0,7,5,0,72524,Goiás,nicolas,Nicolas,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_6JPuoS2.png,1,Nicolas Godinho Johann,7
98,Maguinho,0,290,0,2.35,0,4,2,0,72532,Goiás,maguinho,Maguinho,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_r03QzyK.png,1,Magno José da Silva,6
99,Matheus Cavichioli,0,327,0,4.69,0,8,1,0,72580,América-MG,matheus-cavichioli,M. Cavichioli,https://s.sde.globo.com/media/person_role/2021/06/04/4b9a4cd7759d0ef36a25a02c4b9cf8a8_FORMATO.png,1,Matheus Fernando Cavichioli,7
100,Pedro Henrique,0,285,0,7.04,0,12,5,0,72583,Internacional,pedro-henrique,P. Henrique,https://s.sde.globo.com/media/person_role/2022/04/12/5422d339b6546dc0505e80e10b027269_FORMATO.png,1,Pedro Henrique Konzen Medina da Silva,2
101,Maurício Kozlinski,0,356,0,2.93,0,5,1,0,72595,Fortaleza,mauricio-kozlinski,M. Kozlinski,https://s.sde.globo.com/media/person_role/2023/03/21/photo_FORMATO_1CFG8Id.png,1,Maurício Kozlinski,6
102,Vitor Hugo,0,265,0,4.11,0,7,3,0,72605,Bahia,vitor-hugo,V. Hugo,https://s.sde.globo.com/media/person_role/2023/04/03/photo_220x220_vx6atD2.png,1,Vitor Hugo Franchescoli de Souza,6
103,Ceppelini,0,1371,0,2.35,0,4,4,0,72762,Cuiabá,ceppelini,Ceppelini,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_l5sEyLV.png,1,Pablo Daniel Ceppelini Gatto,7
104,Luiz Adriano,0,285,0,4.69,0,8,5,0,72772,Internacional,luiz-adriano,L. Adriano,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_SJwFoxe.png,1,Luiz Adriano de Souza da Silva,2
105,Fernandinho,0,293,0,5.86,0,10,4,0,72775,Athlético-PR,fernandinho,Fernandinho,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_X6EpiKc.png,1,Fernando Luiz Rosa,7
106,Mercado,0,285,0,3.52,0,6,3,0,72951,Internacional,mercado,Mercado,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_rOFNbA7.png,1,Gabriel Iván Mercado,7
107,Daniel Borges,0,263,0,2.35,0,4,2,0,73318,Botafogo,daniel-borges,D. Borges,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_KcG4Ldd.png,1,Daniel Fortunato Borges,6
108,Samuel Xavier,0,266,0,4.11,0,7,2,0,73384,Fluminense,samuel-xavier,S. Xavier,https://s.sde.globo.com/media/person_role/2022/04/20/ad95f595cd71bcb7d7b91177716e1d33_FORMATO.png,1,Samuel Xavier Brito,7
109,Jean Dias,0,285,0,,0,3,5,0,73479,Internacional,jean-dias,J. Dias,https://s.sde.globo.com/media/person_role/2023/04/10/photo_FORMATO_UU1DWbN.png,1,Jean Dias da Costa,6
110,Bruno Alves,0,284,0,4.69,0,8,3,0,73620,Grêmio,bruno-alves,B. Alves,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_QXt8Pw7.png,1,Bruno Fabiano Alves,7
111,Rodrigo Caio,0,262,0,3.52,0,6,3,0,73800,Flamengo,rodrigo-caio,R. Caio,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8nCiWcT.png,1,Rodrigo Caio Coquette Russo,6
112,Aloísio,0,327,0,2.93,0,5,5,0,73850,América-MG,aloisio,Aloísio,https://s.sde.globo.com/media/person_role/2022/03/31/a411b722d7d0edc88f871c1a48191dc1_FORMATO.png,1,Aloísio dos Santos Gonçalves,6
113,Alison,0,277,0,2.93,0,5,4,0,73974,Santos,alison,Alison,https://s.sde.globo.com/media/person_role/2021/05/04/83ae4938b05e0e1d67ad49af17785e89_FORMATO.png,1,Alison Lopes Ferreira,6
114,Gatito Fernández,0,263,0,4.69,0,8,1,0,74061,Botafogo,gatito-fernandez,G. Fernández,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_zKZCWAI.png,1,Roberto Junior Fernández Torres,6
115,Lucas Piazon,0,263,0,2.35,0,4,4,0,74084,Botafogo,lucas-piazon,L. Piazon,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_8iJQEr4.png,1,Gustavo Lucas Domingues Piazón,6
