,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.nome,atletas.slug,atletas.preco_num,atletas.apelido,atletas.status_id,atletas.posicao_id,atletas.media_num,atletas.variacao_num,atletas.clube_id,atletas.atleta_id,atletas.foto,CA,DS,FC,FD,FF,FS,G,I,FT,SG,CV,PS,DE,GS,DP,A,PC,PP,V,GC
54,Cruzeiro,4.82,8.2,6,R. Cabral,6,Rafael Cabral Barbosa,rafael-cabral,11.55,Rafael Cabral,7,1,6.12,1.26,283,68940,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,,1.0,,,,1.0,,,,3.0,,,25.0,5.0,,,,,,
55,Cruzeiro,3.16,5.5,6,L. Castán,6,Luciano Castán da Silva,luciano-castan,6.33,Luciano Castán,7,3,3.63,0.86,283,68942,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,1.0,4.0,5.0,1.0,1.0,5.0,,,,3.0,,,,,,,,,,
56,Flamengo,0.87,0.0,4,Marinho,6,Mário Sérgio Santos Costa,marinho,2.92,Marinho,6,5,0.67,0.0,262,68952,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_eiyBkCZ.png,1.0,2.0,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,
57,Fortaleza,3.11,5.4,5,L. Sasha,6,Lucas Pacheco Affini,lucas-sasha,7.01,Lucas Sasha,6,4,3.64,-0.24,356,68991,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,1.0,16.0,9.0,,1.0,4.0,,1.0,,,,,,,,,,,,
58,Cuiabá,3.39,0.0,0,J. Carlos,6,João Carlos Heidemann,joao-carlos,3.0,João Carlos,6,1,0.0,0.0,1371,69010,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,,,,,,,,,,,,,,,,,,,,
59,Flamengo,1.5,2.0,5,Santos,6,Aderbar Melo dos Santos Neto,santos,8.32,Santos,7,1,2.3,-0.72,262,69012,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,,,,,,1.0,,,,1.0,,,14.0,8.0,,,,,,
60,Fluminense,3.01,5.0,3,Manoel,6,Manoel Messias Silva Carvalho,manoel,6.13,Manoel,6,3,3.07,0.49,266,69014,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,1.0,1.0,,,,,,,,2.0,,,,,,,1.0,,,
61,Athlético-PR,5.65,0.0,0,M. Cirino,6,Marcelo Cirino da Silva,marcelo-cirino,5.0,Marcelo Cirino,5,5,0.0,0.0,293,69022,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,,,,,,,,,,,,,,,,,,,,
62,Coritiba,2.4,4.03,4,A. Zago,6,Antônio Carlos Zago,antonio-carlos-zago,5.99,Antônio Carlos Zago,7,6,3.89,0.31,294,69029,https://s.sde.globo.com/media/person_role/2023/05/10/photo_FORMATO_QhbNvRM.png,,,,,,,,,,,,,,,,,,,,
63,Corinthians,2.41,0.0,3,Paulinho,6,José Paulo Bezerra Maciel Júnior,paulinho,4.39,Paulinho,6,4,1.53,0.0,264,69034,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
64,Santos,4.52,0.0,0,Vladimir,6,Vladimir Orlando Cardoso de Araújo Filho,vladimir,4.0,Vladimir,6,1,0.0,0.0,277,69040,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,,,,,,,,,,,,,,,,,,,,
65,Bahia,5.65,0.0,0,D. Fernandes,6,Danilo Fernandes Batista,danilo-fernandes,5.0,Danilo Fernandes,6,1,0.0,0.0,265,69051,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,,,,,,,,,,,,,,,,,,,,
66,Atlético-MG,5.2,9.2,4,Vargas,6,Eduardo Jesús Vargas Rojas,vargas,5.9,Vargas,7,5,2.43,1.95,282,69102,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,1.0,3.0,3.0,,,,1.0,,,,,,,,,,,,,
67,Athlético-PR,8.57,15.0,6,Pablo,6,Pablo Felipe Teixeira,pablo,13.37,Pablo,7,5,5.92,2.49,293,69138,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,2.0,10.0,8.0,1.0,6.0,8.0,1.0,1.0,,,,,,,,2.0,,,,
68,Flamengo,5.65,0.0,0,Pablo,6,Pablo Nascimento Castro,pablo,5.0,Pablo,6,3,0.0,0.0,262,69165,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,,,,,,,,,,,,,,,,,,,,
69,Goiás,0.22,0.2,4,Sidimar,6,Sidimar Fernando Cigolini,sidimar,1.76,Sidimar,6,3,0.5,-0.26,290,69189,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,1.0,2.0,4.0,1.0,2.0,4.0,,,,,,,,,,,,,,1.0
70,Grêmio,2.94,4.6,5,L. Suárez,6,Luis Alberto Suárez Díaz,luis-suarez,12.48,Luis Suárez,7,5,5.42,-1.7,284,69318,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,1.0,4.0,4.0,8.0,3.0,12.0,1.0,5.0,1.0,,,,,,,,,1.0,,
71,Internacional,11.3,0.0,0,Aránguiz,6,Charles Mariano Aránguiz Sandoval,aranguiz,10.0,Aránguiz,5,4,0.0,0.0,285,69325,https://s.sde.globo.com/media/person_role/2023/04/02/photo_220x220_AyFyEWO.png,,,,,,,,,,,,,,,,,,,,
