,atletas.clube.id.full.name,atletas.posicao_id,atletas.jogos_num,atletas.atleta_id,atletas.nome,atletas.pontos_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.status_id,atletas.slug,atletas.apelido,atletas.media_num,atletas.clube_id,atletas.preco_num,atletas.foto,CA,DS,FC,FD,FF,FS,FT,G,SG,A,I,V,PP,PS,DE,GS,CV,DP,GC,PC
42,Internacional,3,6,63354,Rodrigo Modesto da Silva Moledo,0.0,11,R. Moledo,,0.0,6,rodrigo-moledo,Rodrigo Moledo,1.47,285,2.86,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,3.0,4.0,2.0,1.0,,3.0,,,1.0,,1.0,,,,,,,,,
43,Internacional,4,10,68685,Alan Patrick Lourenço,2.4,11,A. Patrick,,0.03,7,alan-patrick,Alan Patrick,3.08,285,9.05,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,2.0,4.0,7.0,4.0,4.0,24.0,,,,2.0,,,,,,,,,,
44,Botafogo,4,9,68708,Carlos Eduardo de Oliveira Alves,0.0,11,Eduardo,,0.0,7,eduardo,Eduardo,5.32,263,12.86,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,3.0,7.0,15.0,1.0,1.0,22.0,1.0,2.0,,3.0,,,,,,,,,,
45,Atlético-MG,2,1,68727,José Rodolfo Pires Ribeiro,0.0,11,Dodô,,0.0,6,dodo,Dodô,2.2,282,3.94,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qpaSZSL.png,,1.0,,,,2.0,,,,,,,,,,,,,,
46,Santos,4,5,68770,Guilherme de Aguiar Camacho,0.0,11,Camacho,,0.0,6,camacho,Camacho,1.06,277,1.91,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,1.0,10.0,12.0,,,2.0,,,,,1.0,,,,,,1.0,,,
47,América-MG,5,3,68773,Henrique Almeida Caixeta Nascentes,0.0,11,H. Almeida,,0.0,6,henrique-almeida,Henrique Almeida,1.17,327,3.37,https://s.sde.globo.com/media/person_role/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,,,3.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,1.0
48,Palmeiras,1,1,68872,Marcelo Lomba do Nascimento,1.0,11,M. Lomba,,-2.11,6,marcelo-lomba,Marcelo Lomba,1.0,275,5.89,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,,,,,,,,,,,,,,,2.0,1.0,,,,
49,Cuiabá,5,10,68895,Wellington Alves da Silva,0.5,11,W. Silva,,-0.09,7,wellington-silva,Wellington Silva,1.7,1371,3.5,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,1.0,7.0,3.0,2.0,2.0,13.0,,,,,1.0,,,,,,,,,
50,Grêmio,5,0,68911,Diego Souza de Andrade,0.0,11,D. Souza,,0.0,5,diego-souza,Diego Souza,0.0,284,7.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_rWsMyzy.png,,,,,,,,,,,,,,,,,,,,
51,Goiás,5,6,68917,Vinicius Santos Silva,0.0,11,Vinicius,,0.0,6,vinicius,Vinicius,3.58,290,7.3,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,1.0,9.0,4.0,4.0,6.0,7.0,,,,,2.0,,,,,,,,,
52,Palmeiras,5,11,68920,Eduardo Pereira Rodrigues,3.8,11,Dudu,,0.43,7,dudu,Dudu,6.32,275,15.31,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,,5.0,6.0,7.0,9.0,32.0,1.0,2.0,,3.0,3.0,,,,,,,,,
53,Corinthians,3,10,68923,Carlos Gilberto do Nascimento Silva,5.5,11,Gil,,0.18,7,gil,Gil,2.25,264,5.21,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,3.0,9.0,12.0,3.0,4.0,3.0,,,2.0,,,,,,,,,,,
54,São Paulo,1,11,68928,Rafael Pires Monteiro,2.0,11,Rafael,,0.27,7,rafael,Rafael,3.68,276,7.84,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,,,,,,1.0,,,3.0,,,,,,37.0,12.0,,,,
55,Cruzeiro,1,11,68940,Rafael Cabral Barbosa,1.0,11,R. Cabral,,-0.09,7,rafael-cabral,Rafael Cabral,3.52,283,9.37,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,1.0,1.0,,,,1.0,,,3.0,,,,,,34.0,11.0,,,,
56,Cruzeiro,3,11,68942,Luciano Castán da Silva,-0.6,11,L. Castán,,-0.33,3,luciano-castan,Luciano Castán,2.58,283,5.38,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,3.0,10.0,10.0,1.0,1.0,11.0,,,3.0,,1.0,,,,,,,,,
57,Fortaleza,5,4,68952,Mário Sérgio Santos Costa,0.0,11,Marinho,,0.0,6,marinho,Marinho,0.67,356,2.92,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,1.0,2.0,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,
58,Fortaleza,4,6,68991,Lucas Pacheco Affini,0.0,11,L. Sasha,,0.0,6,lucas-sasha,Lucas Sasha,3.88,356,7.22,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,1.0,19.0,10.0,,2.0,6.0,,,,,1.0,,,,,,,,,
59,Cuiabá,1,0,69010,João Carlos Heidemann,0.0,11,J. Carlos,,0.0,6,joao-carlos,João Carlos,0.0,1371,3.0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,,,,,,,,,,,,,,,,,,,,
60,Flamengo,1,6,69012,Aderbar Melo dos Santos Neto,0.0,11,Santos,,0.0,6,santos,Santos,3.25,262,9.47,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,,,,,,1.0,,,2.0,,,,,,17.0,8.0,,,,
61,Fluminense,3,6,69014,Manoel Messias Silva Carvalho,0.0,11,Manoel,,0.0,3,manoel,Manoel,1.97,266,5.19,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,1.0,3.0,1.0,,,1.0,,,2.0,,,,,,,,,,,1.0
62,Athlético-PR,5,1,69022,Marcelo Cirino da Silva,0.0,11,M. Cirino,,-1.44,6,marcelo-cirino,Marcelo Cirino,0.0,293,3.56,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,,,,,,,,,,,,,,,,,,,,
63,Coritiba,6,9,69029,Antônio Carlos Zago,2.48,11,A. Zago,,-0.47,7,antonio-carlos-zago,Antônio Carlos Zago,3.68,294,6.39,https://s.sde.globo.com/media/person_role/2023/05/10/photo_FORMATO_QhbNvRM.png,,,,,,,,,,,,,,,,,,,,
64,Corinthians,4,4,69034,José Paulo Bezerra Maciel Júnior,0.0,11,Paulinho,,0.0,5,paulinho,Paulinho,2.1,264,4.5,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,,
65,Santos,1,0,69040,Vladimir Orlando Cardoso de Araújo Filho,0.0,11,Vladimir,,0.0,6,vladimir,Vladimir,0.0,277,4.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,,,,,,,,,,,,,,,,,,,,
66,Bahia,1,0,69051,Danilo Fernandes Batista,0.0,11,D. Fernandes,,0.0,6,danilo-fernandes,Danilo Fernandes,-1.0,265,3.32,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,1.0,,,,,,,,,,,,,,,,,,,
67,Atlético-MG,5,7,69102,Eduardo Jesús Vargas Rojas,0.0,11,Vargas,,-0.2,6,vargas,Vargas,1.95,282,4.51,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,2.0,3.0,4.0,2.0,1.0,2.0,,1.0,,,,,,1.0,,,,,,
68,Athlético-PR,5,8,69138,Pablo Felipe Teixeira,0.0,11,Pablo,,0.0,6,pablo,Pablo,5.0,293,11.51,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,2.0,10.0,8.0,3.0,8.0,9.0,,1.0,,2.0,1.0,,,,,,,,,
69,Flamengo,3,0,69165,Pablo Nascimento Castro,0.0,11,Pablo,,0.0,6,pablo,Pablo,0.0,262,5.0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,,,,,,,,,,,,,,,,,,,,
70,Goiás,3,6,69189,Sidimar Fernando Cigolini,5.0,11,Sidimar,,0.69,6,sidimar,Sidimar,1.45,290,2.61,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,1.0,3.0,4.0,1.0,2.0,5.0,,,1.0,,,,,,,,,,1.0,
71,Grêmio,5,9,69318,Luis Alberto Suárez Díaz,17.6,11,L. Suárez,,2.47,7,luis-suarez,Luis Suárez,8.75,284,16.47,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,2.0,8.0,11.0,11.0,13.0,19.0,4.0,3.0,,2.0,7.0,,1.0,,,,,,,
72,Internacional,4,0,69325,Charles Mariano Aránguiz Sandoval,0.0,11,Aránguiz,,0.0,5,aranguiz,Aránguiz,0.0,285,10.0,https://s.sde.globo.com/media/person_role/2023/04/02/photo_220x220_AyFyEWO.png,,,,,,,,,,,,,,,,,,,,
73,Flamengo,4,6,69375,Arturo Erasmo Vidal Pardo,0.0,11,Vidal,,0.0,6,vidal,Vidal,2.32,262,5.71,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_dBcN4Gz.png,2.0,5.0,4.0,2.0,4.0,5.0,1.0,,,,,,,,,,,,,
74,Cruzeiro,4,5,69705,Maycon Vinícius Ferreira da Cruz,0.0,11,Nikão,,0.0,6,nikao,Nikão,0.3,283,3.48,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,1.0,2.0,4.0,,,3.0,,,,,2.0,,,,,,,,,
75,Goiás,4,1,70116,Fellipe Ramos Ignez Bastos,0.0,11,F. Bastos,,0.0,6,fellipe-bastos,Fellipe Bastos,-1.0,290,3.3,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_2gvVYzL.png,1.0,,,,,,,,,,,,,,,,,,,
76,Botafogo,2,7,70171,Rafael Pereira da Silva,6.4,11,Rafael,,0.42,6,rafael,Rafael,4.34,263,5.91,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,2.0,17.0,9.0,1.0,,3.0,,,3.0,,,,,,,,1.0,,,
77,Grêmio,2,4,70172,Fábio Pereira da Silva,0.0,11,Fábio,,0.0,5,fabio,Fábio,2.75,284,4.63,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,,4.0,2.0,,1.0,2.0,,,,1.0,,,,,,,,,,
78,Grêmio,3,7,70221,Bruno Uvini,0.0,11,B. Uvini,,0.0,6,bruno-uvini,Bruno Uvini,1.83,284,3.31,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,3.0,3.0,4.0,3.0,1.0,4.0,,1.0,,,,,,,,,,,,1.0
79,Bragantino,5,11,70360,Eduardo Colcenti Antunes,2.4,11,E. Sasha,,-0.81,7,eduardo-sasha,Eduardo Sasha,5.29,280,10.71,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,2.0,4.0,7.0,3.0,3.0,14.0,1.0,4.0,,2.0,5.0,,,,,,,,,
80,Coritiba,1,10,70449,Gabriel Vasconcelos Ferreira - Vasconcellos,2.0,11,Gabriel,,-0.85,7,gabriel,Gabriel,2.1,294,4.11,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ovYbvXA.png,2.0,,,,,,,,1.0,,,,,,37.0,19.0,,,,
