,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.nome,atletas.clube.id.full.name,atletas.slug,atletas.jogos_num,atletas.status_id,atletas.entrou_em_campo,atletas.rodada_id,atletas.pontos_num,atletas.apelido,atletas.media_num,atletas.atleta_id,atletas.clube_id,atletas.apelido_abreviado,atletas.preco_num,atletas.variacao_num,atletas.foto,A,CA,DS,FC,FD,FF,FS,FT,G,I,CV,PC,SG,PS,PP,DE,GS,PI,DP,GC,V
51,,3,Carlos Gilberto do Nascimento Silva,Corinthians,gil,17,7,True,19,10.7,Gil,2.94,68923,264,Gil,6.61,1.72,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,,5.0,19.0,15.0,3.0,4.0,4.0,,1.0,3.0,,,4.0,,,,,,,,
52,,1,Rafael Pires Monteiro,São Paulo,rafael,17,6,False,19,0.0,Rafael,3.3,68928,276,Rafael,7.2,0.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,,,1.0,,,,2.0,,,,,,5.0,,,47.0,18.0,,,,
53,,1,Rafael Cabral Barbosa,Cruzeiro,rafael-cabral,18,7,True,19,2.0,Rafael Cabral,4.15,68940,283,R. Cabral,10.1,0.45,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,,3.0,1.0,,,,1.0,,,,,1.0,7.0,,,58.0,16.0,,,,
54,,3,Luciano Castán da Silva,Cruzeiro,luciano-castan,18,7,True,19,0.9,Luciano Castán,2.98,68942,283,L. Castán,6.03,-0.82,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,,5.0,13.0,16.0,3.0,3.0,14.0,,,1.0,,,7.0,,,,,,,,
55,,5,Mário Sérgio Santos Costa,Fortaleza,marinho,10,7,True,19,4.0,Marinho,2.04,68952,356,Marinho,3.44,0.17,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,,2.0,4.0,10.0,5.0,5.0,22.0,,,4.0,,,,,,,,,,,
56,,4,Lucas Pacheco Affini,Fortaleza,lucas-sasha,10,6,True,19,0.2,Lucas Sasha,2.92,68991,356,L. Sasha,5.77,-0.57,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,,2.0,25.0,17.0,,3.0,8.0,,,1.0,,,,,,,,,,,
57,,1,João Carlos Heidemann,Cuiabá,joao-carlos,0,6,False,19,0.0,João Carlos,0.0,69010,1371,J. Carlos,3.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,,,,,,,,,,,,,,,,,,,,,
58,,1,Aderbar Melo dos Santos Neto,Flamengo,santos,6,6,False,19,0.0,Santos,3.25,69012,262,Santos,9.47,0.0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,,,,,,,1.0,,,,,,2.0,,,17.0,8.0,,,,
59,,3,Manoel Messias Silva Carvalho,Fluminense,manoel,6,3,False,19,0.0,Manoel,1.97,69014,266,Manoel,5.19,0.0,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,,1.0,3.0,1.0,,,1.0,,,,,1.0,2.0,,,,,,,,
60,,5,Marcelo Cirino da Silva,Athlético-PR,marcelo-cirino,4,6,False,19,0.0,Marcelo Cirino,0.6,69022,293,M. Cirino,3.44,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,,1.0,2.0,2.0,,1.0,2.0,,,2.0,,,,,,,,,,,
61,,4,José Paulo Bezerra Maciel Júnior,Corinthians,paulinho,4,5,False,19,0.0,Paulinho,2.1,69034,264,Paulinho,4.5,0.0,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,,
62,,1,Vladimir Orlando Cardoso de Araújo Filho,Santos,vladimir,2,7,True,19,3.0,Vladimir,1.5,69040,277,Vladimir,3.05,0.44,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,,,,,,,,,,,1.0,,,,,9.0,6.0,,,,
63,,1,Danilo Fernandes Batista,Bahia,danilo-fernandes,1,6,False,19,0.0,Danilo Fernandes,7.0,69051,265,D. Fernandes,4.64,0.0,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,,1.0,,,,,,,,,,,,,,7.0,,,,,
64,,4,James David Rodríguez Rubio,São Paulo,james-rodriguez,1,6,True,19,1.7,James Rodríguez,1.7,69063,276,J. Rodríguez,11.44,-3.56,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
65,,5,Eduardo Jesús Vargas Rojas,Atlético-MG,vargas,11,6,False,19,0.0,Vargas,1.24,69102,282,Vargas,3.95,0.0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,,3.0,3.0,7.0,2.0,2.0,4.0,,1.0,,,,,1.0,,,,,,,
66,,5,Pablo Felipe Teixeira,Athlético-PR,pablo,12,6,False,19,0.0,Pablo,5.47,69138,293,Pablo,12.03,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,2.0,2.0,13.0,9.0,3.0,9.0,14.0,1.0,3.0,1.0,,,,,,,,,,,
67,,3,Pablo Nascimento Castro,Flamengo,pablo,3,6,False,19,0.0,Pablo,1.43,69165,262,Pablo,3.62,0.0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,,,,4.0,,,1.0,,,,,,1.0,,,,,,,,
68,,3,Sidimar Fernando Cigolini,Goiás,sidimar,9,5,False,19,0.0,Sidimar,2.14,69189,290,Sidimar,2.99,0.0,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,,1.0,4.0,6.0,1.0,2.0,5.0,,,,,,3.0,,,,,,,1.0,
69,,5,Luis Alberto Suárez Díaz,Grêmio,luis-suarez,15,7,True,19,6.0,Luis Suárez,8.02,69318,284,L. Suárez,15.34,0.31,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,4.0,3.0,8.0,14.0,19.0,21.0,33.0,5.0,4.0,14.0,,,,,1.0,,,,,,
70,,4,Charles Mariano Aránguiz Sandoval,Internacional,aranguiz,7,7,True,19,0.7,Aránguiz,1.2,69325,285,Aránguiz,6.98,-0.05,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,,,4.0,6.0,,3.0,6.0,,,,,,,,,,,,,,
71,,4,Gary Alexis Medel Soto,Vasco,medel,4,7,True,19,2.8,Medel,2.2,69355,267,Medel,5.2,0.36,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,,1.0,9.0,5.0,,,1.0,,,,,,,,,,,,,,
72,,4,Arturo Erasmo Vidal Pardo,Athlético-PR,vidal,9,6,False,19,0.0,Vidal,2.47,69375,293,Vidal,5.62,0.0,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,,3.0,11.0,8.0,2.0,5.0,10.0,1.0,,,,,,,,,,,,,
73,,5,João Pedro Geraldino dos Santos Galvão,Grêmio,joao-pedro-galvao,1,7,True,19,2.1,João Pedro Galvão,2.1,69686,284,J. Galvão,5.82,-1.18,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_Vrax1Kc.png,,,2.0,1.0,,,,,,,,,,,,,,,,,
74,,4,Maycon Vinícius Ferreira da Cruz,Cruzeiro,nikao,7,6,False,19,0.0,Nikão,0.63,69705,283,Nikão,3.01,0.0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,,1.0,4.0,4.0,,,4.0,,,2.0,,,,,,,,,,,
75,,5,Lucas Rodrigues Moura da Silva,São Paulo,lucas-moura,2,7,True,19,12.5,Lucas Moura,9.0,70164,276,L. Moura,14.39,2.56,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_qMfh0Wo.png,,,5.0,1.0,,1.0,3.0,1.0,1.0,,,1.0,,,,,,,,,
76,,2,Rafael Pereira da Silva,Botafogo,rafael,9,5,False,19,0.0,Rafael,5.16,70171,263,Rafael,6.7,0.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,,2.0,22.0,12.0,1.0,,5.0,,,,1.0,,5.0,,,,,,,,
77,,2,Fábio Pereira da Silva,Grêmio,fabio,6,7,True,19,6.1,Fábio,3.13,70172,284,Fábio,4.94,0.78,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,2.0,1.0,7.0,3.0,,1.0,3.0,,,,,,,,,,,,,,
78,,3,Bruno Uvini,Grêmio,bruno-uvini,13,6,False,19,0.0,Bruno Uvini,1.86,70221,284,B. Uvini,2.97,0.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,,4.0,5.0,9.0,3.0,4.0,6.0,1.0,1.0,,,1.0,1.0,,,,,,,,
79,,5,Diego da Silva Costa,Botafogo,diego-costa,0,6,False,19,0.0,Diego Costa,0.0,70316,263,D. Costa,10.0,0.0,https://s.sde.globo.com/media/person_role/2023/08/12/photo_220x220_RCzvL0a.png,,,,,,,,,,,,,,,,,,,,,
80,,5,Eduardo Colcenti Antunes,Bragantino,eduardo-sasha,18,6,False,19,0.0,Eduardo Sasha,5.21,70360,280,E. Sasha,11.09,0.0,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,2.0,2.0,8.0,14.0,5.0,10.0,26.0,2.0,6.0,6.0,,,,,,,,,,,
