,atletas.nome,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.jogos_num,atletas.preco_num,atletas.atleta_id,atletas.variacao_num,atletas.posicao_id,atletas.apelido_abreviado,atletas.slug,atletas.clube.id.full.name,atletas.media_num,atletas.apelido,atletas.foto,atletas.status_id,atletas.clube_id,A,DS,FC,FD,FF,FS,FT,G,I,CA,SG,PS,DE,GS,PC,CV,DP,PP,V,GC
52,Eduardo Pereira Rodrigues,13.2,,9,9,16.92,68920,0.92,5,Dudu,dudu,Palmeiras,7.23,Dudu,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,7,275,3.0,5.0,3.0,6.0,8.0,25.0,1.0,2.0,1.0,,,,,,,,,,,
53,Carlos Gilberto do Nascimento Silva,0.0,,9,8,4.81,68923,0.0,3,Gil,gil,Corinthians,1.34,Gil,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,3,264,,7.0,10.0,1.0,2.0,1.0,,,,3.0,1.0,,,,,,,,,
54,Rafael Pires Monteiro,2.0,,9,9,8.05,68928,-0.11,1,Rafael,rafael,São Paulo,4.28,Rafael,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,7,276,,,,,,1.0,,,,,3.0,,32.0,9.0,,,,,,
55,Rafael Cabral Barbosa,1.0,,9,9,9.67,68940,0.0,1,R. Cabral,rafael-cabral,Cruzeiro,4.08,Rafael Cabral,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,7,283,,1.0,,,,1.0,,,,1.0,3.0,,29.0,8.0,,,,,,
56,Luciano Castán da Silva,1.2,,9,9,5.83,68942,0.06,3,L. Castán,luciano-castan,Cruzeiro,3.11,Luciano Castán,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,7,283,,10.0,8.0,1.0,1.0,7.0,,,1.0,2.0,3.0,,,,,,,,,
57,Mário Sérgio Santos Costa,0.0,,9,4,2.92,68952,0.0,5,Marinho,marinho,Flamengo,0.67,Marinho,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_eiyBkCZ.png,6,262,,2.0,2.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,
58,Lucas Pacheco Affini,0.0,,9,6,7.22,68991,0.0,4,L. Sasha,lucas-sasha,Fortaleza,3.88,Lucas Sasha,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,6,356,,19.0,10.0,,2.0,6.0,,,1.0,1.0,,,,,,,,,,
59,João Carlos Heidemann,0.0,,9,0,3.0,69010,0.0,1,J. Carlos,joao-carlos,Cuiabá,0.0,João Carlos,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,6,1371,,,,,,,,,,,,,,,,,,,,
60,Aderbar Melo dos Santos Neto,0.0,,9,6,9.47,69012,0.0,1,Santos,santos,Flamengo,3.25,Santos,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,6,262,,,,,,1.0,,,,,2.0,,17.0,8.0,,,,,,
61,Manoel Messias Silva Carvalho,0.0,,9,5,5.11,69014,-0.49,3,Manoel,manoel,Fluminense,2.12,Manoel,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,6,266,,2.0,1.0,,,1.0,,,,1.0,2.0,,,,1.0,,,,,
62,Marcelo Cirino da Silva,0.0,,9,0,5.0,69022,0.0,5,M. Cirino,marcelo-cirino,Athlético-PR,0.0,Marcelo Cirino,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,6,293,,,,,,,,,,,,,,,,,,,,
63,Antônio Carlos Zago,3.17,,9,7,6.1,69029,0.19,6,A. Zago,antonio-carlos-zago,Coritiba,3.43,Antônio Carlos Zago,https://s.sde.globo.com/media/person_role/2023/05/10/photo_FORMATO_QhbNvRM.png,7,294,,,,,,,,,,,,,,,,,,,,
64,José Paulo Bezerra Maciel Júnior,0.0,,9,4,4.5,69034,0.0,4,Paulinho,paulinho,Corinthians,2.1,Paulinho,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,5,264,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,,
65,Vladimir Orlando Cardoso de Araújo Filho,0.0,,9,0,4.0,69040,0.0,1,Vladimir,vladimir,Santos,0.0,Vladimir,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,6,277,,,,,,,,,,,,,,,,,,,,
66,Danilo Fernandes Batista,0.0,,9,0,5.0,69051,0.0,1,D. Fernandes,danilo-fernandes,Bahia,0.0,Danilo Fernandes,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,6,265,,,,,,,,,,,,,,,,,,,,
67,Eduardo Jesús Vargas Rojas,0.0,,9,5,5.22,69102,0.0,5,Vargas,vargas,Atlético-MG,2.52,Vargas,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,6,282,,3.0,4.0,2.0,1.0,,,1.0,,2.0,,1.0,,,,,,,,
68,Pablo Felipe Teixeira,0.0,,9,8,11.51,69138,0.0,5,Pablo,pablo,Athlético-PR,5.0,Pablo,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,6,293,2.0,10.0,8.0,3.0,8.0,9.0,,1.0,1.0,2.0,,,,,,,,,,
69,Pablo Nascimento Castro,0.0,,9,0,5.0,69165,0.0,3,Pablo,pablo,Flamengo,0.0,Pablo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,6,262,,,,,,,,,,,,,,,,,,,,
70,Sidimar Fernando Cigolini,1.7,,9,5,1.92,69189,0.16,3,Sidimar,sidimar,Goiás,0.74,Sidimar,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,7,290,,3.0,4.0,1.0,2.0,5.0,,,,1.0,,,,,,,,,,1.0
71,Luis Alberto Suárez Díaz,12.4,,9,7,14.87,69318,-0.03,5,L. Suárez,luis-suarez,Grêmio,7.92,Luis Suárez,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,2,284,2.0,7.0,9.0,10.0,8.0,16.0,1.0,2.0,7.0,1.0,,,,,,,,1.0,,
72,Charles Mariano Aránguiz Sandoval,0.0,,9,0,10.0,69325,0.0,4,Aránguiz,aranguiz,Internacional,0.0,Aránguiz,https://s.sde.globo.com/media/person_role/2023/04/02/photo_220x220_AyFyEWO.png,6,285,,,,,,,,,,,,,,,,,,,,
73,Arturo Erasmo Vidal Pardo,0.0,,9,6,5.71,69375,-0.65,4,Vidal,vidal,Flamengo,2.32,Vidal,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_dBcN4Gz.png,6,262,,5.0,4.0,2.0,4.0,5.0,1.0,,,2.0,,,,,,,,,,
74,Maycon Vinícius Ferreira da Cruz,0.0,,9,5,3.48,69705,0.0,4,Nikão,nikao,Cruzeiro,0.3,Nikão,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,6,283,,2.0,4.0,,,3.0,,,2.0,1.0,,,,,,,,,,
75,Fellipe Ramos Ignez Bastos,0.0,,9,1,3.3,70116,0.0,4,F. Bastos,fellipe-bastos,Goiás,-1.0,Fellipe Bastos,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_2gvVYzL.png,6,290,,,,,,,,,,1.0,,,,,,,,,,
