,atletas.apelido_abreviado,atletas.status_id,atletas.posicao_id,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.nome,atletas.pontos_num,atletas.clube.id.full.name,atletas.media_num,atletas.slug,atletas.jogos_num,atletas.foto,atletas.apelido,atletas.preco_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.variacao_num,atletas.clube_id,CV,FC,FD,FF,FS,G,I,PP,CA,DS,PC,SG,A,DE,GS,FT,GC,V,PS,DP,PI
61,Paulinho,5,4,22,,José Paulo Bezerra Maciel Júnior,0.0,Corinthians,2.1,paulinho,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,Paulinho,4.5,False,69034,0.0,264,,2.0,,1.0,2.0,,,,,6.0,,,,,,,,,,,
62,Vladimir,6,1,22,,Vladimir Orlando Cardoso de Araújo Filho,0.0,Santos,1.5,vladimir,2,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,Vladimir,3.05,False,69040,0.0,277,1.0,,,,,,,,,,,,,9.0,6.0,,,,,,
63,D. Fernandes,6,1,22,,Danilo Fernandes Batista,0.0,Bahia,7.0,danilo-fernandes,1,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,Danilo Fernandes,4.64,False,69051,0.0,265,,,,,,,,,1.0,,,,,7.0,,,,,,,
64,J. Rodríguez,6,4,22,,James David Rodríguez Rubio,0.0,São Paulo,1.6,james-rodriguez,3,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,James Rodríguez,10.72,False,69063,0.0,276,,2.0,,1.0,2.0,,,,,3.0,,,,,,,,,,,
65,Vargas,6,5,22,,Eduardo Jesús Vargas Rojas,0.0,Atlético-MG,1.24,vargas,12,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,Vargas,4.1,False,69102,0.0,282,,7.0,2.0,2.0,4.0,1.0,,,3.0,4.0,,,,,,,,,1.0,,
66,Pablo,6,5,22,,Pablo Felipe Teixeira,0.0,Athlético-PR,4.46,pablo,15,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,Pablo,10.26,True,69138,-0.08,293,,9.0,3.0,10.0,15.0,3.0,1.0,,2.0,13.0,,,2.0,,,1.0,,,,,
67,Pablo,6,3,22,,Pablo Nascimento Castro,0.0,Flamengo,1.43,pablo,3,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,Pablo,3.62,False,69165,0.0,262,,4.0,,,1.0,,,,,,,1.0,,,,,,,,,
68,Sidimar,6,3,22,,Sidimar Fernando Cigolini,0.0,Goiás,2.14,sidimar,9,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,Sidimar,2.99,False,69189,0.0,290,,6.0,1.0,2.0,5.0,,,,1.0,4.0,,3.0,,,,,1.0,,,,
69,L. Suárez,7,5,22,,Luis Alberto Suárez Díaz,14.3,Grêmio,8.76,luis-suarez,17,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,Luis Suárez,17.1,True,69318,0.48,284,,15.0,20.0,23.0,41.0,6.0,18.0,1.0,4.0,10.0,,,5.0,,,5.0,,,,,
70,Aránguiz,7,4,22,,Charles Mariano Aránguiz Sandoval,0.3,Internacional,1.11,aranguiz,10,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,Aránguiz,6.82,True,69325,-0.18,285,,8.0,,5.0,9.0,,,,1.0,5.0,,,,,,,,,,,
