,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.posicao_id,atletas.variacao_num,atletas.preco_num,atletas.status_id,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.slug,atletas.apelido_abreviado,atletas.nome,atletas.rodada_id,atletas.atleta_id,atletas.apelido,atletas.media_num,atletas.clube_id,atletas.foto,atletas.pontos_num,A,CA,DS,FC,FF,FS,G,PP,SG,V,FD,FT,I,PC,CV,GC,PS,DE,GS,DP,PI
63,False,Corinthians,4,0.0,4.5,5,,4,paulinho,Paulinho,José Paulo Bezerra Maciel Júnior,37,69034,Paulinho,2.1,264,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,0.0,,,6.0,2.0,1.0,2.0,,,,,,,,,,,,,,,
64,False,Santos,1,0.0,1.51,6,,3,vladimir,Vladimir,Vladimir Orlando Cardoso de Araújo Filho,37,69040,Vladimir,-1.0,277,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,0.0,,,,,,,,,,,,,,,1.0,,,10.0,13.0,,
65,False,Bahia,1,0.0,3.42,6,,1,danilo-fernandes,D. Fernandes,Danilo Fernandes Batista,37,69051,Danilo Fernandes,6.0,265,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,0.0,,2.0,,,,,,,,,,,,,,,,7.0,,,
66,False,São Paulo,4,0.0,9.3,5,,11,james-rodriguez,J. Rodríguez,James David Rodríguez Rubio,37,69063,James Rodríguez,2.81,276,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,0.0,2.0,,5.0,9.0,6.0,7.0,1.0,1.0,,,2.0,1.0,1.0,,,,,,,,
67,False,Atlético-MG,5,0.0,4.1,5,,12,vargas,Vargas,Eduardo Jesús Vargas Rojas,37,69102,Vargas,1.24,282,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_bAmWcZL.png,0.0,,3.0,4.0,7.0,2.0,4.0,1.0,,,,2.0,,,,,,1.0,,,,
68,False,Athlético-PR,5,0.0,10.59,5,,24,pablo,Pablo,Pablo Felipe Teixeira,37,69138,Pablo,4.69,293,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,0.0,2.0,3.0,17.0,22.0,20.0,19.0,7.0,,,,7.0,1.0,12.0,,,,,,,,
69,False,Flamengo,3,0.0,4.1,2,,6,pablo,Pablo,Pablo Nascimento Castro,37,69165,Pablo,3.28,262,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,0.0,,,4.0,6.0,,1.0,,,3.0,,1.0,,,,,,,,,,
70,False,Goiás,3,0.0,2.65,6,,18,sidimar,Sidimar,Sidimar Fernando Cigolini,37,69189,Sidimar,2.0,290,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,0.0,,2.0,8.0,9.0,5.0,8.0,,,5.0,,1.0,,2.0,,,1.0,,,,,
71,True,Grêmio,5,0.97,18.63,7,,31,luis-suarez,L. Suárez,Luis Alberto Suárez Díaz,37,69318,Luis Suárez,9.37,284,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,14.7,11.0,8.0,11.0,30.0,40.0,68.0,14.0,1.0,,,35.0,8.0,24.0,,,,1.0,,,,
72,True,Internacional,4,0.39,7.31,7,,21,aranguiz,Aránguiz,Charles Mariano Aránguiz Sandoval,37,69325,Aránguiz,1.85,285,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,4.8,1.0,3.0,20.0,18.0,10.0,18.0,,,,,1.0,,,,,,,,,,
73,False,Vasco,4,0.0,3.49,6,,16,medel,Medel,Gary Alexis Medel Soto,37,69355,Medel,0.67,267,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,0.0,,4.0,16.0,10.0,,3.0,,,,,,,,,1.0,,,,,,
74,False,Athlético-PR,4,0.0,5.23,5,,12,vidal,Vidal,Arturo Erasmo Vidal Pardo,37,69375,Vidal,2.21,293,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,0.0,,5.0,16.0,13.0,6.0,12.0,,,,,2.0,1.0,,,,,,,,,
