,atletas.variacao_num,atletas.media_num,atletas.apelido_abreviado,atletas.foto,atletas.rodada_id,atletas.nome,atletas.apelido,atletas.pontos_num,atletas.slug,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube.id.full.name,atletas.atleta_id,atletas.clube_id,atletas.minimo_para_valorizar,atletas.status_id,atletas.posicao_id,atletas.preco_num,V,A,CA,DS,FC,FD,FF,FS,G,I,SG,DE,GS,CV,FT,GC,PC,PS,PP,DP,PI
64,0.0,-1.0,Vladimir,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,38,Vladimir Orlando Cardoso de Araújo Filho,Vladimir,0.0,vladimir,False,3,Santos,69040,277,-4.4,6,1,1.51,,,,,,,,,,,,10.0,13.0,1.0,,,,,,,
65,0.0,6.0,D. Fernandes,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,38,Danilo Fernandes Batista,Danilo Fernandes,0.0,danilo-fernandes,False,1,Bahia,69051,265,4.71,6,1,3.42,,,2.0,,,,,,,,,7.0,,,,,,,,,
66,0.0,2.81,J. Rodríguez,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,38,James David Rodríguez Rubio,James Rodríguez,0.0,james-rodriguez,False,11,São Paulo,69063,276,2.76,5,4,9.3,,2.0,,5.0,9.0,2.0,6.0,7.0,1.0,1.0,,,,,1.0,,,,1.0,,
67,0.0,1.24,Vargas,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_bAmWcZL.png,38,Eduardo Jesús Vargas Rojas,Vargas,0.0,vargas,False,12,Atlético-MG,69102,282,1.44,6,5,4.1,,,3.0,4.0,7.0,2.0,2.0,4.0,1.0,,,,,,,,,1.0,,,
68,0.0,4.69,Pablo,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,38,Pablo Felipe Teixeira,Pablo,0.0,pablo,False,24,Athlético-PR,69138,293,2.12,5,5,10.59,,2.0,3.0,17.0,22.0,7.0,20.0,19.0,7.0,12.0,,,,,1.0,,,,,,
69,-0.39,2.87,Pablo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,38,Pablo Nascimento Castro,Pablo,0.4,pablo,True,7,Flamengo,69165,262,2.12,7,3,3.71,,,1.0,4.0,7.0,2.0,,2.0,,,3.0,,,,,,,,,,
70,0.0,2.0,Sidimar,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,38,Sidimar Fernando Cigolini,Sidimar,0.0,sidimar,False,18,Goiás,69189,290,1.6,6,3,2.65,,,2.0,8.0,9.0,1.0,5.0,8.0,,2.0,5.0,,,,,1.0,,,,,
71,0.89,9.66,L. Suárez,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,38,Luis Alberto Suárez Díaz,Luis Suárez,18.8,luis-suarez,True,32,Grêmio,69318,284,12.57,7,5,19.52,,11.0,8.0,11.0,31.0,35.0,42.0,71.0,16.0,24.0,,,,,8.0,,,1.0,1.0,,
72,-0.55,1.82,Aránguiz,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,38,Charles Mariano Aránguiz Sandoval,Aránguiz,1.1,aranguiz,True,22,Internacional,69325,285,4.58,7,4,6.76,,1.0,3.0,21.0,18.0,1.0,10.0,18.0,,1.0,,,,,,,,,,,
73,-0.23,0.57,Medel,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,38,Gary Alexis Medel Soto,Medel,-1.0,medel,True,17,Vasco,69355,267,0.59,7,4,3.26,,,5.0,16.0,10.0,,,3.0,,,,,,1.0,,,,,,,
74,0.0,2.21,Vidal,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,38,Arturo Erasmo Vidal Pardo,Vidal,0.0,vidal,False,12,Athlético-PR,69375,293,1.21,5,4,5.23,,,5.0,16.0,13.0,2.0,6.0,12.0,,,,,,,1.0,,,,,,
75,-0.35,0.64,J. Galvão,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_Vrax1Kc.png,38,João Pedro Geraldino dos Santos Galvão,João Pedro Galvão,0.0,joao-pedro-galvao,True,13,Grêmio,69686,284,2.24,6,5,3.67,,,1.0,6.0,18.0,,4.0,9.0,,3.0,,,,,,,,,,,
76,1.26,2.97,Nikão,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,38,Maycon Vinícius Ferreira da Cruz,Nikão,8.0,nikao,True,20,Cruzeiro,69705,283,0.57,6,4,5.08,,3.0,1.0,14.0,8.0,2.0,7.0,14.0,2.0,3.0,,,,,,,,,,,
