,atletas.rodada_id,atletas.clube.id.full.name,atletas.jogos_num,atletas.posicao_id,atletas.nome,atletas.slug,atletas.media_num,atletas.status_id,atletas.apelido_abreviado,atletas.preco_num,atletas.foto,atletas.entrou_em_campo,atletas.apelido,atletas.atleta_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.clube_id,atletas.variacao_num,A,CA,DS,FC,FD,FF,FS,G,I,SG,PC,PS,V,FT,PP,DE,DP,GS,CV,GC,PI
59,29,Flamengo,6,1,Aderbar Melo dos Santos Neto,santos,3.25,6,Santos,9.47,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,False,Santos,69012,0.0,,262,0.0,,,,,,,1.0,,,2.0,,,,,,17.0,,8.0,,,
60,29,Fluminense,6,3,Manoel Messias Silva Carvalho,manoel,1.97,3,Manoel,5.19,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,False,Manoel,69014,0.0,,266,0.0,,1.0,3.0,1.0,,,1.0,,,2.0,1.0,,,,,,,,,,
61,29,Athlético-PR,4,5,Marcelo Cirino da Silva,marcelo-cirino,0.6,6,M. Cirino,3.44,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,False,Marcelo Cirino,69022,0.0,,293,0.0,,1.0,2.0,2.0,,1.0,2.0,,2.0,,,,,,,,,,,,
62,29,Corinthians,4,4,José Paulo Bezerra Maciel Júnior,paulinho,2.1,5,Paulinho,4.5,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,False,Paulinho,69034,0.0,,264,0.0,,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,,
63,29,Santos,3,1,Vladimir Orlando Cardoso de Araújo Filho,vladimir,-1.0,6,Vladimir,1.51,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,False,Vladimir,69040,0.0,,277,0.0,,,,,,,,,,,,,,,,10.0,,13.0,1.0,,
64,29,Bahia,1,1,Danilo Fernandes Batista,danilo-fernandes,6.0,6,D. Fernandes,3.42,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,False,Danilo Fernandes,69051,0.0,,265,0.0,,2.0,,,,,,,,,,,,,,7.0,,,,,
65,29,São Paulo,8,4,James David Rodríguez Rubio,james-rodriguez,3.4,7,J. Rodríguez,9.99,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,True,James Rodríguez,69063,1.5,,276,-1.56,2.0,,4.0,8.0,1.0,4.0,7.0,1.0,1.0,,,,,1.0,1.0,,,,,,
66,29,Atlético-MG,12,5,Eduardo Jesús Vargas Rojas,vargas,1.24,5,Vargas,4.1,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_bAmWcZL.png,False,Vargas,69102,0.0,,282,0.0,,3.0,4.0,7.0,2.0,2.0,4.0,1.0,,,,1.0,,,,,,,,,
67,29,Athlético-PR,21,5,Pablo Felipe Teixeira,pablo,4.85,7,Pablo,12.14,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,True,Pablo,69138,11.6,,293,0.37,2.0,3.0,16.0,21.0,7.0,18.0,18.0,6.0,11.0,,,,,1.0,,,,,,,
68,29,Flamengo,6,3,Pablo Nascimento Castro,pablo,3.28,6,Pablo,4.1,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,True,Pablo,69165,2.1,,262,-0.4,,,4.0,6.0,1.0,,1.0,,,3.0,,,,,,,,,,,
69,29,Goiás,15,3,Sidimar Fernando Cigolini,sidimar,1.82,7,Sidimar,2.44,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,True,Sidimar,69189,0.5,,290,-0.12,,2.0,7.0,8.0,1.0,2.0,7.0,,1.0,4.0,,,,,,,,,,1.0,
70,29,Grêmio,23,5,Luis Alberto Suárez Díaz,luis-suarez,8.3,7,L. Suárez,15.61,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,False,Luis Suárez,69318,0.0,,284,0.0,7.0,6.0,10.0,24.0,25.0,29.0,55.0,8.0,22.0,,,,,6.0,1.0,,,,,,
71,29,Internacional,14,4,Charles Mariano Aránguiz Sandoval,aranguiz,1.51,7,Aránguiz,6.65,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,True,Aránguiz,69325,0.4,,285,-0.72,1.0,1.0,7.0,15.0,1.0,8.0,11.0,,,,,,,,,,,,,,
72,29,Vasco,11,4,Gary Alexis Medel Soto,medel,0.72,7,Medel,3.63,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,True,Medel,69355,-0.6,,267,-0.18,,3.0,13.0,9.0,,,2.0,,,,,,,,,,,,1.0,,
73,29,Athlético-PR,12,4,Arturo Erasmo Vidal Pardo,vidal,2.21,5,Vidal,5.23,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,False,Vidal,69375,0.0,,293,0.0,,5.0,16.0,13.0,2.0,6.0,12.0,,,,,,,1.0,,,,,,,
