,atletas.status_id,atletas.slug,atletas.rodada_id,atletas.apelido_abreviado,atletas.pontos_num,atletas.clube_id,atletas.foto,atletas.media_num,atletas.atleta_id,atletas.jogos_num,atletas.nome,atletas.preco_num,atletas.apelido,atletas.clube.id.full.name,atletas.variacao_num,atletas.posicao_id,atletas.minimo_para_valorizar,DS,FC,FD,FF,FS,G,V,A,CA,I,DE,GS,PC,PS,SG,CV,FT,DP,PP,GC
56,7,luciano-castan,5,L. Castán,1.2,283,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,3.26,68942,5,Luciano Castán da Silva,5.47,Luciano Castán,Cruzeiro,-0.28,3,,4.0,5.0,1.0,1.0,4.0,,,,1.0,,,,,,2.0,,,,,
57,6,marinho,5,Marinho,0.0,262,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_eiyBkCZ.png,0.67,68952,4,Mário Sérgio Santos Costa,2.92,Marinho,Flamengo,0.0,5,,2.0,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,
58,6,lucas-sasha,5,L. Sasha,0.0,356,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,3.2,68991,4,Lucas Pacheco Affini,7.25,Lucas Sasha,Fortaleza,0.0,4,,11.0,7.0,,1.0,2.0,,,,,1.0,,,,,,,,,,
59,6,joao-carlos,5,J. Carlos,0.0,1371,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,0.0,69010,0,João Carlos Heidemann,3.0,João Carlos,Cuiabá,0.0,1,,,,,,,,,,,,,,,,,,,,,
60,2,santos,5,Santos,0.0,262,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,2.37,69012,4,Aderbar Melo dos Santos Neto,9.04,Santos,Flamengo,0.0,1,,,,,,1.0,,,,,,11.0,7.0,,,1.0,,,,,
61,6,manoel,5,Manoel,3.0,266,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,2.1,69014,2,Manoel Messias Silva Carvalho,5.64,Manoel,Fluminense,-0.22,3,,1.0,,,,,,,,1.0,,,,1.0,,1.0,,,,,
62,5,marcelo-cirino,5,M. Cirino,0.0,293,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,0.0,69022,0,Marcelo Cirino da Silva,5.0,Marcelo Cirino,Athlético-PR,0.0,5,,,,,,,,,,,,,,,,,,,,,
63,7,antonio-carlos-zago,5,A. Zago,3.22,294,https://s.sde.globo.com/media/person_role/2023/05/10/photo_FORMATO_QhbNvRM.png,3.84,69029,3,Antônio Carlos Zago,5.68,Antônio Carlos Zago,Coritiba,0.1,6,,,,,,,,,,,,,,,,,,,,,
64,6,paulinho,5,Paulinho,0.0,264,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,1.53,69034,3,José Paulo Bezerra Maciel Júnior,4.39,Paulinho,Corinthians,0.0,4,,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,
65,6,vladimir,5,Vladimir,0.0,277,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,0.0,69040,0,Vladimir Orlando Cardoso de Araújo Filho,4.0,Vladimir,Santos,0.0,1,,,,,,,,,,,,,,,,,,,,,
66,6,danilo-fernandes,5,D. Fernandes,0.0,265,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,0.0,69051,0,Danilo Fernandes Batista,5.0,Danilo Fernandes,Bahia,0.0,1,,,,,,,,,,,,,,,,,,,,,
67,6,vargas,5,Vargas,-0.7,282,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,0.17,69102,3,Eduardo Jesús Vargas Rojas,3.95,Vargas,Atlético-MG,-0.7,5,,2.0,3.0,,,,,,,1.0,,,,,,,,,,,
68,6,pablo,5,Pablo,3.4,293,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,4.1,69138,5,Pablo Felipe Teixeira,10.88,Pablo,Athlético-PR,-0.28,5,,8.0,7.0,,2.0,7.0,,,2.0,2.0,1.0,,,,,,,,,,
69,6,pablo,5,Pablo,0.0,262,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,0.0,69165,0,Pablo Nascimento Castro,5.0,Pablo,Flamengo,0.0,3,,,,,,,,,,,,,,,,,,,,,
70,6,sidimar,5,Sidimar,1.7,290,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,0.6,69189,3,Sidimar Fernando Cigolini,2.02,Sidimar,Goiás,0.36,3,,2.0,3.0,1.0,2.0,3.0,,,,1.0,,,,,,,,,,,1.0
71,7,luis-suarez,5,L. Suárez,0.0,284,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,5.63,69318,4,Luis Alberto Suárez Díaz,14.18,Luis Suárez,Grêmio,0.0,5,,3.0,1.0,6.0,3.0,8.0,1.0,,,1.0,4.0,,,,,,,1.0,,1.0,
