,atletas.media_num,atletas.slug,atletas.jogos_num,atletas.apelido,atletas.foto,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.preco_num,atletas.status_id,atletas.variacao_num,atletas.pontos_num,atletas.nome,atletas.clube_id,atletas.apelido_abreviado,atletas.posicao_id,atletas.clube.id.full.name,atletas.rodada_id,DS,FC,FS,CA,FD,FF,G,PS,SG,I,V,A,FT,CV,DE,GS,DP,PC,PP,GC
432,3.35,rikelme,2,Rikelme,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_FfgJEdr.png,2.51,105547,1.79,7,0.55,4.2,Rikelme Hernandes Amorim Rocha,1371,Rikelme,5,Cuiabá,8,6.0,5.0,2.0,,,,,,,,,,,,,,,,,
433,0.0,riquelme,0,Riquelme,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_smA6Xym.png,3.96,105566,3.0,6,0.0,0.0,Riquelme Carvalho Araújo Viana,267,Riquelme,2,Vasco,8,,,,,,,,,,,,,,,,,,,,
434,1.28,lucero,4,Lucero,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_MqRx953.png,0.85,105568,4.55,2,0.0,1.3,Juan Martín Lucero,356,Lucero,5,Fortaleza,8,2.0,3.0,2.0,,1.0,2.0,,,,2.0,,,,,,,,,,
435,2.39,lucas-piton,8,Lucas Piton,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_71dywWV.png,-0.37,105584,6.06,7,-1.05,-0.9,Lucas Piton Crivellaro,267,L. Piton,2,Vasco,8,9.0,9.0,1.0,1.0,,2.0,,,,1.0,,2.0,,,,,,,,
436,1.1,roni,7,Roni,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_efGU5wq.png,1.82,105585,2.46,7,0.54,3.0,Roni Medeiros de Moura,264,Roni,4,Corinthians,8,9.0,13.0,2.0,1.0,,1.0,,,,,,,,,,,,,,
437,5.0,mauricio,5,Maurício,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_7KIwg4E.png,2.39,105647,8.77,6,0.0,0.0,Maurício Magalhães Prado,285,Maurício,4,Internacional,8,2.0,2.0,10.0,2.0,1.0,4.0,2.0,,,2.0,,,,,,,,,,
438,1.8,nicolas-hernandez,3,Nicolás Hernández,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_l85XoS0.png,2.96,105672,3.64,7,0.97,5.0,Nicolás Hernández Rodríguez,285,N. Hernández,3,Internacional,8,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,
439,4.47,rafael-navarro,3,Rafael Navarro,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_D5UD7xu.png,2.15,105770,5.93,6,0.0,0.0,Rafael Navarro Leal,275,R. Navarro,5,Palmeiras,8,2.0,6.0,2.0,1.0,1.0,1.0,1.0,,,2.0,,,1.0,,,,,,,
440,4.83,wesley,6,Wesley,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_vnwHYu8.png,0.22,105811,6.32,7,-0.54,0.1,Wesley Ribeiro Silva,283,Wesley,5,Cruzeiro,8,7.0,14.0,8.0,2.0,3.0,4.0,2.0,,,,,,,,,,,,,
441,2.1,edu,1,Edu,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ufnVqJV.png,3.36,105842,2.58,6,0.0,0.0,Lucas Eduardo Ribeiro de Souza,290,Edu,3,Goiás,8,2.0,1.0,2.0,,,,,,,,,,,,,,,1.0,,
442,3.92,matheus-araujo,4,Matheus Araújo,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_BedE425.png,1.1,105845,6.66,6,0.0,0.0,Matheus de Araújo Andrade,264,M. Araújo,4,Corinthians,8,4.0,1.0,4.0,,1.0,,1.0,,,,,,,,,,,,,
443,0.0,ivonei,1,Ivonei,https://s.sde.globo.com/media/person_role/2022/03/03/caea9218ffe2f27f406b20009a39c25e_FORMATO.png,1.67,105899,1.39,6,0.0,0.0,Ivonei Júnior da Silva Rabelo,277,Ivonei,4,Santos,8,,,,,,,,,,,,,,,,,,,,
444,0.0,ze-gabriel,0,Zé Gabriel,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_PQUgcKV.png,3.96,105902,3.0,6,0.0,0.0,José Gabriel dos Santos Silva,267,Z. Gabriel,4,Vasco,8,,,,,,,,,,,,,,,,,,,,
445,-0.3,vinicius-mingotti,2,Vinicius Mingotti,https://s.sde.globo.com/media/person_role/2023/04/20/photo_220x220_YH7397F.png,-0.07,105909,1.72,6,-0.27,-0.3,Vinicius Alessandro Mingotti,265,V. Mingotti,5,Bahia,8,,2.0,,,,,,,,,,,,,,,,,,
446,3.6,romulo,4,Rômulo,https://s.sde.globo.com/media/person_role/2023/04/12/photo_220x220_eEMPMPy.png,1.9,105911,2.59,7,0.03,3.1,Rômulo Zanre Zwarg,285,Rômulo,4,Internacional,8,9.0,4.0,4.0,1.0,,1.0,,,,,,,1.0,,,,,,,
447,0.0,vinicius,0,Vinícius,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_Oqt8wcz.png,2.54,105998,2.0,6,0.0,0.0,Vinícius dos Santos de Oliveira Paiva,267,Vinícius,5,Vasco,8,,,,,,,,,,,,,,,,,,,,
448,0.0,lucas-ramos,0,Lucas Ramos,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_Tdt3VkZ.png,5.38,106000,4.0,6,0.0,0.0,Lucas de Ramos Silveira,285,L. Ramos,4,Internacional,8,,,,,,,,,,,,,,,,,,,,
449,7.26,johnny,5,Johnny,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_ylIGH1n.png,8.74,106002,9.36,7,1.25,15.0,João Lucas Souza Cardoso,285,Johnny,4,Internacional,8,13.0,6.0,5.0,,1.0,,2.0,,,2.0,,,1.0,,,,,,,
450,0.0,breno,0,Breno,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_byFBxRL.png,3.96,106083,3.0,6,0.0,0.0,Breno Washington Rodrigues da Silva,263,Breno,4,Botafogo,8,,,,,,,,,,,,,,,,,,,,
