,atletas.clube_id,atletas.preco_num,atletas.status_id,atletas.atleta_id,atletas.media_num,atletas.clube.id.full.name,atletas.pontos_num,atletas.nome,atletas.apelido,atletas.apelido_abreviado,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.foto,atletas.rodada_id,atletas.jogos_num,atletas.variacao_num,atletas.posicao_id,atletas.slug,DS,FC,FS,PC,SG,CA,DE,GS,CV,DP,GC,FD,FF,G,I,A,PP,PS,FT,V,PI
69,290,2.99,5,69189,2.14,Goiás,0.0,Sidimar Fernando Cigolini,Sidimar,Sidimar,3.93,False,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,21,9,0.0,3,sidimar,4.0,6.0,5.0,,3.0,1.0,,,,,1.0,1.0,2.0,,,,,,,,
70,284,16.62,7,69318,8.41,Grêmio,14.2,Luis Alberto Suárez Díaz,Luis Suárez,L. Suárez,11.33,True,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,21,16,1.28,5,luis-suarez,8.0,15.0,37.0,,,4.0,,,,,,19.0,22.0,5.0,17.0,5.0,1.0,,5.0,,
71,285,7.0,7,69325,1.2,Internacional,1.6,Charles Mariano Aránguiz Sandoval,Aránguiz,Aránguiz,1.6,True,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,21,9,0.08,4,aranguiz,5.0,8.0,8.0,,,,,,,,,,4.0,,,,,,,,
72,267,4.58,7,69355,1.45,Vasco,0.9,Gary Alexis Medel Soto,Medel,Medel,1.09,True,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,21,6,0.17,4,medel,10.0,6.0,1.0,,,2.0,,,,,,,,,,,,,,,
73,293,5.55,7,69375,2.41,Athlético-PR,2.2,Arturo Erasmo Vidal Pardo,Vidal,Vidal,2.07,True,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,21,11,0.02,4,vidal,16.0,13.0,12.0,,,5.0,,,,,,2.0,6.0,,,,,,1.0,,
74,284,4.77,6,69686,0.77,Grêmio,-0.7,João Pedro Geraldino dos Santos Galvão,João Pedro Galvão,J. Galvão,-0.14,True,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_Vrax1Kc.png,21,3,-0.62,5,joao-pedro-galvao,2.0,6.0,2.0,,,,,,,,,,1.0,,1.0,,,,,,
75,283,3.15,6,69705,0.7,Cruzeiro,0.0,Maycon Vinícius Ferreira da Cruz,Nikão,Nikão,1.31,False,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,21,8,0.0,4,nikao,5.0,4.0,4.0,,,1.0,,,,,,,,,2.0,,,,,,
76,276,13.03,7,70164,6.13,São Paulo,4.8,Lucas Rodrigues Moura da Silva,Lucas Moura,L. Moura,4.2,True,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_qMfh0Wo.png,21,4,0.37,5,lucas-moura,6.0,1.0,8.0,1.0,,,,,,,,1.0,3.0,1.0,,,,,1.0,,
77,263,6.7,5,70171,5.16,Botafogo,0.0,Rafael Pereira da Silva,Rafael,Rafael,6.63,False,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,21,9,0.0,2,rafael,22.0,12.0,5.0,,5.0,2.0,,,1.0,,,1.0,,,,,,,,,
78,284,3.79,3,70172,2.49,Grêmio,-1.0,Fábio Pereira da Silva,Fábio,Fábio,0.24,False,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,21,7,-0.17,2,fabio,8.0,5.0,3.0,,,3.0,,,,,,,1.0,,,2.0,,,,,
