,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.variacao_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.clube_id,atletas.posicao_id,atletas.atleta_id,atletas.pontos_num,atletas.preco_num,atletas.foto,atletas.slug,atletas.nome,atletas.jogos_num,atletas.status_id,atletas.media_num,atletas.apelido,atletas.minimo_para_valorizar,CA,DS,FC,FD,FF,FS,FT,I,PC,SG,A,CV,GC,DE,GS,G,PP,V,PS,DP,PI
66,False,Vargas,0.0,30,Atlético-MG,282,5,69102,0.0,4.1,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_bAmWcZL.png,vargas,Eduardo Jesús Vargas Rojas,12,5,1.24,Vargas,,3.0,4.0,7.0,2.0,2.0,4.0,,,,,,,,,,1.0,,,1.0,,
67,True,Pablo,-0.25,30,Athlético-PR,293,5,69138,8.7,11.89,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,pablo,Pablo Felipe Teixeira,22,7,5.02,Pablo,,3.0,16.0,21.0,7.0,19.0,18.0,1.0,12.0,,,2.0,,,,,7.0,,,,,
68,False,Pablo,0.0,30,Flamengo,262,3,69165,0.0,4.1,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,pablo,Pablo Nascimento Castro,6,6,3.28,Pablo,,,4.0,6.0,1.0,,1.0,,,,3.0,,,,,,,,,,,
69,False,Sidimar,0.0,30,Goiás,290,3,69189,0.0,2.44,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,sidimar,Sidimar Fernando Cigolini,15,7,1.82,Sidimar,,2.0,7.0,8.0,1.0,2.0,7.0,,1.0,,4.0,,,1.0,,,,,,,,
70,True,L. Suárez,3.66,30,Grêmio,284,5,69318,24.4,19.27,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,luis-suarez,Luis Alberto Suárez Díaz,24,7,8.97,Luis Suárez,,6.0,10.0,24.0,28.0,30.0,57.0,6.0,22.0,,,9.0,,,,,9.0,1.0,,1.0,,
71,True,Aránguiz,0.04,30,Internacional,285,4,69325,0.7,6.69,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,aranguiz,Charles Mariano Aránguiz Sandoval,15,7,1.46,Aránguiz,,2.0,8.0,15.0,1.0,8.0,12.0,,,,,1.0,,,,,,,,,,
72,True,Medel,0.57,30,Vasco,267,4,69355,2.9,4.2,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,medel,Gary Alexis Medel Soto,12,7,0.9,Medel,,3.0,15.0,9.0,,,3.0,,,,,,1.0,,,,,,,,,
73,False,Vidal,0.0,30,Athlético-PR,293,4,69375,0.0,5.23,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,vidal,Arturo Erasmo Vidal Pardo,12,5,2.21,Vidal,,5.0,16.0,13.0,2.0,6.0,12.0,1.0,,,,,,,,,,,,,,
74,True,J. Galvão,-0.3,30,Grêmio,284,5,69686,-0.1,3.86,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_Vrax1Kc.png,joao-pedro-galvao,João Pedro Geraldino dos Santos Galvão,9,7,0.42,João Pedro Galvão,,1.0,3.0,14.0,,4.0,5.0,,3.0,,,,,,,,,,,,,
75,False,Nikão,0.0,30,Cruzeiro,283,4,69705,0.0,4.13,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,nikao,Maycon Vinícius Ferreira da Cruz,15,6,2.57,Nikão,,1.0,11.0,4.0,1.0,5.0,9.0,,3.0,,,2.0,,,,,1.0,,,,,
