"atletas.atleta_id","atletas.apelido","atletas.clube.id.full.name","atletas.posicao_id","atletas.foto"
101592,"Matheus Dantas","Flamengo","Zagueiro","https://s.glbimg.com/es/sde/f/2018/04/19/e539077ea70369fa3f5d613f54e01ced_140x140.png"
101575,"Wendel","Flamengo","Atacante","https://s.glbimg.com/es/sde/f/2018/01/24/8b7334f12990c3776b07905876f0e801_140x140.png"
101596,"Vitor Gabriel","Flamengo","Atacante","https://s.glbimg.com/es/sde/f/2018/01/24/f5c608ed9476be6eccd246fca8b31683_140x140.png"
87008,"Léo","Grêmio","Goleiro","https://s.glbimg.com/es/sde/f/2017/04/23/56c2f46953852255c8d3c1a685ecd757_140x140.png"
87470,"Thaciano","Grêmio","Meia","https://s.glbimg.com/es/sde/f/2018/01/12/42e0c40a8c51eaf223c027548b5b0e18_140x140.png"
89227,"Balbino","Grêmio","Meia","https://s.glbimg.com/es/sde/f/2016/04/30/aa305ef16d18275ce438c74c73d54e15_140x140.png"
87342,"Kannemann","Grêmio","Zagueiro","https://s.glbimg.com/es/sde/f/2017/04/23/42279ad5c60655b3336944e26189eda5_140x140.png"
101598,"Patrick","Flamengo","Zagueiro",NA
80393,"Fabinho","Internacional","Meia","https://s.glbimg.com/es/sde/f/2018/03/21/566752c7bbc5fc02c0219ba0e1eb7fe3_140x140.png"
101594,"Hugo Moura","Flamengo","Meia","https://s.glbimg.com/es/sde/f/2018/01/24/eeb04c70e071375434b478d470e043cc_140x140.png"
90290,"Jailson","Grêmio","Meia","https://s.glbimg.com/es/sde/f/2017/04/23/bbc1e20f5a841fe3d2fc8cbf1553e368_140x140.png"
90532,"Arthur","Grêmio","Meia","https://s.glbimg.com/es/sde/f/2017/04/23/ad145ff7dd594174acc3863cb2569b83_140x140.png"
49673,"Júlio César","Fluminense","Goleiro","https://s.glbimg.com/es/sde/f/2018/01/21/b7eff1a065e603cf19f456fc255eb017_140x140.png"
78478,"Willian Arão","Flamengo","Meia","https://s.glbimg.com/es/sde/f/2017/08/22/283b47a1bbb66d81e0b2118ce53853f1_140x140.jpeg"
101597,"Ramon","Flamengo","Lateral",NA
92574,"Kaio","Grêmio","Meia","https://s.glbimg.com/es/sde/f/2016/04/30/a83b6e7bb6661dbbb2b8c85d3afc4b48_140x140.png"
92617,"Léo Tilica","Grêmio","Atacante","https://s.glbimg.com/es/sde/f/2017/05/04/74f74348921e923d86030ce27cda9081_140x140.jpeg"
91201,"Pepê","Grêmio","Atacante","https://s.glbimg.com/es/sde/f/2017/06/07/bd6f96fc4d6fbe29bd108c344db1e415_140x140.jpeg"
85586,"Jonas","Flamengo","Meia","https://s.glbimg.com/es/sde/f/2018/03/23/b1dff93baf0e7bbccc6e54768a31ed68_140x140.png"
40006,"Abel Braga","Fluminense","Técnico","https://s.glbimg.com/es/sde/f/2017/07/26/530dd6d653e00f41f2159828518f0bf3_140x140.png"
61985,"Airton","Fluminense","Meia","https://s.glbimg.com/es/sde/f/2018/01/21/140f763b85870cfc801ceae1684e7032_140x140.png"
98569,"Caio Henrique","Paraná","Meia","https://s.glbimg.com/es/sde/f/2018/04/10/91e8bbafe39f589194cc910fca519d3f_140x140.jpeg"
63082,"Rodolfo","Fluminense","Goleiro","https://s.glbimg.com/es/sde/f/2018/03/19/53d593b1f30b40291234148691e0d365_140x140.png"
98035,"Caio","Sport","Lateral","https://s.glbimg.com/es/sde/f/2017/02/14/a6f6b29df8097bacd2fc794872711c70_140x140.png"
85300,"Berrío ","Flamengo","Atacante","https://s.glbimg.com/es/sde/f/2017/08/16/8f979b78f3df5801a77118cd72b411c6_140x140.jpeg"
95622,"Vico","Grêmio","Atacante","https://s.glbimg.com/es/sde/f/2017/04/23/7a5ce7b90f117f11953229683bd1c818_140x140.png"
81905,"Henrique Dourado","Flamengo","Atacante","https://s.glbimg.com/es/sde/f/2018/03/08/5d6a3a7c40bbf9f4d07b75169fc9be0f_140x140.png"
96633,"Pablo Pardal","Sport","Meia","https://s.glbimg.com/es/sde/f/2017/02/14/f9c5c6dfb4f99f29774612985f6e6464_140x140.png"
68827,"Renato Chaves","Fluminense","Zagueiro","https://s.glbimg.com/es/sde/f/2018/01/21/71897950622a7c7260a587b71229a2ee_140x140.png"
98215,"Estevão","Grêmio","Meia",NA
