"slug","atleta_id","team","posicao","shotsX_mean","faltas_mean","RB_mean","PE_mean","A_mean","I_mean","FS_mean","FF_mean","G_mean","DD_mean","DP_mean","score_no_cleansheets_mean","pontuacao_mean"
"renan-lodi",96591,"Atlético - PR","lat",1.23809523809524,1.38095238095238,0.952380952380952,1.61904761904762,0.0952380952380952,0.0476190476190476,1.80952380952381,0.619047619047619,0,0,0,2.10952380952381,4.72857142857143
"erick",97810,"Vitória - BA","ata",1.72222222222222,0.833333333333333,1.38888888888889,3.05555555555556,0.111111111111111,0.166666666666667,2.22222222222222,0.777777777777778,0.111111111111111,0,0,4.69444444444444,4.69444444444444
"jean-lucas",98517,"Flamengo - RJ","mei",0.0833333333333333,1,0.25,0.833333333333333,0,0,0.583333333333333,0,0,0,0,-0.108333333333333,-0.108333333333333
"robinho",99574,"América - MG","ata",0.647058823529412,0.529411764705882,0.470588235294118,1.41176470588235,0.0588235294117647,0.117647058823529,0.647058823529412,0.411764705882353,0,0,0,1.20588235294118,1.20588235294118
"matheus-henrique",100742,"Grêmio - RS","mei",0.5,1.2,1.3,1.5,0,0,0.9,0.3,0.2,0,0,2.74,2.74
"araos",102352,"Corinthians - SP","mei",0.571428571428571,1.71428571428571,1.07142857142857,1.64285714285714,0.0714285714285714,0,1,0.214285714285714,0,0,0,1.28571428571429,1.28571428571429
"michel-bastos",37607,"Sport - PE","mei",1.30434782608696,0.91304347826087,0.391304347826087,2.30434782608696,0.130434782608696,0.217391304347826,0.739130434782609,0.782608695652174,0.173913043478261,0,0,2.95652173913043,2.95652173913043
"fabio",37656,"Cruzeiro - MG","gol",0,0,0,0.517241379310345,0,0,0.0689655172413793,0,0,1.44827586206897,0.0344827586206897,4.46551724137931,4.29310344827586
"danilo",38067,"Corinthians - SP","mei",0.545454545454545,0.909090909090909,0.272727272727273,0.454545454545455,0,0.0909090909090909,1.09090909090909,0.0909090909090909,0.181818181818182,0,0,2.17272727272727,2.17272727272727
"jefferson",38109,"Botafogo - RJ","gol",0,0,0,0.692307692307692,0.0769230769230769,0,0.0769230769230769,0,0,1.23076923076923,0,3.90769230769231,2.06153846153846
"thiago-neves",38277,"Cruzeiro - MG","mei",1.65217391304348,0.826086956521739,0.695652173913043,2.82608695652174,0,0.391304347826087,1.08695652173913,0.652173913043478,0.130434782608696,0,0,2.60869565217391,2.60869565217391
"edilson",38523,"Cruzeiro - MG","lat",0.588235294117647,1.94117647058824,1.11764705882353,2.82352941176471,0.0588235294117647,0,0.705882352941177,0.352941176470588,0.0588235294117647,0,0,0.5,1.97058823529412
"renato",38908,"Santos - SP","mei",0.461538461538462,0.461538461538462,0.615384615384615,1.53846153846154,0,0.153846153846154,0.923076923076923,0.153846153846154,0.0769230769230769,0,0,1.51538461538462,1.51538461538462
"willian",42116,"Palmeiras - SP","ata",1.5625,1.5,0.875,1,0.125,0.25,1.125,0.5625,0.3125,0,0,5.175,5.175
"egidio",42145,"Cruzeiro - MG","lat",0.541666666666667,1.41666666666667,2.66666666666667,3.79166666666667,0.0416666666666667,0.333333333333333,1.125,0.416666666666667,0,0,0,2.78333333333333,4.65833333333333
"bruno",42499,"Bahia - BA","lat",0.133333333333333,1.93333333333333,1.33333333333333,3,0.0666666666666667,0,0.933333333333333,0.0666666666666667,0,0,0,0.966666666666667,2.3
"ralf",52190,"Corinthians - SP","mei",0.368421052631579,1.26315789473684,1.84210526315789,0.894736842105263,0,0,1.21052631578947,0.315789473684211,0.0526315789473684,0,0,2.66842105263158,2.66842105263158
"dede",60819,"Cruzeiro - MG","zag",0.7,1.25,1.95,1.75,0,0.05,0.8,0.3,0.15,0,0,3.44,5.19
"d-alessandro",62023,"Internacional - RS","mei",0.818181818181818,0.545454545454545,0.318181818181818,3.45454545454545,0.0909090909090909,0.0454545454545455,1.5,0.409090909090909,0.136363636363636,0,0,1.71363636363636,1.71363636363636
"jean",62047,"Palmeiras - SP","lat",0.277777777777778,0.944444444444444,0.277777777777778,0.777777777777778,0,0,0.333333333333333,0.166666666666667,0,0,0,-0.144444444444444,2.63333333333333
