AtletaID,Rodada,Posicao,ClubeID,Pontos,PontosMedia,Preco,PrecoVariacao,media,roll.media,Jogos,CA,CV,DD,DP,FC,GC,GS,RB,SG,A,FD,FF,FS,FT,G,I,PE,PP
36540,5,2,13,2.6,5.05,5.64,-0.47,1.25289256198347,2.02,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
36540,6,2,13,10.4,6.83,7.76,2.12,1.32786885245902,4.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
36540,8,2,13,0.2,5.17,6.25,-1.51,1.30806451612903,4.14,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
36540,9,2,13,-0.8,3.98,5.92,-0.33,1.2912,2.48,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36612,1,3,15,5.3,5.3,20.68,-1.32,2.65,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0
36612,4,3,15,0.5,2.9,17.39,-3.29,1.16,1.16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36612,5,3,15,0.0,1.93,16.64,-0.75,0.966666666666667,1.16,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36612,6,3,15,5.0,2.7,17.42,0.78,1.54285714285714,1.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36612,7,3,15,2.4,2.64,16.71,-0.71,1.65,1.58,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
36612,8,3,15,1.3,2.42,15.85,-0.86,1.61111111111111,1.84,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
