A,Apelido,AtletaID,CA,CV,ClubeID,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,Jogos,PE,PP,Participou,Pontos,PontosMedia,Posicao,Preco,PrecoVariacao,RB,Rodada,SG,Status,ano,media,roll.media
0.0,0,36540,0.0,0.0,Internacional,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,True,0.4,2.74,zag,10.7,-0.5,0.0,10,0.0,0,2014,2.2454545454545496,3.42
1.0,0,36540,0.0,0.0,Internacional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,True,10.0,3.47,zag,12.69,1.99,0.0,11,1.0,0,2014,2.8916666666666697,5.42
0.0,0,36540,1.0,0.0,Internacional,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,True,2.3,3.36,zag,11.47,-1.22,1.0,12,1.0,0,2014,2.84615384615385,5.5
0.0,0,36540,0.0,0.0,Internacional,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,True,7.1,3.67,zag,12.55,1.08,1.0,13,1.0,0,2014,3.15,4.78
0.0,0,36540,0.0,0.0,Internacional,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,True,6.6,3.9,zag,12.72,0.17,1.0,14,1.0,0,2014,3.38,5.28
0.0,0,36540,0.0,0.0,Internacional,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,True,7.3,4.14,zag,13.15,0.43,2.0,15,1.0,0,2014,3.625,6.66
0.0,0,36540,0.0,0.0,Internacional,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,True,1.8,3.98,zag,12.04,-1.11,1.0,16,0.0,0,2014,3.5176470588235302,5.02
0.0,0,36540,0.0,0.0,Internacional,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,True,5.0,4.04,zag,12.86,0.82,3.0,17,0.0,0,2014,3.6,5.56
0.0,0,36540,0.0,0.0,Internacional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,True,9.8,4.38,zag,13.33,0.47,3.0,23,1.0,0,2014,3.1083333333333303,1.96
0.0,0,36540,0.0,0.0,Internacional,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,0.0,True,7.4,4.55,zag,13.21,-0.12,3.0,24,1.0,0,2014,3.28,3.44
0.0,0,36540,0.0,0.0,Internacional,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,0.0,True,10.0,4.84,zag,13.82,0.61,6.0,25,0.0,0,2014,3.5384615384615397,5.44
0.0,0,36540,1.0,0.0,Internacional,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,True,-2.5,4.47,zag,11.69,-2.13,0.0,26,0.0,0,2014,3.31481481481481,4.94
0.0,0,36540,0.0,0.0,Internacional,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,True,4.8,4.49,zag,12.76,1.07,2.0,27,0.0,0,2014,3.36785714285714,5.9
0.0,0,36540,0.0,0.0,Flamengo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,True,11.7,11.7,zag,13.75,6.75,4.0,1,1.0,0,2016,1.55,1.18
0.0,0,36540,0.0,0.0,Flamengo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,True,2.2,6.95,zag,15.22,1.47,1.0,2,0.0,0,2016,1.55822784810127,2.78
0.0,0,36540,1.0,0.0,Flamengo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,True,-2.8,3.7,zag,12.95,-2.27,0.0,3,0.0,0,2016,1.50375,2.22
0.0,0,36540,0.0,0.0,Flamengo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,True,1.1,3.05,zag,11.32,-1.63,1.0,15,0.0,0,2016,1.3195652173913,0.22
0.0,0,36540,0.0,0.0,Flamengo,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,True,3.5,3.14,zag,11.6,0.28,1.0,16,0.0,0,2016,1.3430107526881698,0.92
0.0,0,36540,0.0,0.0,Flamengo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,True,4.4,3.35,zag,11.91,0.31,0.0,17,1.0,0,2016,1.37553191489362,1.8
0.0,0,36540,0.0,0.0,Flamengo,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,True,4.9,3.57,zag,11.6,-0.31,0.0,35,1.0,0,2016,1.19821428571429,0.98
0.0,0,36540,1.0,0.0,Flamengo,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,True,2.9,3.58,zag,11.02,-0.45,0.0,38,1.0,0,2016,1.2304347826086999,2.44
0.0,Juan,36540,1.0,0.0,Flamengo,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,7.5,7.5,zag,6.11,1.11,2.0,4,1.0,Provável,2017,1.24166666666667,1.5
0.0,Juan,36540,1.0,0.0,Flamengo,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,True,2.6,5.05,zag,5.64,-0.47,2.0,5,0.0,Provável,2017,1.25289256198347,2.02
1.0,Juan,36540,0.0,0.0,Flamengo,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,True,10.4,6.83,zag,7.76,2.12,3.0,6,0.0,Provável,2017,1.32786885245902,4.1
0.0,Juan,36540,0.0,0.0,Flamengo,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,True,0.2,5.17,zag,6.25,-1.51,0.0,8,0.0,Dúvida,2017,1.30806451612903,4.14
0.0,Juan,36540,1.0,0.0,Flamengo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,True,-0.8,3.98,zag,5.92,-0.33,1.0,9,0.0,Suspenso,2017,1.2912,2.48
0.0,0,36612,0.0,0.0,Grêmio,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,5.3,5.3,lat,20.68,-1.32,1.0,1,0.0,0,2014,2.65,1.0
0.0,0,36612,0.0,0.0,Grêmio,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,True,0.5,2.9,lat,17.39,-3.29,0.0,4,0.0,0,2014,1.16,1.16
0.0,0,36612,0.0,0.0,Grêmio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,True,0.0,1.93,lat,16.64,-0.75,0.0,5,0.0,0,2014,0.966666666666667,1.16
1.0,0,36612,0.0,0.0,Grêmio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,True,5.0,2.7,lat,17.42,0.78,0.0,6,0.0,0,2014,1.54285714285714,1.1
0.0,0,36612,0.0,0.0,Grêmio,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,True,2.4,2.64,lat,16.71,-0.71,1.0,7,0.0,0,2014,1.65,1.58
0.0,0,36612,0.0,0.0,Grêmio,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,True,1.3,2.42,lat,15.85,-0.86,1.0,8,0.0,0,2014,1.61111111111111,1.84
0.0,0,36612,0.0,0.0,Grêmio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,True,1.7,2.02,lat,15.85,0.37,1.0,10,0.0,0,2014,1.4727272727272702,2.08
0.0,0,36612,1.0,0.0,Grêmio,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,True,-3.1,1.45,lat,14.67,-1.18,0.0,11,0.0,0,2014,1.09166666666667,0.46
0.0,0,36612,0.0,0.0,Grêmio,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,True,2.2,1.52,lat,14.87,0.2,1.0,15,0.0,0,2014,0.95625,-0.18
0.0,0,36612,1.0,0.0,Grêmio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,True,-1.2,1.27,lat,13.86,-1.01,1.0,16,0.0,0,2014,0.829411764705883,0.2
0.0,0,36612,0.0,0.0,Grêmio,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,2.0,0.0,True,12.0,2.16,lat,16.56,2.7,7.0,17,0.0,0,2014,1.45,2.6
0.0,0,36612,0.0,0.0,Grêmio,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,True,-0.1,1.99,lat,14.44,-2.12,0.0,18,0.0,0,2014,1.3684210526315799,2.58
0.0,0,36612,0.0,0.0,Grêmio,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,True,2.7,2.04,lat,14.69,0.25,2.0,19,0.0,0,2014,1.435,3.12
1.0,0,36612,0.0,0.0,Grêmio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,True,4.1,2.18,lat,15.03,0.34,0.0,20,0.0,0,2014,1.56190476190476,3.5
0.0,0,36612,1.0,0.0,Grêmio,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,True,1.0,2.11,lat,14.4,-0.63,2.0,21,0.0,0,2014,1.53636363636364,3.94
0.0,0,36612,0.0,0.0,Grêmio,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,3.0,0.0,True,0.0,1.99,lat,13.96,-0.44,1.0,23,0.0,0,2014,1.40833333333333,1.56
