"atletas.nome","atletas.atleta_id","atletas.apelido","atletas.foto","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.clube.id.full.name","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","athletes.atletas.scout","PE","SG","FC","FS","I","RB","FD","A","G","FF","DD","CA","GS","FT","CV","PP","DP","GC","home_score","away_score","goals_dif","casa"
"Diego Cavalieri",38431,"Diego Cavalieri","https://s.glbimg.com/es/sde/f/2016/04/29/218be31082641b6814a593a00e28a095_FORMATO.png",0,"FLU","gol","Fluminense","Provável",0,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lucas Pierre Santos Oliveira",38440,"Pierre","https://s.glbimg.com/es/sde/f/2016/04/29/ec27531ace1e093fa1db50938eb9132b_FORMATO.png",0,"FLU","mei","Fluminense","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eder Luis de Oliveira",38508,"Eder Luis","https://s.glbimg.com/es/sde/f/2017/04/27/a624683a1be2238af9bf43179557bd20_FORMATO.png",0,"VAS","ata","Vasco","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Edílson Mendes Guimarães",38523,"Edílson","https://s.glbimg.com/es/sde/f/2017/04/23/01562d5599dfea4ea49171288751df8a_FORMATO.png",0,"GRE","lat","Grêmio","Suspenso",0,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cleiton Ribeiro Xavier",38530,"Cleiton Xavier","https://s.glbimg.com/es/sde/f/2017/02/18/12b5f4babe911d2c08e5e106d926ef3d_FORMATO.png",0,"VIT","mei","Vitória","Provável",0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Felipe Melo de Carvalho",38545,"Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",0,"PAL","mei","Palmeiras","Provável",0,13,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matheus Ferraz Pereira",38632,"Matheus Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/ee9c9754f977b8bf74b59867238b6618_FORMATO.png",0,"SPO","zag","Sport","Provável",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Douglas dos Santos",38738,"Douglas","https://s.glbimg.com/es/sde/f/2017/04/23/fa6eb12f4d4fee6467bb3bb75ccc55ce_FORMATO.png",0,"GRE","mei","Grêmio","Contundido",0,14,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"André Luiz Tavares",38768,"Andrezinho","https://s.glbimg.com/es/sde/f/2017/04/27/6dc513717c37f2d182e388d21a117216_FORMATO.png",0,"VAS","mei","Vasco","Nulo",0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anderson Luís de Abreu Oliveira",38852,"Anderson","https://s.glbimg.com/es/sde/f/2017/04/24/0dc186897635dc55867be6cf89a3666a_FORMATO.png",0,"COR","mei","Coritiba","Provável",0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Renato Dirnei Florêncio",38908,"Renato","https://s.glbimg.com/es/sde/f/2017/05/02/ce9c1e5d21a2efec50dbdc2870d5a8c9_FORMATO.png",0,"SAN","mei","Santos","Dúvida",0,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
