"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","FC","FD","FF","FS","G","I","PE","RB","CA","SG","FT","DD","GS","CV","PP","DP"
"45","Lourency do Nascimento Rodrigues","Lourency","https://s.glbimg.com/es/sde/f/2017/04/24/31a53361a6013019b911ee81b38648a9_FORMATO.png",94249,7,"CHA","ata","Nulo",0,3,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Lucas Ferreira Amaral","Lucas Ferreira","https://s.glbimg.com/es/sde/f/2016/05/01/a38c7b2a46cf04e24085ad1f45ce78bc_FORMATO.png",94147,7,"SPO","gol","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Leonardo Campos Duarte da Silva","Léo Duarte","https://s.glbimg.com/es/sde/f/2017/04/24/b7aa73dc8eb8be2ac3c08bcada8359a6_FORMATO.png",94214,7,"FLA","zag","Nulo",0,3,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Guilherme Augusto Vieira dos Santos","Guilherme","https://s.glbimg.com/es/sde/f/2017/04/17/9b919498890d4bf28c289ff60c4e590e_FORMATO.png",94207,7,"BOT","ata","Nulo",0,4.94,0,3.03,3,"Botafogo",1,2,3,NA,1,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA
"49","Andrei Alba","Andrei Alba","https://s.glbimg.com/es/sde/f/2017/04/24/047276d0aef73aef2924855c083d4ceb_FORMATO.png",94004,7,"CHA","mei","Contundido",0,2,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Mateus Norton Gomes Chaves","Mateus Norton","https://s.glbimg.com/es/sde/f/2017/01/13/b460246a299a9fb8c1e4a2dd1436cdec_FORMATO.png",94336,7,"FLU","mei","Nulo",-2.8,0.76,-0.24,-2.8,1,"Fluminense",NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"51","Edimar Ribeiro da Costa Júnior","Juninho","https://s.glbimg.com/es/sde/f/2016/05/01/3702c1c16aa8563dfc0d7e4f3399cadd_FORMATO.png",94445,7,"SPO","ata","Nulo",-0.5,0.76,0.03,-0.8,3,"Sport",NA,3,NA,1,2,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2017/04/19/b627c9025ae6426b1e4397a1e4806a3e_FORMATO.png",38067,7,"COR","mei","Nulo",0,5,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Leonardo Felipe Santos da Silva","Léo","https://s.glbimg.com/es/sde/f/2017/04/28/8edfb4213f777f54e9a9014c5969eb07_FORMATO.png",94885,7,"AVA","lat","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2017/05/01/510c7156c6f1b989be6cdcdfb393eb82_FORMATO.png",38100,7,"SPO","zag","Provável",8.3,6.63,1.74,3.05,6,"Sport",NA,2,NA,NA,3,NA,NA,8,6,NA,2,NA,NA,NA,NA,NA,NA
