"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","CV","FC","FD","FF","FS","FT","G","I","PE","RB","SG","PP","DD","GS","DP","GC"
"59","Eder Luis de Oliveira","Eder Luis","https://s.glbimg.com/es/sde/f/2017/04/27/a624683a1be2238af9bf43179557bd20_FORMATO.png",38508,38,"VAS","ata","Nulo",0,1.98,-0.51,0.7,4,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA
"60","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2017/04/23/01562d5599dfea4ea49171288751df8a_FORMATO.png",38523,38,"GRE","lat","Nulo",0,10.15,0,3.16,20,"Grêmio",1,4,1,34,8,10,13,1,1,1,66,23,8,1,NA,NA,NA,NA
"61","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2017/08/16/497b309e783e3279452314847976a12a_FORMATO.jpeg",38311,38,"FLA","mei","Dúvida",0,8.13,0,2.72,28,"Flamengo",1,5,NA,36,1,7,34,NA,NA,NA,52,54,NA,NA,NA,NA,NA,NA
"62","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2017/04/23/fa6eb12f4d4fee6467bb3bb75ccc55ce_FORMATO.png",38738,38,"GRE","mei","Contundido",0,14,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Diego Ribas da Cunha","Diego","https://s.glbimg.com/es/sde/f/2017/08/16/3ba372d90926f839c71eb2bf7160fc95_FORMATO.jpeg",38909,38,"FLA","mei","Provável",7.8,19.4,1.35,5.22,27,"Flamengo",2,6,NA,40,13,18,82,NA,10,9,106,33,NA,1,NA,NA,NA,NA
"64","Ricardo de Oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/04f2207e667b88e15a5ccdc893894a1f_FORMATO.png",38910,38,"SAN","ata","Suspenso",0,10.94,0,4.14,23,"Santos",1,3,NA,32,20,19,18,3,8,17,26,7,NA,NA,NA,NA,NA,NA
"65","Diego Alves Carreira","Diego Alves","https://s.glbimg.com/es/sde/f/2017/07/27/01f4269046199527133f29de2df7001b_FORMATO.png",38509,38,"FLA","gol","Contundido",0,11.36,0,3.5,19,"Flamengo",NA,1,NA,NA,NA,NA,4,NA,NA,NA,14,NA,6,NA,26,22,1,NA
"66","Alexandro Silva de Souza","Dudu Cearense","https://s.glbimg.com/es/sde/f/2016/06/28/2b7b2415b00931bc7ebe03b683cd03be_FORMATO.jpeg",38928,38,"BOT","mei","Dúvida",4.7,3.91,0.77,0.98,13,"Botafogo",NA,3,NA,14,4,NA,12,NA,NA,1,19,13,NA,NA,NA,NA,NA,NA
"67","Jonas Jessué da Silva Júnior","Jonas","https://s.glbimg.com/es/sde/f/2017/04/17/da28ba844b13dd322862abfcda7e77b7_FORMATO.png",39152,38,"BOT","lat","Nulo",0,6,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Rafael Marques Mariano","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/05/16/3246550328efb6a72fe4e85ea0bbff11_FORMATO.png",38957,38,"CRU","ata","Contundido",0,3.95,0,1.01,18,"Cruzeiro",NA,NA,NA,8,3,7,14,NA,1,3,25,5,NA,NA,NA,NA,NA,NA
