"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FS","I","PE","RB","A","FD","FF","FT","SG","G","CV","DD","GS","DP","PP","GC"
"726","Felipe Garcia dos Prazeres","Felipe Garcia","https://s.glbimg.com/es/sde/f/2017/04/27/986affeeae68d3af059f6c98de882ddb_FORMATO.png",42330,16,"ATL","gol","Nulo",0,6.52,0,2.28,13,"Atlético-GO",1,NA,1,NA,10,NA,NA,NA,NA,NA,1,NA,NA,23,20,NA,NA,NA
"727","Fagner Conserva Lemos","Fagner","https://s.glbimg.com/es/sde/f/2017/04/19/e126b3b0182f6b12d3cc13d20f515810_FORMATO.png",42500,16,"COR","lat","Provável",6.1,12.74,0.44,5.05,12,"Corinthians",4,14,18,2,54,16,1,1,1,NA,10,NA,NA,NA,NA,NA,NA,NA
"728","Osvaldo Lourenço Filho","Osvaldo","https://s.glbimg.com/es/sde/f/2017/05/06/c9fe7a8f540f56c7325c5e78f3097d32_FORMATO.png",42222,16,"SPO","ata","Contundido",0,5.22,0,2.96,13,"Sport",2,8,18,1,38,8,1,4,4,NA,NA,3,NA,NA,NA,NA,NA,NA
"729","Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,16,"CRU","ata","Provável",3.3,10.77,0.64,2.64,9,"Cruzeiro",3,11,11,1,20,1,1,8,8,NA,NA,2,NA,NA,NA,NA,NA,NA
"730","Júlio César Jacobi","Júlio César","https://s.glbimg.com/es/sde/f/2017/07/25/ff1d090ecbc688a4eaf1cd1f5e07cb34_FORMATO.png",49673,16,"FLU","gol","Provável",-2.3,4.59,-1.05,1.69,12,"Fluminense",NA,NA,7,NA,8,NA,NA,NA,NA,NA,1,NA,NA,16,17,NA,NA,NA
"731","Alexi Stival","Cuca","https://s.glbimg.com/es/sde/f/2016/05/01/ffe92c9e05e8100cdb59ce176a5352f5_FORMATO.png",42411,16,"PAL","tec","Provável",5.75,13.9,0.65,3.68,16,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"732","Bruno Vieira do Nascimento","Bruno","https://s.glbimg.com/es/sde/f/2016/05/01/d2edee13739b924fb1847c5369f28455_FORMATO.png",42499,16,"SAO","lat","Provável",-1,5.08,-0.86,1.04,7,"São Paulo",1,9,9,NA,33,5,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"733","Fabricio dos Santos Silva","Fabrício","https://s.glbimg.com/es/sde/f/2017/02/19/24191456ff9447eb594b23afd68b389a_FORMATO.png",49674,16,"CRU","lat","Nulo",0,5,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"734","Wilson Rodrigues de Moura Júnior","Wilson","https://s.glbimg.com/es/sde/f/2017/04/24/5b2f43325fb756c251e30f1bd567af5b_FORMATO.png",50284,16,"COR","gol","Provável",2.7,12.93,0.8,4.41,16,"Coritiba",1,NA,3,NA,10,NA,NA,NA,NA,NA,5,NA,NA,31,22,NA,NA,NA
"735","Everton Cardoso da Silva","Everton","https://s.glbimg.com/es/sde/f/2017/04/24/baf540d146fb96f0159339aad269538d_FORMATO.png",50301,16,"FLA","mei","Provável",0,14.81,0,4.87,13,"Flamengo",4,19,24,6,42,20,2,8,7,1,NA,3,NA,NA,NA,NA,NA,NA
"736","Adilson Warken","Adilson","https://s.glbimg.com/es/sde/f/2017/04/03/8a5b4672974501d33850ca575e0f117c_FORMATO.png",50307,16,"ATL","mei","Provável",0,4.18,0,0.74,7,"Atlético-MG",1,16,4,NA,15,10,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"737","David Braz de Oliveira Filho","David Braz","https://s.glbimg.com/es/sde/f/2017/05/02/7e17e0feab3ee583c5049f63df2c2771_FORMATO.png",50317,16,"SAN","zag","Provável",9.3,12.47,1.19,4.31,14,"Santos",4,10,7,1,37,12,NA,1,3,NA,10,1,NA,NA,NA,NA,NA,NA
"738","Guilherme Milhomem Gusmão","Guilherme","https://s.glbimg.com/es/sde/f/2017/04/28/0dde0e778cab6579a9bf8d745efc2bf0_FORMATO.png",50294,16,"ATL","mei","Nulo",0,8.39,0,1.63,4,"Atlético-PR",NA,2,4,1,9,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"739","Darío Leonardo Conca","Conca","https://s.glbimg.com/es/sde/f/2017/04/24/f51b755cd38a02f41c96c2cc347998eb_FORMATO.png",50348,16,"FLA","mei","Nulo",0,8.35,0,-0.95,2,"Flamengo",1,1,1,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"740","Hudson Rodrigues dos Santos","Hudson","https://s.glbimg.com/es/sde/f/2017/02/05/3d3e3081a494b80799d348813e420860_FORMATO.png",50324,16,"CRU","mei","Contundido",0,7.51,0,3.31,8,"Cruzeiro",1,13,7,NA,15,15,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA
