"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FF","FS","PE","RB","SG","I","A","FD","G","FT","PP","CV","DD","GS","DP","GC"
"50","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2017/02/18/6e1bc225f8c1e82f9bea52b09540dd3a_FORMATO.png",37688,15,"SAO","mei","Nulo",-0.6,4.34,-0.53,-0.82,9,"São Paulo",2,15,3,7,13,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,15,"CRU","mei","Provável",2.3,4.44,-0.2,0.97,9,"Cruzeiro",3,9,2,9,25,14,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA
"52","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2017/06/07/4171a633f759e859ac04b9293992adf3_FORMATO.png",37705,15,"AVA","mei","Provável",-0.6,4.52,0.1,1.65,11,"Avaí",3,17,6,20,36,11,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA
"53","Wagner Ferreira dos Santos","Wagner","https://s.glbimg.com/es/sde/f/2017/04/06/359066aa5d28530d44010771094091ab_FORMATO.png",37674,15,"VAS","mei","Nulo",2.6,4.96,0.04,1.14,7,"Vasco",NA,10,NA,7,12,3,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"54","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2017/04/23/7277c35fed3ff5f997fbf230b96586e4_FORMATO.png",37701,15,"GRE","lat","Contundido",0,11.81,0,6.02,4,"Grêmio",NA,2,2,6,11,5,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"55","Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,15,"CRU","ata","Provável",0,10.13,0,2.56,8,"Cruzeiro",3,10,6,10,14,NA,NA,1,1,6,2,NA,NA,NA,NA,NA,NA,NA
"56","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2017/04/24/134bd2592921a7ea460e78f357f4d99a_FORMATO.png",37792,15,"COR","mei","Nulo",-0.6,3.6,-0.24,-0.68,4,"Coritiba",1,2,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Gustavo Franchin Schiavolin","Gustavo","https://s.glbimg.com/es/sde/f/2017/04/28/1a067ab1f5585036fbe91443094ed603_FORMATO.png",37840,15,"AVA","zag","Nulo",0,4.14,0,-0.6,3,"Avaí",1,2,1,2,4,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_FORMATO.png",37770,15,"GRE","gol","Provável",-2,7.18,-0.79,1.22,11,"Grêmio",1,NA,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA,1,3,9,NA,NA
"59","Anderson Pedro Nunes da Silva Campos","Anderson","https://s.glbimg.com/es/sde/f/2017/02/21/25b8eacc6ff420ba06c12861299fc24b_FORMATO.png",38001,15,"BAH","gol","Nulo",0,0.79,0,-2,2,"Bahia",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Mário Lúcio Duarte Costa","Aranha","https://s.glbimg.com/es/sde/f/2017/05/02/803e0f7a5e12a827547f82d97fb403f0_FORMATO.png",37984,15,"PON","gol","Provável",14,13.03,2.43,3.95,15,"Ponte Preta",NA,NA,NA,2,6,NA,6,NA,NA,NA,NA,NA,NA,NA,24,21,NA,NA
"61","Luis Fabiano Clemente","Luis Fabiano","https://s.glbimg.com/es/sde/f/2017/04/17/37ff07beed4a39ead1876fadd586d068_FORMATO.png",37919,15,"VAS","ata","Contundido",0,14.04,0,6.56,9,"Vasco",4,15,15,19,10,3,NA,5,2,5,5,NA,NA,NA,NA,NA,NA,NA
"62","Roger de Oliveira Bernardo","Roger Bernardo","https://s.glbimg.com/es/sde/f/2017/06/22/c2345aa6df43625e0d6ec0ff375de539_FORMATO.png",37934,15,"ATL","mei","Nulo",0,5.99,0,1.4,3,"Atlético-MG",1,9,NA,7,14,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2017/06/07/709c0e1e568158958ad56b554eba55d3_FORMATO.png",37851,15,"SAO","mei","Contundido",0,6.88,0,2.3,5,"São Paulo",NA,1,1,7,1,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"64","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2017/04/19/b627c9025ae6426b1e4397a1e4806a3e_FORMATO.png",38067,15,"COR","mei","Nulo",0,5,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2017/05/02/4a4ad263fb8caeebedbea1c1bab7d397_FORMATO.png",38021,15,"PON","mei","Nulo",0,4.78,0,1.13,10,"Ponte Preta",2,7,4,9,5,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,15,"SAO","zag","Suspenso",3,4.1,-0.07,1.16,5,"São Paulo",3,11,3,2,12,4,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"67","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2017/04/18/6814b99b2a5d61f8e272030ee2784ca0_FORMATO.png",38287,15,"BOT","ata","Provável",1.3,9.18,-0.57,4.55,14,"Botafogo",2,16,12,17,31,8,NA,14,2,7,6,NA,1,NA,NA,NA,NA,NA
"68","Gabriel Rybar Blos","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/23/f2550afa5db7011619ab01d7d1032823_FORMATO.png",71572,15,"GRE","zag","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,15,"BOT","gol","Provável",8.4,9.98,0.84,9.28,4,"Botafogo",1,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,9,2,1,NA
"70","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2017/04/24/034006de65f23dc6ad944d4cbe1fd5d4_FORMATO.png",38311,15,"FLA","mei","Provável",1.2,8.54,-0.56,3.16,15,"Flamengo",2,18,4,22,26,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2017/05/01/510c7156c6f1b989be6cdcdfb393eb82_FORMATO.png",38100,15,"SPO","zag","Nulo",0,6.31,0,3.33,11,"Sport",NA,9,NA,7,16,10,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"72","Marcos Vicente dos Santos","Marquinhos","https://s.glbimg.com/es/sde/f/2017/04/28/16b2b3c31dc9b2e904ab87a434b26f8b_FORMATO.png",38150,15,"AVA","mei","Nulo",0,2.72,-1.06,0.61,10,"Avaí",NA,4,3,10,37,3,NA,NA,NA,4,1,NA,NA,1,NA,NA,NA,NA
"73","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,15,"PAL","gol","Nulo",0,14.44,0,4.06,14,"Palmeiras",NA,NA,NA,2,4,NA,4,NA,NA,NA,NA,NA,NA,NA,23,16,NA,NA
"74","Jadson Rodrigues da Silva","Jadson","https://s.glbimg.com/es/sde/f/2017/04/23/74a0bb24699753dd991412e8c67a1623_FORMATO.png",38315,15,"COR","mei","Contundido",-0.3,9.2,-0.5,1.97,14,"Corinthians",2,13,8,5,68,7,NA,3,1,3,4,NA,NA,NA,NA,NA,NA,NA
"75","Artur Guilherme Moraes Gusmão","Artur Moraes","https://s.glbimg.com/es/sde/f/2017/04/24/5e85a2f95507d900cd0da5a482163c0d_FORMATO.png",38156,15,"CHA","gol","Nulo",0,6,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2017/05/02/dfab84ee22e942e61a82ff8910b56353_FORMATO.png",38425,15,"PON","zag","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Maicon Thiago Pereira de Souza","Maicon","https://s.glbimg.com/es/sde/f/2017/04/23/2d7990dd22103819070a18092e4a35b7_FORMATO.png",38196,15,"GRE","mei","Nulo",1.1,7.51,-0.48,0.84,7,"Grêmio",NA,3,NA,5,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
