"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","G","PE","RB","I","SG","CV","DD","GS","PP","DP","GC"
"12","Michel Fernandes Bastos","Michel Bastos","https://s.glbimg.com/es/sde/f/2017/04/18/fa3a79559d24615c5cf4229992d82324_FORMATO.png",37607,29,"PAL","mei","Nulo",0,6.6,0,2.27,13,"Palmeiras",2,4,9,3,11,11,NA,NA,39,17,3,NA,NA,NA,NA,NA,NA,NA
"13","José Roberto da Silva Júnior","Zé Roberto","https://s.glbimg.com/es/sde/f/2017/04/18/8397713ec780be3eaf28ae8d848c2736_FORMATO.png",36612,29,"PAL","lat","Nulo",0,6.62,0,1.79,13,"Palmeiras",2,1,15,NA,NA,7,NA,NA,14,5,NA,3,NA,NA,NA,NA,NA,NA
"14","Gilson Kleina","Gilson Kleina","https://s.glbimg.com/es/sde/f/2017/10/20/694aae00a3286c835cf98e36d3851bc3_FORMATO.png",37306,29,"CHA","tec","Provável",0,12.04,0,3.76,23,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Paulo André Cren Benini","Paulo André","https://s.glbimg.com/es/sde/f/2017/04/23/755b6b8cfd82322b66a137677617403d_FORMATO.png",37604,29,"ATL","zag","Nulo",0,4.3,0,1.93,15,"Atlético-PR",NA,4,13,2,NA,11,1,NA,32,13,NA,4,NA,NA,NA,NA,NA,NA
"16","Luis Antônio Venker de Menezes","Mano Menezes","https://s.glbimg.com/es/sde/f/2016/08/09/246730e80d7ef5af15c8b59b8491c289_FORMATO.png",37281,29,"CRU","tec","Provável",0.85,12.29,-1.08,3.76,28,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Matheus Mancini","Matheus Mancini","https://s.glbimg.com/es/sde/f/2017/05/19/5bca9708b9e4c88d08f62e3935fe8cb4_FORMATO.png",80124,29,"ATL","zag","Nulo",0,1.6,0,0.16,5,"Atlético-MG",NA,2,10,NA,2,2,NA,NA,9,3,NA,1,NA,NA,NA,NA,NA,NA
"18","Oswaldo de Oliveira","Oswaldo de Oliveira","https://s.glbimg.com/es/sde/f/2017/09/26/43d72dfbd2cff9b2ca73b83cd28119e5_FORMATO.png",36940,29,"ATL","tec","Provável",3.24,10.22,0.08,4.27,4,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Ebert Willian Amâncio","Betão","https://s.glbimg.com/es/sde/f/2017/04/28/892740eaee3f590710c5572d2e84bbd1_FORMATO.png",37646,29,"AVA","zag","Provável",3.1,7.2,0.64,2.4,27,"Avaí",NA,7,21,1,2,21,NA,1,57,18,NA,11,NA,NA,NA,NA,NA,NA
"20","Rafael Marques Pinto","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/04/24/b057662177ede29cb7aec5d2426bea3b_FORMATO.png",37623,29,"VAS","zag","Nulo",0,2.08,0,1,13,"Vasco",NA,3,12,1,1,6,1,NA,31,13,2,1,NA,NA,NA,NA,NA,NA
"21","Cristian Mark Junio Nascimento Oliveira Baroni","Cristian","https://s.glbimg.com/es/sde/f/2017/09/29/4202df5f7ffbef81d1801418eed48bc2_FORMATO.png",37608,29,"GRE","mei","Provável",0,3.64,0,2.4,1,"Grêmio",NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"22","Rodrigo Baldasso da Costa","Rodrigo","https://s.glbimg.com/es/sde/f/2017/06/13/a5cb57a41ef2b2308c98b76ba24b430a_FORMATO.png",37644,29,"PON","zag","Nulo",5.1,9.46,-0.48,4.17,15,"Ponte Preta",NA,3,8,6,8,23,NA,NA,34,18,2,7,1,NA,NA,NA,NA,NA
"23","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,29,"CRU","gol","Provável",1,12.45,-0.34,4,25,"Cruzeiro",NA,NA,1,NA,NA,2,NA,NA,12,NA,NA,10,NA,31,20,NA,NA,NA
"24","Rafael Martiniano de Miranda Moura","Rafael Moura","https://s.glbimg.com/es/sde/f/2017/04/03/0262cdf9cadf70eee005c277def421cb_FORMATO.png",37655,29,"ATL","ata","Nulo",0,4.52,0,1.23,21,"Atlético-MG",NA,1,38,8,9,22,1,4,29,4,17,NA,NA,NA,NA,1,NA,NA
