"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","PE","RB","SG","I","G","CV","PP","DD","GS","FT","DP"
"13","Julio Cesar Coelho de Moraes Júnior","Julio Cesar","https://s.glbimg.com/es/sde/f/2017/04/17/1fdd617943f798215323bf53718e1f45_FORMATO.png",37663,8,"VAS","lat","Nulo",0,3,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Jonathan Cícero Moreira","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/23/2e9071da78a7b84be87644f435c375ea_FORMATO.png",37662,8,"ATL","lat","Provável",7.5,7.93,0.99,2.74,7,"Atlético-PR",NA,1,3,NA,NA,5,17,9,2,NA,NA,NA,NA,NA,NA,NA,NA
"15","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,8,"CRU","mei","Nulo",0,3.77,0,-0.5,6,"Cruzeiro",NA,2,6,NA,1,4,13,6,NA,NA,NA,1,NA,NA,NA,NA,NA
"16","Eduardo Luís Abonizio de Souza","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_FORMATO.png",37657,8,"PAL","zag","Nulo",0,9.23,0,4.55,4,"Palmeiras",NA,NA,5,1,NA,8,2,4,2,1,NA,NA,NA,NA,NA,NA,NA
"17","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2017/05/25/b470b28b3b68d95eff43163148c236f8_FORMATO.png",37673,8,"COR","ata","Nulo",-0.1,3.55,-0.07,-0.32,4,"Coritiba",NA,NA,3,NA,1,2,7,3,NA,2,NA,NA,1,NA,NA,NA,NA
"18","Wagner Ferreira dos Santos","Wagner","https://s.glbimg.com/es/sde/f/2017/04/06/359066aa5d28530d44010771094091ab_FORMATO.png",37674,8,"VAS","mei","Nulo",0,5.49,0,-0.8,1,"Vasco",NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2017/04/23/7277c35fed3ff5f997fbf230b96586e4_FORMATO.png",37701,8,"GRE","lat","Contundido",0,11.81,0,6.02,4,"Grêmio",NA,NA,2,1,2,6,11,5,3,1,NA,NA,NA,NA,NA,NA,NA
"20","Carlos Alberto Gomes de Jesus","Carlos Alberto","https://s.glbimg.com/es/sde/f/2017/04/23/e6ee0f29664116ad56a6334200f1a86b_FORMATO.png",37652,8,"ATL","mei","Nulo",0,6.81,0,2.2,1,"Atlético-PR",NA,NA,1,NA,1,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2017/02/18/6e1bc225f8c1e82f9bea52b09540dd3a_FORMATO.png",37688,8,"SAO","mei","Provável",0.2,5.14,0.31,-0.9,7,"São Paulo",NA,2,9,NA,3,6,12,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"22","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2017/06/07/4171a633f759e859ac04b9293992adf3_FORMATO.png",37705,8,"AVA","mei","Provável",2.9,5.03,-0.22,2.16,5,"Avaí",NA,2,9,2,4,12,21,4,NA,NA,1,NA,NA,NA,NA,NA,NA
"23","Fábio Deivson Lopes Maciel","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_FORMATO.png",37656,8,"CRU","gol","Provável",6,13.26,0.55,4.57,8,"Cruzeiro",NA,NA,1,NA,NA,NA,3,NA,3,NA,NA,NA,NA,13,8,NA,NA
"24","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_FORMATO.png",37770,8,"GRE","gol","Provável",-3,7.59,-1.59,1.24,7,"Grêmio",NA,1,NA,NA,NA,NA,1,NA,5,NA,NA,1,NA,1,6,NA,NA
