"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","FC","FS","PE","RB","CA","FD","FF","I","CV","SG","FT","G","PP","A","DD","GS","DP","GC"
"42","Artur Guilherme Moraes Gusmão","Artur Moraes","https://s.glbimg.com/es/sde/f/2017/04/24/5e85a2f95507d900cd0da5a482163c0d_FORMATO.png",38156,12,"CHA","gol","Nulo",0,6,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2017/04/03/3c0b9d4407aa9d0eadfb90461cc048e1_FORMATO.png",38162,12,"ATL","ata","Provável",-1.3,15.6,-3.17,4.74,9,"Atlético-MG",17,22,20,2,1,2,6,4,NA,NA,1,4,NA,1,NA,NA,NA,NA
"44","Robson de Souza","Robinho","https://s.glbimg.com/es/sde/f/2017/04/03/d0fe78529c78b3decfed9ab7ea31e79b_FORMATO.png",38246,12,"ATL","ata","Provável",8,15.03,1.45,3.23,10,"Atlético-MG",8,12,35,15,2,2,4,7,NA,NA,NA,1,NA,2,NA,NA,NA,NA
"45","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,12,"PAL","gol","Provável",0,15.79,-0.91,5.36,12,"Palmeiras",NA,1,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,23,12,NA,NA
"46","Fábio Santos Romeu","Fábio Santos","https://s.glbimg.com/es/sde/f/2017/04/03/513ae4d7abe5f2024ee9a5cfa9c87bd4_FORMATO.png",38229,12,"ATL","lat","Provável",3.9,2.5,0.78,1.13,10,"Atlético-MG",15,21,35,10,5,NA,4,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"47","Gustavo Franchin Schiavolin","Gustavo","https://s.glbimg.com/es/sde/f/2017/04/28/1a067ab1f5585036fbe91443094ed603_FORMATO.png",37840,12,"AVA","zag","Nulo",0,4.14,0,-0.6,3,"Avaí",2,2,4,1,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2017/05/02/dfab84ee22e942e61a82ff8910b56353_FORMATO.png",38425,12,"PON","zag","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2017/04/18/6814b99b2a5d61f8e272030ee2784ca0_FORMATO.png",38287,12,"BOT","ata","Provável",7.8,9.78,1.58,4.44,11,"Botafogo",10,12,28,7,1,5,9,13,NA,NA,NA,5,1,1,NA,NA,NA,NA
"50","Jadson Rodrigues da Silva","Jadson","https://s.glbimg.com/es/sde/f/2017/04/23/74a0bb24699753dd991412e8c67a1623_FORMATO.png",38315,12,"COR","mei","Provável",5.9,10.21,1.54,1.81,11,"Corinthians",10,4,61,5,1,3,6,3,NA,NA,NA,3,NA,1,NA,NA,NA,NA
"51","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2017/04/25/063a393c23a936c42fa8d9c6ee455747_FORMATO.png",38279,12,"CHA","ata","Provável",1.4,10.54,0,2.88,12,"Chapecoense",15,15,24,2,2,10,9,3,NA,NA,1,3,NA,NA,NA,NA,NA,NA
"52","Rafael da Silva Francisco","Rafinha","https://s.glbimg.com/es/sde/f/2017/04/22/b38b67b4598e604b5f9219b7e65d47d7_FORMATO.png",38421,12,"CRU","mei","Contundido",0,5.96,0,1.41,7,"Cruzeiro",8,14,19,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2017/04/23/1f11c20ef0f3dc5415e347a5080e0877_FORMATO.png",38394,12,"ATL","zag","Provável",0,8.65,0,3.42,8,"Atlético-PR",8,5,17,8,2,NA,2,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA
"54","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2016/04/29/218be31082641b6814a593a00e28a095_FORMATO.png",38431,12,"FLU","gol","Nulo",0,3.91,0,-1,3,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA
"55","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2016/04/29/ec27531ace1e093fa1db50938eb9132b_FORMATO.png",38440,12,"FLU","mei","Contundido",0,3.54,0,0,1,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2017/04/24/034006de65f23dc6ad944d4cbe1fd5d4_FORMATO.png",38311,12,"FLA","mei","Provável",7.5,9.5,0.1,3.29,12,"Flamengo",12,19,22,25,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2017/02/18/12b5f4babe911d2c08e5e106d926ef3d_FORMATO.png",38530,12,"VIT","mei","Provável",3.9,6.73,0.43,2.33,10,"Vitória",10,5,26,6,NA,4,7,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"58","Eder Luis de Oliveira","Eder Luis","https://s.glbimg.com/es/sde/f/2017/04/27/a624683a1be2238af9bf43179557bd20_FORMATO.png",38508,12,"VAS","ata","Nulo",0,2.34,0,0,1,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2017/04/23/01562d5599dfea4ea49171288751df8a_FORMATO.png",38523,12,"GRE","lat","Provável",-3.4,9.53,-1.35,3.17,8,"Grêmio",13,4,17,9,3,1,1,1,NA,4,NA,1,1,NA,NA,NA,NA,NA
"60","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2017/04/23/fa6eb12f4d4fee6467bb3bb75ccc55ce_FORMATO.png",38738,12,"GRE","mei","Contundido",0,14,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Renato Dirnei Florêncio","Renato","https://s.glbimg.com/es/sde/f/2017/05/02/ce9c1e5d21a2efec50dbdc2870d5a8c9_FORMATO.png",38908,12,"SAN","mei","Contundido",-0.9,6.39,-1.15,1.65,10,"Santos",6,14,23,11,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Felipe Melo de Carvalho","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,12,"PAL","mei","Nulo",0,8.67,0,1.75,4,"Palmeiras",8,5,6,7,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Anderson Luís de Abreu Oliveira","Anderson","https://s.glbimg.com/es/sde/f/2017/04/24/0dc186897635dc55867be6cf89a3666a_FORMATO.png",38852,12,"COR","mei","Dúvida",0.3,3.8,0.04,0,3,"Coritiba",4,5,13,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Alexandro Silva de Souza","Dudu Cearense","https://s.glbimg.com/es/sde/f/2016/06/28/2b7b2415b00931bc7ebe03b683cd03be_FORMATO.jpeg",38928,12,"BOT","mei","Nulo",0,3.24,0,-0.35,6,"Botafogo",5,1,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Diego Ribas da Cunha","Diego","https://s.glbimg.com/es/sde/f/2017/04/24/98708ecaf48555700b1ca390667c77fb_FORMATO.png",38909,12,"FLA","mei","Provável",4.6,20.81,-1.3,6.88,9,"Flamengo",12,26,38,10,NA,4,7,3,NA,NA,NA,4,NA,2,NA,NA,NA,NA
"66","Maicon Douglas Sisenando","Maicon","https://s.glbimg.com/es/sde/f/2017/05/31/ef02f85ca8a5590abd7f361e7b0dd858_FORMATO.png",38748,12,"AVA","lat","Nulo",0,4.72,0,-6,1,"Avaí",1,2,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"67","Anderson Luiz de Carvalho","Nenê","https://s.glbimg.com/es/sde/f/2017/04/24/45951f5edf6777703717a335e5bffc58_FORMATO.png",38913,12,"VAS","mei","Suspenso",-3.5,12.69,-1.19,3.5,11,"Vasco",10,28,48,7,3,3,7,2,NA,NA,NA,2,NA,3,NA,NA,NA,NA
"68","Rafael Marques Mariano","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/05/16/3246550328efb6a72fe4e85ea0bbff11_FORMATO.png",38957,12,"CRU","ata","Nulo",0,4.04,0,1.18,7,"Cruzeiro",2,7,16,3,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","José Renato da Silva Júnior","Renato","https://s.glbimg.com/es/sde/f/2017/01/13/7ab26ced537354a115324343754e8570_FORMATO.png",39572,12,"FLU","lat","Nulo",0,3.75,0,2.28,5,"Fluminense",4,7,9,3,1,1,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"70","Abel Carlos da Silva Braga","Abel Braga","https://s.glbimg.com/es/sde/f/2017/05/31/4e771d1c183057eb5fe8015ff7755b0c_FORMATO.png",40006,12,"FLU","tec","Provável",4.35,12.39,0.24,3.59,11,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Jonas Jessué da Silva Júnior","Jonas","https://s.glbimg.com/es/sde/f/2017/04/17/da28ba844b13dd322862abfcda7e77b7_FORMATO.png",39152,12,"BOT","lat","Contundido",0,6,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Levir Culpi","Levir Culpi","https://s.glbimg.com/es/sde/f/2017/06/14/136e0a7f3e7fc28586ac419c9c08efd2_FORMATO.png",40025,12,"SAN","tec","Provável",3.41,9.99,0.12,4.34,6,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
