"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","FS","PE","CA","FC","FD","FF","G","I","RB","A","FT","SG","DD","DP","GS","PP","CV","GC"
"100","Renato Portaluppi","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2016/10/20/11389b106c935a0e20c5b557a4161683_FORMATO.png",41929,19,"GRE","tec","Provável",5.13,15.81,-0.21,4.68,19,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Paulo Victor Mileo Vidotti","Paulo Victor","https://s.glbimg.com/es/sde/f/2017/07/19/429e3fc1b0f671fe9b25019c5f735f67_FORMATO.png",68873,19,"GRE","gol","Provável",12.4,6.97,1.97,12.4,1,"Grêmio",NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA
"102","Rodrigo Júnior Paula Silva","Digão","https://s.glbimg.com/es/sde/f/2017/08/10/45b089a35e467b5f5cc0a9d46a380b7a_FORMATO.png",68886,19,"CRU","zag","Provável",0,6,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Egídio de Araújo Pereira Júnior","Egídio","https://s.glbimg.com/es/sde/f/2017/04/18/594aacef190963b0476d2c76f4f48f57_FORMATO.png",42145,19,"PAL","lat","Provável",0,7.15,0,5.11,11,"Palmeiras",16,53,1,10,3,NA,NA,2,23,1,NA,5,NA,NA,NA,NA,NA,NA
"104","Willian Gomes de Siqueira","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,19,"PAL","ata","Contundido",0,7.65,0,2.76,14,"Palmeiras",21,26,4,23,6,6,3,5,11,1,1,NA,NA,NA,NA,1,NA,NA
"105","Welington Pereira Rodrigues","Gum","https://s.glbimg.com/es/sde/f/2017/07/25/4407e04c0f422d9c7c06af9bc6c97fff_FORMATO.png",68887,19,"FLU","zag","Contundido",0,7,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Klever Rodrigo Gomes Rufino","Klever","https://s.glbimg.com/es/sde/f/2017/04/27/76d01b3a27b9f9546d7f9647da5829db_FORMATO.png",68884,19,"ATL","gol","Contundido",0,0.83,0,-3.1,3,"Atlético-GO",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,9,NA,NA,NA
"107","Wellington Alves da Silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2017/01/13/890838d7b4008a35572bcd44dfafc6e0_FORMATO.png",68895,19,"FLU","ata","Provável",9.9,10.28,1.61,3.73,7,"Fluminense",12,17,NA,4,NA,2,2,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"108","Felipe Augusto Santana","Felipe Santana","https://s.glbimg.com/es/sde/f/2017/02/19/6ca71225c6186e7ca8dfcf1ac0111b14_FORMATO.png",42140,19,"ATL","zag","Nulo",0,9.11,0,3.69,8,"Atlético-MG",6,14,NA,7,NA,2,1,1,9,1,NA,1,NA,NA,NA,NA,NA,NA
"109","Fernando Paixão da Silva","Fernando Bob","https://s.glbimg.com/es/sde/f/2017/05/02/c182483a84aebf5ed52ddb9d82da6407_FORMATO.png",42213,19,"PON","mei","Nulo",0,8.36,0,2.6,9,"Ponte Preta",12,32,2,20,NA,1,NA,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
