"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FF","FS","FT","I","PE","RB","SG","FD","DD","DP","G","GS","GC","CV","PP"
"68","Luiz Diallison de Souza Alves","Apodi","https://s.glbimg.com/es/sde/f/2017/04/24/287a66acd6363a7d660701c832982d75_FORMATO.png",51042,33,"CHA","lat","Provável",3.6,8.24,0.12,3.24,29,"Chapecoense",NA,9,53,15,55,NA,2,68,36,9,8,NA,NA,1,NA,NA,NA,NA
"69","Bruno Rodrigo Fenelon Palomo","Bruno Rodrigo","https://s.glbimg.com/es/sde/f/2017/04/23/d52f6bea6aa2f1491f7bd22855a3e821_FORMATO.png",51705,33,"GRE","zag","Nulo",0,4.72,0,3.52,6,"Grêmio",NA,1,5,1,1,NA,NA,6,6,3,1,NA,NA,NA,NA,NA,NA,NA
"70","André Luiz Barretto Silva Lima","André Lima","https://s.glbimg.com/es/sde/f/2017/05/28/8c9906d1639eafeb5779494c61890457_FORMATO.png",68893,33,"VIT","ata","Nulo",0,8.16,0,3.01,15,"Vitória",3,1,20,8,12,NA,4,20,5,NA,3,NA,NA,4,NA,NA,1,NA
"71","Kayke Moreno de Andrade Rodrigues","Kayke","https://s.glbimg.com/es/sde/f/2017/05/02/175b6e25643dfdf97032cd564bc4e5c4_FORMATO.png",50402,33,"SAN","ata","Nulo",0,4.15,0.21,1.32,24,"Santos",1,NA,20,19,9,NA,10,50,6,NA,8,NA,NA,3,NA,NA,NA,1
"72","Paulo Victor Mileo Vidotti","Paulo Victor","https://s.glbimg.com/es/sde/f/2017/07/19/429e3fc1b0f671fe9b25019c5f735f67_FORMATO.png",68873,33,"GRE","gol","Nulo",0,6.49,0,4.97,7,"Grêmio",NA,1,NA,NA,2,NA,NA,4,NA,2,NA,12,1,NA,8,NA,NA,NA
"73","Francisco Rithely da Silva Sousa","Rithely","https://s.glbimg.com/es/sde/f/2017/08/30/59b84512a1f8464d9476589c93df7a53_FORMATO.png",68834,33,"SPO","mei","Provável",5.9,11.66,0.27,4.09,27,"Sport",2,6,49,25,28,NA,1,93,68,NA,10,NA,NA,1,NA,NA,NA,NA
"74","Klever Rodrigo Gomes Rufino","Klever","https://s.glbimg.com/es/sde/f/2017/04/27/76d01b3a27b9f9546d7f9647da5829db_FORMATO.png",68884,33,"ATL","gol","Provável",-3,0.79,-0.04,-3.08,4,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,12,NA,NA,NA
"75","Roger de Carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2017/04/28/050f2523a89b53c80e67a8b25d407fea_FORMATO.png",51415,33,"ATL","zag","Contundido",0,7.51,0,2.63,19,"Atlético-GO",1,NA,29,10,31,1,NA,41,24,1,NA,NA,NA,NA,NA,NA,NA,NA
"76","Wellington Alves da Silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2017/01/13/890838d7b4008a35572bcd44dfafc6e0_FORMATO.png",68895,33,"FLU","ata","Dúvida",-0.3,8.02,0,1.91,16,"Fluminense",1,NA,8,4,23,NA,6,47,9,NA,1,NA,NA,2,NA,NA,NA,NA
"77","Éverton Augusto de Barros Ribeiro","Éverton Ribeiro","https://s.glbimg.com/es/sde/f/2017/06/24/7deee286983361a4845652b6c39be834_FORMATO.png",51772,33,"FLA","mei","Provável",5,12.9,-0.3,3.14,24,"Flamengo",4,2,32,15,47,NA,1,124,25,NA,8,NA,NA,4,NA,NA,NA,1
"78","Thiago Carleto Alves","Thiago Carleto","https://s.glbimg.com/es/sde/f/2017/05/15/e78cf3d6b6820ad71b0335abf0a64a0b_FORMATO.png",51700,33,"COR","lat","Provável",8.5,7.48,-1.61,6.24,17,"Coritiba",7,2,11,5,12,NA,1,65,24,5,13,NA,NA,2,NA,NA,NA,1
