"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","G","PE","RB","SG","FT","I","PP","DD","GS","CV","DP","GC"
"437","Matheus Gabriel Guedes Caetano","Matheus Guedes","https://s.glbimg.com/es/sde/f/2017/11/21/beea04b2739626d19d9a6c24da40762e_FORMATO.png",100746,37,"SAN","zag","Nulo",0,1,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Vinicius Silvestre da Costa","Vinicius Silvestre","https://s.glbimg.com/es/sde/f/2016/05/01/31d846d7d2c8a7f4d827850b61996f45_FORMATO.png",85083,37,"PAL","gol","Nulo",0,2,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Igor Matheus Liziero Pereira ","Liziero",NA,100761,37,"SAO","mei","Nulo",0,1,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","Emerson Barbosa","Emerson Barbosa",NA,100800,37,"SAN","lat","Dúvida",0,1,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","Hyoran Kaue Dalmoro","Hyoran","https://s.glbimg.com/es/sde/f/2017/02/19/1ec83086a8ae2fe33a1e88113fff1ac1_FORMATO.png",85931,37,"PAL","mei","Nulo",0.7,2.7,-0.89,2.78,4,"Palmeiras",NA,NA,3,1,NA,4,1,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","Daniel Correa Freitas","Daniel","https://s.glbimg.com/es/sde/f/2017/04/24/5b71e14cce546da5e531c172e54e0ce2_FORMATO.png",85629,37,"COR","mei","Dúvida",0,4.9,0,1.85,2,"Coritiba",NA,NA,NA,NA,1,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","Wanderson Santos Pereira","Wanderson","https://s.glbimg.com/es/sde/f/2017/04/23/3914af8715466d38cf77d94b2c5c5685_FORMATO.png",86143,37,"ATL","zag","Dúvida",0,4.32,0,2.37,23,"Atlético-PR",NA,2,21,9,2,5,2,38,14,7,NA,2,NA,NA,NA,NA,NA,1
"444","Ericson da Silva","Ericson",NA,100839,37,"GRE","zag","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","Miguel Angel Borja Hernandez","Borja","https://s.glbimg.com/es/sde/f/2017/04/23/4b0f5cd460ee874344bfbfd4e3eef9a6_FORMATO.png",86120,37,"PAL","ata","Contundido",7.9,15.91,0.96,3.27,24,"Palmeiras",1,3,27,12,26,18,6,31,10,NA,NA,4,NA,NA,NA,NA,NA,NA
"446","Brenno Oliveira Fraga Costa","Brenno","https://s.glbimg.com/es/sde/f/2017/12/01/eb6549ddfa3b798b4e31af8c9473334b_FORMATO.jpeg",100830,37,"GRE","gol","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","Marcos Moser Preto","Marcos Moser",NA,100795,37,"COR","lat","Nulo",0,1,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448","Emanuel Leone Moura","Emanuel","https://s.glbimg.com/es/sde/f/2017/12/01/e2a85d715ac397898197228bac470497_FORMATO.jpeg",100840,37,"GRE","zag","Provável",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Andrew Erik Feitosa","Morato","https://s.glbimg.com/es/sde/f/2017/04/28/773338b7d4efec23c8bd970486c9ff68_FORMATO.png",86227,37,"SAO","ata","Contundido",0,3,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Victor Luis Chuab Zamblauskas","Victor Luis","https://s.glbimg.com/es/sde/f/2017/04/18/9a9a735957f9522e9ffcf1664bd29a44_FORMATO.png",86410,37,"BOT","lat","Provável",0,12.54,0,4.3,30,"Botafogo",NA,5,27,2,8,29,1,64,51,11,NA,1,NA,NA,NA,NA,NA,NA
"451","Breno Gonçalves Lopes","Breno Lopes","https://s.glbimg.com/es/sde/f/2017/05/19/68d8c5dda3ea6323520ddfd58086f176_FORMATO.png",86411,37,"ATL","lat","Provável",5.8,4.47,0.64,2.19,19,"Atlético-GO",1,NA,26,5,5,16,NA,51,22,3,NA,8,NA,NA,NA,NA,NA,NA
"452","Marcos da Silva França","Keno","https://s.glbimg.com/es/sde/f/2017/04/18/ab0e22f1ff91a12ce2e88a367450bf03_FORMATO.png",86485,37,"PAL","ata","Provável",10,9.21,0.33,4.51,30,"Palmeiras",5,2,26,7,14,36,8,82,29,NA,2,6,NA,NA,NA,NA,NA,NA
"453","Alan de Souza Guimarães","Alanzinho",NA,100845,37,"PAL","mei","Nulo",0,1,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454","Felipe Albuquerque Felippi","Felipe",NA,100843,37,"GRE","lat","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Ruan Tressoldi Netto","Ruan",NA,100842,37,"GRE","zag","Provável",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","Lucas Esteves de Souza","Esteves",NA,100846,37,"PAL","lat","Nulo",0,1,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","Everton Felipe de Oliveira Silva","Everton Felipe","https://s.glbimg.com/es/sde/f/2017/08/30/61e2143d4bf6e2d3ed0ce11f995be203_FORMATO.png",86519,37,"SPO","mei","Contundido",0,4.41,0,1.63,18,"Sport",2,2,27,13,7,24,1,102,18,NA,NA,2,NA,NA,NA,NA,NA,NA
"458","Jandrei Chitolina Carniel","Jandrei","https://s.glbimg.com/es/sde/f/2017/05/04/e34c217d3230604bddf15c133fde3fd2_FORMATO.png",86508,37,"CHA","gol","Provável",10.7,6.96,0.78,2.25,36,"Chapecoense",NA,2,NA,NA,NA,12,NA,41,NA,11,NA,NA,NA,41,47,NA,1,NA
"459","Jonathan Francisco Lemos","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/27/f0005dbb8cf4d46b99cf08acf8949256_FORMATO.png",86713,37,"ATL","lat","Provável",5.5,3.53,1.1,2.36,22,"Atlético-GO",NA,4,19,4,8,8,NA,57,38,3,NA,1,NA,NA,NA,NA,NA,1
"460","Danilo das Neves Pinheiro","Tchê Tchê","https://s.glbimg.com/es/sde/f/2016/05/20/2b96e76d6b1e3f8fc29f37d9dfe90206_FORMATO.jpeg",86686,37,"PAL","mei","Provável",6.5,7.81,0.17,1.95,33,"Palmeiras",2,5,47,9,8,31,NA,82,50,NA,1,1,NA,NA,NA,1,NA,NA
"461","Aníbal Gabriel Vega da Silva","Aníbal",NA,100847,37,"PAL","ata","Nulo",0,1,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462","Lucas Gonçalves Reis Santos","Lucas Rex","https://s.glbimg.com/es/sde/f/2017/08/18/9e40a3e5256626c0192b3adef4243677_FORMATO.jpeg",86745,37,"GRE","zag","Nulo",0,2,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","Leonardo Pinheiro da Conceição","Léo","https://s.glbimg.com/es/sde/f/2017/07/25/a991dde92eec83e89482b3d11115669f_FORMATO.png",85626,37,"FLU","lat","Provável",0,2.41,0,0.79,20,"Fluminense",1,3,41,2,3,7,1,45,16,2,NA,4,NA,NA,NA,NA,NA,NA
"464","Luan Cândido de Almeida","Luan Cândido",NA,100848,37,"PAL","lat","Nulo",0,1,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","Guilherme Vieira","Guilherme Vieira",NA,100849,37,"PAL","ata","Nulo",0,1,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","Danilo Carvalho Barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2017/07/27/d723ec6d814e9da06bc634113e22711d_FORMATO.png",84382,37,"PON","mei","Provável",8.5,6.74,1.41,2.98,20,"Ponte Preta",2,5,36,12,8,23,5,76,15,NA,2,2,NA,NA,NA,NA,NA,NA
"467","Richard Cândido Coelho","Richard","https://s.glbimg.com/es/sde/f/2017/08/19/525a2fd7bb807a508e3f99a5d1285034_FORMATO.png",86711,37,"FLU","mei","Contundido",0,5.49,0,5.55,8,"Fluminense",NA,NA,12,NA,3,8,NA,11,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"468","Luan Guilherme de Jesus Vieira","Luan","https://s.glbimg.com/es/sde/f/2017/04/23/458569d2d0c260a004befc5988da9350_FORMATO.png",86759,37,"GRE","ata","Nulo",0,19.48,0,6.45,20,"Grêmio",6,2,24,18,19,49,6,103,28,NA,NA,4,1,NA,NA,NA,NA,NA
"469","Walter Luiz Silva de Araujo","Luizão","https://s.glbimg.com/es/sde/f/2017/06/22/5b6da4a5651cbd0822f33cea7f49be63_FORMATO.png",86724,37,"COR","zag","Nulo",0,0.79,0,-0.52,7,"Coritiba",NA,5,9,1,1,4,NA,8,3,1,NA,1,NA,NA,NA,NA,NA,NA
"470","Caíque Silva Sá","Caíque Sá","https://s.glbimg.com/es/sde/f/2017/05/28/8c084fed591a67a554da06e53f403549_FORMATO.png",87437,37,"VIT","lat","Provável",0,2.3,0,2.72,17,"Vitória",NA,3,36,2,7,25,NA,62,30,4,NA,3,NA,NA,NA,NA,NA,NA
"471","Everton Sousa Soares","Everton","https://s.glbimg.com/es/sde/f/2017/04/23/f8b4218756c0dc59793c36159228a00f_FORMATO.png",86757,37,"GRE","ata","Nulo",0,10.5,0,4.57,31,"Grêmio",4,1,20,20,18,25,7,32,23,NA,1,1,NA,NA,NA,NA,NA,NA
"472","Lucas Macanhan Ferreira","Lucas Macanhan","https://s.glbimg.com/es/sde/f/2016/05/13/222c790995cc7292f07b0dc4db7cc5f4_FORMATO.png",86760,37,"ATL","gol","Nulo",0,2,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","Rodrigo de Souza Prado","Rodrigão","https://s.glbimg.com/es/sde/f/2017/04/25/3901e3335987512552a1dcdc23413368_FORMATO.png",87398,37,"ATL","zag","Nulo",0,2.97,0,2.8,3,"Atlético-MG",NA,NA,2,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"474","Vitor Frezarin Bueno","Vitor Bueno","https://s.glbimg.com/es/sde/f/2016/05/01/6a51ac71a5e8a928c9cf1b71c2db243b_FORMATO.png",87552,37,"SAN","mei","Contundido",0,9.29,0,1.51,8,"Santos",NA,2,6,1,4,12,NA,20,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","Matheus Rossetto","Matheus Rossetto","https://s.glbimg.com/es/sde/f/2017/04/23/c091af2e156b654e15abd7e687d0aeb2_FORMATO.png",86766,37,"ATL","mei","Provável",2.9,4.58,-0.91,1.2,29,"Atlético-PR",2,5,31,4,4,16,1,53,26,NA,NA,1,NA,NA,NA,NA,NA,NA
"476","Sidcley Ferreira Pereira","Sidcley","https://s.glbimg.com/es/sde/f/2017/04/23/eff5699ee67d7b1a4f3c4cf923789370_FORMATO.png",86764,37,"ATL","lat","Dúvida",-0.5,12.46,-0.29,4.42,33,"Atlético-PR",4,3,33,7,6,54,5,89,31,10,NA,13,NA,NA,NA,NA,NA,NA
"477","Matheus Reis de Lima","Matheus Reis","https://s.glbimg.com/es/sde/f/2017/07/28/c0ea66c25e44744e6dca2de152c06395_FORMATO.png",87486,37,"BAH","lat","Nulo",0,4.54,0,2.16,19,"Bahia",1,5,27,1,1,24,NA,55,19,6,NA,NA,NA,NA,NA,NA,NA,NA
"478","Yago Felipe da Costa Rocha","Yago","https://s.glbimg.com/es/sde/f/2017/06/22/23cefb71d6b2d4a53d900e9e4e2abfee_FORMATO.png",87747,37,"VIT","mei","Provável",3.9,3.7,1.04,2.41,27,"Vitória",NA,8,40,9,12,59,4,66,28,NA,NA,1,NA,NA,NA,1,NA,NA
"479","Emilio Enrique Zeballos Gutiérrez","Zeballos","https://s.glbimg.com/es/sde/f/2017/04/25/002d92dbfd9e5915f565d1ba437c95d5_FORMATO.png",87859,37,"CHA","lat","Nulo",0,3,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480","Leonardo Araújo dos Santos","Léo Santos","https://s.glbimg.com/es/sde/f/2017/04/24/6b4eee4e3d34200c6f23e434a79f4af3_FORMATO.png",87743,37,"COR","ata","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481","Santiago Tréllez Vivero","Tréllez","https://s.glbimg.com/es/sde/f/2017/08/30/598c84f830fc79d588e9be7667c7c973_FORMATO.png",87679,37,"VIT","ata","Suspenso",12.9,7.84,1.76,4.13,23,"Vitória",2,3,55,10,17,18,10,46,10,NA,3,5,1,NA,NA,NA,NA,NA
"482","Giorgian Daniel de Arrascaeta Benedetti","Arrascaeta","https://s.glbimg.com/es/sde/f/2017/04/05/c7a931941057f3ba5a13209ed19a41f1_FORMATO.png",87863,37,"CRU","mei","Provável",5.3,8.59,1.01,3.42,15,"Cruzeiro",1,1,11,14,8,30,2,57,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483","Jordi Almeida","Jordi","https://s.glbimg.com/es/sde/f/2017/04/17/8a166ba697085a60b3f3b7d74a9c6114_FORMATO.png",86776,37,"VAS","gol","Nulo",0,2.81,0,-2,1,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"484","Henrique Gelain Custódio","Henrique Gelain","https://s.glbimg.com/es/sde/f/2017/04/24/048b1eb6ff970a66fa5eb5087290c03b_FORMATO.png",86783,37,"COR","lat","Contundido",0,1,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","Raniel Santana de Vasconcelos","Raniel","https://s.glbimg.com/es/sde/f/2017/04/06/b362899a01b537ee09468f95d34f40f7_FORMATO.png",86797,37,"CRU","ata","Contundido",0,2.4,0,3.53,11,"Cruzeiro",1,2,6,NA,3,13,2,7,11,NA,NA,1,NA,NA,NA,NA,NA,NA
"486","Luís Vinícius da Silva Matos","Vinicius","https://s.glbimg.com/es/sde/f/2017/02/20/d2acf5df4ac30ffcbc7bd264583d6467_FORMATO.png",86861,37,"VIT","zag","Nulo",0,2,0,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487","Fernando Alexander Guerrero Vásquez","Fernando Guerrero","https://s.glbimg.com/es/sde/f/2017/08/17/e1574093b8b1ab5f5337d0aefef4d120_FORMATO.png",87872,37,"CHA","mei","Nulo",0,2.89,0,-1.5,2,"Chapecoense",NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488","Luiz Otávio da Silva Santos","Luiz Otávio ","https://s.glbimg.com/es/sde/f/2017/04/25/239f4dc20386b0bc2988aa004f7c02b7_FORMATO.png",86863,37,"CHA","zag","Nulo",0,5.26,0,2.07,12,"Chapecoense",1,2,13,3,4,NA,1,24,11,2,NA,NA,NA,NA,NA,1,NA,NA
"489","Felipe Gedoz da Conceição","Felipe Gedoz ","https://s.glbimg.com/es/sde/f/2017/04/23/b22d35fda6b1ebe5b12170bfaf1dced7_FORMATO.png",87864,37,"ATL","mei","Dúvida",0.5,7.52,-0.62,2.77,16,"Atlético-PR",2,1,11,5,9,22,3,43,4,NA,2,4,1,NA,NA,NA,NA,NA
"490","Edson Carlos Santos Lima Junior","Capa","https://s.glbimg.com/es/sde/f/2017/04/28/4a0d17271060eaf419c78016735076ee_FORMATO.png",86874,37,"AVA","lat","Nulo",0,11.37,0,4.17,29,"Avaí",1,5,48,2,10,79,NA,149,61,10,NA,4,NA,NA,NA,NA,NA,1
"491","Júnior Nazareno Sornoza Moreira","Sornoza","https://s.glbimg.com/es/sde/f/2017/07/25/622af95364dd391adb267d847b26b76d_FORMATO.png",87877,37,"FLU","mei","Provável",-0.3,12.23,-0.25,2.55,14,"Fluminense",NA,3,8,4,3,7,2,35,16,NA,1,NA,NA,NA,NA,NA,NA,NA
"492","Jefferson Gabriel Orejuela Izquierdo","Orejuela","https://s.glbimg.com/es/sde/f/2017/07/25/8654cd4e835c77cc1301a2b0c7faa426_FORMATO.png",87874,37,"FLU","mei","Nulo",0,8.44,0,1.18,20,"Fluminense",NA,2,23,NA,NA,23,NA,39,26,NA,NA,NA,NA,NA,NA,1,NA,NA
"493","Fabián Cornelio Balbuena González","Balbuena","https://s.glbimg.com/es/sde/f/2017/04/19/104f0248fd96daefe11d16e064dd8ce9_FORMATO.png",87887,37,"COR","zag","Provável",5.5,11.56,1.08,5.15,31,"Corinthians",1,6,20,2,7,21,4,68,44,15,NA,5,NA,NA,NA,NA,NA,NA
"494","Leonan José Valandro Gomes","Leonan","https://s.glbimg.com/es/sde/f/2017/04/03/f7ef2c1763cfea19e19b624be9bd9f68_FORMATO.png",89693,37,"ATL","lat","Nulo",0,2.69,0,3.17,3,"Atlético-MG",NA,1,4,NA,NA,7,NA,6,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"495","Rodrigo Vasconcelos Oliveira","Rodrigo","https://s.glbimg.com/es/sde/f/2017/05/01/6d2201a3689f5a71696f8b8eacbd9646_FORMATO.png",86935,37,"SPO","mei","Nulo",0,3.27,0,1.35,9,"Sport",NA,1,8,NA,NA,5,NA,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"496","Eduardo Gabriel dos Santos Bauermann","Eduardo Bauermann","https://s.glbimg.com/es/sde/f/2017/05/25/590ba3c156c116d43014e1e9b5d4e74f_FORMATO.png",86970,37,"ATL","zag","Provável",0,2.52,0,1.57,13,"Atlético-GO",NA,NA,7,NA,1,6,NA,9,5,3,NA,1,NA,NA,NA,NA,NA,NA
"497","Geremias Ribeiro Júnior","Júnior","https://s.glbimg.com/es/sde/f/2017/06/09/2e36d120085f3fb7908f2921ee4c592e_FORMATO.png",87946,37,"VIT","ata","Contundido",0,1.02,0,0.7,6,"Vitória",NA,NA,1,NA,1,3,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498","Sergio Antonio Soler de Oliveira Junior","Serginho","https://s.glbimg.com/es/sde/f/2017/02/19/6aca0b072c6eeca65b6dc51c30de4a50_FORMATO.png",88002,37,"SAN","mei","Nulo",0,1.21,0,0.51,9,"Santos",NA,2,6,1,3,3,NA,11,4,NA,1,NA,NA,NA,NA,NA,NA,NA
"499","Emerson Raymundo Santos","Emerson Santos","https://s.glbimg.com/es/sde/f/2016/05/20/7743ec4420461e770a65425100024972_FORMATO.png",86972,37,"BOT","zag","Nulo",0,0.78,0,1.14,5,"Botafogo",NA,2,10,NA,1,4,NA,16,4,3,NA,NA,NA,NA,NA,1,NA,NA
"500","Leonardo Gomes da Conceição Silva","Leonardo","https://s.glbimg.com/es/sde/f/2017/04/23/0cd6a2a3718c7c36858e7d11ad867645_FORMATO.png",86973,37,"GRE","lat","Nulo",-0.9,2.19,-0.63,3.38,9,"Grêmio",1,1,12,1,NA,4,NA,22,13,3,NA,NA,NA,NA,NA,NA,NA,NA
"501","Judivan Flor da Silva","Judivan ","https://s.glbimg.com/es/sde/f/2017/04/23/f49ad5df5316c41a536cbc083724ee17_FORMATO.png",89190,37,"CRU","ata","Nulo",1,3.59,0.01,4.87,3,"Cruzeiro",NA,NA,1,1,NA,2,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"502","Gustavo Henrique Furtado Scarpa","Gustavo Scarpa","https://s.glbimg.com/es/sde/f/2017/07/25/d139933474f638abe42c53dcd21a981b_FORMATO.png",87999,37,"FLU","mei","Provável",2,12.46,0.35,3.98,35,"Fluminense",10,2,25,30,39,52,2,184,29,NA,4,3,NA,NA,NA,NA,NA,NA
"503","Ramon Menezes Roma","Ramon","https://s.glbimg.com/es/sde/f/2016/05/01/bf444d7eaf1a2853f33faef276c4a9a0_FORMATO.png",88087,37,"VIT","zag","Provável",0,4.52,0.1,1.96,24,"Vitória",NA,4,27,3,6,26,NA,38,24,5,NA,NA,NA,NA,NA,NA,NA,1
"504","Caio César da Silva Silveira","Caio César","https://s.glbimg.com/es/sde/f/2017/04/28/c9789925a7e321c7432e9e22a2b5a2c9_FORMATO.png",86974,37,"AVA","mei","Nulo",0,3.23,0,2.7,2,"Avaí",1,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"505","Warian dos Santos Souza","Warian Santos ","https://s.glbimg.com/es/sde/f/2017/04/20/1a20f671d81a1495fe94257a7faedb29_FORMATO.png",88030,37,"COR","mei","Dúvida",0,1,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"506","Carlos Eugenio Júnior Tavares dos Santos","Júnior Tavares","https://s.glbimg.com/es/sde/f/2017/02/09/25d0a51f886e8f5b2db83e4bea6a4e20_FORMATO.png",89343,37,"SAO","lat","Nulo",-0.3,10.87,-1,3.74,23,"São Paulo",4,3,20,2,7,43,NA,69,29,5,NA,NA,NA,NA,NA,NA,NA,NA
"507","Romulo dos Santos de Souza","Romulo","https://s.glbimg.com/es/sde/f/2017/04/28/039439859f768160af8a4dc5be23db1b_FORMATO.png",89696,37,"AVA","ata","Nulo",0.5,8.11,0.39,1.47,33,"Avaí",NA,5,41,11,18,43,3,66,20,NA,NA,9,NA,NA,NA,NA,NA,NA
"508","Leonardo Cesar Jardim","Léo","https://s.glbimg.com/es/sde/f/2017/04/23/56c2f46953852255c8d3c1a685ecd757_FORMATO.png",87008,37,"GRE","gol","Nulo",0,4.77,0,2.18,5,"Grêmio",NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,5,7,NA,NA,NA
"509","Ivan Quaresma da Silva","Ivan","https://s.glbimg.com/es/sde/f/2017/05/02/8546a4c5536f1d3e6ebc74e89daef4c3_FORMATO.png",88136,37,"PON","gol","Nulo",0,2,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"510","Gustavo Henrique Ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2017/07/28/f9a5ac323f358bb4e2d5bbc354956624_FORMATO.png",89815,37,"BAH","mei","Nulo",0,5.11,0,1.05,11,"Bahia",NA,1,8,2,3,6,1,15,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"511","Ânderson Balbino Assis","Balbino","https://s.glbimg.com/es/sde/f/2016/04/30/aa305ef16d18275ce438c74c73d54e15_FORMATO.png",89227,37,"GRE","mei","Provável",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512","Luiz Humberto da Silva Silva","Beto da Silva","https://s.glbimg.com/es/sde/f/2017/04/23/0cfa7b8af32ec84883ccf9a0d610b0d0_FORMATO.png",87028,37,"GRE","ata","Nulo",0.5,3.1,-0.48,1.36,11,"Grêmio",1,1,8,NA,NA,5,1,9,6,NA,NA,4,NA,NA,NA,NA,NA,NA
"513","Maurício Andreazzi Pereira","Andreazzi","https://s.glbimg.com/es/sde/f/2017/04/24/2e3edae4ff2b6836e1ea7f55380193fa_FORMATO.png",89253,37,"BOT","mei","Nulo",0,2,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514","Matheus Vieira Campos Peixoto","Matheus Peixoto","https://s.glbimg.com/es/sde/f/2017/02/21/9a6be83af417e88aab380c4245ab7655_FORMATO.png",87098,37,"BAH","ata","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"515","João Pedro Maturano dos Santos","João Pedro ","https://s.glbimg.com/es/sde/f/2017/04/24/c6945a1446c818fed3c475afef47a6a8_FORMATO.png",89273,37,"CHA","lat","Provável",3.9,5.53,0,2.67,8,"Chapecoense",NA,NA,5,3,2,2,NA,11,4,3,NA,NA,NA,NA,NA,NA,NA,NA
"516","Leonardo Pisculichi","Pisculichi","https://s.glbimg.com/es/sde/f/2017/02/18/c8a64d1e825d4a06c352c94d5499c77d_FORMATO.png",89871,37,"VIT","mei","Nulo",0,4.13,0,-0.55,2,"Vitória",NA,NA,1,NA,1,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517","Ángel Rodrigo Romero Villamayor","Ángel Romero","https://s.glbimg.com/es/sde/f/2017/04/19/bb57c60e890655dd351f891eb27fdb2c_FORMATO.png",88323,37,"COR","ata","Nulo",0,12.11,0,4.13,29,"Corinthians",3,11,38,16,9,91,3,99,53,NA,NA,13,NA,NA,NA,NA,NA,NA
"518","Daniel Guedes da Silva","Daniel Guedes ","https://s.glbimg.com/es/sde/f/2017/05/02/700b428f14849c2f8f5eb9286d7adf03_FORMATO.png",88225,37,"SAN","lat","Nulo",0,4.39,0,2.68,16,"Santos",1,3,28,1,2,16,1,31,14,7,NA,NA,NA,NA,NA,2,NA,NA
"519","Jean Patrick Reis","Jean Patrick","https://s.glbimg.com/es/sde/f/2017/07/04/96daa554c0f24c012a1cb27045d67975_FORMATO.png",88379,37,"PON","lat","Nulo",0,3.08,0,3.38,6,"Ponte Preta",NA,NA,7,NA,NA,5,1,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"520","Cicero Clebson Alves Santana","Cícero","https://s.glbimg.com/es/sde/f/2017/05/04/4ce602dbb0545123e778ce27a88ca159_FORMATO.png",87158,37,"ATL","mei","Nulo",0,2,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521","Leandro Alves de Carvalho","Leandrinho","https://s.glbimg.com/es/sde/f/2016/05/20/5f4b91fa5fbbd56dc1f2fe3f094cbb22_FORMATO.png",89885,37,"BOT","mei","Contundido",0,3.07,0,3.02,6,"Botafogo",NA,1,5,1,NA,6,1,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"522","José Carlos Cracco Neto","Zeca","https://s.glbimg.com/es/sde/f/2016/05/01/b75497cbd7fdf4e7cc56e0a77979a9f7_FORMATO.png",87192,37,"SAN","lat","Nulo",0,11.62,0,4.41,14,"Santos",1,2,9,2,3,14,NA,38,13,8,1,NA,NA,NA,NA,NA,NA,NA
