"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","PE","RB","SG","DD","GS","I","G","PP","CV","GC","DP"
"44","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2017/04/18/6814b99b2a5d61f8e272030ee2784ca0_FORMATO.png",38287,35,"BOT","ata","Contundido",0,10.31,0,5.06,20,"Botafogo",2,3,21,11,19,22,NA,44,11,NA,NA,NA,19,10,1,NA,NA,NA
"45","Thiago Neves Augusto","Thiago Neves","https://s.glbimg.com/es/sde/f/2017/02/19/6bb6e70216d205ad23e44268eba27692_FORMATO.png",38277,35,"CRU","mei","Suspenso",13.3,18.88,-0.7,5.46,30,"Cruzeiro",6,5,29,40,19,44,2,111,26,NA,NA,NA,7,9,1,NA,NA,NA
"46","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2017/04/03/3c0b9d4407aa9d0eadfb90461cc048e1_FORMATO.png",38162,35,"ATL","ata","Provável",6.9,14.85,-0.28,3.3,26,"Atlético-MG",3,6,52,10,14,57,1,54,6,NA,NA,NA,20,10,2,NA,NA,NA
"47","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2017/04/25/063a393c23a936c42fa8d9c6ee455747_FORMATO.png",38279,35,"CHA","ata","Suspenso",-3.7,9.06,-3.01,2.98,30,"Chapecoense",2,6,44,20,21,40,2,68,8,NA,NA,NA,11,8,NA,NA,NA,NA
"48","João Alves de Assis Silva","Jô","https://s.glbimg.com/es/sde/f/2017/04/23/013b2879d66c81bb0e92137fdfe045a8_FORMATO.png",38138,35,"COR","ata","Provável",16.5,14.85,2.93,4.46,31,"Corinthians",2,4,52,20,20,37,NA,68,8,NA,NA,NA,32,17,1,NA,NA,NA
"49","Artur Guilherme Moraes Gusmão","Artur Moraes","https://s.glbimg.com/es/sde/f/2017/04/24/5e85a2f95507d900cd0da5a482163c0d_FORMATO.png",38156,35,"CHA","gol","Nulo",0,6,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2017/04/23/1f11c20ef0f3dc5415e347a5080e0877_FORMATO.png",38394,35,"ATL","zag","Provável",-3.1,7.55,-1.22,2.86,25,"Atlético-PR",NA,8,23,3,9,13,NA,47,20,8,NA,NA,2,3,NA,NA,NA,NA
"51","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2017/08/16/497b309e783e3279452314847976a12a_FORMATO.jpeg",38311,35,"FLA","mei","Nulo",0.1,8.13,-0.38,2.72,28,"Flamengo",1,5,36,1,7,34,NA,52,54,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Rafael da Silva Francisco","Rafinha","https://s.glbimg.com/es/sde/f/2017/04/22/b38b67b4598e604b5f9219b7e65d47d7_FORMATO.png",38421,35,"CRU","mei","Provável",7.4,7.83,0.69,3.48,24,"Cruzeiro",1,2,30,7,10,48,2,76,31,NA,NA,NA,2,3,NA,NA,NA,NA
"53","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2017/07/25/2b0656054e6766c7389fc96b6a00cbde_FORMATO.png",38440,35,"FLU","mei","Nulo",0,3.54,0,0,1,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2017/07/25/e9e063853438a8237b3f988c83e35607_FORMATO.png",38431,35,"FLU","gol","Provável",-5.5,2.7,-1.39,1.2,13,"Fluminense",NA,NA,NA,NA,NA,1,NA,6,NA,1,18,21,NA,NA,NA,NA,NA,NA
"55","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2017/05/02/dfab84ee22e942e61a82ff8910b56353_FORMATO.png",38425,35,"PON","zag","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Jadson Rodrigues da Silva","Jadson","https://s.glbimg.com/es/sde/f/2017/04/23/74a0bb24699753dd991412e8c67a1623_FORMATO.png",38315,35,"COR","mei","Provável",10.9,9.8,1.81,1.4,28,"Corinthians",2,3,19,5,15,17,1,122,9,NA,NA,NA,3,5,NA,NA,NA,NA
"57","Diego Alves Carreira","Diego Alves","https://s.glbimg.com/es/sde/f/2017/07/27/01f4269046199527133f29de2df7001b_FORMATO.png",38509,35,"FLA","gol","Provável",-4.3,8.21,-1.95,2.92,18,"Flamengo",NA,1,NA,NA,NA,4,NA,14,NA,5,23,22,NA,NA,NA,NA,NA,1
"58","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,35,"PAL","gol","Provável",16.2,16.95,2.17,4.38,31,"Palmeiras",NA,2,NA,NA,NA,9,NA,14,1,8,55,37,NA,NA,NA,NA,NA,1
"59","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2017/04/23/01562d5599dfea4ea49171288751df8a_FORMATO.png",38523,35,"GRE","lat","Nulo",5.7,10.15,0.49,3.16,20,"Grêmio",1,4,34,8,10,13,1,66,23,8,NA,NA,1,1,1,1,NA,NA
"60","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2017/02/18/12b5f4babe911d2c08e5e106d926ef3d_FORMATO.png",38530,35,"VIT","mei","Nulo",0,5.48,0,1.63,17,"Vitória",3,4,20,6,10,8,1,49,15,NA,NA,NA,1,NA,NA,NA,NA,NA
"61","Eder Luis de Oliveira","Eder Luis","https://s.glbimg.com/es/sde/f/2017/04/27/a624683a1be2238af9bf43179557bd20_FORMATO.png",38508,35,"VAS","ata","Nulo",0,2.49,0,0.93,3,"Vasco",NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Danilo Verón Bairros","Danilinho","https://s.glbimg.com/es/sde/f/2017/07/18/67111050a2c2d4213b8625c1326c1fe3_FORMATO.png",38617,35,"VIT","ata","Nulo",0,4.07,0,1.22,8,"Vitória",NA,NA,3,NA,NA,1,NA,8,3,NA,NA,NA,NA,1,NA,NA,NA,NA
