"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name"
"92","Wilson Rodrigues de Moura Júnior","wilson","Wilson","https://s.glbimg.com/es/sde/f/2020/03/02/dfd945324c953bf8961a2733f8878bdf_FORMATO.png",50284,1,294,"gol","Nulo",0,7,0,0,0,"Coritiba"
"93","Luan Guilherme de Jesus Vieira","luan","Luan","https://s.glbimg.com/es/sde/f/2020/07/21/6b23ad91843aeaf82a87d7ac0f322ec2_FORMATO.png",86759,1,264,"mei","Provável",0,9,0,0,0,"Corinthians"
"94","Alex Roberto Santana Rafael ","alex-muralha","Alex Muralha","https://s.glbimg.com/es/sde/f/2020/03/02/5719413c4b962fbbd123ca79f634cf8a_FORMATO.png",79066,1,294,"gol","Provável",0,5,0,0,0,"Coritiba"
"95","Cássio Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2020/07/21/d69bc6de4b00dce33cf2a3f7303c2c45_FORMATO.png",42234,1,264,"gol","Provável",0,12,0,0,0,"Corinthians"
"96","Gilberto Moraes Júnior","gilberto","Gilberto ","https://s.glbimg.com/es/sde/f/2019/09/16/6f2f20a500853211de97a81f1227e4ae_FORMATO.png",80313,1,266,"lat","Provável",0,9,0,0,0,"Fluminense"
"97","Lincoln Corrêa dos Santos","lincoln","Lincoln","https://s.glbimg.com/es/sde/f/2020/07/21/89095e06a56aa2963d7afa7929bcbd02_FORMATO.png",100065,1,262,"ata","Nulo",0,4,0,0,0,"Flamengo"
"98","Michael Richard Delgado de Oliveira","michael","Michael","https://s.glbimg.com/es/sde/f/2020/07/21/eaff0a8cfed9390deb3cf2761132080d_FORMATO.png",99392,1,262,"ata","Nulo",0,9,0,0,0,"Flamengo"
"99","Felipe Jonatan Rocha Andrade","felipe-jonatan","Felipe Jonatan","https://s.glbimg.com/es/sde/f/2020/03/09/0b840af999aed1a7ec1a7a35dee46abc_FORMATO.png",101708,1,277,"lat","Provável",0,7,0,0,0,"Santos"
"100","Lucas da Silva de Jesus","lucas-silva","Lucas Silva","https://s.glbimg.com/es/sde/f/2020/07/21/b9df31ef3c835115e2a461109226abcc_FORMATO.png",98515,1,262,"ata","Nulo",0,2,0,0,0,"Flamengo"
"101","Vinícius de Souza Costa","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2020/07/21/6488924ff7580441b41df99682592fb8_FORMATO.png",105199,1,262,"mei","Nulo",0,2,0,0,0,"Flamengo"
