,atletas.slug,atletas.pontos_num,atletas.clube_id,atletas.posicao_id,atletas.apelido_abreviado,atletas.nome,atletas.media_num,atletas.variacao_num,atletas.atleta_id,atletas.status_id,atletas.clube.id.full.name,atletas.preco_num,atletas.jogos_num,atletas.rodada_id,atletas.entrou_em_campo,atletas.foto,atletas.apelido,DS,FC,FD,FF,FS,I,SG,CA,A,FT,G,CV,PC,PS,DE,GS,DP,V,PP,GC
310,yuri-alberto,0.0,264,5,Y. Alberto,Yuri Alberto Monteiro da Silva,6.11,0.0,100652,6,COR,12.03,10,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Yuri Alberto,1.0,11.0,4.0,13.0,10.0,2.0,,2.0,1.0,,5.0,,,,,,,,,
311,fernando,0.0,280,5,Fernando,Fernando dos Santos Pedro,0.0,0.0,100695,6,RBB,5.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Fernando,,,,,,,,,,,,,,,,,,,,
312,matheus-henrique,0.0,283,4,M. Henrique,Matheus Henrique de Souza,1.55,0.0,100742,6,CRU,8.54,2,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Matheus Henrique,2.0,3.0,,,4.0,,,1.0,,,,,,,,,,,,
313,brenno,0.0,356,1,Brenno,Brenno Oliveira Fraga Costa,0.8,0.0,100830,5,FOR,4.83,1,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Brenno,,,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,
314,lucas-esteves,0.0,284,2,L. Esteves,Lucas Esteves de Souza,2.58,0.0,100846,6,GRE,5.87,5,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Lucas Esteves,7.0,4.0,1.0,3.0,2.0,,,,,,,,1.0,,,,,,,
315,luan-candido,0.0,284,2,L. Cândido,Luan Cândido de Almeida,0.0,0.0,100848,6,GRE,7.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Luan Cândido,,,,,,,,,,,,,,,,,,,,
316,vitinho,10.3,263,2,Vitinho,Victor Alexander da Silva,7.42,0.09,100898,6,BOT,11.32,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Vitinho,28.0,12.0,,4.0,6.0,2.0,9.0,1.0,,,1.0,,,,,,,,,
317,ronald-lopes,1.2,287,4,R. Lopes,Ronald dos Santos Lopes,1.83,-0.04,100969,7,VIT,3.29,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Ronald Lopes,14.0,18.0,3.0,2.0,10.0,1.0,,2.0,,,,,,,,,,,,
318,nonato,0.7,266,4,Nonato,Gustavo Nonato Santana,2.07,-0.13,100987,7,FLU,4.65,9,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Nonato,11.0,8.0,1.0,1.0,11.0,,,3.0,,,,,,,,,,,,
319,junior-santos,1.0,282,5,J. Santos,José Antonio dos Santos Júnior,3.1,-0.36,101002,6,CAM,7.15,9,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Júnior Santos,3.0,2.0,2.0,4.0,7.0,1.0,,1.0,,,2.0,,,,,,,,,
320,diego,3.5,354,2,Diego,Jackson Diego Ibraim Fagundes - Ibrahim,6.73,-0.02,101027,7,CEA,10.18,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Diego,19.0,7.0,1.0,2.0,37.0,,5.0,2.0,2.0,,,,,,,,,,,
321,ferreira,0.0,276,5,Ferreira,Aldemir dos Santos Ferreira,5.97,-0.51,101290,6,SAO,9.07,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Ferreira,9.0,5.0,2.0,6.0,17.0,1.0,,2.0,2.0,,3.0,,,,,,,,,
322,ademir,5.2,265,5,Ademir,Ademir da Silva Santos Júnior,2.71,0.22,101314,6,BAH,5.22,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Ademir,11.0,10.0,3.0,5.0,22.0,3.0,,2.0,,,,,,,,,,,,
323,guga,3.5,266,2,Guga,Cláudio Rodrigues Gomes,5.17,-0.34,101319,6,FLU,7.97,6,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Guga,10.0,2.0,,2.0,6.0,,1.0,1.0,,,1.0,,,,,,,,,
324,marcelo-pitaluga,0.0,266,1,M. Pitaluga,Marcelo de Araújo Pitaluga Filho,0.0,0.0,101478,6,FLU,3.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Marcelo Pitaluga,,,,,,,,,,,,,,,,,,,,
325,pepe,-0.2,287,4,Pepê,João Pedro Vilardi Pinto,0.96,-0.24,101573,6,VIT,4.12,7,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Pepê,7.0,11.0,,,9.0,,,2.0,,,,1.0,,,,,,,,
326,hugo-souza,-0.7,264,1,H. Souza,Hugo de Souza Nogueira,3.72,-1.38,101574,7,COR,7.89,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Hugo Souza,,,,,,,4.0,1.0,,,,,,,24.0,13.0,,,,
327,hugo-moura,2.9,267,4,H. Moura,Hugo Moura Arruda da Silva,2.67,0.27,101594,6,VAS,5.49,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Hugo Moura,19.0,22.0,4.0,3.0,8.0,,,3.0,1.0,,,,,,,,,,,1.0
328,ramon,0.0,285,2,Ramon,Ramon Ramos Lima,3.52,0.0,101597,6,INT,5.92,5,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Ramon,7.0,4.0,1.0,2.0,3.0,,1.0,1.0,,,,,,,,,,,,
329,peixoto,0.0,286,4,Peixoto,Daniel Nascimento Peixoto dos Santos,2.0,0.0,101651,6,JUV,3.54,2,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Peixoto,2.0,,,,2.0,,,,,,,,,,,,,,,
330,felipe-jonatan,0.0,2305,2,F. Jonatan,Felipe Jonatan Rocha Andrade,0.0,0.0,101708,6,MIR,6.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Felipe Jonatan,,,,,,,,,,,,,,,,,,,,
331,matheuzinho,0.0,264,2,Matheuzinho,Matheus França Silva,5.54,0.0,101727,7,COR,10.69,11,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Matheuzinho,29.0,9.0,1.0,3.0,5.0,,4.0,6.0,,,,,,,,,,,,
332,claudinho,0.0,287,2,Claudinho,Claudio Coelho Salvático,2.35,0.0,101752,6,VIT,5.34,10,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Claudinho,10.0,10.0,1.0,1.0,7.0,,2.0,4.0,,,,,,,,,,,,
333,jean-david,0.0,267,4,J. David,Jean David Meneses Villarroel,0.0,0.0,101768,6,VAS,3.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Jean David,,,,,,,,,,,,,,,,,,,,
334,willian-machado,5.1,354,3,W. Machado,Willian Estefani Machado,4.23,0.39,101908,7,CEA,5.54,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Willian Machado,11.0,4.0,3.0,3.0,5.0,,5.0,1.0,,1.0,,,,,,,,,,
335,vitinho,0.0,285,5,Vitinho,Vitor Hugo Naum dos Santos,2.27,0.0,101960,5,INT,5.23,8,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Vitinho,11.0,13.0,1.0,3.0,8.0,1.0,,2.0,,,,,,,,,,,,
336,britez,1.2,356,3,Brítez,Emanuel Fermín Brítez,0.23,-0.32,101995,6,FOR,5.13,3,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Brítez,2.0,6.0,,,3.0,,,2.0,,,,,,,,,,,,
337,piquerez,6.5,275,2,Piquerez,Joaquín Piquerez Moreira,5.61,0.35,102130,7,PAL,11.85,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Piquerez,13.0,6.0,3.0,10.0,7.0,,5.0,2.0,1.0,,2.0,,,,,,,,1.0,
338,vitor-eudes,0.0,266,1,V. Eudes,Vitor Eudes de Souza Costa,0.0,0.0,102137,6,FLU,2.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Vitor Eudes,,,,,,,,,,,,,,,,,,,,
339,lucas-halter,6.4,287,3,L. Halter,Lucas Halter,2.7,0.87,102253,6,VIT,4.47,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Lucas Halter,10.0,8.0,1.0,3.0,2.0,1.0,2.0,3.0,,1.0,1.0,,,,,,,,,
340,rollheiser,2.8,277,4,Rollheiser,Benjamín Rollheiser,2.01,-0.65,102256,7,SAN,6.3,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Rollheiser,7.0,13.0,,7.0,12.0,1.0,,3.0,1.0,2.0,,,,,,,,,,
341,caio-paulista,2.0,282,2,C. Paulista,Caio Fernando de Oliveira,4.08,-0.47,102318,6,CAM,6.95,6,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Caio Paulista,5.0,4.0,1.0,2.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,
342,caca,0.0,264,3,Cacá,Carlos de Menezes Júnior,4.33,-1.24,102340,7,COR,6.27,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Cacá,7.0,9.0,1.0,2.0,8.0,,4.0,2.0,,,2.0,,1.0,,,,,,,
343,mastriani,0.0,263,5,Mastriani,Gonzalo Mathías Mastriani Borges,0.98,0.0,102561,6,BOT,4.29,6,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Mastriani,2.0,4.0,1.0,4.0,2.0,3.0,,1.0,,,,,,,,,,,,
344,luan-vinicius,0.0,276,4,L. Vinícius,Luan Vinícius da Silva Santos,0.0,0.0,102909,6,SAO,5.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Luan Vinícius,,,,,,,,,,,,,,,,,,,,
345,canobbio,2.8,266,5,Canobbio,Agustín Canobbio Graviz,3.65,-0.87,102928,6,FLU,6.94,9,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Canobbio,12.0,10.0,2.0,4.0,13.0,2.0,,2.0,,,1.0,,,,,,,,,
346,facundo-torres,9.2,275,5,F. Torres,Facundo Daniel Torres Pérez,5.45,0.06,102950,7,PAL,11.42,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Facundo Torres,9.0,9.0,4.0,3.0,12.0,1.0,,1.0,2.0,1.0,3.0,,,,,,,,,
347,escobar,0.8,277,2,Escobar,Gonzalo Daniel Escobar,5.94,-0.99,102975,7,SAN,9.17,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Escobar,42.0,20.0,1.0,5.0,10.0,,3.0,1.0,,,,1.0,1.0,,,,,,,
348,laquintana,0.5,280,5,Laquintana,Ignacio Jesús Laquintana Marsico - Nacho,3.29,-0.72,103014,6,RBB,4.97,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Laquintana,5.0,1.0,,3.0,2.0,3.0,,,,,2.0,,,,,,,,,
349,gabriel-brazao,6.1,277,1,G. Brazão,Gabriel Nascimento Rezende Brazão - Resende,5.63,-0.67,103056,7,SAN,7.43,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Gabriel Brazão,1.0,,,,3.0,,4.0,,,,,,,,56.0,17.0,,,,
350,eric-ramires,0.9,280,4,E. Ramires,Eric dos Santos Rodrigues,2.99,-0.11,103295,2,RBB,5.8,15,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Eric Ramires,17.0,13.0,2.0,3.0,13.0,,,1.0,1.0,,1.0,,,,,,,,,
351,matheus-alexandre,-1.4,292,2,M. Alexandre,Matheus Alexandre Anastácio de Souza,1.47,-0.85,103347,6,SPT,3.81,6,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Matheus Alexandre,7.0,10.0,,1.0,3.0,,1.0,5.0,,,,,1.0,,,,,,,
352,emmanuel-martinez,0.2,356,4,E. Martínez,Leandro Emmanuel Martínez,2.27,-0.45,103388,6,FOR,5.12,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Emmanuel Martínez,9.0,16.0,3.0,1.0,10.0,1.0,,6.0,1.0,,1.0,,,,,,,,,
353,kaio-jorge,13.6,283,5,K. Jorge,Kaio Jorge Pinto Ramos,12.2,0.62,103445,7,CRU,17.29,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Kaio Jorge,15.0,11.0,9.0,14.0,18.0,5.0,,2.0,4.0,3.0,12.0,,,2.0,,,,,1.0,
354,ignacio,4.7,266,3,Ignácio,Ignácio da Silva Oliveira,3.35,0.14,103523,6,FLU,6.82,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Ignácio,9.0,8.0,2.0,1.0,5.0,,2.0,,,,,,,,,,,,,
355,rafael-bilu,0.0,286,5,R. Bilu,Rafael Bilu Mudesto,0.0,0.0,103576,6,JUV,3.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Rafael Bilu,,,,,,,,,,,,,,,,,,,,
356,denis-junior,0.0,265,1,D. Júnior,Dênis de Oliveira Aguiar Júnior,0.0,0.0,103662,6,BAH,3.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Dênis Júnior,,,,,,,,,,,,,,,,,,,,
357,gabriel-fuentes,0.0,266,2,G. Fuentes,Gabriel Rafael Fuentes Gómez,3.73,0.0,103672,6,FLU,7.28,4,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Gabriel Fuentes,11.0,6.0,1.0,,,,,1.0,,,,,,,,,,,,
358,kaique-rocha,0.0,285,3,K. Rocha,Kaíque Rocha Lima,0.0,0.0,103684,6,INT,5.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Kaíque Rocha,,,,,,,,,,,,,,,,,,,,
359,gabriel-veron,1.0,286,5,G. Veron,Gabriel Veron Fonseca de Souza,1.21,0.1,103764,6,JUV,3.98,7,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Gabriel Veron,3.0,1.0,1.0,1.0,5.0,2.0,,,,,,,,,,,,,,
360,gabriel-menino,-1.6,282,4,G. Menino,Gabriel Vinícius Menino,1.98,-0.83,103767,6,CAM,4.84,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Gabriel Menino,7.0,6.0,2.0,1.0,8.0,,,1.0,1.0,,,,,,,,,,,
361,hernan-crespo,10.63,276,6,H. Crespo,Hernán Jorge Crespo,6.6,1.32,103912,7,SAO,10.53,3,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Hernán Crespo,,,,,,,,,,,,,,,,,,1.0,,
362,rafael-guanaes,8.29,2305,6,R. Guanaes,Rafael Silva Guanaes,5.27,0.91,104027,7,MIR,7.37,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Rafael Guanaes,,,,,,,,,,,,,,,,,,5.0,,
363,sabino,4.7,276,3,Sabino,José Sabino Chagas Monteiro,1.85,0.7,104075,6,SAO,4.9,9,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Sabino,3.0,8.0,2.0,2.0,5.0,,2.0,2.0,,,,,,,,,,,,
364,bruno-fuchs,3.3,275,3,B. Fuchs,Bruno de Lara Fuchs,4.53,-0.1,104085,3,PAL,7.33,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Bruno Fuchs,14.0,8.0,,1.0,8.0,,5.0,3.0,,,,,,,,,,,,
365,lucas-arcanjo,7.6,287,1,L. Arcanjo,Lucas Willians Assis Arcanjo,5.53,-0.75,104118,7,VIT,8.96,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Lucas Arcanjo,,,,,2.0,,4.0,2.0,,,,,,,55.0,13.0,,,,
366,fabri,1.7,287,5,Fabri,Fabrício do Rosário dos Santos,2.6,-0.04,104134,6,VIT,4.3,9,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Fabri,8.0,12.0,1.0,6.0,8.0,,,,1.0,,,,,,,,,,,
367,raul,0.0,263,1,Raul,Raul Jonas Steffens,0.0,0.0,104191,6,BOT,2.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Raul,,,,,,,,,,,,,,,,,,,,
368,edson-carioca,2.7,2305,5,E. Carioca,Edson Guilherme Mendes dos Santos,4.73,0.32,104204,7,MIR,6.92,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Edson Carioca,11.0,14.0,4.0,11.0,12.0,2.0,,1.0,2.0,,2.0,,,,,,,,,
369,joao-victor,0.0,267,3,J. Victor,João Victor da Silva Marcelino,3.56,-0.53,104250,6,VAS,5.95,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,João Victor,16.0,10.0,2.0,5.0,8.0,,2.0,3.0,,1.0,1.0,,,,,,,,,1.0
370,adriano-martins,0.0,286,3,A. Martins,Adriano Martins da Fonseca,2.22,0.0,104253,6,JUV,5.51,5,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Adriano Martins,4.0,3.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
371,joao-lucas,0.0,284,2,J. Lucas,João Lucas de Almeida Carvalho,3.0,0.0,104257,6,GRE,5.14,1,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,João Lucas,2.0,,,,,,,,,,,,,,,,,,,
372,hereda,0.0,292,2,Hereda,Diogo Hereda da Silva,4.79,0.0,104271,5,SPT,5.91,11,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Hereda,17.0,12.0,2.0,7.0,18.0,2.0,2.0,1.0,1.0,,,,,,,,,,,
373,christian,10.0,283,4,Christian,Christian Roberto Alves Cardoso,4.34,1.22,104502,7,CRU,7.91,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Christian,14.0,20.0,2.0,7.0,15.0,3.0,,4.0,2.0,,2.0,,,,,,,,,
374,camilo,0.0,284,4,Camilo,Camilo Reijers de Oliveira,1.45,0.0,104519,6,GRE,3.15,8,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Camilo,9.0,10.0,,2.0,1.0,,,,,,,,1.0,,,,,,,
375,fabricio,0.0,280,1,Fabrício,Fabrício Oliveira de Souza,0.0,0.0,104588,5,RBB,2.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Fabrício,,,,,,,,,,,,,,,,,,,,
376,matheus-bianqui,0.0,2305,4,M. Bianqui,Matheus Henrique Bianqui,0.46,0.0,104640,6,MIR,3.05,5,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Matheus Bianqui,3.0,4.0,,,,,,1.0,,,,,,,,,,,,
377,moises,0.0,356,5,Moisés,Moisés Vieira da Veiga,3.53,0.0,104666,5,FOR,11.49,3,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Moisés,2.0,1.0,1.0,3.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,
378,newton,4.2,263,4,Newton,Newton Araújo da Costa Júnior,1.1,0.81,104693,6,BOT,3.37,4,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Newton,3.0,4.0,,2.0,1.0,,,1.0,,,,,,,,,,,,
379,enzo-diaz,0.0,276,2,E. Díaz,Enzo Hernán Díaz,4.7,0.0,104758,7,SAO,8.8,13,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Enzo Díaz,33.0,27.0,1.0,5.0,11.0,1.0,2.0,3.0,1.0,,,,3.0,,,,,,,
380,acevedo,1.5,265,4,Acevedo,Nicolás Brian Acevedo Tabárez,2.09,0.15,104783,6,BAH,4.28,9,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Acevedo,12.0,3.0,1.0,,3.0,,,1.0,,,,,,,,,,,,
381,jorge-meurer,0.0,284,1,J. Meurer,Jorge Meurer Bartholdy,0.0,0.0,104933,6,GRE,2.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Jorge Meurer,,,,,,,,,,,,,,,,,,,,
382,wagner-leonardo,4.5,284,3,W. Leonardo,Wagner Leonardo Calvelo de Souza,3.15,0.63,104994,6,GRE,6.76,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Wagner Leonardo,16.0,12.0,4.0,,2.0,1.0,3.0,2.0,1.0,,,,,,,,,,,
383,joao-marcelo,0.0,283,3,J. Marcelo,João Marcelo Messias Ferreira,0.0,0.0,105047,5,CRU,7.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,João Marcelo,,,,,,,,,,,,,,,,,,,,
384,fabricio-daniel,0.0,2305,5,F. Daniel,Fabrício Daniel de Souza,1.03,0.0,105171,6,MIR,2.93,8,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Fabrício Daniel,,5.0,2.0,6.0,5.0,,,,,,,,,,,,,,,
385,sant-anna,3.4,280,2,Sant'Anna,Ariel Agustín Sant'Anna Quintero,3.25,0.38,105213,6,RBB,6.15,7,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Sant'Anna,8.0,5.0,1.0,5.0,2.0,,1.0,2.0,,1.0,,,,,,,,,,
386,santiago-rodriguez,4.5,263,4,S. Rodríguez,Santiago Mariano Rodríguez Molina,1.92,0.56,105214,6,BOT,5.25,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Santiago Rodríguez,4.0,2.0,4.0,4.0,6.0,,,1.0,,,,,,,,,,,,
387,gaston-avila,1.2,356,3,G. Ávila,Gastón Luciano Ávila,4.58,-1.2,105258,6,FOR,8.76,5,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Gastón Ávila,10.0,2.0,1.0,1.0,3.0,,1.0,,,,,,,,,,,,,
