,atletas.apelido,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.slug,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.variacao_num,atletas.media_num,atletas.status_id,atletas.jogos_num,atletas.pontos_num,atletas.nome,atletas.clube.id.full.name,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.foto,A,CA,DS,FC,FD,FF,FS,I,G,FT,DE,GS,V,CV,PS,SG,DP,PC,PP,GC
64,Thomazella,Thomazella,False,thomazella,2305,2.0,9,0.0,0.0,6,0,0.0,Carlos Eduardo Lecciolle Thomazella,MIR,72279,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,,,,,,,,,,,,,,,,,,,,
65,Everson,Everson,True,everson,282,10.6,9,1.79,5.13,7,9,9.9,Everson Felipe Marques Pires,CAM,72294,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,,1.0,,,,,4.0,,,,27.0,10.0,,,,4.0,,,,
66,Luiz Otávio,L. Otávio,False,luiz-otavio,354,4.0,9,0.0,0.0,6,0,0.0,Luiz Otávio Anacleto Leandro,CEA,72359,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,,,,,,,,,,,,,,,,,,,,
67,Fernando Diniz,F. Diniz,True,fernando-diniz,267,10.88,9,2.78,9.23,7,1,9.23,Fernando Diniz Silva,VAS,72391,,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,,,,,,,,,,,,,1.0,,,,,,,
68,Bernard,Bernard,False,bernard,282,4.14,9,0.0,1.09,6,8,0.0,Bernard Anício Caldeira Duarte,CAM,72460,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,,1.0,6.0,3.0,,1.0,2.0,1.0,,,,,,,,,,,,
69,Alex Telles,A. Telles,True,alex-telles,263,10.73,9,-0.6,5.53,6,8,7.2,Alex Nicolao Telles,BOT,72493,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,,,5.0,11.0,2.0,2.0,6.0,,1.0,,,,,,,5.0,,,,
70,Pedro Henrique,P. Henrique,True,pedro-henrique,354,7.69,9,-0.71,4.68,6,5,0.4,Pedro Henrique Konzen Medina da Silva,CEA,72583,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,,1.0,5.0,9.0,3.0,4.0,6.0,2.0,1.0,1.0,,,,,,,,1.0,,
71,Vitor Hugo,V. Hugo,True,vitor-hugo,282,7.74,9,0.72,5.53,6,3,6.5,Vitor Hugo Franchescoli de Souza,CAM,72605,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,,,3.0,,,2.0,1.0,,,,,,,,,2.0,,,,
72,Wilker Ángel,W. Ángel,True,wilker-angel,286,2.16,9,-0.68,-0.24,7,5,-1.3,Wílker José Ángel Romero,JUV,72801,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,,2.0,1.0,5.0,,1.0,,,,,,,,,,,,,,
73,Mercado,Mercado,False,mercado,285,6.0,9,0.0,0.0,6,0,0.0,Gabriel Iván Mercado,INT,72951,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,,,,,,,,,,,,,,,,,,,,
