,atletas.preco_num,atletas.clube.id.full.name,atletas.rodada_id,atletas.slug,atletas.entrou_em_campo,atletas.media_num,atletas.status_id,atletas.foto,atletas.posicao_id,atletas.pontos_num,atletas.clube_id,atletas.nome,atletas.variacao_num,atletas.jogos_num,atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,FS,FT,I,DS,FC,FD,FF,DE,GS,SG,A,CA,G,PS,V,CV,DP,PP,PC,GC
56,6.52,BAH,38,santiago-arias,True,3.6,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,2,4.5,265,Santiago Arias Naranjo,-0.69,20,Santiago Arias,S. Arias,71701,19.0,,3.0,25.0,8.0,3.0,5.0,,,5.0,,3.0,,,,,,,2.0,
57,5.67,GRE,38,cuellar,True,2.84,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,4,2.9,284,Gustavo Leonardo Cuellar Gallego,0.26,16,Cuéllar,Cuéllar,71709,14.0,,,28.0,15.0,2.0,2.0,,,,,3.0,,,,,,,,
58,6.44,GRE,38,tiago-volpi,False,4.02,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,1,0.0,284,Tiago Luis Volpi,0.0,29,Tiago Volpi,T. Volpi,72018,9.0,,,,,,,93.0,39.0,5.0,,2.0,1.0,,,,,,1.0,
59,2.0,MIR,38,thomazella,False,0.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,1,0.0,2305,Carlos Eduardo Lecciolle Thomazella,0.0,0,Thomazella,Thomazella,72279,,,,,,,,,,,,,,,,,,,,
60,9.37,CAM,38,everson,True,4.76,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,1,5.0,282,Everson Felipe Marques Pires,0.46,30,Everson,Everson,72294,7.0,,,,,,,90.0,31.0,12.0,,7.0,,,,,,,,
61,4.0,CEA,38,luiz-otavio,False,0.0,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,3,0.0,354,Luiz Otávio Anacleto Leandro,0.0,0,Luiz Otávio,L. Otávio,72359,,,,,,,,,,,,,,,,,,,,
62,8.94,VAS,38,fernando-diniz,True,5.07,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,6,0.56,267,Fernando Diniz Silva,-0.38,28,Fernando Diniz,F. Diniz,72391,,,,,,,,,,,,,,,10.0,,,,,
63,3.38,CAM,38,bernard,True,1.0,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,4,1.1,282,Bernard Anício Caldeira Duarte,0.21,23,Bernard,Bernard,72460,8.0,,1.0,15.0,18.0,1.0,5.0,,,,,3.0,,,,,,,,
64,9.74,BOT,38,alex-telles,True,5.71,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,2,0.0,263,Alex Nicolao Telles,-1.38,23,Alex Telles,A. Telles,72493,11.0,1.0,1.0,9.0,18.0,3.0,8.0,,,13.0,2.0,2.0,4.0,,,,,,,
65,6.96,CEA,38,pedro-henrique,True,3.94,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,5,0.1,354,Pedro Henrique Konzen Medina da Silva,-0.23,26,Pedro Henrique,P. Henrique,72583,26.0,2.0,12.0,23.0,28.0,8.0,12.0,,,,3.0,7.0,4.0,,,,,,1.0,
