,atletas.pontos_num,atletas.clube_id,atletas.posicao_id,atletas.media_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.preco_num,atletas.foto,atletas.apelido_abreviado,atletas.status_id,atletas.slug,atletas.rodada_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.nome,atletas.jogos_num,atletas.apelido,CA,DS,FC,FF,FS,G,I,A,FD,PS,FT,SG,V,CV,DE,DP,GS,PC,PP,GC
12,5.5,2305,1,7.53,True,51413,10.72,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Walter,7,walter,22,MIR,-1.5,Walter Leandro Capeloza Artune,14,Walter,2.0,,,,3.0,,,,,,,5.0,,,60.0,2.0,11.0,,,
13,2.8,265,4,4.43,True,51772,7.95,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,E. Ribeiro,7,everton-ribeiro,22,BAH,-1.13,Everton Augusto de Barros Ribeiro,18,Everton Ribeiro,3.0,25.0,17.0,6.0,29.0,2.0,,2.0,4.0,,1.0,,,1.0,,,,,,
14,0.0,267,5,0.66,False,60793,2.47,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,A. Teixeira,6,alex-teixeira,22,VAS,0.0,Alex Teixeira Santos,8,Alex Teixeira,1.0,3.0,2.0,,,,,,2.0,,,,,,,,,,,
15,0.0,286,5,2.56,False,61188,4.15,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Gilberto,5,gilberto,22,JUV,0.0,Gilberto Oliveira Souza Júnior,13,Gilberto,4.0,3.0,16.0,4.0,11.0,2.0,4.0,1.0,7.0,,,,,,,,,,,
16,0.0,262,2,4.48,False,61987,10.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,A. Sandro,5,alex-sandro,22,FLA,0.0,Alex Sandro Lobo Silva,13,Alex Sandro,1.0,12.0,26.0,3.0,11.0,,1.0,,1.0,,,8.0,,,,,,,,
17,-0.3,266,4,1.25,True,62977,5.56,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Ganso,6,ganso,22,FLU,-0.46,Paulo Henrique Chagas de Lima,13,Ganso,1.0,7.0,5.0,2.0,13.0,,,,,,,,,,,,,,,
18,4.8,277,4,5.0,True,63007,14.39,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Neymar,7,neymar,22,SAN,0.19,Neymar da Silva Santos Júnior,12,Neymar,4.0,3.0,15.0,9.0,47.0,3.0,2.0,,8.0,,1.0,,,1.0,,,,,,
19,0.0,276,3,0.0,False,63008,7.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,R. Tolói,6,rafael-toloi,22,SAO,0.0,Rafael Toloi,0,Rafael Tolói,,,,,,,,,,,,,,,,,,,,
20,6.5,284,2,7.2,True,63013,9.84,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,M. Rocha,7,marcos-rocha,22,GRE,-0.05,Marcos Luis Rocha Aquino,3,Marcos Rocha,,10.0,2.0,,2.0,,,,1.0,,,1.0,,,,,,,,
21,0.0,286,2,2.41,False,63110,4.97,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,A. Ruschel,6,alan-ruschel,22,JUV,0.0,Alan Luciano Ruschel,12,Alan Ruschel,2.0,10.0,8.0,,17.0,,2.0,,,,,2.0,,,,,,,,
22,0.5,284,4,2.45,True,63289,4.86,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Edenílson,7,edenilson,22,GRE,-0.26,Edenílson Andrade dos Santos,15,Edenílson,4.0,8.0,9.0,2.0,16.0,2.0,1.0,1.0,1.0,,,,,,,,,,,
23,10.2,285,4,6.63,True,68685,14.11,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,A. Patrick,7,alan-patrick,22,INT,1.2,Alan Patrick Lourenço,15,Alan Patrick,3.0,13.0,14.0,3.0,19.0,5.0,2.0,5.0,6.0,,1.0,,,,,,,,,
24,0.5,283,4,1.54,True,68708,3.43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Eduardo,6,eduardo,22,CRU,-0.13,Carlos Eduardo de Oliveira Alves,18,Eduardo,1.0,11.0,9.0,4.0,7.0,1.0,1.0,,2.0,1.0,,,,1.0,,,,,,
25,1.6,263,1,3.55,True,68806,8.51,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Neto,7,neto,22,BOT,-0.66,Norberto Murara Neto,2,Neto,,,,,,,,,,,,,,,7.0,,2.0,,,
26,0.0,276,4,1.67,False,68811,11.39,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Oscar,6,oscar,22,SAO,0.0,Oscar dos Santos Emboaba Júnior,6,Oscar,1.0,5.0,3.0,,4.0,,,,2.0,,,,,,,,,,,
27,0.0,275,1,3.2,False,68872,7.63,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,M. Lomba,6,marcelo-lomba,22,PAL,0.0,Marcelo Lomba do Nascimento,1,Marcelo Lomba,,,,,,,,,,,,,,,4.0,,2.0,,,
28,10.5,267,4,4.84,True,68899,10.74,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,P. Coutinho,7,philippe-coutinho,22,VAS,1.41,Philippe Coutinho Correia,14,Philippe Coutinho,,5.0,10.0,12.0,22.0,3.0,1.0,1.0,13.0,1.0,,,,1.0,,,,,,
29,0.0,282,5,2.25,True,68920,7.96,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Dudu,7,dudu,22,CAM,-0.43,Eduardo Pereira Rodrigues,8,Dudu,,4.0,5.0,,11.0,1.0,,,,,,,,,,,,,,
30,0.0,277,3,1.93,False,68923,4.94,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Gil,6,gil,22,SAN,0.0,Carlos Gilberto do Nascimento Silva,8,Gil,3.0,9.0,7.0,2.0,1.0,,,,,,,1.0,,,,,,,,
31,6.8,276,1,4.45,True,68928,9.78,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Rafael,7,rafael,22,SAO,0.24,Rafael Pires Monteiro,20,Rafael,2.0,1.0,,,5.0,,,,,,,6.0,,,60.0,,21.0,,,
