,atletas.slug,atletas.preco_num,atletas.foto,atletas.clube.id.full.name,atletas.atleta_id,atletas.status_id,atletas.apelido_abreviado,atletas.pontos_num,atletas.apelido,atletas.clube_id,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.rodada_id,atletas.posicao_id,atletas.variacao_num,A,DS,FC,FD,FF,FS,V,I,CA,SG,DE,GS,G,CV,PP,PC,FT,DP,PS,GC
53,diogo-barbosa,7.96,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,70916,7,D. Barbosa,0.0,Diogo Barbosa,356,,False,1,8.7,Diogo Barbosa Mendanha,2,2,0.0,,2.0,1.0,,,2.0,,,,1.0,,,,,,,,,,
54,bruno-henrique,7.96,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,INT,70944,7,B. Henrique,0.9,Bruno Henrique,285,,True,2,5.35,Bruno Henrique Corsini,2,4,-1.2,,3.0,6.0,,,,,,,,,,1.0,,,,,,,
55,jean-carlos,6.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,70958,6,J. Carlos,0.0,Jean Carlos,286,,False,0,0.0,Jean Carlos Vicente,2,4,0.0,,,,,,,,,,,,,,,,,,,,
56,payet,8.66,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,VAS,70984,6,Payet,6.0,Payet,267,,True,2,5.5,Florent Dimitri Payet,2,4,0.37,1.0,2.0,1.0,,1.0,5.0,,,,,,,,,,,,,,
57,luiz-gustavo,10.73,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,71536,6,L. Gustavo,0.0,Luiz Gustavo,276,,False,1,9.6,Luiz Gustavo Dias,2,4,0.0,,4.0,4.0,,1.0,2.0,,,,,,,,,,,1.0,,,
58,fernando-miguel,3.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,71571,6,F. Miguel,0.0,Fernando Miguel,354,,False,0,0.0,Fernando Miguel Kaufmann,2,1,0.0,,,,,,,,,,,,,,,,,,,,
59,weverton,7.49,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,PAL,71631,7,Weverton,2.6,Weverton,275,,True,2,7.05,Weverton Pereira da Silva,2,1,-0.63,,,,,,2.0,,,,1.0,7.0,1.0,,,,,,,,
60,raul-caceres,3.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,VIT,71680,7,R. Cáceres,0.0,Raúl Cáceres,287,,False,0,0.0,Raúl Alejandro Cáceres Bogado,2,2,0.0,,,,,,,,,,,,,,,,,,,,
61,gustavo-gomez,11.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,PAL,71684,7,G. Gómez,0.0,Gustavo Gómez,275,,False,0,0.0,Gustavo Raúl Gómez Portillo,2,3,0.0,,,,,,,,,,,,,,,,,,,,
62,santiago-arias,8.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,BAH,71701,7,S. Arias,0.0,Santiago Arias,265,,False,0,0.0,Santiago Arias Naranjo,2,2,0.0,,,,,,,,,,,,,,,,,,,,
63,cuellar,6.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,GRE,71709,6,Cuéllar,0.0,Cuéllar,284,,False,0,0.0,Gustavo Leonardo Cuellar Gallego,2,4,0.0,,,,,,,,,,,,,,,,,,,,
64,tiago-volpi,8.08,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,GRE,72018,7,T. Volpi,1.9,Tiago Volpi,284,,True,2,4.35,Tiago Luis Volpi,2,1,-0.85,,,,,,,,,,,9.0,3.0,,,,,,,,
65,thomazella,2.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,72279,6,Thomazella,0.0,Thomazella,2305,,False,0,0.0,Carlos Eduardo Lecciolle Thomazella,2,1,0.0,,,,,,,,,,,,,,,,,,,,
66,everson,11.73,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,72294,7,Everson,10.2,Everson,282,,True,2,6.05,Everson Felipe Marques Pires,2,1,1.25,,,,,,,,,,1.0,7.0,2.0,,,,,,,,
67,luiz-otavio,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,72359,6,L. Otávio,0.0,Luiz Otávio,354,,False,0,0.0,Luiz Otávio Anacleto Leandro,2,3,0.0,,,,,,,,,,,,,,,,,,,,
68,bernard,6.16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,72460,6,Bernard,3.0,Bernard,282,,True,2,2.25,Bernard Anício Caldeira Duarte,2,4,-0.09,,3.0,,,,,,,,,,,,,,,,,,
69,alex-telles,11.51,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,BOT,72493,7,A. Telles,6.1,Alex Telles,263,,True,2,5.55,Alex Nicolao Telles,2,2,-0.06,,1.0,7.0,1.0,,1.0,,,,2.0,,,,,,,,,,
70,pedro-henrique,7.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,72583,5,P. Henrique,0.0,Pedro Henrique,354,,False,0,0.0,Pedro Henrique Konzen Medina da Silva,2,5,0.0,,,,,,,,,,,,,,,,,,,,
71,vitor-hugo,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,72605,7,V. Hugo,0.0,Vitor Hugo,282,,False,0,0.0,Vitor Hugo Franchescoli de Souza,2,3,0.0,,,,,,,,,,,,,,,,,,,,
72,wilker-angel,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,72801,6,W. Ángel,0.0,Wilker Ángel,286,,False,0,0.0,Wílker José Ángel Romero,2,3,0.0,,,,,,,,,,,,,,,,,,,,
73,gustavo-quinteros,6.73,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,GRE,72864,7,G. Quinteros,1.11,Gustavo Quinteros,284,,True,2,3.19,Gustavo Domingo Quinteros Desábato,2,6,-0.85,,,,,,,1.0,,,,,,,,,,,,,
74,mercado,6.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,INT,72951,6,Mercado,0.0,Mercado,285,,False,0,0.0,Gabriel Iván Mercado,2,3,0.0,,,,,,,,,,,,,,,,,,,,
75,daniel-borges,1.67,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,73318,6,D. Borges,0.0,Daniel Borges,2305,,True,1,0.0,Daniel Fortunato Borges,2,2,-0.33,,,,,,,,,,,,,,,,,,,,
76,samuel-xavier,8.04,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,73384,7,S. Xavier,1.5,Samuel Xavier,266,,True,1,1.5,Samuel Xavier Brito,2,2,-0.96,,1.0,,,,,,,,,,,,,,,,,,
