,atletas.atleta_id,atletas.jogos_num,atletas.preco_num,atletas.status_id,atletas.clube.id.full.name,atletas.rodada_id,atletas.slug,atletas.entrou_em_campo,atletas.nome,atletas.apelido,atletas.media_num,atletas.foto,atletas.apelido_abreviado,atletas.variacao_num,atletas.posicao_id,atletas.clube_id,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,PS,DE,GS,PC,V,DP,CV,PP,GC
58,71701,6,7.38,6,BAH,18,santiago-arias,False,Santiago Arias Naranjo,Santiago Arias,3.32,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,S. Arias,0.0,2,265,0.0,,1.0,5.0,,2.0,,2.0,,,2.0,,,,,,,,,,
59,71709,2,6.52,6,GRE,18,cuellar,False,Gustavo Leonardo Cuellar Gallego,Cuéllar,3.1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Cuéllar,0.0,4,284,0.0,,,4.0,1.0,,,1.0,,,,,,,,,,,,,
60,72018,16,6.31,7,GRE,18,tiago-volpi,True,Tiago Luis Volpi,Tiago Volpi,3.43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,T. Volpi,-0.55,1,284,-1.0,,2.0,,,,,5.0,,,3.0,,,48.0,22.0,1.0,,,,,
61,72279,0,2.0,6,MIR,18,thomazella,False,Carlos Eduardo Lecciolle Thomazella,Thomazella,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Thomazella,0.0,1,2305,0.0,,,,,,,,,,,,,,,,,,,,
62,72294,15,9.53,7,CAM,18,everson,True,Everson Felipe Marques Pires,Everson,5.02,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Everson,-0.59,1,282,1.6,,4.0,,,,,4.0,,,7.0,,,44.0,15.0,,,,,,
63,72359,0,4.0,5,CEA,18,luiz-otavio,False,Luiz Otávio Anacleto Leandro,Luiz Otávio,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,L. Otávio,0.0,3,354,0.0,,,,,,,,,,,,,,,,,,,,
64,72391,8,9.27,7,VAS,18,fernando-diniz,True,Fernando Diniz Silva,Fernando Diniz,4.61,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,F. Diniz,-0.14,6,267,4.02,,,,,,,,,,,,,,,,2.0,,,,
65,72460,13,3.76,6,CAM,18,bernard,True,Bernard Anício Caldeira Duarte,Bernard,0.87,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Bernard,0.14,4,282,1.5,,1.0,8.0,6.0,,1.0,3.0,,1.0,,,,,,,,,,,
66,72493,14,9.68,7,BOT,18,alex-telles,True,Alex Nicolao Telles,Alex Telles,4.96,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,A. Telles,-0.08,2,263,1.3,,1.0,7.0,14.0,2.0,6.0,8.0,1.0,1.0,9.0,,,,,,,,,,
67,72583,11,7.28,7,CEA,18,pedro-henrique,True,Pedro Henrique Konzen Medina da Silva,Pedro Henrique,3.48,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,P. Henrique,0.18,5,354,3.4,,4.0,12.0,17.0,6.0,9.0,11.0,1.0,5.0,,1.0,,,,1.0,,,,,
68,72605,5,8.15,6,CAM,18,vitor-hugo,False,Vitor Hugo Franchescoli de Souza,Vitor Hugo,5.92,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,V. Hugo,0.0,3,282,0.0,,,5.0,,,2.0,1.0,,,4.0,,,,,,,,,,
