,atletas.apelido_abreviado,atletas.foto,atletas.pontos_num,atletas.jogos_num,atletas.variacao_num,atletas.rodada_id,atletas.status_id,atletas.preco_num,atletas.atleta_id,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.slug,atletas.clube_id,atletas.apelido,atletas.nome,atletas.media_num,atletas.posicao_id,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,PS,DE,GS,CV,V,PP,DP,PC,GC
587,A. Rodríguez,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,2.9,9,-0.27,29,6,5.72,123744,INT,True,alan-rodriguez,285,Alan Rodríguez,Alan Jesús Rodríguez Guaglianoni,2.92,4,,1.0,13.0,5.0,1.0,2.0,7.0,,1.0,,1.0,,,,,,,,,
588,Lezcano,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.0,4,0.0,29,6,4.31,123788,FLU,False,lezcano,266,Lezcano,Rubén Darío Lezcano Portillo,0.87,4,,,1.0,,,,4.0,,,,,,,,,,,,,
589,Enzo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.0,0,0.0,29,6,5.0,124077,GRE,False,enzo,284,Enzo,Enzo Henrique dos Santos,0.0,2,,,,,,,,,,,,,,,,,,,,
590,H. Mosquera,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,0.0,16,0.0,29,6,3.44,124239,RBB,False,henry-mosquera,280,Henry Mosquera,Henry David Mosquera Sánchez,1.76,5,,,10.0,13.0,9.0,3.0,8.0,,2.0,,,,,,,,,,,
591,Isaac,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,0.0,1,0.0,29,6,1.1,124247,CAM,False,isaac,282,Isaac,Isaac Aguiar Tomich,0.5,5,,,,,,,1.0,,,,,,,,,,,,,
592,Kauan,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0.0,0,0.0,29,6,1.0,124264,INT,False,kauan,285,Kauan,Kauan Jesus Santos Oliveira,0.0,1,,,,,,,,,,,,,,,,,,,,
593,Allex,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0.0,0,0.0,29,6,1.0,124270,INT,False,allex,285,Allex,Allex Rodrigues Pereira da Silva,0.0,4,,,,,,,,,,,,,,,,,,,,
594,G. Prado,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0.0,13,0.0,29,6,4.3,124271,INT,False,gustavo-prado,285,Gustavo Prado,Gustavo Prado Alves,2.61,4,,2.0,7.0,5.0,6.0,8.0,11.0,1.0,1.0,,,,,,,,,,,
595,R. Mathias,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0.0,15,0.0,29,6,4.78,124280,INT,False,ricardo-mathias,285,Ricardo Mathias,Ricardo Mathias da Silva,2.56,5,,1.0,2.0,14.0,4.0,5.0,10.0,3.0,2.0,,1.0,,,,,,,,,
596,L. Aragão,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,11.5,3,2.48,29,7,6.88,124369,CRU,True,leo-aragao,283,Léo Aragão,Leonardo de Aragão Carvalho,6.73,1,,1.0,,,,,1.0,,,2.0,,,9.0,1.0,,,,,,
597,M. Ponte,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0.0,16,0.0,29,6,6.71,124481,BOT,False,mateo-ponte,263,Mateo Ponte,Mateo Ponte Costa,3.05,2,,2.0,10.0,11.0,,6.0,3.0,1.0,2.0,5.0,,,,,,,,,,
598,Giay,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0.0,22,0.0,29,6,8.65,124526,PAL,False,giay,275,Giay,Agustín Giay,5.16,2,,1.0,41.0,26.0,,3.0,27.0,,1.0,9.0,,,,,,,,,,
599,I. Román,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,0.0,7,0.0,29,6,3.62,124661,CAM,False,ivan-roman,282,Iván Román,Ivan Ramiro Román Hurtado,2.77,3,,3.0,9.0,7.0,1.0,1.0,8.0,,,1.0,,,,,,,,,,
600,F. Negrucci,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0.0,2,0.0,29,6,2.22,124674,SAO,False,felipe-negrucci,276,Felipe Negrucci,Felipe Negrucci Berdague,0.95,4,,,1.0,3.0,,1.0,1.0,,,,,,,,,,,,,
601,Leandro,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0.0,0,0.0,29,6,2.0,124701,SAO,False,leandro,276,Leandro,Leandro Mathias Silva Bueno,0.0,1,,,,,,,,,,,,,,,,,,,,
602,N. Fernandes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0.0,9,0.0,29,5,5.19,124757,BOT,False,nathan-fernandes,263,Nathan Fernandes,Nathan Ribeiro Fernandes,3.14,5,2.0,,3.0,3.0,3.0,1.0,5.0,1.0,2.0,,,,,,,,,,,
603,J. Jesus,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,0.0,10,0.0,29,6,4.08,124912,CRU,False,jonathan-jesus,283,Jonathan Jesus,Jonathan de Jesus Alves,2.39,3,,,10.0,13.0,,,2.0,,1.0,3.0,,,,,1.0,,,,,
604,Viery,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.0,2,0.0,29,6,2.86,125467,GRE,False,viery,284,Viery,Viery Fernandes Santos Lopes,2.35,3,,,,1.0,,,,,,1.0,,,,,,,,,,
605,Alisson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,0.0,0,0.0,29,6,4.0,125469,CAM,False,alisson,282,Alisson,Alisson Santana Lopes da Fonseca,0.0,4,,,,,,,,,,,,,,,,,,,,
606,J. Pedro,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,9.4,9,1.58,29,7,6.24,125488,COR,True,joao-pedro,264,João Pedro,João Pedro de Sousa Rodrigues,3.84,3,1.0,4.0,11.0,14.0,,1.0,1.0,,,4.0,,,,,,,,,,
607,Marcelinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,0.0,0,0.0,29,6,2.0,126120,RBB,False,marcelinho,280,Marcelinho,Marcelo Braz da Silva,0.0,4,,,,,,,,,,,,,,,,,,,,
608,Paulinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,8,0.0,29,5,3.95,126182,VAS,False,paulinho,267,Paulinho,Paulo Lucas Santos de Paula,0.53,4,,1.0,4.0,11.0,,,5.0,,,,,,,,,,,,,
609,D. Lacerda,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,1.7,13,-0.27,29,7,8.11,126216,SPT,True,derik-lacerda,292,Derik Lacerda,Derik Gean Severino Lacerda,5.85,5,,7.0,11.0,24.0,13.0,15.0,18.0,4.0,7.0,,2.0,,,,,,,,,
610,Barreal,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,4.6,24,-1.68,29,7,10.32,126471,SAN,True,barreal,277,Barreal,Álvaro Martín Barreal,6.16,4,1.0,2.0,40.0,21.0,8.0,15.0,16.0,7.0,4.0,,2.0,,,,,,,,,
611,F. Seabra,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,1.74,29,-0.26,29,7,8.57,126977,RBB,True,fernando-seabra,280,Fernando Seabra,Fernando Seabra,5.19,6,,,,,,,,,,,,,,,,10.0,,,,
612,Bahia,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,0.0,2,0.0,29,6,2.65,127242,COR,False,bahia,264,Bahia,Luiz Gustavo Lemos Carvalho,2.9,4,,,3.0,,,1.0,1.0,,,,,,,,,,,,,
613,J. Fidélis,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.0,3,0.0,29,6,7.17,127932,FLU,False,julio-fidelis,266,Julio Fidélis,Julio Cesar Lima Fidelis,7.6,2,1.0,,5.0,2.0,,3.0,7.0,,,1.0,,,,,,,,,,
614,R. Lucas,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,0.0,0,0.0,29,6,2.0,128590,FLA,False,rayan-lucas,262,Rayan Lucas,Rayan Lucas Marques de Souza,0.0,4,,,,,,,,,,,,,,,,,,,,
615,F. Cardoso,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.0,3,0.0,29,6,2.21,129317,VIT,False,felipe-cardoso,287,Felipe Cardoso,Felipe Cardoso,0.97,4,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,
616,R. Pablo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,-1.3,3,-0.5,29,6,0.84,129663,BAH,True,ruan-pablo,265,Ruan Pablo,Ruan Pablo Barbosa Sousa,0.13,5,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,
617,Pablo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,0,0.0,29,6,1.0,129665,VAS,False,pablo,267,Pablo,Pablo de Paula Cardoso,0.0,1,,,,,,,,,,,,,,,,,,,,
618,JP,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,0,0.0,29,6,2.0,129666,VAS,False,jp,267,JP,João Pedro Murilo de Paula Morais,0.0,4,,,,,,,,,,,,,,,,,,,,
619,C. Loor,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0.0,0,0.0,29,6,2.0,129930,BOT,False,cristhian-loor,263,Cristhian Loor,Cristhian Joel Loor Santamaría - Christian,0.0,1,,,,,,,,,,,,,,,,,,,,
620,Noriega,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,1.2,8,-0.42,29,7,4.51,130048,GRE,True,noriega,284,Noriega,Erick Carlos Noriega Loret de Mola,2.08,4,,,10.0,6.0,,3.0,6.0,,,,,,,,,,,,2.0,
621,L. Nannetti,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,0.0,0,0.0,29,6,1.0,130189,FLA,False,leo-nannetti,262,Léo Nannetti,Leonardo Nannetti Lopes,0.0,1,,,,,,,,,,,,,,,,,,,,
622,Carbone,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,0.0,0,0.0,29,6,2.0,130190,FLA,False,carbone,262,Carbone,João Victor Schlickmann Carbone,0.0,2,,,,,,,,,,,,,,,,,,,,
623,Euder,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,0,0.0,29,6,1.0,130252,VAS,False,euder,267,Euder,Euder Galdino da Silva,0.0,4,,,,,,,,,,,,,,,,,,,,
624,Leandrinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,0,0.0,29,6,2.0,130254,VAS,False,leandrinho,267,Leandrinho,Leandro Viana da Silva Gama,0.0,2,,,,,,,,,,,,,,,,,,,,
625,G. Estrella,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,0,0.0,29,6,3.0,130255,VAS,False,guilherme-estrella,267,Guilherme Estrella,Guilherme Estrella de Paiva,0.0,4,,,,,,,,,,,,,,,,,,,,
626,L. Zuccarello,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,2,0.0,29,6,1.9,130279,VAS,False,lukas-zuccarello,267,Lukas Zuccarello,Lukas Rocha Zuccarello,0.6,4,,,1.0,1.0,,,,,,,,,,,,,,,,
627,P. Gabriel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,0,0.0,29,6,1.0,130280,VAS,False,phillipe-gabriel,267,Phillipe Gabriel,Phillipe Gabriel Pires de Oliveira,0.0,1,,,,,,,,,,,,,,,,,,,,
628,Rhyan,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0.0,0,0.0,29,6,1.0,130305,BOT,False,rhyan,263,Rhyan,Rhyan Luca Carvalho de Arruda,0.0,1,,,,,,,,,,,,,,,,,,,,
629,R. Pinna,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,0,0.0,29,6,1.0,130316,JUV,False,rafael-pinna,286,Rafael Pinna,Rafael Oliveira Pinna,0.0,5,,,,,,,,,,,,,,,,,,,,
630,Maykon,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.0,8,0.0,29,6,4.92,130319,VIT,False,maykon,287,Maykon,Maykon Kesley de Jesus Ramalho,3.66,2,,1.0,9.0,16.0,1.0,3.0,6.0,,,3.0,,,,,,,,,,
631,G. Gomes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,0.0,0,0.0,29,6,2.0,130382,FLA,False,guilherme-gomes,262,Guilherme Gomes,Guilherme Henrique Bernardineli Gomes,0.0,4,,,,,,,,,,,,,,,,,,,,
632,Maceió,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0.0,6,0.0,29,6,2.81,130386,MIR,False,maceio,2305,Maceió,Everton Leandro de Oliveira Santos,0.78,5,,1.0,1.0,2.0,1.0,4.0,3.0,,1.0,,,,,,,,,,1.0,
633,L. Gustavo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0.0,5,0.0,29,6,1.8,130393,BAH,False,luiz-gustavo,265,Luiz Gustavo,Luiz Gustavo Marinho Ribeiro dos Santos,1.56,3,,3.0,4.0,4.0,,,2.0,,,1.0,,,,,,,,,,
634,Marlon,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,1,0.0,29,6,1.11,130507,JUV,False,marlon,286,Marlon,Marlon Santos Teodoro,0.5,5,,,,1.0,,1.0,,,,,,,,,,,,,,
635,R. Fillipi,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0.0,1,0.0,29,6,0.92,130608,PAL,False,riquelme-fillipi,275,Riquelme Fillipi,Riquelme Fillipi Marinho de Souza,0.0,5,,,,,,,,,,,,,,,,,,,,
636,Luighi,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0.0,6,0.0,29,6,2.95,130612,PAL,False,luighi,275,Luighi,Luighi Hanri Sousa Santos,1.05,5,,,4.0,5.0,,,4.0,,2.0,,,,,,,,,,,
637,Edenílson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.0,0,0.0,29,6,1.0,130620,VIT,False,edenilson,287,Edenílson,Edenílson Santos Nascimento Filho,0.0,4,,,,,,,,,,,,,,,,,,,,
638,Bernal,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.0,14,0.0,29,6,3.77,130650,FLU,False,bernal,266,Bernal,Facundo Bernal Cruz,2.36,4,,5.0,21.0,14.0,4.0,5.0,10.0,,,,,,,,,,,,,1.0
639,Boateng,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,0.0,0,0.0,29,6,1.0,130711,RBB,False,boateng,280,Boateng,Stanley Boateng Osei,0.0,3,,,,,,,,,,,,,,,,,,,,
640,Souza,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,2.2,15,-0.04,29,6,7.28,130811,SAN,True,souza,277,Souza,João Victor de Souza Menezes,4.22,2,2.0,2.0,25.0,14.0,3.0,5.0,11.0,,1.0,2.0,,,,,,,,,1.0,
641,Andrei,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.0,0,0.0,29,6,1.0,130869,VIT,False,andrei,287,Andrei,Andrei Gabriel dos Santos Ferreira,0.0,3,,,,,,,,,,,,,,,,,,,,
642,Riquelme,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.0,9,0.0,29,6,2.62,130889,GRE,False,riquelme,284,Riquelme,Riquelme Freitas dos Santos,1.86,4,,,6.0,2.0,1.0,2.0,11.0,,,,,,,,,,,,,
643,F. Preis,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0.0,0,0.0,29,6,1.0,131116,SAO,False,felipe-preis,276,Felipe Preis,Felipe Gabriel Preis,0.0,1,,,,,,,,,,,,,,,,,,,,
644,Jardiel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.0,3,0.0,29,6,0.84,131455,GRE,False,jardiel,284,Jardiel,Jardiel Maciel Libertino da Silva,0.17,5,,,,,,,1.0,,,,,,,,,,,,,
645,Hyan,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0.0,2,0.0,29,6,1.19,131515,SAN,False,hyan,277,Hyan,Hyan Carvalho Machado Silva,0.7,4,,,1.0,2.0,,,1.0,,,,,,,,,,,,,
646,J. Chermont,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0.0,5,0.0,29,6,6.05,131516,SAN,False,jp-chermont,277,JP Chermont,João Pedro Chermont Crema,4.28,2,,3.0,14.0,9.0,,1.0,1.0,,2.0,1.0,,,,,,,,,,
647,A. Silva,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0.0,19,0.0,29,5,6.73,131617,SAO,False,andre-silva,276,André Silva,André Oliveira e Silva,4.32,5,2.0,5.0,11.0,20.0,5.0,10.0,20.0,5.0,5.0,,1.0,,,,,,,,,
648,F. Longo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,0.0,1,0.0,29,6,0.76,131753,COR,False,felipe-longo,264,Felipe Longo,Felipe Longo Fernandes da Silva,-0.4,1,,,,,,,,,,,,,2.0,3.0,,,,,,
649,Isac,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0.0,0,0.0,29,6,1.0,131762,SAO,False,isac,276,Isac,Isac Silvestre da Silva,0.0,3,,,,,,,,,,,,,,,,,,,,
650,Kevyn,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,0.0,0,0.0,29,6,1.0,131765,RBB,False,kevyn,280,Kevyn,Kevyn Henrique Monteiro de Souza,0.0,3,,,,,,,,,,,,,,,,,,,,
651,Serna,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,3.2,23,0.0,29,7,6.64,132071,FLU,True,serna,266,Serna,Kevin Steven Serna Jaramillo,4.19,5,3.0,3.0,21.0,12.0,6.0,5.0,24.0,4.0,3.0,,,1.0,,,,,,,,
652,Arroyo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,10.4,5,1.86,29,7,6.71,132264,CRU,True,arroyo,283,Arroyo,Keny Alexander Arroyo Alvarado,3.48,5,1.0,1.0,3.0,2.0,3.0,3.0,7.0,,,,,,,,,,,,,
653,Jemmes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,6.2,27,0.8,29,7,6.1,132553,MIR,True,jemmes,2305,Jemmes,Jemmes Bruno Ribeiro da Silva,4.63,3,,2.0,51.0,28.0,1.0,8.0,7.0,1.0,1.0,8.0,,,,,,,,,,
654,D. Barbosa,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.0,0,0.0,29,6,1.0,132560,VIT,False,davi-barbosa,287,Davi Barbosa,Davi Barbosa da Silva Novaes,0.0,1,,,,,,,,,,,,,,,,,,,,
655,Vinicinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,0.0,21,0.0,29,5,5.82,132580,RBB,False,vinicinho,280,Vinicinho,Vinicius Mendonça Pereira,3.01,5,2.0,2.0,20.0,16.0,6.0,6.0,35.0,,4.0,,,1.0,,,,,,,,
656,G. Negão,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,1.5,14,0.11,29,6,3.84,133543,COR,True,gui-negao,264,Gui Negão,Guilherme William Silva Inácio,3.32,5,1.0,3.0,11.0,26.0,,2.0,21.0,3.0,3.0,,,,,,,,,,,
657,Igão,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0.0,0,0.0,29,6,2.0,133623,SAO,False,igao,276,Igão,Igor Odoni Gomes,0.0,3,,,,,,,,,,,,,,,,,,,,
658,Alysson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.0,20,0.0,29,6,5.37,133669,GRE,False,alysson,284,Alysson,Alysson Edward Franco da Rocha dos Santos,4.29,5,1.0,2.0,31.0,15.0,5.0,7.0,37.0,1.0,3.0,,1.0,,,,,,,,,
659,G. Reis,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,0.0,0,0.0,29,6,1.0,133671,RBB,False,gustavo-reis,280,Gustavo Reis,Gustavo Reis de Alcântara,0.0,1,,,,,,,,,,,,,,,,,,,,
660,M. Xavier,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0.0,3,0.0,29,6,1.0,133673,SAN,False,mateus-xavier,277,Mateus Xavier,Mateus Xavier de Sousa,0.5,4,,,1.0,,,,,,,,,,,,,,,,,
661,Benedetti,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0.0,2,0.0,29,6,2.61,133679,PAL,False,benedetti,275,Benedetti,Luiz Gustavo Roncholeta Benedetti,1.6,3,,,2.0,2.0,,1.0,,,,,,,,,,,,,,
662,W. Davi,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.0,0,0.0,29,6,2.0,133696,FLU,False,wallace-davi,266,Wallace Davi,Wallace Davi Nunes da Silva Dias,0.0,4,,,,,,,,,,,,,,,,,,,,
663,Y. Noal,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0.0,2,0.0,29,6,1.14,134246,INT,False,yago-noal,285,Yago Noal,Yago Eduardo Noal Lopes,0.6,4,,,1.0,1.0,,,,,,,,,,,,,,,,
664,Larson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0.0,0,0.0,29,6,1.0,136156,PAL,False,larson,275,Larson,Larson Torna Ferreira dos Santos,0.0,4,,,,,,,,,,,,,,,,,,,,
665,L. Otávio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0.0,14,0.0,29,6,3.53,136306,INT,False,luis-otavio,285,Luis Otávio,Luis Otávio Costa de Aquino,2.04,4,,,14.0,5.0,2.0,1.0,12.0,,1.0,,,,,,,,,,,
666,Sanabria,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,1.7,7,-0.03,29,6,4.83,136955,BAH,True,sanabria,265,Sanabria,Mateo Naín Sanabria Doracio,1.83,5,,,3.0,5.0,2.0,2.0,18.0,,2.0,,,,,,1.0,,,,,
667,Micael,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0.0,0,0.0,29,6,1.0,137375,SPT,False,micael,292,Micael,Micael de Barros Viturino,0.0,5,,,,,,,,,,,,,,,,,,,,
