,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.atleta_id,atletas.foto,atletas.clube_id,atletas.preco_num,atletas.status_id,atletas.variacao_num,atletas.media_num,atletas.posicao_id,atletas.apelido_abreviado,atletas.rodada_id,atletas.nome,atletas.entrou_em_campo,atletas.slug,atletas.jogos_num,atletas.apelido,A,DS,FC,FD,FF,FS,G,I,CA,DE,GS,DP,SG,V,FT,PS,PC,CV,PP,GC
37,SAO,,0.0,68928,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,276,10.17,7,0.0,4.9,1,Rafael,7,Rafael Pires Monteiro,False,rafael,6,Rafael,,,,,,4.0,,,1.0,18.0,5.0,,2.0,,,,,,,
38,FOR,,0.0,68952,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,356,6.85,6,0.0,2.27,5,Marinho,7,Mário Sérgio Santos Costa,False,marinho,3,Marinho,1.0,,5.0,,1.0,6.0,,5.0,,,,,,,,,,,,
39,FOR,,0.0,68991,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,356,7.29,7,0.0,6.24,4,L. Sasha,7,Lucas Pacheco Affini,False,lucas-sasha,5,Lucas Sasha,,20.0,10.0,1.0,,6.0,,,,,,,,,,,,,,
40,BAH,,3.8,68996,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,265,7.29,7,-0.4,1.94,5,W. José,7,Willian José da Silva,True,willian-jose,5,Willian José,,,2.0,1.0,2.0,3.0,,,,,,,,,2.0,,,,,
41,FLU,,0.0,69014,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,266,5.0,6,0.0,0.0,3,Manoel,7,Manoel Messias Silva Carvalho,False,manoel,0,Manoel,,,,,,,,,,,,,,,,,,,,
42,BAH,,0.0,69051,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,265,4.0,6,0.0,0.0,1,D. Fernandes,7,Danilo Fernandes Batista,False,danilo-fernandes,0,Danilo Fernandes,,,,,,,,,,,,,,,,,,,,
43,SPT,,9.5,69138,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,292,7.56,7,1.58,3.28,5,Pablo,7,Pablo Felipe Teixeira,True,pablo,4,Pablo,,2.0,3.0,,1.0,7.0,1.0,3.0,1.0,,,,,,,,,,,
44,BOT,,0.0,69140,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,263,4.49,6,0.0,0.0,4,Allan,7,Allan Marques Loureiro,False,allan,1,Allan,,,,,,,,,,,,,,,,,,,,
45,FLA,,0.0,69783,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,262,17.63,6,0.0,17.1,3,Danilo,7,Danilo Luiz da Silva,False,danilo,1,Danilo,,3.0,3.0,,,1.0,1.0,,,,,,1.0,,,,,,,
46,SAO,,0.0,70164,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,276,5.0,2,0.0,0.0,4,L. Moura,7,Lucas Rodrigues Moura da Silva,False,lucas-moura,0,Lucas Moura,,,,,,,,,,,,,,,,,,,,
47,JUV,,0.0,70216,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,286,4.25,7,0.0,2.37,1,Gustavo,7,Luiz Gustavo de Almeida Pinto,False,gustavo,4,Gustavo,,1.0,,,,,,,,10.0,12.0,1.0,,,,,,,,
48,VIT,,0.0,70221,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,287,4.0,6,0.0,0.0,3,B. Uvini,7,Bruno Uvini Bortolança,False,bruno-uvini,0,Bruno Uvini,,,,,,,,,,,,,,,,,,,,
49,RBB,,1.7,70360,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,280,8.97,7,-1.56,6.14,5,E. Sasha,7,Eduardo Colcenti Antunes,True,eduardo-sasha,7,Eduardo Sasha,1.0,2.0,2.0,8.0,5.0,8.0,2.0,,1.0,,,,,,1.0,,,,,
50,VIT,,0.0,70449,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,287,3.66,6,0.0,1.1,1,Gabriel,7,Gabriel Vasconcelos Ferreira,False,gabriel,1,Gabriel,,,,,,1.0,,,,2.0,2.0,,,,,,,,,
