,atletas.foto,atletas.variacao_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.clube_id,atletas.posicao_id,atletas.clube.id.full.name,atletas.rodada_id,atletas.pontos_num,atletas.preco_num,atletas.nome,atletas.status_id,atletas.slug,atletas.media_num,atletas.jogos_num,atletas.apelido_abreviado,atletas.apelido,atletas.minimo_para_valorizar,CA,DS,FC,FF,FS,I,FD,G,SG,DE,GS,A,DP,V,PS,FT,PC,PP,CV,GC
52,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0.07,True,70788,285,5,INT,4,3.9,7.77,Enner Remberto Valencia Lastra,7,enner-valencia,3.77,4,E. Valencia,Enner Valencia,,,,7.0,3.0,3.0,1.0,2.0,1.0,,,,,,,,1.0,,,,
53,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,1.88,True,70916,356,2,FOR,4,10.3,9.84,Diogo Barbosa Mendanha,7,diogo-barbosa,9.5,2,D. Barbosa,Diogo Barbosa,,,2.0,1.0,1.0,5.0,,,1.0,1.0,,,,,,,,,,,
54,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,-0.16,True,70944,285,4,INT,4,2.0,7.8,Bruno Henrique Corsini,7,bruno-henrique,4.23,3,B. Henrique,Bruno Henrique,,,4.0,6.0,,1.0,,,1.0,,,,,,,,,,,,
55,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,-0.88,True,70958,286,4,JUV,4,-0.3,4.88,Jean Carlos Vicente,6,jean-carlos,0.6,2,J. Carlos,Jean Carlos,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,
56,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,False,70984,267,4,VAS,4,0.0,8.7,Florent Dimitri Payet,6,payet,5.23,3,Payet,Payet,,,2.0,2.0,1.0,5.0,,,,,,,2.0,,,,,,,,
57,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0.0,False,71536,276,4,SAO,4,0.0,10.73,Luiz Gustavo Dias,6,luiz-gustavo,9.6,1,L. Gustavo,Luiz Gustavo,,,4.0,4.0,1.0,2.0,,,,,,,,,,,1.0,,,,
58,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,False,71571,354,1,CEA,4,0.0,3.0,Fernando Miguel Kaufmann,7,fernando-miguel,0.0,0,F. Miguel,Fernando Miguel,,,,,,,,,,,,,,,,,,,,,
59,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0.38,True,71631,275,1,PAL,4,7.6,9.11,Weverton Pereira da Silva,7,weverton,7.32,4,Weverton,Weverton,,1.0,,,,4.0,,,,3.0,11.0,1.0,,,,,,,,,
60,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.0,False,71680,287,2,VIT,4,0.0,1.89,Raúl Alejandro Cáceres Bogado,2,raul-caceres,-1.9,1,R. Cáceres,Raúl Cáceres,,1.0,,3.0,,,,,,,,,,,,,,,,,
61,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,-0.55,True,71684,275,3,PAL,4,3.7,10.73,Gustavo Raúl Gómez Portillo,7,gustavo-gomez,4.2,2,G. Gómez,Gustavo Gómez,,2.0,,2.0,,,2.0,1.0,,2.0,,,,,,,,,,,
