atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PS,SG,V
Daniel Borges,D. Borges,73318,MIR,2305,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0,0.0,Daniel Fortunato Borges,0.0,2,4.0,2,daniel-borges,5,0.0,,,,,,,,,,,,,,,,,,
Samuel Xavier,S. Xavier,73384,FLU,266,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,2,3.6,Samuel Xavier Brito,3.5,2,8.45,2,samuel-xavier,7,-0.21,,,,,4.0,1.0,,,3.0,,,,,,,,,
Gilmar Dal Pozzo,G. Pozzo,73481,CHA,315,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,2,5.81,Gilmar Dal Pozzo,3.66,6,5.44,2,gilmar-dal-pozzo,7,0.2,,,,,,,,,,,,,,,,,,1.0
Juan Carlos Osorio,J. Osorio,73717,REM,364,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,2,3.91,Juan Carlos Osorio Arbeláez,5.85,6,6.45,2,juan-carlos-osorio,7,0.85,,,,,,,,,,,,,,,,,,
Rincón,Rincón,74187,SAN,277,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,0,0.0,Tomás Eduardo Rincón Hernández,0.0,4,4.0,2,rincon,6,0.0,,,,,,,,,,,,,,,,,,
Carrillo,Carrillo,77485,COR,264,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,1,3.2,André Martín Carrillo Díaz,0.0,4,6.85,2,carrillo,7,0.0,,,,,2.0,1.0,,,1.0,,,,,,,,,
Cédric Soares,C. Soares,77656,SAO,276,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,1,2.3,Cédric Ricardo Alves Soares,0.0,2,5.72,2,cedric-soares,6,0.0,,,,,1.0,,,1.0,,,,,,,,,,
João Schmidt,J. Schmidt,77777,SAN,277,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,2,3.25,João Felipe Schmidt Urbano,3.3,4,6.11,2,joao-schmidt,7,0.08,,1.0,,,4.0,2.0,,2.0,1.0,,,,,,,,,
Everaldo,Everaldo,78117,BAH,265,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,1,0.9,Everaldo Stum,0.0,5,4.41,2,everaldo,6,0.0,,,,,,,,,2.0,,,,,1.0,,,,
Gustavo Henrique,G. Henrique,78248,COR,264,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,1,9.2,Gustavo Henrique Vernes,0.0,3,11.41,2,gustavo-henrique,7,0.0,,,,,5.0,1.0,1.0,1.0,,,,,,,,,,
Vitinho,Vitinho,78435,COR,264,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,1,1.7,Victor Vinícius Coelho dos Santos,0.0,5,5.51,2,vitinho,6,0.0,,,,,1.0,1.0,,,1.0,,,,,,,,,
Renê,Renê,78445,FLU,266,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,2,7.8,Renê Rodrigues Martins,8.2,2,8.66,2,rene,7,1.16,1.0,,,,6.0,2.0,1.0,,2.0,,,,,,,,,
Willian Arão,W. Arão,78478,SAN,277,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,0,0.0,Willian Souza Arão da Silva,0.0,4,7.0,2,willian-arao,5,0.0,,,,,,,,,,,,,,,,,,
Gabriel,Gabriel,78605,RBB,280,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,2,2.3,Gabriel Girotto Franco,3.9,4,5.55,2,gabriel,6,0.4,,2.0,,,3.0,2.0,1.0,,3.0,,,,,,,,,
Reinaldo,Reinaldo,78850,MIR,2305,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,2,1.4,Reinaldo Manoel da Silva,2.0,2,12.93,2,reinaldo,6,-1.26,,,,,1.0,,,1.0,1.0,,,,,,,,,
Thiago Santos,T. Santos,78855,CFC,294,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,2,0.0,Thiago dos Santos,0.0,3,2.14,2,thiago-santos,6,-0.31,,,,,,,,,,,,,,,,,,
Dória,Dória,78946,SAO,276,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,0,0.0,Matheus Dória Macedo,0.0,3,7.0,2,doria,6,0.0,,,,,,,,,,,,,,,,,,
Alex Muralha,A. Muralha,79066,MIR,2305,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0,0.0,Alex Roberto Santana Rafael,0.0,1,3.0,2,alex-muralha,6,0.0,,,,,,,,,,,,,,,,,,
Cano,Cano,79631,FLU,266,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,0,0.0,Germán Ezequiel Cano,0.0,5,6.0,2,cano,5,0.0,,,,,,,,,,,,,,,,,,
Lucas Silva,L. Silva,79701,CRU,283,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,2,0.1,Lucas Silva Borges,0.0,4,6.49,2,lucas-silva,6,-0.94,,1.0,,,1.0,1.0,,,,,,,,,,,,
