"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FS","PE","RB","SG","DD","GS","A","FD","FF","G","I","FT","CV","GC","PP","DP"
"172","Alan Luciano Ruschel","Alan Ruschel","https://s.glbimg.com/es/sde/f/2016/06/03/2adf167c1e301646db605dbfd8213eaa_FORMATO.png",63110,5,315,"lat","Contundido",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Paulo Henrique Chagas de Lima","Ganso","https://s.glbimg.com/es/sde/f/2016/05/01/09e893a83d0e8dc68f184b293ac1ff81_FORMATO.png",62977,5,276,"mei","Nulo",2.5,14.07,-1.43,5.5,3,1,5,8,12,5,NA,NA,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA
"174","José Gildeixon Clemente Paiva","Gil","https://s.glbimg.com/es/sde/f/2016/04/27/c0e93b46cd3e426664fd5c4b5a121142_FORMATO.png",63014,5,315,"mei","Contundido",0,6.81,0,2.85,4,1,6,6,19,10,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"175","Marcos Luis Rocha Aquino","Marcos Rocha","https://s.glbimg.com/es/sde/f/2016/04/26/7cdfd61784080c7797bf6ba0df8f234b_FORMATO.png",63013,5,282,"lat","Provável",3.2,17.89,-0.82,3.55,4,NA,3,7,30,9,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA
"176","Rodolfo Alves de Melo","Rodolfo","https://s.glbimg.com/es/sde/f/2015/10/23/97e9ee07d167a8cad6424c7010f01e76_FORMATO.png",63082,5,293,"gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Willian Roberto Farias","Willian Farias","https://s.glbimg.com/es/sde/f/2016/05/01/fe8756f5b1dadb24e5633729b39e9486_FORMATO.png",63058,5,287,"mei","Provável",-0.7,5.3,-0.87,3.03,3,1,5,6,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Elias Constantino Pereira Filho","Elias","https://s.glbimg.com/es/sde/f/2016/04/29/970ca65037f3c8197fcd3493d5b95cb9_FORMATO.png",63133,5,316,"ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Moisés Lima Magalhães","Moisés","https://s.glbimg.com/es/sde/f/2016/05/01/3fe5f1275a99225b025f211e3c3b35e9_FORMATO.png",63158,5,275,"mei","Provável",3.4,6.95,0.35,3.96,5,1,4,5,10,6,NA,NA,NA,NA,4,3,1,NA,NA,NA,NA,NA,NA
"180","Paulo Marcos de Jesus Ribeiro","Paulão","https://s.glbimg.com/es/sde/f/2016/04/30/f19726285035dfcb3d3052e030335ebd_FORMATO.png",63172,5,285,"zag","Provável",3.8,7.6,0.31,2.76,5,2,3,3,16,3,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"181","André Felipe Ribeiro de Souza","André","https://s.glbimg.com/es/sde/f/2016/04/28/811ea1b5cff7a2f7e4bddd3967fa35ac_FORMATO.png",68690,5,264,"ata","Nulo",-0.8,6.61,-1.13,-0.8,4,1,9,4,3,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"182","Carlos Emiliano Pereira","Carlinhos","https://s.glbimg.com/es/sde/f/2016/04/28/604ed4729919dd13bb0cefb06b386893_FORMATO.png",63194,5,294,"lat","Nulo",0,12.72,0,2.82,4,NA,10,6,12,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Bruno César Pereira da Silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2016/05/20/473777983ee50165bf691b0f029cac11_FORMATO.png",68698,5,263,"mei","Provável",2.3,6.75,-0.38,3.78,5,2,7,7,14,15,NA,NA,NA,NA,1,3,NA,3,NA,NA,NA,NA,NA
"184","Emiliano Gabriel Vecchio","Vecchio",NA,68745,5,277,"mei","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Alan Patrick Lourenço","Alan Patrick","https://s.glbimg.com/es/sde/f/2016/04/20/01b3feceb08b420b3a5259bf8c157951_FORMATO.png",68685,5,262,"mei","Provável",0.2,9.06,-0.7,3.34,5,NA,3,12,17,3,NA,NA,NA,NA,4,1,1,1,NA,NA,NA,NA,NA
"186","Luan Madson Gedeão De Paiva","Luan","https://s.glbimg.com/es/sde/f/2016/04/26/1d1efe08d34f3bdd71149b3c364d402c_FORMATO.png",63219,5,282,"ata","Contundido",0,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Francisco Sousa dos Santos","Chiquinho","https://s.glbimg.com/es/sde/f/2016/04/20/789fa4f8d7f77207cd6c671fc8ad76fa_FORMATO.png",68711,5,262,"lat","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Diego Renan de Lima Ferreira","Diego Renan","https://s.glbimg.com/es/sde/f/2016/05/01/09f644d5efca4986858238e63fa860a5_FORMATO.png",68725,5,287,"lat","Suspenso",1.5,9.47,-0.93,3.86,5,3,7,9,32,13,NA,NA,NA,NA,2,4,NA,NA,2,NA,NA,NA,NA
"189","Márcio Passos de Albuquerque","Emerson","https://s.glbimg.com/es/sde/f/2016/04/20/c05d1b645dac18bd8b7d01e3da805f0d_FORMATO.png",68744,5,262,"ata","Nulo",0,0.77,0,-1.25,2,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Luiz Fernando Pereira da Silva","Fernandinho","https://s.glbimg.com/es/sde/f/2016/04/28/4ed68fb05e5166c5c9c1901f44d0917e_FORMATO.jpeg",68758,5,262,"ata","Nulo",0,5.5,0,-2.1,1,NA,4,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"191","Silvio José Cardoso Reis Junior","Silvinho","https://s.glbimg.com/es/sde/f/2016/04/27/85a79ab83029c7eddf2aded23edd3acd_FORMATO.png",71799,5,315,"ata","Provável",3.1,8.59,0.03,3.88,5,1,8,12,10,5,NA,NA,NA,NA,1,7,1,NA,NA,NA,NA,NA,NA
"192","Guilherme de Aguiar Camacho","Camacho","https://s.glbimg.com/es/sde/f/2011/09/21/fecac7f178cfadbedc5b4f48b05018b5_FORMATO.jpeg",68770,5,264,"mei","Dúvida",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Pablo Felipe Teixeira","Pablo","https://s.glbimg.com/es/sde/f/2016/05/13/dcbc1e5b5b31f9b10ace5cfafebf0281_FORMATO.png",69138,5,293,"ata","Nulo",2.8,2.7,0.75,0.74,5,1,6,5,18,6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"194","Victor Ferraz Macedo","Victor Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/58576d141c8216fac9dedb1df391d5e8_FORMATO.png",70046,5,277,"lat","Provável",4.1,14.91,0.29,4.76,5,1,4,6,12,12,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"195","Lucas Ramón Barrios Arioli","Lucas Barrios","https://s.glbimg.com/es/sde/f/2016/05/01/b6083d1f02d4eda13d90b3295c7d762e_FORMATO.png",69282,5,275,"ata","Nulo",0,9.56,0,-2,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"196","Maycon Vinícius Ferreira da Cruz","Nikão","https://s.glbimg.com/es/sde/f/2016/04/26/d9892427a9847031d633b2c4571cdabf_FORMATO.png",69705,5,293,"mei","Provável",0,6.66,0,0.98,4,1,8,7,18,4,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA
"197","Guilherme Cruz de Mattis","Guilherme Mattis","https://s.glbimg.com/es/sde/f/2016/05/01/1105ff5e53bb88916425c5e78fa5d912_FORMATO.png",70111,5,287,"zag","Contundido",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Alan Santos da Silva","Alan Santos","https://s.glbimg.com/es/sde/f/2016/04/28/2e4514e1250273c20db6d592604c3980_FORMATO.png",70132,5,294,"mei","Contundido",0,4.68,0,1.77,4,1,10,NA,8,3,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA
"199","Tiago Real do Prado","Tiago Real","https://s.glbimg.com/es/sde/f/2016/05/01/652325806fdb7634f63478c0f8dd9476_FORMATO.png",70058,5,287,"mei","Contundido",0,1.38,0,-0.77,3,NA,3,3,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"200","Leonardo Moreira Morais","Léo","https://s.glbimg.com/es/sde/f/2016/05/13/eac8265d35cda412d31cdfb857c0d6a8_FORMATO.png",69177,5,293,"lat","Provável",0,0.74,0,-5.8,1,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"201","Dener Assunção Braz","Dener Assunção","https://s.glbimg.com/es/sde/f/2016/05/09/c1dc24221559e1c2e717f8b7b091a8fe_FORMATO.png",69782,5,315,"lat","Provável",0.3,8.23,-0.43,2.82,5,NA,8,8,15,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Wesley de Jesus Correia","Lelê","https://s.glbimg.com/es/sde/f/2016/05/01/1f3fda71fc3fa6c69eec840266ba770e_FORMATO.png",70057,5,344,"mei","Provável",-0.7,4.44,-1.56,-0.7,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"203","Jesús Alberto Dátolo","Dátolo","https://s.glbimg.com/es/sde/f/2016/05/09/239256565e0ff6b9efba203f7ba1648e_FORMATO.png",69240,5,282,"mei","Contundido",0,3.94,0,0.2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"204","Mark Dennis González Hoffman","Mark González","https://s.glbimg.com/es/sde/f/2016/05/01/d82ce312711b6593512e43da7278f716_FORMATO.png",69343,5,292,"mei","Nulo",0,7.57,0,0.8,2,NA,2,NA,5,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"205","Sidney Aparecido Ramos da Silva","Sidão","https://s.glbimg.com/es/sde/f/2016/06/01/231313be992771fb981111f16c72ac72_FORMATO.jpeg",70222,5,263,"gol","Dúvida",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Wenderson da Silva Soares","Maranhão","https://s.glbimg.com/es/sde/f/2016/05/09/e2416e524004a91cc70f0008d71df6c3_FORMATO.png",70165,5,327,"ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Eduardo Colcenti Antunes","Eduardo Sasha","https://s.glbimg.com/es/sde/f/2016/04/30/50fc5a7dc8dc2fa1c53d34cc6e432d9a_FORMATO.png",70360,5,285,"ata","Provável",3,10.69,-0.03,5.1,5,2,1,6,13,7,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA
"208","Luis Manuel Seijas Gunther","Seijas","https://s.glbimg.com/es/sde/f/2015/06/18/43618c7c130974448ecbad30dfbb0bde_FORMATO.jpeg",70742,5,285,"mei","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Ederson Honorato Campos","Ederson","https://s.glbimg.com/es/sde/f/2016/04/20/1d9d7ea2e5f74e2e387f2dca630e0ade_FORMATO.png",70173,5,262,"mei","Nulo",0,5.78,0,0.9,4,1,2,3,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"210","Luis Gustavo de Almeida Pinto","Gustavo","https://s.glbimg.com/es/sde/f/2016/05/01/8670518bbe0da97cf0ecd2545901cbe3_FORMATO.png",70216,5,287,"gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Paulo Jorge Gomes Bento","Paulo Bento","https://s.glbimg.com/es/sde/f/2016/05/25/4dc07b20682720e6ad26d1d7c7360e4b_FORMATO.png",70622,5,283,"tec","Provável",7.19,5.56,1.26,4.06,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Rhayner Santos Nascimento","Rhayner","https://s.glbimg.com/es/sde/f/2016/05/01/2001d7464e28233b6e75ad7438938946_FORMATO.png",70874,5,303,"ata","Nulo",0,3.46,0,-0.3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Francisco Jackson Menezes da Costa","Jackson Caucaia","https://s.glbimg.com/es/sde/f/2016/04/29/7508fb275c4f7e3c1c188cb14e6042ce_FORMATO.png",70162,5,316,"mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Diogo Barbosa Mendanha","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2016/05/20/796d3a86989d174e93697441c578060a_FORMATO.png",70916,5,263,"lat","Contundido",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Alejandro Martinuccio","Martinuccio","https://s.glbimg.com/es/sde/f/2016/05/13/20b1ddd7637df6e54328b6dc072a042d_FORMATO.png",70759,5,315,"mei","Contundido",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","William Henrique Rodrigues da Silva","William Henrique","https://s.glbimg.com/es/sde/f/2016/05/01/c8fbbd637a608b464bd3ace89f77b490_FORMATO.png",70928,5,287,"ata","Nulo",0,2.65,0,0.6,1,NA,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Leonardo Cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2016/05/01/7e06957c4b368ad203c4ec6b29e6f8e7_FORMATO.png",70986,5,277,"mei","Dúvida",0.2,2.37,-0.63,0.2,1,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Guilherme Ferreira Pinto","Negueba","https://s.glbimg.com/es/sde/f/2016/04/28/2813e92219de0c5607cabec5a4c2dd48_FORMATO.png",70929,5,294,"ata","Provável",0.8,8.96,-0.42,0.4,3,2,1,6,8,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA
"219","Roberto Heuchayer Santos de Araújo","Roberto","https://s.glbimg.com/es/sde/f/2016/05/23/bf2a41ba291c00b6fcda3fa89c47341d_FORMATO.jpeg",71116,5,344,"lat","Suspenso",-5.4,0.77,-1.23,-5.4,1,NA,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"220","Patricio Julián Rodríguez","Pato Rodríguez","https://s.glbimg.com/es/sde/f/2016/05/01/4bef8c6622ce0405731a050f76907aa1_FORMATO.png",71055,5,277,"mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Leonardo da Silva Vieira","Leo","https://s.glbimg.com/es/sde/f/2016/05/01/7bcc0c5b9e4c9b0a22e83d8c52382047_FORMATO.png",71043,5,276,"gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Pablo Diogo Lopes de Lima","Pablo Diogo","https://s.glbimg.com/es/sde/f/2016/04/26/055e81a861b3de701c27d01c4bc53872_FORMATO.png",70987,5,282,"ata","Nulo",1,4.32,-0.87,2.55,4,1,1,2,4,5,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA
"223","Thiago Henrique Mendes Ribeiro","Thiago Mendes","https://s.glbimg.com/es/sde/f/2016/05/01/7bffad216f281ba79db7820b8448dae1_FORMATO.png",71123,5,276,"mei","Provável",-0.4,5.82,-0.86,0.57,4,2,4,10,7,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"224","Lucas de Lacerda Lima Gonçalves","Lucas Zen","https://s.glbimg.com/es/sde/f/2016/05/20/14f0a0139f67b5fa5d93fdf50daac1cc_FORMATO.png",71032,5,263,"mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Felipe da Silva Amorim","Felipe Amorim","https://s.glbimg.com/es/sde/f/2016/04/29/f0ab943036ed3145513c8e3c313a0598_FORMATO.png",71040,5,266,"mei","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Federico Mancuello","Mancuello","https://s.glbimg.com/es/sde/f/2016/04/20/56c602db5b9e9e214d08e8ada1cbeac6_FORMATO.png",71066,5,262,"mei","Dúvida",-1.6,8.61,-2.86,0,2,NA,5,1,7,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"227","Vander Luiz Silva Souza","Vander","https://s.glbimg.com/es/sde/f/2016/05/01/7867f0cf1aa4fe2d5dbaf18879a71d74_FORMATO.png",71117,5,287,"ata","Dúvida",2.1,1.24,0.41,-0.25,4,NA,2,12,8,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA
"228","Vinícius Goes Barbosa de Souza","Vinícius","https://s.glbimg.com/es/sde/f/2016/05/12/05661d7467e22d993beb49ff4f16d292_FORMATO.png",71162,5,293,"mei","Provável",1.2,7.45,-0.46,3.9,4,NA,1,3,13,3,NA,NA,NA,NA,4,2,1,NA,NA,NA,NA,NA,NA
"229","Maicon Pereira Roque","Maicon","https://s.glbimg.com/es/sde/f/2016/05/01/f3000bd2b412a315dad8796d7080a492_FORMATO.png",71227,5,276,"zag","Provável",0,7.57,0,3.17,3,1,1,2,10,5,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"230","Fernando Miguel Kaufmann","Fernando Miguel","https://s.glbimg.com/es/sde/f/2016/05/01/244c756424bb69d9104ec60154e70104_FORMATO.png",71571,5,287,"gol","Provável",-1.5,3.47,-2.09,3.04,5,NA,NA,1,1,NA,NA,11,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Gabriel Rybar Blos","Gabriel","https://s.glbimg.com/es/sde/f/2015/10/28/edbd026bc7f3e8c24d3a4375ed7a3753_FORMATO.jpeg",71572,5,284,"zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Jaimerson da Silva Papa","Jaime","https://s.glbimg.com/es/sde/f/2016/04/29/d6a8b36b62361daa804fd625cb8cebba_FORMATO.png",71634,5,316,"zag","Nulo",0,7.99,0,1.48,4,2,6,3,7,4,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"233","Jorge Miguel Ortega Salinas","Jorge Ortega","https://s.glbimg.com/es/sde/f/2016/05/09/b99ed9a056400cd9676a649b26a4fe5a_FORMATO.jpeg",71694,5,294,"ata","Nulo",9.8,5.56,1.88,4.9,2,NA,4,3,2,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA
"234","Kelvin Mateus de Oliveira","Kelvin","https://s.glbimg.com/es/sde/f/2016/05/01/add22040f29ff17ef48edd7a588ec18c_FORMATO.png",71549,5,276,"ata","Provável",1.9,6.92,-0.59,3.48,5,NA,3,10,10,5,NA,NA,NA,NA,4,2,NA,1,1,NA,NA,NA,NA
"235","Michael Javier Ortega Dieppa","Michael Ortega","https://s.glbimg.com/es/sde/f/2016/04/29/40e196e024c00c42e663bdeadb83f3cb_FORMATO.png",71707,5,316,"mei","Nulo",0,2.79,0,0.35,4,NA,4,1,4,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"236","Weverton Pereira da Silva","Weverton","https://s.glbimg.com/es/sde/f/2016/04/26/386ce16d188cfb28ca24b64d8b15c15c_FORMATO.png",71631,5,293,"gol","Provável",-2,2.51,-0.8,-0.78,5,NA,NA,NA,3,NA,NA,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Agenor Detofol","Agenor","https://s.glbimg.com/es/sde/f/2016/05/31/26e3ebb1f8e4be0cf4ade795e2662bf2_FORMATO.png",71724,5,292,"gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Luiz Eduardo Rodrigues","Luiz Eduardo","https://s.glbimg.com/es/sde/f/2016/05/01/a01c478ec41b0544e92efc2347a70703_FORMATO.png",71603,5,276,"zag","Contundido",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Henrique Mendonça Mattos","Henrique Mattos","https://s.glbimg.com/es/sde/f/2016/05/01/04bdd81558e68c5ba51d9e30adf14432_FORMATO.png",71593,5,292,"zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Gustavo Leonardo Cuellar Gallego","Cuéllar","https://s.glbimg.com/es/sde/f/2016/04/20/70be612c84779f7f9acb60fe5519ec8c_FORMATO.png",71709,5,262,"mei","Nulo",-0.5,14.41,-0.76,3.95,4,NA,4,4,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Elton Junior Melo Ataíde","Elton","https://s.glbimg.com/es/sde/f/2016/05/01/c368a9b94aee7c5cb8cfbf17493fb20a_FORMATO.png",71719,5,303,"mei","Contundido",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Renato Escobar Baruffi","Bady","https://s.glbimg.com/es/sde/f/2016/04/29/86021128208f5dddbdf8cfee7d06b136_FORMATO.png",71778,5,316,"mei","Provável",1.6,8.21,0.16,1.8,5,NA,3,1,20,4,NA,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA
"243","Rildo de Andrade Felicissimo","Rildo","https://s.glbimg.com/es/sde/f/2016/04/28/955d786aa05db6ee13365e3b0b54e2ed_FORMATO.png",73635,5,264,"ata","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Bruno Medeiros Grassi","Bruno Grassi","https://s.glbimg.com/es/sde/f/2016/04/30/e11b5f17e91f0b101c1a042a938318d6_FORMATO.png",71818,5,284,"gol","Provável",-1,2.81,-1.19,-1,1,1,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Guilherme de Queiroz Gonçalves","Guilherme Queiroz","https://s.glbimg.com/es/sde/f/2016/04/29/ef32a6ac85a5c69013abfcf413d1edd1_FORMATO.png",71769,5,316,"ata","Nulo",-0.8,1.95,-0.25,0.46,5,NA,2,3,12,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"246","Tiago da Costa Silva","Tiago Costa","https://s.glbimg.com/es/sde/f/2016/05/01/528278a57134fbffc414225c38342b02_FORMATO.png",71885,5,344,"lat","Provável",0,4.09,0,0.05,4,3,10,7,13,7,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA
"247","Uillian Correia Granemann","Uillian Correia","https://s.glbimg.com/es/sde/f/2016/05/01/10d10d398f850bd63c86f958c7f28a2e_FORMATO.jpeg",72007,5,344,"mei","Provável",-1.4,10,-1.03,2.38,5,2,14,6,7,10,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Thiago Galhardo do Nascimento Rocha","Thiago Galhardo","https://s.glbimg.com/es/sde/f/2016/01/29/6983a9f841d61698c2ee375ce57590e3_FORMATO.jpeg",71844,5,303,"mei","Nulo",0,4.43,0,0.9,3,1,4,1,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA
"249","Bruno Eduardo de Moraes","Bruno Moraes","https://s.glbimg.com/es/sde/f/2016/05/01/f4731774096a0926ebfb7194d29f9ae8_FORMATO.png",71915,5,344,"ata","Nulo",-0.3,2.65,-0.62,0.07,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Wellington do Nascimento Silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2016/04/29/e5440de7bae253c68911195524c51b6a_FORMATO.png",71892,5,266,"lat","Contundido",0,9.95,0,2.37,3,1,5,4,8,4,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"251","Ocimar de Almeida Júnior ","Júnior Urso ","https://s.glbimg.com/es/sde/f/2016/04/26/b4f69a6fdc9b16887143827898490777_FORMATO.png",71829,5,282,"mei","Provável",2.8,10.89,0.05,2.07,3,NA,1,4,7,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA
"252","Renan de Oliveira Fonseca","Renan Fonseca","https://s.glbimg.com/es/sde/f/2016/05/20/8a933b2d225a7b56e6267a2148ab68d0_FORMATO.png",72037,5,263,"zag","Nulo",0,2.65,0,-0.4,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"253","Giovanni Palmieri dos Santos","Giovanni","https://s.glbimg.com/es/sde/f/2016/04/29/d954165fc5e9964dc562fb2abafc176f_FORMATO.png",72097,5,266,"lat","Provável",1.4,7.48,-1.04,5.17,3,1,2,2,9,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Maurício Azevedo Alves","Amaral","https://s.glbimg.com/es/sde/f/2016/05/01/240c600fd391768b337710d0c00f742c_FORMATO.png",72071,5,287,"mei","Provável",-0.4,5.03,-0.14,0.02,5,2,12,5,10,4,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA
"255","João Paulo Mior","João Paulo","https://s.glbimg.com/es/sde/f/2016/05/01/8113dcced21a9f08cfe758943519c15a_FORMATO.png",72168,5,344,"mei","Provável",0.8,6.26,-0.7,3.5,3,1,6,9,12,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"256","Frederico Burgel Xavier ","Fred","https://s.glbimg.com/es/sde/f/2016/04/30/ded85791904973e78a63259219ccdc59_FORMATO.png",72490,5,284,"zag","Contundido",0,14.61,0,6.8,3,1,2,2,6,1,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"257","Wiliam Silva Gomes Barbio","Wiliam Barbio","https://s.glbimg.com/es/sde/f/2016/05/25/29db1b11c307a9bf59464d82f6001760_FORMATO.jpeg",72099,5,327,"ata","Nulo",0,2.71,0,0,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
