"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","DD","DP","FC","FS","GS","PE","SG","A","FD","FF","G","RB","I","FT","CV","PP","GC"
"195","Leonardo Moreira Morais","Léo","https://s.glbimg.com/es/sde/f/2016/05/13/eac8265d35cda412d31cdfb857c0d6a8_FORMATO.png",69177,19,"ATL","lat","Provável",1.6,4.35,-0.06,3.53,14,5,NA,NA,26,25,NA,46,8,1,NA,2,NA,19,NA,NA,1,NA,NA
"196","Pablo Felipe Teixeira","Pablo","https://s.glbimg.com/es/sde/f/2016/05/13/dcbc1e5b5b31f9b10ace5cfafebf0281_FORMATO.png",69138,19,"ATL","ata","Dúvida",-2,2.87,-0.4,1.69,17,4,NA,NA,23,12,NA,51,NA,NA,6,12,2,15,4,1,NA,NA,NA
"197","Maycon Vinícius Ferreira da Cruz","Nikão","https://s.glbimg.com/es/sde/f/2016/04/26/d9892427a9847031d633b2c4571cdabf_FORMATO.png",69705,19,"ATL","mei","Contundido",0,7.05,0,2.81,12,1,NA,NA,15,13,NA,51,NA,2,7,5,1,13,4,1,NA,NA,NA
"198","Tiago Real do Prado","Tiago Real","https://s.glbimg.com/es/sde/f/2016/05/01/652325806fdb7634f63478c0f8dd9476_FORMATO.png",70058,19,"VIT","mei","Nulo",0,0.98,0,0.02,13,2,NA,NA,20,16,NA,28,NA,NA,1,3,NA,7,1,NA,NA,NA,NA
"199","Victor Ferraz Macedo","Victor Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/58576d141c8216fac9dedb1df391d5e8_FORMATO.png",70046,19,"SAN","lat","Provável",-1.2,15.17,-1.47,4.34,19,1,NA,NA,13,14,NA,75,7,2,4,2,1,29,2,NA,NA,NA,NA
"200","Renê dos Santos Júnior","Renê Júnior","https://s.glbimg.com/es/sde/f/2016/07/08/f9dccfcf64eba1da00b352341a1ac60f_FORMATO.png",73281,19,"PON","mei","Contundido",0,3.85,0,0.91,11,2,NA,NA,19,13,NA,25,NA,NA,3,4,NA,11,NA,NA,NA,NA,NA
"201","Mark Dennis González Hoffman","Mark González","https://s.glbimg.com/es/sde/f/2016/05/01/d82ce312711b6593512e43da7278f716_FORMATO.png",69343,19,"SPO","mei","Nulo",0.9,6.57,-0.88,2,7,NA,NA,NA,4,5,NA,10,NA,NA,2,2,1,3,NA,NA,NA,NA,NA
"202","Guilherme Cruz de Mattis","Guilherme Mattis","https://s.glbimg.com/es/sde/f/2016/05/01/1105ff5e53bb88916425c5e78fa5d912_FORMATO.png",70111,19,"VIT","zag","Contundido",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Francisco Jackson Menezes da Costa","Jackson Caucaia","https://s.glbimg.com/es/sde/f/2016/04/29/7508fb275c4f7e3c1c188cb14e6042ce_FORMATO.png",70162,19,"FIG","mei","Suspenso",-1.7,1.19,0.28,-0.01,7,3,NA,NA,19,6,NA,12,NA,NA,NA,1,NA,9,NA,NA,NA,NA,NA
"204","Luis Gustavo de Almeida Pinto","Gustavo","https://s.glbimg.com/es/sde/f/2016/05/01/8670518bbe0da97cf0ecd2545901cbe3_FORMATO.png",70216,19,"VIT","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Wesley de Jesus Correia","Lelê","https://s.glbimg.com/es/sde/f/2016/05/01/1f3fda71fc3fa6c69eec840266ba770e_FORMATO.png",70057,19,"STC","mei","Contundido",0,3.95,0,0.05,9,3,NA,NA,16,8,NA,26,NA,NA,2,2,1,4,NA,NA,NA,NA,NA
"206","Alan Santos da Silva","Alan Santos","https://s.glbimg.com/es/sde/f/2016/04/28/2e4514e1250273c20db6d592604c3980_FORMATO.png",70132,19,"COR","mei","Contundido",0,4.3,0,1.08,9,1,NA,NA,21,1,NA,19,NA,NA,2,3,1,9,NA,NA,NA,NA,NA
"207","Ederson Honorato Campos","Ederson","https://s.glbimg.com/es/sde/f/2016/04/20/1d9d7ea2e5f74e2e387f2dca630e0ade_FORMATO.png",70173,19,"FLA","mei","Contundido",0,6.55,0,2.81,8,2,NA,NA,9,12,NA,7,NA,NA,4,2,1,6,NA,1,NA,NA,NA
"208","Luis Manuel Seijas Gunther","Seijas","https://s.glbimg.com/es/sde/f/2016/06/20/3e2a067a2428412e93ec2e40d38c5441_FORMATO.png",70742,19,"INT","mei","Nulo",11.4,8.75,1.13,4.46,5,NA,NA,NA,4,11,NA,22,NA,NA,1,3,2,4,1,NA,NA,NA,NA
"209","Rhayner Santos Nascimento","Rhayner","https://s.glbimg.com/es/sde/f/2016/05/01/2001d7464e28233b6e75ad7438938946_FORMATO.png",70874,19,"PON","ata","Provável",7.7,5.12,1.21,4.02,8,NA,NA,NA,10,15,NA,20,NA,2,1,5,1,8,1,NA,NA,NA,NA
"210","Alejandro Martinuccio","Martinuccio","https://s.glbimg.com/es/sde/f/2016/05/13/20b1ddd7637df6e54328b6dc072a042d_FORMATO.png",70759,19,"CHA","mei","Nulo",-0.5,2.55,-0.84,1.26,5,NA,NA,NA,1,3,NA,7,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA
"211","Eduardo Colcenti Antunes","Eduardo Sasha","https://s.glbimg.com/es/sde/f/2016/04/30/50fc5a7dc8dc2fa1c53d34cc6e432d9a_FORMATO.png",70360,19,"INT","ata","Nulo",2.1,11.67,0.13,3.96,17,4,NA,NA,10,22,NA,43,NA,NA,9,9,4,18,5,2,NA,NA,NA
"212","Sidney Aparecido Ramos da Silva","Sidão","https://s.glbimg.com/es/sde/f/2016/06/28/84bef351e001d5327882f9d3459753b6_FORMATO.jpeg",70222,19,"BOT","gol","Provável",0,4.46,0,2.05,12,1,19,NA,NA,4,21,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Dener Assunção Braz","Dener Assunção","https://s.glbimg.com/es/sde/f/2016/05/09/c1dc24221559e1c2e717f8b7b091a8fe_FORMATO.png",69782,19,"CHA","lat","Provável",1.3,8.87,0.24,3.22,13,NA,NA,NA,12,16,NA,38,2,NA,2,1,1,18,NA,NA,NA,NA,NA
"214","Diogo Barbosa Mendanha","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2016/05/20/796d3a86989d174e93697441c578060a_FORMATO.png",70916,19,"BOT","lat","Provável",0,4.82,0,3.07,12,2,NA,NA,15,23,NA,45,2,NA,NA,1,1,19,1,NA,NA,NA,NA
"215","Leonardo Cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2016/05/01/7e06957c4b368ad203c4ec6b29e6f8e7_FORMATO.png",70986,19,"SAN","mei","Provável",3.8,5.94,0.46,4.48,9,NA,NA,NA,8,21,NA,20,NA,2,1,NA,NA,17,NA,NA,NA,NA,NA
"216","Guilherme Ferreira Pinto","Negueba","https://s.glbimg.com/es/sde/f/2016/07/13/42a0bf406c4f0b23b08edea3cded6132_FORMATO.png",70929,19,"GRE","ata","Provável",0,9.08,0,2.61,9,3,NA,NA,7,26,NA,28,NA,1,5,5,1,4,NA,NA,NA,NA,NA
