"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","FC","FS","PE","SG","CA","RB","A","FD","FF","FT","G","I","CV","GC","DD","GS","PP","DP"
"171","Wiliam Silva Gomes Barbio","Wiliam Barbio","https://s.glbimg.com/es/sde/f/2016/05/25/29db1b11c307a9bf59464d82f6001760_FORMATO.jpeg",72099,3,327,"ata","Nulo",0,2.71,-0.37,0,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","João Paulo Mior","João Paulo","https://s.glbimg.com/es/sde/f/2016/05/01/8113dcced21a9f08cfe758943519c15a_FORMATO.png",72168,3,344,"mei","Provável",4.3,6.14,0.14,4.3,1,1,2,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Jailson Marcelino dos Santos","Jailson","https://s.glbimg.com/es/sde/f/2016/05/01/eefe06604642d12c5a4a811575872536_FORMATO.png",72290,3,275,"gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Victor Ferraz Macedo","Victor Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/58576d141c8216fac9dedb1df391d5e8_FORMATO.png",70046,3,277,"lat","Provável",2.8,15.16,-0.65,5.9,3,1,6,9,NA,1,7,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Ayrton Luis Ganino","Ayrton","https://s.glbimg.com/es/sde/f/2015/10/29/6d1b2a3681d5769ef11d0f7b32fbb3e3_FORMATO.png",72334,3,316,"lat","Provável",5.8,7.44,0.44,5.8,1,NA,NA,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Tiago da Costa Silva","Tiago Costa","https://s.glbimg.com/es/sde/f/2016/05/01/528278a57134fbffc414225c38342b02_FORMATO.png",71885,3,344,"lat","Provável",1.4,6.71,-0.19,2.33,3,6,5,9,NA,2,5,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Rodrigo Oliveira Lindoso","Rodrigo Lindoso","https://s.glbimg.com/es/sde/f/2016/05/20/1cfe544293261682171b21a47393cd7a_FORMATO.png",72362,3,263,"mei","Nulo",3.6,13.65,-0.27,5.17,3,2,2,5,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Marco da Silva Ignácio","Marquinhos","https://s.glbimg.com/es/sde/f/2016/05/01/abc0d0247a3e21ee2f6a2d78c43ec4cf_FORMATO.png",72382,3,277,"ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Wesley de Jesus Correia","Lelê","https://s.glbimg.com/es/sde/f/2016/05/01/1f3fda71fc3fa6c69eec840266ba770e_FORMATO.png",70057,3,344,"mei","Contundido",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Jakson Ragnar Follmann ","Follmann ","https://s.glbimg.com/es/sde/f/2016/05/25/cd72fbc174946d693da25241360bed6d_FORMATO.jpeg",72488,3,315,"gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Frederico Burgel Xavier ","Fred","https://s.glbimg.com/es/sde/f/2016/04/30/ded85791904973e78a63259219ccdc59_FORMATO.png",72490,3,284,"zag","Contundido",5,14.61,-0.11,6.8,3,2,2,6,3,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"182","Matheus Simonete Bressanelli","Bressan","https://s.glbimg.com/es/sde/f/2016/04/30/64171a15302ae76f8b924c5e7bbad3b5_FORMATO.png",72491,3,284,"zag","Provável",9.3,7.16,2.16,9.3,1,1,NA,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Igor Brondani da Luz","Igor ","https://s.glbimg.com/es/sde/f/2016/04/27/9b0dc72678ed3d2a6171a25e0c4728dd_FORMATO.png",87201,3,315,"zag","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Paulo Cezar Magalhães Lobos","Paulo Cezar","https://s.glbimg.com/es/sde/f/2016/04/30/c1672b9c587a6a33d10e5bf33db00999_FORMATO.png",72896,3,285,"lat","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Vitor Hugo Franchescoli de Souza","Vitor Hugo","https://s.glbimg.com/es/sde/f/2016/05/01/e68421691461665280e5183ea53281dd_FORMATO.png",72605,3,275,"zag","Provável",12.1,10.25,3.88,5.07,3,3,1,14,2,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"186","José Carlos Cracco Neto","Zeca","https://s.glbimg.com/es/sde/f/2016/05/01/b75497cbd7fdf4e7cc56e0a77979a9f7_FORMATO.png",87192,3,277,"lat","Provável",1.7,8.58,-0.34,1.73,3,7,3,9,NA,1,6,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Clayton da Rosa Peixoto","Clayton",NA,72717,3,292,"mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Eduardo Augusto Baptista Miguel","Eduardo Baptista","https://s.glbimg.com/es/sde/f/2014/03/28/f0f2085b39b5c3d7a804aa369a856fa2_FORMATO.jpeg",87211,3,303,"tec","Provável",0.9,8.88,-0.74,2.57,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Cesar Iván Benitez","César Benítez","https://s.glbimg.com/es/sde/f/2016/05/09/65d5e940224b5bac964c40945cc7b42a_FORMATO.jpeg",72932,3,294,"lat","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Tiago Real do Prado","Tiago Real","https://s.glbimg.com/es/sde/f/2016/05/01/652325806fdb7634f63478c0f8dd9476_FORMATO.png",70058,3,287,"mei","Nulo",-0.6,1.38,-0.53,-0.77,3,3,3,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"191","Anderson Ferreira da Silva","Pará","https://s.glbimg.com/es/sde/f/2016/05/13/9f1c6c480b33d74800262719ae9d7f6b_FORMATO.png",87213,3,293,"lat","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Pedro Henrique Ribeiro Gonçalves","Pedro Henrique","https://s.glbimg.com/es/sde/f/2016/04/28/d79ded1eae88c25646b800caa6438463_FORMATO.png",87225,3,264,"zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Guilherme Antonio Arana Lopes","Guilherme Arana","https://s.glbimg.com/es/sde/f/2016/04/28/791584b7c8c0a16ed8c52dc6c6821a90_FORMATO.png",87228,3,264,"lat","Nulo",5,4.86,0.86,5,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Allano Brendon de Souza Lima","Allano","https://s.glbimg.com/es/sde/f/2016/04/28/3085654af6c3a83e8e6538ac7bc78942_FORMATO.png",87391,3,283,"ata","Contundido",0,3.08,0,0.75,2,3,3,3,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Gabriel Costa França","Gabriel","https://s.glbimg.com/es/sde/f/2016/05/09/08d7db2748121ab1683da235cfa4a04f_FORMATO.png",87393,3,282,"zag","Nulo",0,10.81,0,13.7,1,1,NA,3,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Marcos do Nascimento Teixeira","Marcão","https://s.glbimg.com/es/sde/f/2015/03/04/8e31188bc019c51828bdbdf9d97ebefb_FORMATO.png",87267,3,293,"zag","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Messias Rodrigues da Silva Júnior","Messias","https://s.glbimg.com/es/sde/f/2016/05/09/6068d0d51d95cf9603bbaf09042e0580_FORMATO.png",87402,3,327,"zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Guilherme Gimenez de Souza","Gimenez","https://s.glbimg.com/es/sde/f/2016/04/27/4fdb59e5497a1dda24a3556643f0b8f6_FORMATO.png",87482,3,315,"lat","Dúvida",-0.3,4.55,-0.89,2.4,2,2,6,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Jonatan Ezequiel Cristaldo","Cristaldo","https://s.glbimg.com/es/sde/f/2016/05/01/9fad411cf18bdd76682bcfa1065f111a_FORMATO.png",87420,3,275,"ata","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Matheus Reis de Lima","Matheus Reis","https://s.glbimg.com/es/sde/f/2016/05/18/387b0b86e4e4ab501930b6671e496c8f_FORMATO.jpeg",87486,3,276,"lat","Provável",-2.2,4.18,-1.21,0.97,3,6,3,10,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Antônio Francisco Moura Neto","Neto Moura","https://s.glbimg.com/es/sde/f/2016/05/01/60b2f9caebf7a6d399c1ba73dff47b84_FORMATO.png",87742,3,292,"mei","Nulo",0,2.35,0,-0.8,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Luís Enrique Cáceres Centurión","Luís Cáceres","https://s.glbimg.com/es/sde/f/2016/05/09/59d27601ab5d146a082abc1e45950431_FORMATO.jpeg",72943,3,294,"mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Tiago Machowski","Tiago","https://s.glbimg.com/es/sde/f/2016/04/30/5dd1148fbd2c5986525de747fb4ea80d_FORMATO.png",87611,3,284,"gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Vitor Frezarin Bueno","Vitor Bueno","https://s.glbimg.com/es/sde/f/2016/05/01/6a51ac71a5e8a928c9cf1b71c2db243b_FORMATO.png",87552,3,277,"mei","Provável",13.4,10.37,3.84,5.8,3,5,5,16,NA,1,3,NA,1,3,NA,2,NA,NA,NA,NA,NA,NA,NA
"205","Yago Felipe da Costa Rocha","Yago","https://s.glbimg.com/es/sde/f/2016/04/29/9e75041c82af99e71fd7136bf58eb73d_FORMATO.png",87747,3,316,"mei","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Fabián Cornelio Balbuena González","Balbuena","https://s.glbimg.com/es/sde/f/2016/04/28/46ed32bd9a832044312ff5fad5d41e2e_FORMATO.png",87887,3,264,"zag","Nulo",0,3.07,0,-0.1,2,6,1,7,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Sergio Antonio Soler de Oliveira Junior","Serginho","https://s.glbimg.com/es/sde/f/2016/05/01/fa05ac08f743ed624141c8512c854926_FORMATO.png",88002,3,277,"mei","Nulo",1.7,2.45,0.1,0.95,2,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Giorgian Daniel de Arrascaeta Benedetti","Arrascaeta","https://s.glbimg.com/es/sde/f/2016/04/28/34e8365db550908af5ae08bc890c103c_FORMATO.png",87863,3,283,"mei","Provável",11.3,15.92,2.41,6.1,2,1,2,7,NA,NA,NA,NA,3,4,NA,1,NA,NA,NA,NA,NA,NA,NA
"209","Federico Gino Acevedo Fagundez","Federico Gino","https://s.glbimg.com/es/sde/f/2016/04/29/07f205bd47120a9677a25b343417f3e7_FORMATO.png",87860,3,283,"mei","Nulo",0,6.53,0,0.8,1,NA,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Weverson Leandro Oliveira Moura","Leandro","https://s.glbimg.com/es/sde/f/2016/05/09/f02a18ea7808823ef837869864d4a7bc_FORMATO.jpeg",73085,3,294,"ata","Dúvida",-0.5,8.24,-1.59,2.87,3,2,2,2,NA,NA,1,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA
"211","Gustavo Henrique Furtado Scarpa","Gustavo Scarpa","https://s.glbimg.com/es/sde/f/2016/04/29/6e433eb3cd2ccb3fe639c110479ebf7c_FORMATO.png",87999,3,266,"mei","Provável",-1.5,12.5,-2.24,3.77,3,3,2,19,NA,NA,2,NA,4,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"212","Jorge Marco de Oliveira Moraes","Jorge","https://s.glbimg.com/es/sde/f/2016/04/20/fcce4bf95de7ba74ee7d3cee0dc27bd2_FORMATO.png",88065,3,262,"lat","Provável",-0.2,18.53,-1.92,4.83,3,3,3,7,1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Renê dos Santos Júnior","Renê Júnior","https://s.glbimg.com/es/sde/f/2016/05/02/d2495b2c5243d738c214c07a06a54797_FORMATO.jpeg",73281,3,303,"mei","Dúvida",-2,3.88,-2.12,-2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Argélico Fucks","Argel Fucks","https://s.glbimg.com/es/sde/f/2016/04/30/739fba05ad596b31404522421fe73297_FORMATO.png",73317,3,285,"tec","Provável",3.99,9.38,0.37,3.44,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Rafael Martins Claro","Rafael Martins","https://s.glbimg.com/es/sde/f/2016/05/09/b61889a893aa25e31c1d09db95e190ab_FORMATO.png",73336,3,294,"gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Ivan Quaresma da Silva","Ivan","https://s.glbimg.com/es/sde/f/2016/04/28/20284e957be3b188a80da6385901f248_FORMATO.jpeg",88136,3,303,"gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Auro Álvaro da Cruz Júnior","Auro","https://s.glbimg.com/es/sde/f/2016/02/29/c60ef3cc9278686bc68dc0688bc45149_FORMATO.jpeg",88540,3,276,"lat","Nulo",0.1,5.8,-0.3,2.7,2,1,NA,6,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Lucas Gomes Vieira","Lucas Gomes","https://s.glbimg.com/es/sde/f/2016/05/01/d2700d0a987c9b99bcbb22152d7de341_FORMATO.png",88129,3,344,"mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Felipe Augusto de Almeida Monteiro","Felipe","https://s.glbimg.com/es/sde/f/2016/04/28/e4e0d811873ea1440ae0bddf71cfaba0_FORMATO.png",73375,3,264,"zag","Provável",7.1,26.92,-0.08,8.37,3,2,6,6,2,NA,7,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Isaac Oliveira Prado","Isaac","https://s.glbimg.com/es/sde/f/2016/04/28/f86e733de500cd4620aafa817a6e648e_FORMATO.jpeg",88140,3,264,"ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Eduardo Antônio Machado Teixeira","Eduardo","https://s.glbimg.com/es/sde/f/2016/05/25/236f1266c4a0e2e115c7043e40e98639_FORMATO.jpeg",73353,3,327,"mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Samuel Xavier Brito","Samuel Xavier","https://s.glbimg.com/es/sde/f/2016/05/01/02f546c1013f3369de8475d0bf247287_FORMATO.png",73384,3,292,"lat","Provável",2.9,6.27,0.2,2.17,3,3,4,4,NA,1,4,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Ramon Menezes Roma","Ramon","https://s.glbimg.com/es/sde/f/2016/05/01/bf444d7eaf1a2853f33faef276c4a9a0_FORMATO.png",88087,3,287,"zag","Provável",4.6,3.21,1.4,1.07,3,3,NA,7,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Alan Santos da Silva","Alan Santos","https://s.glbimg.com/es/sde/f/2016/04/28/2e4514e1250273c20db6d592604c3980_FORMATO.png",70132,3,294,"mei","Provável",9.1,6.1,3.1,2.53,3,9,NA,8,NA,1,3,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"225","Guilherme Cruz de Mattis","Guilherme Mattis","https://s.glbimg.com/es/sde/f/2016/05/01/1105ff5e53bb88916425c5e78fa5d912_FORMATO.png",70111,3,287,"zag","Contundido",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Thiago Rodrigues de Oliveira Nogueira","Thiago Rodrigues","https://s.glbimg.com/es/sde/f/2016/01/29/f69e37ab17b3ed8fd33b0279494c64c7_FORMATO.jpeg",73414,3,316,"gol","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Wenderson da Silva Soares","Maranhão","https://s.glbimg.com/es/sde/f/2016/05/09/e2416e524004a91cc70f0008d71df6c3_FORMATO.png",70165,3,327,"ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Luis Manuel Seijas Gunther","Seijas","https://s.glbimg.com/es/sde/f/2015/06/18/43618c7c130974448ecbad30dfbb0bde_FORMATO.jpeg",70742,3,285,"mei","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Luccas Claro dos Santos","Luccas Claro","https://s.glbimg.com/es/sde/f/2016/04/28/212653f2dde798fcc736ead5c59f61db_FORMATO.png",73465,3,294,"zag","Nulo",0,17,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Luiz Eduardo Figueiredo ","Dudu","https://s.glbimg.com/es/sde/f/2016/05/09/74d25179696ad73f1a2e5fa3b11a7392_FORMATO.jpeg",73511,3,294,"mei","Contundido",0,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Francisco Jackson Menezes da Costa","Jackson Caucaia","https://s.glbimg.com/es/sde/f/2016/04/29/7508fb275c4f7e3c1c188cb14e6042ce_FORMATO.png",70162,3,316,"mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Ederson Honorato Campos","Ederson","https://s.glbimg.com/es/sde/f/2016/04/20/1d9d7ea2e5f74e2e387f2dca630e0ade_FORMATO.png",70173,3,262,"mei","Nulo",-1.5,5.87,-1.11,1.03,3,2,2,1,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Francinilson Santos Meireles","Maranhão","https://s.glbimg.com/es/sde/f/2016/04/27/a4296e7f5b0a008bc86a8cab8b05374f_FORMATO.png",73513,3,315,"mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Eduardo Colcenti Antunes","Eduardo Sasha","https://s.glbimg.com/es/sde/f/2016/04/30/50fc5a7dc8dc2fa1c53d34cc6e432d9a_FORMATO.png",70360,3,285,"ata","Provável",0.7,9.99,-1.48,6.13,3,1,3,9,NA,2,3,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"235","Renato Gonçalves de Lima","Renatinho","https://s.glbimg.com/es/sde/f/2016/05/01/18fc6fba34015748124139867c57db94_FORMATO.png",73344,3,344,"lat","Contundido",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Luis Gustavo de Almeida Pinto","Gustavo","https://s.glbimg.com/es/sde/f/2016/05/01/8670518bbe0da97cf0ecd2545901cbe3_FORMATO.png",70216,3,287,"gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Gabriel Santana Pinto","Gabriel","https://s.glbimg.com/es/sde/f/2016/04/20/43f762e9398936d399d42746fc9cfdd4_FORMATO.png",73515,3,262,"mei","Nulo",0,5.53,0,5.3,1,NA,1,2,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Bruno Fabiano Alves","Bruno Alves","https://s.glbimg.com/es/sde/f/2016/04/29/49e9429e3f444ef44bc9a03295902d5f_FORMATO.png",73620,3,316,"zag","Provável",0.6,10,-0.65,2.7,3,3,1,9,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Alejandro Martinuccio","Martinuccio","https://s.glbimg.com/es/sde/f/2016/05/13/20b1ddd7637df6e54328b6dc072a042d_FORMATO.png",70759,3,315,"mei","Contundido",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Rildo de Andrade Felicissimo","Rildo","https://s.glbimg.com/es/sde/f/2016/04/28/955d786aa05db6ee13365e3b0b54e2ed_FORMATO.png",73635,3,264,"ata","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Paulo Jorge Gomes Bento","Paulo Bento","https://s.glbimg.com/es/sde/f/2016/05/25/4dc07b20682720e6ad26d1d7c7360e4b_FORMATO.png",70622,3,283,"tec","Provável",1.1,3.05,-0.05,2.03,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Rhayner Santos Nascimento","Rhayner","https://s.glbimg.com/es/sde/f/2016/05/01/2001d7464e28233b6e75ad7438938946_FORMATO.png",70874,3,303,"ata","Nulo",0,3.46,0,-0.3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","José Rogério de Oliveira","Rogério","https://s.glbimg.com/es/sde/f/2016/05/01/f82190cdaebeaf5c0ce730069b6a9a03_FORMATO.png",73540,3,276,"ata","Nulo",7.5,8.71,1.83,2.97,3,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"244","Luiz Antonio de Souza Soares","Luiz Antonio ","https://s.glbimg.com/es/sde/f/2016/05/01/cc80f0ff335279c7404010486b0f3f24_FORMATO.png",74060,3,292,"mei","Nulo",0.2,6.63,-0.8,-0.2,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Daniel Guedes da Silva","Daniel Guedes ","https://s.glbimg.com/es/sde/f/2016/05/01/eb94bb8c5d05bfa2c6196961a8686f0f_FORMATO.png",88225,3,277,"lat","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Diogo Barbosa Mendanha","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2016/05/20/796d3a86989d174e93697441c578060a_FORMATO.png",70916,3,263,"lat","Contundido",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Adrián Ricardo Centurión","Centurión","https://s.glbimg.com/es/sde/f/2016/05/01/4beae587728cc6f31ddd73ed7df97170_FORMATO.png",88269,3,276,"ata","Provável",0.6,8.54,-0.89,1.3,3,1,6,12,NA,NA,NA,NA,2,5,NA,NA,1,NA,NA,NA,NA,NA,NA
"248","William Henrique Rodrigues da Silva","William Henrique","https://s.glbimg.com/es/sde/f/2016/05/01/c8fbbd637a608b464bd3ace89f77b490_FORMATO.png",70928,3,287,"ata","Nulo",0,2.65,0,0.6,1,2,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Lucas David Pratto","Lucas Pratto","https://s.glbimg.com/es/sde/f/2016/04/26/56245b924208def6d8688f6d5c9181be_FORMATO.png",73649,3,282,"ata","Contundido",0,28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Vander Luiz Silva Souza","Vander","https://s.glbimg.com/es/sde/f/2016/05/01/7867f0cf1aa4fe2d5dbaf18879a71d74_FORMATO.png",71117,3,287,"ata","Dúvida",0,0.77,0,-2,2,1,4,4,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"251","Marcos Vinícius de Jesus Araújo","Marcos Vinícius","https://s.glbimg.com/es/sde/f/2016/04/29/ab99a143750d322ad2aad71c76d7031c_FORMATO.png",73721,3,283,"mei","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Guilherme Ferreira Pinto","Negueba","https://s.glbimg.com/es/sde/f/2016/04/28/2813e92219de0c5607cabec5a4c2dd48_FORMATO.png",70929,3,294,"ata","Dúvida",-0.9,9.65,-3.35,-0.9,1,1,1,2,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Rodrigo Caio Roquette Russo","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2016/05/01/76c4acf534a1a01c922cb927acebb6e7_FORMATO.png",73800,3,276,"zag","Nulo",0,15,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Thiago Henrique Mendes Ribeiro","Thiago Mendes","https://s.glbimg.com/es/sde/f/2016/05/01/7bffad216f281ba79db7820b8448dae1_FORMATO.png",71123,3,276,"mei","Provável",2.2,6.3,-1.72,-0.45,2,2,4,2,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Roberto Junior Fernández Torres","Gatito Fernández","https://s.glbimg.com/es/sde/f/2016/04/29/9fb2711aff734db5e097a8c785f181cf_FORMATO.png",74061,3,316,"gol","Provável",-3.5,3.47,-1.94,-0.9,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
